base,mode,target,base_loss,nested_loss,delta
stage2,same,Q1,0.5746308240745168,0.5756084819352516,0.000977657860734782
stage2,same,Q2,0.6429986926145494,0.6452821612118739,0.002283468597324423
stage2,same,Q3,0.6303484889503163,0.6328218378703278,0.0024733489200114978
stage2,same,S1,0.47894327588040597,0.4797938680266347,0.0008505921462287347
stage2,same,S2,0.5389534496173579,0.5404675890667117,0.0015141394493537463
stage2,same,S3,0.5034376794790675,0.5034376794790676,1.1102230246251565e-16
stage2,same,S4,0.6034040622125061,0.603404062212506,-1.1102230246251565e-16
stage2,same,mean,0.5675309246898171,0.5686879542574819,0.0011570295676647246
stage2,same_or_single,Q1,0.5746308240745168,0.5789689053702805,0.0043380812957636294
stage2,same_or_single,Q2,0.6429986926145494,0.6484456702862815,0.005446977671732078
stage2,same_or_single,Q3,0.6303484889503163,0.6312638323575551,0.0009153434072388666
stage2,same_or_single,S1,0.47894327588040597,0.4803524273838183,0.0014091515034123092
stage2,same_or_single,S2,0.5389534496173579,0.5407005870768989,0.001747137459541026
stage2,same_or_single,S3,0.5034376794790675,0.5034376794790676,1.1102230246251565e-16
stage2,same_or_single,S4,0.6034040622125061,0.603404062212506,-1.1102230246251565e-16
stage2,same_or_single,mean,0.5675309246898171,0.5695104520237726,0.0019795273339554553
stage2,ones_only,Q1,0.5746308240745168,0.5757895947293935,0.001158770654876684
stage2,ones_only,Q2,0.6429986926145494,0.6465230797134985,0.003524387098949089
stage2,ones_only,Q3,0.6303484889503163,0.6302788451846252,-6.964376569107422e-05
stage2,ones_only,S1,0.47894327588040597,0.4800986460183041,0.0011553701378981263
stage2,ones_only,S2,0.5389534496173579,0.5395452790489602,0.0005918294316022976
stage2,ones_only,S3,0.5034376794790675,0.5034376794790676,1.1102230246251565e-16
stage2,ones_only,S4,0.6034040622125061,0.603404062212506,-1.1102230246251565e-16
stage2,ones_only,mean,0.5675309246898171,0.5684395980551936,0.0009086733653764778
stage2,zeros_only,Q1,0.5746308240745168,0.5745426054614747,-8.821861304209033e-05
stage2,zeros_only,Q2,0.6429986926145494,0.6415151191475148,-0.001483573467034649
stage2,zeros_only,Q3,0.6303484889503163,0.6322011048473788,0.0018526158970625373
stage2,zeros_only,S1,0.47894327588040597,0.47927062066290477,0.00032734478249879517
stage2,zeros_only,S2,0.5389534496173579,0.5398757596351094,0.0009223100177514487
stage2,zeros_only,S3,0.5034376794790675,0.5037706430668595,0.0003329635877920012
stage2,zeros_only,S4,0.6034040622125061,0.603404062212506,-1.1102230246251565e-16
stage2,zeros_only,mean,0.5675309246898171,0.5677971307191069,0.00026620602928972836
public2d0,same,Q1,0.5719926466951353,0.5728716363469027,0.00087898965176747
public2d0,same,Q2,0.6331687685875103,0.6363311805291647,0.0031624119416544527
public2d0,same,Q3,0.6164704543218334,0.6189778429364282,0.0025073886145947633
public2d0,same,S1,0.4735983198888378,0.4748685095765492,0.001270189687711365
public2d0,same,S2,0.5365399200388312,0.5381346675961122,0.001594747557280951
public2d0,same,S3,0.5003577001960443,0.5003577001960443,0.0
public2d0,same,S4,0.5997852933452552,0.5997852933452552,0.0
public2d0,same,mean,0.5617018718676354,0.5630466900752081,0.0013448182075727066
public2d0,same_or_single,Q1,0.5719926466951353,0.5767484525978374,0.004755805902702082
public2d0,same_or_single,Q2,0.6331687685875103,0.6388703967709012,0.005701628183390928
public2d0,same_or_single,Q3,0.6164704543218334,0.6172108789681968,0.000740424646363369
public2d0,same_or_single,S1,0.4735983198888378,0.47474540089266953,0.001147081003831707
public2d0,same_or_single,S2,0.5365399200388312,0.5383470031596099,0.0018070831207787075
public2d0,same_or_single,S3,0.5003577001960443,0.5003577001960443,0.0
public2d0,same_or_single,S4,0.5997852933452552,0.5997852933452552,0.0
public2d0,same_or_single,mean,0.5617018718676354,0.563723589418645,0.0020217175510095498
public2d0,ones_only,Q1,0.5719926466951353,0.5731395568089755,0.0011469101138402715
public2d0,ones_only,Q2,0.6331687685875103,0.6368340809317363,0.0036653123442260682
public2d0,ones_only,Q3,0.6164704543218334,0.6165014610275033,3.100670566980046e-05
public2d0,ones_only,S1,0.4735983198888378,0.47516412738851277,0.0015658074996749427
public2d0,ones_only,S2,0.5365399200388312,0.5370812984863473,0.0005413784475161165
public2d0,ones_only,S3,0.5003577001960443,0.5003577001960443,0.0
public2d0,ones_only,S4,0.5997852933452552,0.5997852933452552,0.0
public2d0,ones_only,mean,0.5617018718676354,0.5626947883120536,0.0009929164444181238
public2d0,zeros_only,Q1,0.5719926466951353,0.5719066997797573,-8.594691537799903e-05
public2d0,zeros_only,Q2,0.6331687685875103,0.6318426604564726,-0.0013261081310376177
public2d0,zeros_only,Q3,0.6164704543218334,0.6185406015952724,0.002070147273438905
public2d0,zeros_only,S1,0.4735983198888378,0.4739282359495085,0.00032991606067067636
public2d0,zeros_only,S2,0.5365399200388312,0.5375932891485959,0.0010533691097647235
public2d0,zeros_only,S3,0.5003577001960443,0.5006574241461472,0.00029972395010291475
public2d0,zeros_only,S4,0.5997852933452552,0.5997852933452552,0.0
public2d0,zeros_only,mean,0.5617018718676354,0.562036314917287,0.00033444304965157823
proj0,same,Q1,0.5721961493671622,0.5730764352079619,0.0008802858407996883
proj0,same,Q2,0.6332909492284633,0.636444970680591,0.003154021452127731
proj0,same,Q3,0.6177972374472724,0.6203056722135104,0.002508434766237966
proj0,same,S1,0.47409901620395495,0.47533187710658065,0.0012328609026256987
proj0,same,S2,0.5367734705112993,0.5383550795413602,0.001581609030060882
proj0,same,S3,0.5007502097654661,0.5007502097654661,0.0
proj0,same,S4,0.6000977740267702,0.6000977740267702,0.0
proj0,same,mean,0.5621435437929126,0.5634802883631773,0.0013367445702646696
proj0,same_or_single,Q1,0.5721961493671622,0.576949365431883,0.004753216064720789
proj0,same_or_single,Q2,0.6332909492284633,0.6388533947358599,0.005562445507396596
proj0,same_or_single,Q3,0.6177972374472724,0.6186908959257329,0.0008936584784604573
proj0,same_or_single,S1,0.47409901620395495,0.4752477306380846,0.0011487144341296718
proj0,same_or_single,S2,0.5367734705112993,0.5385713068892958,0.0017978363779964646
proj0,same_or_single,S3,0.5007502097654661,0.5007502097654661,0.0
proj0,same_or_single,S4,0.6000977740267702,0.6000977740267702,0.0
proj0,same_or_single,mean,0.5621435437929126,0.5641658110590132,0.0020222672661005525
proj0,ones_only,Q1,0.5721961493671622,0.5733432937379683,0.0011471443708060969
proj0,ones_only,Q2,0.6332909492284633,0.6369555633454689,0.0036646141170055824
proj0,ones_only,Q3,0.6177972374472724,0.6178321565267492,3.491907947672512e-05
proj0,ones_only,S1,0.47409901620395495,0.47562759888584827,0.0015285826818933201
proj0,ones_only,S2,0.5367734705112993,0.5373132321079469,0.0005397615966475922
proj0,ones_only,S3,0.5007502097654661,0.5007502097654661,0.0
proj0,ones_only,S4,0.6000977740267702,0.6000977740267702,0.0
proj0,ones_only,mean,0.5621435437929126,0.5631314040566024,0.0009878602636897993
proj0,zeros_only,Q1,0.5721961493671622,0.5720780659620159,-0.00011808340514629645
proj0,zeros_only,Q2,0.6332909492284633,0.6319572314705278,-0.0013337177579354487
proj0,zeros_only,Q3,0.6177972374472724,0.6198633739939823,0.0020661365467098403
proj0,zeros_only,S1,0.47409901620395495,0.4744351246982346,0.0003361084942796744
proj0,zeros_only,S2,0.5367734705112993,0.5378153179447126,0.00104184743341329
proj0,zeros_only,S3,0.5007502097654661,0.5010547565373004,0.0003045467718342243
proj0,zeros_only,S4,0.6000977740267702,0.6000977740267702,0.0
proj0,zeros_only,mean,0.5621435437929126,0.5624716635190776,0.0003281197261649771
minimax,same,Q1,0.56457187524706,0.5655722611588325,0.0010003859117725389
minimax,same,Q2,0.6325516300905627,0.6355387267115488,0.0029870966209860628
minimax,same,Q3,0.6015626369472994,0.6040627952435238,0.0025001582962244084
