mode,target,mean_mixmin_delta_vs_a2c8,weighted_mixmin_delta_vs_a2c8,mixmin_better_block_rate,mean_predicted_rate
local_nonoverlap,S3,-0.002784736483547653,-0.0023966520933929787,0.7777777777777778,0.6173092775006767
local_nonoverlap,S2,-0.002055654641518279,-0.0014769917892721886,0.75,0.6275211146160655
local_nonoverlap,Q2,-0.0010850505237890795,-0.0009389893671000165,0.6666666666666666,0.5711806384318743
local_nonoverlap,Q3,-0.0006897405062480347,0.00024771063246539613,0.5833333333333334,0.6100367281831083
local_nonoverlap,S4,0.00046807544223681345,0.0006073854074128489,0.4722222222222222,0.5691588113130309
local_nonoverlap,Q1,0.0004401714035410432,0.0012193450952944441,0.4722222222222222,0.4745922172538737
local_nonoverlap,S1,0.0050441309353336395,0.004486825457168915,0.1388888888888889,0.6652621586418592
strict_subject,S3,-0.003930051437310343,-0.003536571209100694,0.8055555555555556,0.629683627256591
strict_subject,S2,-0.003028254374942227,-0.0023634718796428198,0.7222222222222222,0.6417350819732065
strict_subject,Q2,-0.0009422609511749663,-0.0008199262122147206,0.6666666666666666,0.56259875626574
strict_subject,Q3,-0.0002159152081694741,0.0003328637342246421,0.5,0.5926689095523999
strict_subject,Q1,-2.9792777753740204e-05,0.000649262090596273,0.4722222222222222,0.46421477637101805
strict_subject,S4,0.0007060756810123581,0.0008213027556938756,0.4444444444444444,0.5668559454204521
strict_subject,S1,0.004405442390778641,0.00366498118847135,0.16666666666666666,0.6602914254350455
