method,target,target_row_logloss,target_count_nll_per_row,target_rate_mae,target_count_mae,delta_row_vs_subject,delta_count_vs_subject
calendar_count_strict,Q1,0.6368299184685237,0.29904807493482255,0.2056543859110124,0.9480165594434474,-0.011906852498177134,-0.011906852498177078
calendar_count_local,Q1,0.6385279411281356,0.3007460975944346,0.20749696354328545,0.9565103929190476,-0.010208829838565192,-0.010208829838565026
edge_shrink025,Q1,0.6421647888200392,0.3043829452863381,0.20382237112931664,0.9395714181327036,-0.006571982146661548,-0.006571982146661548
subject_mean,Q1,0.6487367709667008,0.31095492743299963,0.2159266290321416,0.9953690948067015,0.0,0.0
edge_shrink050,Q1,0.6773906318098623,0.33960878827616114,0.22213468698788982,1.0239867278222239,0.02865386084316146,0.028653860843161516
edge_shrink025,Q2,0.663727631989698,0.33245276428495635,0.2308676879517735,1.0642437322654925,-0.030057090889547222,-0.030057090889547222
calendar_count_strict,Q2,0.664614538478571,0.3333396707738295,0.2346334451303657,1.0816029543814418,-0.029170184400674204,-0.029170184400674093
calendar_count_local,Q2,0.6682313637251659,0.3369564960204244,0.23753434314607677,1.0949753866977685,-0.025553359154079303,-0.02555335915407919
edge_shrink050,Q2,0.6790787793524505,0.3478039116477091,0.23337081038652546,1.075782516172032,-0.014705943526794663,-0.014705943526794496
subject_mean,Q2,0.6937847228792452,0.36250985517450357,0.2517153980945233,1.1603465912162172,0.0,0.0
calendar_count_local,Q3,0.6571415487400123,0.31556426646256774,0.21422128875703317,0.9875078920751041,-0.012204389475159116,-0.012204389475159227
calendar_count_strict,Q3,0.6576027314669551,0.3160254491895106,0.21547368093926725,0.9932811145736954,-0.011743206748216273,-0.011743206748216384
edge_shrink025,Q3,0.6576376613369166,0.316060379059472,0.21654534182178153,0.9982212098613832,-0.01170827687825482,-0.011708276878254986
subject_mean,Q3,0.6693459382151714,0.32776865593772697,0.2224049478329621,1.0252325644007279,0.0,0.0
edge_shrink050,Q3,0.689192201377848,0.34761491910040343,0.2315610070227262,1.067439764080372,0.01984626316267657,0.01984626316267646
calendar_count_local,S1,0.5752098550842597,0.2599793006783331,0.16730244295994146,0.7712234565714375,-0.0018371112236478249,-0.0018371112236477694
subject_mean,S1,0.5770469663079075,0.26181641190198085,0.16419163564668346,0.7568833935908091,0.0,0.0
calendar_count_strict,S1,0.5781733356327424,0.26294278122681586,0.16985934517136805,0.7830101521314284,0.0011263693248348972,0.0011263693248350082
edge_shrink025,S1,0.5913955053820299,0.2761649509761033,0.17610334389714488,0.8117934633307411,0.014348539074122368,0.014348539074122424
edge_shrink050,S1,0.6447059184307589,0.32947536402483224,0.2089136377869267,0.9630409156519304,0.06765895212285133,0.06765895212285139
subject_mean,S2,0.5668995415401756,0.26690912910248216,0.1739080323025985,0.8016736123217345,0.0,0.0
calendar_count_local,S2,0.5707269218872844,0.2707365094495908,0.17923123395630958,0.8262122736034758,0.003827380347108722,0.0038273803471086665
edge_shrink025,S2,0.5766853382837572,0.27669492584606376,0.1787710467531644,0.8240909228377579,0.009785796743581598,0.009785796743581598
calendar_count_strict,S2,0.5909734652444363,0.2909830528067429,0.19685592706723534,0.9074578101392068,0.024073923704260647,0.024073923704260758
edge_shrink050,S2,0.6247338647564599,0.32474345231876656,0.20505377884275336,0.9452479073483021,0.057834323216284234,0.0578343232162844
subject_mean,S3,0.50295368897418,0.2210657773778083,0.13885008202608506,0.6400650122665872,0.0,0.0
calendar_count_local,S3,0.5109014139703275,0.22901350237395582,0.15008455255154163,0.6918531812741796,0.007947724996147487,0.007947724996147515
edge_shrink025,S3,0.51477320886784,0.23288529727146823,0.14571910175191377,0.6717295178319928,0.011819519893659924,0.011819519893659924
calendar_count_strict,S3,0.5372468595350829,0.25535894793871117,0.17299326044688776,0.7974567371819948,0.034293170560902864,0.034293170560902864
edge_shrink050,S3,0.5564978041645947,0.2746098925682231,0.17001703325148185,0.7837370557202457,0.05354411519041469,0.0535441151904148
subject_mean,S4,0.6322447861526097,0.2843633523472362,0.18630494054519528,0.858820335683949,0.0,0.0
calendar_count_local,S4,0.6334106640314989,0.2855292302261254,0.1915072064300002,0.8828015125675619,0.001165877878889221,0.001165877878889221
calendar_count_strict,S4,0.6356076753820025,0.28772624157662885,0.1919886226370307,0.8850207238633855,0.0033628892293927626,0.0033628892293926516
edge_shrink025,S4,0.6411909685288698,0.29330953472349625,0.19346878902776193,0.8918439299084636,0.008946182376260103,0.008946182376260048
edge_shrink050,S4,0.6926807891299426,0.344799355324569,0.2271453177442533,1.047084513503997,0.06043600297733287,0.060436002977332814
