hidden_block_id,subject_id,context_type,block_n_rows,block_len_bin,has_prev_train,has_next_train,prev_gap_days,next_gap_days,rows,active_cells,active_rows,active_q2,active_s3,mean_abs_logit_move,mean_rollback_fraction,active_cell_rate_q2s3,active_row_rate
id02_b4,id02,after_train_run,16,11-16,True,False,1.0,,16,4,4,0,4,0.012934370986805221,0.2500000000000077,0.125,0.25
id07_b4,id07,after_train_run,15,11-16,True,False,1.0,,15,4,4,3,1,0.0060823341927533844,0.25000000000001604,0.13333333333333333,0.26666666666666666
id04_b6,id04,between_train_runs,8,6-10,True,True,1.0,1.0,8,4,4,0,4,0.010217250642967761,0.24999999999999611,0.25,0.5
id02_b2,id02,between_train_runs,16,11-16,True,True,1.0,1.0,16,3,3,0,3,0.012529793732383535,0.25000000000000866,0.09375,0.1875
id01_b2,id01,between_train_runs,14,11-16,True,True,2.0,1.0,14,3,3,0,3,0.01329361760044027,0.24999999999998915,0.10714285714285714,0.21428571428571427
id01_b4,id01,after_train_run,13,11-16,True,False,1.0,,13,3,3,0,3,0.011752817996907009,0.2500000000000032,0.11538461538461539,0.23076923076923078
id10_b4,id10,after_train_run,11,11-16,True,False,1.0,,11,3,3,1,2,0.009558791353165971,0.2500000000000075,0.13636363636363635,0.2727272727272727
id06_b2,id06,between_train_runs,8,6-10,True,True,1.0,1.0,8,3,3,1,2,0.013126769042384412,0.2499999999999983,0.1875,0.375
id04_b8,id04,between_train_runs,6,6-10,True,True,1.0,1.0,6,3,2,2,1,0.004223043267670525,0.25000000000001177,0.25,0.3333333333333333
id06_b10,id06,after_train_run,6,6-10,True,False,1.0,,6,2,2,0,2,0.015775217412126175,0.25000000000001565,0.16666666666666666,0.3333333333333333
id06_b8,id06,between_train_runs,4,3-5,True,True,1.0,1.0,4,2,2,0,2,0.017413356597431484,0.250000000000013,0.25,0.5
id04_b14,id04,after_train_run,3,3-5,True,False,1.0,,3,2,1,1,1,0.004485776529328574,0.2500000000000099,0.3333333333333333,0.3333333333333333
id07_b2,id07,between_train_runs,15,11-16,True,True,1.0,1.0,15,1,1,0,1,0.013228254321624222,0.25000000000001155,0.03333333333333333,0.06666666666666667
id09_b4,id09,after_train_run,13,11-16,True,False,1.0,,13,1,1,0,1,0.018486072142399057,0.24999999999999736,0.038461538461538464,0.07692307692307693
id03_b2,id03,between_train_runs,11,11-16,True,True,1.0,1.0,11,1,1,1,0,0.0049456624993668985,0.2499999999999972,0.045454545454545456,0.09090909090909091
id10_b2,id10,between_train_runs,11,11-16,True,True,2.0,5.0,11,1,1,0,1,0.018404522455178013,0.2499999999999971,0.045454545454545456,0.09090909090909091
id03_b4,id03,after_train_run,10,6-10,True,False,3.0,,10,1,1,0,1,0.009414907880098355,0.24999999999999484,0.05,0.1
id08_b4,id08,between_train_runs,6,6-10,True,True,1.0,1.0,6,1,1,0,1,0.00687254010008298,0.24999999999998787,0.08333333333333333,0.16666666666666666
id05_b4,id05,between_train_runs,5,3-5,True,True,1.0,1.0,5,1,1,0,1,0.014214098896564664,0.2500000000000078,0.1,0.2
id06_b4,id06,between_train_runs,5,3-5,True,True,1.0,1.0,5,1,1,1,0,0.0024434527633964698,0.24999999999998013,0.1,0.2
id08_b10,id08,between_train_runs,4,3-5,True,True,1.0,1.0,4,1,1,0,1,0.006386694735551701,0.25,0.125,0.25
id04_b12,id04,between_train_runs,3,3-5,True,True,1.0,1.0,3,1,1,0,1,0.012382886405422067,0.2499999999999983,0.16666666666666666,0.3333333333333333
id05_b6,id05,between_train_runs,2,1-2,True,True,1.0,2.0,2,1,1,0,1,0.017821664647834634,0.25000000000000466,0.25,0.5
id08_b6,id08,between_train_runs,2,1-2,True,True,1.0,2.0,2,1,1,1,0,0.0034443853008931935,0.25000000000000405,0.25,0.5
id08_b12,id08,between_train_runs,2,1-2,True,True,2.0,1.0,2,1,1,0,1,0.006489369101770115,0.24999999999998718,0.25,0.5
id06_b6,id06,between_train_runs,1,1-2,True,True,4.0,1.0,1,1,1,0,1,0.019348433158529854,0.2499999999999713,0.5,1.0
id09_b2,id09,between_train_runs,14,11-16,True,True,1.0,1.0,14,0,0,0,0,,,0.0,0.0
id05_b2,id05,between_train_runs,7,6-10,True,True,1.0,3.0,7,0,0,0,0,,,0.0,0.0
id04_b4,id04,between_train_runs,5,3-5,True,True,1.0,1.0,5,0,0,0,0,,,0.0,0.0
id05_b10,id05,after_train_run,5,3-5,True,False,1.0,,5,0,0,0,0,,,0.0,0.0
id05_b8,id05,between_train_runs,2,1-2,True,True,1.0,1.0,2,0,0,0,0,,,0.0,0.0
id08_b2,id08,between_train_runs,2,1-2,True,True,1.0,1.0,2,0,0,0,0,,,0.0,0.0
id08_b14,id08,after_train_run,2,1-2,True,False,1.0,,2,0,0,0,0,,,0.0,0.0
id04_b2,id04,between_train_runs,1,1-2,True,True,1.0,1.0,1,0,0,0,0,,,0.0,0.0
id04_b10,id04,between_train_runs,1,1-2,True,True,1.0,1.0,1,0,0,0,0,,,0.0,0.0
id08_b8,id08,between_train_runs,1,1-2,True,True,1.0,1.0,1,0,0,0,0,,,0.0,0.0
