pred_index,base_index,tag,strategy,source,fallback,selector,target_scope,graft_alpha,selected_cells,selected_rows,move_cells,move_rows,move_q2_cells,move_s3_cells,move_edge_cells,move_edge_rate,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,e72_adverse_positive_exposure_all,e72_adverse_weighted_positive_mean,e72_adverse_positive_weight_frac,hard_worst_tail_mean,kl_if_mixmin_calibrated,move_l1_vs_e95,active_cells_vs_e95,is_graft,is_strict_like,beat_e95_rate_broad_plausible,beat_e95_rate_broad_q2s3,beat_e95_rate_near_unit_tail,beat_e95_rate_tight_plausible,mean_pred_delta_broad_plausible,mean_pred_delta_broad_q2s3,mean_pred_delta_near_unit_tail,mean_pred_delta_tight_plausible,mean_vs_e95_broad_plausible,mean_vs_e95_broad_q2s3,mean_vs_e95_near_unit_tail,mean_vs_e95_tight_plausible,p95_vs_e95_broad_plausible,p95_vs_e95_broad_q2s3,p95_vs_e95_near_unit_tail,p95_vs_e95_tight_plausible,e101_pass,e103_strict_like,e103_pass,dominates_e101,e101_ref_mean_vs_e95,e101_ref_p95_vs_e95,e101_ref_beat_rate,survival_score
5,0,e103_control_a3f7c96f,control,e86,,,,,,,,,,,,,-2.7705869828476004e-05,-2.7705869828476004e-05,-3.498042661254086e-05,-6.9100032192848104e-06,-6.9100032192848104e-06,-1.3700079533940368e-05,-3.533869208549589e-05,-3.533869208549589e-05,-3.498042661254086e-05,-4.086891418064731e-05,-4.086891418064731e-05,-3.498042661254086e-05,-4.086891418064731e-05,-6.9100032192848104e-06,3,3,5,-0.0003074391775771235,-0.00017278562923006557,-0.00023918120377530716,-0.000290814306410897,-0.00046435628805567564,-0.0003775852972332863,-0.0005349503017766005,6.344131569286608e-17,0.75,1.0,True,0.006064145347338554,0.005556388911177608,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0010102416357210917,0.0033252470618392728,0.40808492206760344,0.00292307752318128,1.333451444160868e-05,0.0005158669242698437,134,False,False,0.00028968713789107763,0.0,0.0004248088360237893,0.00035842293906810036,5.033944904413055e-06,2.487548290270845e-05,1.977582109812559e-06,3.170313020004565e-06,2.0344644904461583e-05,4.018618290275698e-05,1.7288282109861087e-05,1.8481013020053092e-05,4.660642555632791e-05,4.917921991988985e-05,4.518135510693425e-05,4.598739589983163e-05,False,False,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-3.204494111459163e-05
6,0,e103_control_28925de5,control,e90,,,,,,,,,,,,,-2.6932385085221e-05,-2.6932385085221e-05,-3.1945072631711646e-05,-6.1633542025596455e-06,-6.1633542025596455e-06,-1.2825509790648226e-05,-3.453015277210536e-05,-3.453015277210536e-05,-3.1945072631711646e-05,-4.010364828088697e-05,-4.010364828088697e-05,-3.1945072631711646e-05,-4.010364828088697e-05,-6.1633542025596455e-06,3,3,6,-0.000250999367211191,-0.0001371198192592349,-0.0002161681491864298,-0.00014939940246563865,-0.00045027753282264604,-0.00029983846764414235,-0.0004585389359312461,8.326672684688674e-17,0.75,1.0,True,0.005777398679573552,0.00490186612030714,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009340306314570177,0.0029883889789963968,0.37181946833365975,0.00279194413055124,1.2516592119249648e-05,0.00045289608918243953,162,False,False,0.002607184241019699,0.002717391304347826,0.002973661852166525,0.0025089605734767025,-1.9384001653974126e-06,5.843104420419096e-06,-3.625782807051655e-06,-3.0098603560129998e-06,1.3372299834651114e-05,2.1153804420467624e-05,1.1684917192996872e-05,1.2300839644035527e-05,3.124429880987986e-05,3.4259935062827696e-05,2.4938911743229367e-05,2.71915261385158e-05,False,False,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-2.120259230362913e-05
1,0,e103_control_541e3973,control,e95,,,,,,,,,,,,,-2.6207391227939247e-05,-2.6207391227939247e-05,-3.206587268245187e-05,-5.237699563953591e-06,-5.237699563953591e-06,-1.1858257184638177e-05,-3.382512599237053e-05,-3.382512599237053e-05,-3.206587268245187e-05,-3.955934812749362e-05,-3.955934812749362e-05,-3.206587268245187e-05,-3.955934812749362e-05,-5.237699563953591e-06,3,3,1,-0.000132931105064088,-5.0461039464821944e-05,-0.0001750389610192249,-6.0655941758358534e-05,-0.00044162306692771547,-0.000251139504343037,-0.0004165212412064805,4.949975109809384e-05,0.7222222222222222,0.9722222222222222,True,0.005548278423068733,0.0043169757420437,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007889140929277208,0.002542592130590844,0.33569169885030703,0.0027017499803879156,1.14525787886106e-05,0.0,0,False,False,0.0,0.0,0.0,0.0,-1.5310700000044092e-05,-1.531070000003636e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,4.435812413452495e-18,1.2164608430713466e-17,-1.3385567390764643e-22,-9.107881153272047e-23,2.710505431213761e-20,1.0121975957053102e-16,1.3552527156068805e-20,1.3552527156068805e-20,False,False,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,-4.442588677030529e-18
42,0,e103_edge_q2s3_amplitude_82d1c75b,edge_q2s3_amplitude,e95,mixmin,active_q2_all,Q2,0.125,11.0,11.0,11.0,11.0,11.0,0.0,6.0,0.5454545454545454,-2.6201777165169027e-05,-2.6201777165169027e-05,-3.206151341106356e-05,-5.241481904172396e-06,-5.241481904172396e-06,-1.1868884180366024e-05,-3.381942301594609e-05,-3.381942301594609e-05,-3.206151341106356e-05,-3.954442657538859e-05,-3.954442657538859e-05,-3.206151341106356e-05,-3.954442657538859e-05,-5.241481904172396e-06,3,3,43,-0.00012874037460964828,-4.649128609668374e-05,-0.0001739678401061484,-5.3158095367128455e-05,-0.00044162306692771547,-0.00024739058114742196,-0.0004132515688363822,4.9499751098091703e-05,0.75,0.9722222222222222,True,0.005538389823074796,0.004282365642064894,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007855046573103045,0.0025318237440936264,0.3480563223557736,0.0026983405447705004,1.1426839068556277e-05,9.888599994005276e-06,11,False,False,0.41367323290845887,0.7853260869565217,0.44732370433305013,0.4397849462365591,-1.5554442745558362e-05,-1.61073235821393e-05,-1.555531679637369e-05,-1.5561177070582944e-05,-2.4374274550983563e-07,-7.966235820907728e-07,-2.4461679632516404e-07,-2.5047707053441396e-07,3.9799825876954094e-08,4.1344531044495604e-08,2.5671349876048654e-08,3.031514556520973e-08,False,True,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,4.3695362581257855e-06
48,0,e103_edge_q2s3_amplitude_40a782a7,edge_q2s3_amplitude,e95,mixmin,active_q2_edge,Q2,0.125,6.0,6.0,6.0,6.0,6.0,0.0,6.0,1.0,-2.6201423087512943e-05,-2.6201423087512943e-05,-3.202565935400692e-05,-5.23462185697543e-06,-5.23462185697543e-06,-1.1858257184638177e-05,-3.3819707060733784e-05,-3.3819707060733784e-05,-3.202565935400692e-05,-3.9549940344829615e-05,-3.9549940344829615e-05,-3.202565935400692e-05,-3.9549940344829615e-05,-5.23462185697543e-06,3,3,49,-0.0001323385966582047,-5.004357397642156e-05,-0.00017463288226618467,-5.781339048696599e-05,-0.00044162306692771547,-0.00024971822870734073,-0.00041458403508035926,4.9499751098091703e-05,0.75,0.9722222222222222,True,0.00554349220779786,0.004300223988595615,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007870547541536079,0.0025373632612437805,0.3480563223557736,0.0026998906416138037,1.1440885870429508e-05,4.786215270942071e-06,6,False,False,0.26506373117033605,0.5978260869565217,0.28759558198810536,0.2831541218637993,-1.5427670042702024e-05,-1.571058742518802e-05,-1.5432398698489883e-05,-1.5434516219902272e-05,-1.1697004265349804e-07,-3.99887425139492e-07,-1.2169869844135766e-07,-1.238162198537469e-07,4.279323236619183e-08,4.5391424478983575e-08,2.760022418932305e-08,3.294096073610667e-08,False,True,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,2.756430424738216e-06
48,0,e103_edge_q2s3_amplitude_40a782a7,edge_q2s3_amplitude,e95,mixmin,edge_q2_all,Q2,0.125,118.0,118.0,6.0,6.0,6.0,0.0,6.0,1.0,-2.6201423087512943e-05,-2.6201423087512943e-05,-3.202565935400692e-05,-5.23462185697543e-06,-5.23462185697543e-06,-1.1858257184638177e-05,-3.3819707060733784e-05,-3.3819707060733784e-05,-3.202565935400692e-05,-3.9549940344829615e-05,-3.9549940344829615e-05,-3.202565935400692e-05,-3.9549940344829615e-05,-5.23462185697543e-06,3,3,67,-0.0001323385966582047,-5.004357397642156e-05,-0.00017463288226618467,-5.781339048696599e-05,-0.00044162306692771547,-0.00024971822870734073,-0.00041458403508035926,4.9499751098091703e-05,0.75,0.9722222222222222,True,0.00554349220779786,0.004300223988595615,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007870547541536079,0.0025373632612437805,0.3480563223557736,0.0026998906416138037,1.1440885870429508e-05,4.786215270942071e-06,6,False,False,0.26506373117033605,0.5978260869565217,0.28759558198810536,0.2831541218637993,-1.5427670042702024e-05,-1.571058742518802e-05,-1.5432398698489883e-05,-1.5434516219902272e-05,-1.1697004265349804e-07,-3.99887425139492e-07,-1.2169869844135766e-07,-1.238162198537469e-07,4.279323236619183e-08,4.5391424478983575e-08,2.760022418932305e-08,3.294096073610667e-08,False,True,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,2.756430424738216e-06
49,0,e103_edge_q2s3_amplitude_eeb070c6,edge_q2s3_amplitude,e95,mixmin,active_q2_edge,Q2,0.25,6.0,6.0,6.0,6.0,6.0,0.0,6.0,1.0,-2.6193981065181227e-05,-2.6193981065181227e-05,-3.198322964637068e-05,-5.229918903837394e-06,-5.229918903837394e-06,-1.1858257184638177e-05,-3.381298089466522e-05,-3.381298089466522e-05,-3.198322964637068e-05,-3.953904339693004e-05,-3.953904339693004e-05,-3.198322964637068e-05,-3.953904339693004e-05,-5.229918903837394e-06,3,3,50,-0.0001317439811545751,-4.9624547674875785e-05,-0.00017422524270002682,-5.495991352413854e-05,-0.00044162306692771547,-0.000248291490225927,-0.00041263703421615827,4.9499751098091703e-05,0.7222222222222222,0.9444444444444444,True,0.005538705992526976,0.004283472235147522,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007851969761925576,0.0025321388895744447,0.3480563223557736,0.002698032863652754,1.1430753765314169e-05,9.572430541825488e-06,6,False,False,0.26506373117033605,0.5978260869565217,0.28759558198810536,0.2831541218637993,-1.5539250345131237e-05,-1.6101732067946523e-05,-1.5550166100521404e-05,-1.5553911604286034e-05,-2.2855034508270758e-07,-7.910320678979953e-07,-2.394661004728783e-07,-2.4321160423750736e-07,9.615460930568759e-08,1.0199263856775717e-07,6.201655324731224e-08,7.401696564145233e-08,False,True,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,2.8541917614054634e-06
49,0,e103_edge_q2s3_amplitude_eeb070c6,edge_q2s3_amplitude,e95,mixmin,edge_q2_all,Q2,0.25,118.0,118.0,6.0,6.0,6.0,0.0,6.0,1.0,-2.6193981065181227e-05,-2.6193981065181227e-05,-3.198322964637068e-05,-5.229918903837394e-06,-5.229918903837394e-06,-1.1858257184638177e-05,-3.381298089466522e-05,-3.381298089466522e-05,-3.198322964637068e-05,-3.953904339693004e-05,-3.953904339693004e-05,-3.198322964637068e-05,-3.953904339693004e-05,-5.229918903837394e-06,3,3,68,-0.0001317439811545751,-4.9624547674875785e-05,-0.00017422524270002682,-5.495991352413854e-05,-0.00044162306692771547,-0.000248291490225927,-0.00041263703421615827,4.9499751098091703e-05,0.7222222222222222,0.9444444444444444,True,0.005538705992526976,0.004283472235147522,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007851969761925576,0.0025321388895744447,0.3480563223557736,0.002698032863652754,1.1430753765314169e-05,9.572430541825488e-06,6,False,False,0.26506373117033605,0.5978260869565217,0.28759558198810536,0.2831541218637993,-1.5539250345131237e-05,-1.6101732067946523e-05,-1.5550166100521404e-05,-1.5553911604286034e-05,-2.2855034508270758e-07,-7.910320678979953e-07,-2.394661004728783e-07,-2.4321160423750736e-07,9.615460930568759e-08,1.0199263856775717e-07,6.201655324731224e-08,7.401696564145233e-08,False,True,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,2.8541917614054634e-06
43,0,e103_edge_q2s3_amplitude_bc894c1e,edge_q2s3_amplitude,e95,mixmin,active_q2_all,Q2,0.25,11.0,11.0,11.0,11.0,11.0,0.0,6.0,0.5454545454545454,-2.6191393771801685e-05,-2.6191393771801685e-05,-3.2050714675047054e-05,-5.241188483107173e-06,-5.241188483107173e-06,-1.1875798235472246e-05,-3.381015626946482e-05,-3.381015626946482e-05,-3.2050714675047054e-05,-3.95228365625e-05,-3.95228365625e-05,-3.2050714675047054e-05,-3.95228365625e-05,-5.241188483107173e-06,3,3,44,-0.00012454500192851659,-4.251809404209883e-05,-0.00017289328050687502,-4.563617817157639e-05,-0.00044162306692771547,-0.00024362962254964593,-0.0004099681628843035,4.9499751098091703e-05,0.7222222222222222,0.9444444444444444,True,0.00552850122308085,0.004247755542086082,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007820986603792099,0.0025210670356891466,0.3480563223557736,0.0026949345478394057,1.1404538034826423e-05,1.977719998795145e-05,11,False,False,0.4130938586326767,0.782608695652174,0.4468988954970263,0.43942652329749105,-1.5780851462580613e-05,-1.68759745597581e-05,-1.5787323217418e-05,-1.5797461914838767e-05,-4.7015146253208515e-07,-1.5652745597095733e-06,-4.7662321736947176e-07,-4.867619147902425e-07,1.1341091021007461e-07,1.1781259819172348e-07,7.315135409763351e-08,8.63840023404753e-08,False,True,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,4.570759601307538e-06
50,0,e103_edge_q2s3_amplitude_6e600a0d,edge_q2s3_amplitude,e95,mixmin,active_q2_edge,Q2,0.375,6.0,6.0,6.0,6.0,6.0,0.0,6.0,1.0,-2.6185065555739406e-05,-2.6185065555739406e-05,-3.193858368599756e-05,-5.223591305170139e-06,-5.223591305170139e-06,-1.1858257184638177e-05,-3.380494779747778e-05,-3.380494779747778e-05,-3.193858368599756e-05,-3.95266575645703e-05,-3.95266575645703e-05,-3.193858368599756e-05,-3.95266575645703e-05,-5.223591305170139e-06,3,3,51,-0.0001311472592817553,-4.9203961099864024e-05,-0.00017381604286034746,-5.2095514646466334e-05,-0.00044162306692771547,-0.0002468592907870909,-0.0004106802429108944,4.9499751098091703e-05,0.7222222222222222,0.9444444444444444,True,0.005533919777256093,0.004266720481699433,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0007833407585050668,0.0025269190138977916,0.3480563223557736,0.0026961766459652624,1.1422181933758225e-05,1.4358645812708692e-05,6,False,False,0.26506373117033605,0.5978260869565217,0.28759558198810536,0.2831541218637993,-1.5645442358788034e-05,-1.6484136291766325e-05,-1.5664003267613063e-05,-1.5668887345810216e-05,-3.34742358739507e-07,-1.1734362917177972e-06,-3.533032675645386e-07,-3.5818734576169015e-07,1.6008130002590859e-07,1.6980063969086338e-07,1.032471614062791e-07,1.2322583565585087e-07,False,True,False,False,-1.6205291750596722e-05,-1.5640787922212426e-06,0.9834878331402086,2.9439234808551195e-06
