strategy,fallback,target_scope,rows,active_loss_safe,sensor_candidates,strict_candidates,best_broad_mean_vs_e95,best_broad_p95_vs_e95
active_restored_tail,e86,active_q2s3,2,2,0,0,1.0969444277143911e-05,1.940630960279166e-05
active_restored_tail,e90,active_q2s3,2,2,0,0,8.991966228455326e-06,1.6947535041400042e-05
active_restored_tail,e95,active_q2s3,2,2,0,0,5.267356506384822e-06,1.2212525315971798e-05
control,,,9,3,0,0,-2.9942366768145062e-05,-2.4969429703519587e-06
nonactive_tail_graft,e85,s1s2s3,3,3,0,0,2.577754764476425e-06,4.053267661550131e-06
nonactive_tail_graft,e86,all,4,4,0,0,3.1620064226789073e-06,9.399120933436379e-06
nonactive_tail_graft,e86,q2s3,4,4,0,0,2.4462354983179412e-06,8.752353227865974e-06
nonactive_tail_graft,e86,s1s2s3,4,4,4,0,7.139310932959581e-07,2.79846270268744e-06
nonactive_tail_graft,e89,s1s2s3,3,3,0,0,1.2677749579590298e-06,2.9796941793901592e-06
nonactive_tail_graft,e90,all,4,4,0,0,2.141933700886293e-06,6.0869537438003664e-06
nonactive_tail_graft,e90,q2s3,4,4,0,0,1.1083813621323148e-06,4.923146245946631e-06
nonactive_tail_graft,e90,s1s2s3,4,4,4,0,1.03429597070281e-06,3.023722082596722e-06
