sensor,family,mode,expected_delta_vs_e95,error_vs_actual_delta,abs_error_vs_actual_delta,predicted_e116_branch,actual_branch,branch_matches_actual,p_beats_e95,hard_support_cells,hard_support_flip_share,top10_support_rate,top23_support_rate,s3_support_rate,notes
actual_e101_public,public_observation,observed,9.036200000034356e-06,0.0,0.0,small_loss,small_loss,True,,,,,,,external aggregate public LB sensor
raw_full_subject_prior_y1,raw_context_prior,probability_expectation,8.888575024723674e-06,-1.476249753106821e-07,1.476249753106821e-07,small_loss,small_loss,True,,,,,,,expected hard-label delta from E114 raw-context support probabilities
flank_prev_beta,train_flank_prior,hard_p_ge_0p5,9.283146273306285e-06,2.469462732719295e-07,2.469462732719295e-07,small_loss,small_loss,True,,29.0,0.656364596839078,0.9,0.782608695652174,0.5641025641025641,deterministic support if support probability >= 0.5
flank_conflict_flat,train_flank_prior,probability_expectation,9.521200356422238e-06,4.850003563878823e-07,4.850003563878823e-07,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
flank_both_distance_beta,train_flank_prior,probability_expectation,9.531653994293615e-06,4.954539942592594e-07,4.954539942592594e-07,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
flank_subject,train_flank_prior,probability_expectation,7.852751918177365e-06,-1.1834480818569905e-06,1.1834480818569905e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
raw_subject_prior_y1,raw_context_prior,probability_expectation,7.852751918177087e-06,-1.1834480818572683e-06,1.1834480818572683e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E114 raw-context support probabilities
raw_full_subject_prior_y1,raw_context_prior,hard_p_ge_0p5,7.3250133943836e-06,-1.7111866056507553e-06,1.7111866056507553e-06,small_loss,small_loss,True,,26.0,0.6627148433873568,0.9,0.782608695652174,0.5897435897435898,deterministic support if raw support probability >= 0.5
raw_subject_prior_y1,raw_context_prior,hard_p_ge_0p5,7.3250133943836e-06,-1.7111866056507553e-06,1.7111866056507553e-06,small_loss,small_loss,True,,26.0,0.6627148433873568,0.9,0.782608695652174,0.5897435897435898,deterministic support if raw support probability >= 0.5
flank_subject,train_flank_prior,hard_p_ge_0p5,7.3250133943836e-06,-1.7111866056507553e-06,1.7111866056507553e-06,small_loss,small_loss,True,,26.0,0.6627148433873568,0.9,0.782608695652174,0.5897435897435898,deterministic support if support probability >= 0.5
flank_prev_beta,train_flank_prior,probability_expectation,1.084708433392218e-05,1.810884333887824e-06,1.810884333887824e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
flank_next_beta,train_flank_prior,probability_expectation,7.156487949503614e-06,-1.8797120505307418e-06,1.8797120505307418e-06,small_loss,small_loss,True,,,,,,,expected hard-label delta from E118 support probabilities
flank_both_equal_beta,train_flank_prior,hard_p_ge_0p5,1.135477373724183e-05,2.318573737207475e-06,2.318573737207475e-06,small_loss,small_loss,True,,29.0,0.6496462860983814,0.9,0.782608695652174,0.5384615384615384,deterministic support if support probability >= 0.5
