pred_index,base_index,tag,strategy,method,parent_rank,parent_tag,parent_pred_index,parent_all_minus_base,parent_e72_gap,parent_post101_p95,ranker,rollback_cells,rollback_q2s3_cells,rollback_s_cells,keep_factor,parent_excess_weighted_sum,estimated_excess_removed,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,e72_adverse_positive_exposure_all,e72_adverse_weighted_positive_mean,e72_adverse_positive_weight_frac,hard_worst_tail_mean,kl_if_mixmin_calibrated,e72_adverse_exposure_e101_plausible,e72_adverse_exposure_tail_equal,mean_abs_logit_move_vs_e95,max_abs_logit_move_vs_e95,changed_cells_vs_e95,changed_rows_vs_e95,tail_equal_law_cosine,tail_equal_law_resid_ratio,tail_equal_delta95_l1,tail_equal_delta101_l1,e101_active_delta95_l1,q2s3_delta95_l1,e101_plausible_delta95_l1,e95rel_rmse_tail_equal,transfer_shrinkage_risk_index,gate_cos95_resid025,gate_active_q2s3_not_more_than_e101,gate_e72_not_more_than_e95,gate_material_vs_e95,gate_strict_veto,gate_strict_actionable,post101_beat_e95_rate_broad,post101_beat_e95_rate_e101_order,post101_beat_e95_rate_e101_sensor,post101_beat_e95_rate_tight,post101_mean_vs_e95_broad,post101_mean_vs_e95_e101_order,post101_mean_vs_e95_e101_sensor,post101_mean_vs_e95_tight,post101_n_scenarios_broad,post101_n_scenarios_e101_order,post101_n_scenarios_e101_sensor,post101_n_scenarios_tight,post101_p95_vs_e95_broad,post101_p95_vs_e95_e101_order,post101_p95_vs_e95_e101_sensor,post101_p95_vs_e95_tight,tail_pass_tol1e12,all_sets_mean_beat,relaxed_structural_tol1e12,e72_plausible_gap_vs_e95,post101_ok,budget_ok,local_material,submit_relaxed,materialized_submission
812,0,e142_cell_clip_a30c6259,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,excess_per_reward,8,1,1,0.5,0.0006318733009858746,0.00014555636334689134,-4.022112227675123e-05,-1.4013731048811984e-05,1.1102230246251565e-16,-3.889257912659261e-05,-3.365487956263902e-05,-2.5711085285040625e-05,-4.049688312590671e-05,-6.6717571335361825e-06,1.1102230246251565e-16,-4.127390457797642e-05,-1.714556450482796e-06,1.1102230246251565e-16,-4.127390457797642e-05,-3.889257912659261e-05,3,1,1714,-0.0005185952068816502,-0.00014974868973960387,-9.052301241982419e-05,-7.523958144906029e-06,9.230398794379813e-05,4.239001489944605e-05,2.8718760867675155e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.00808941655356818,0.006296975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.0010776278112072707,0.0031224009906600926,0.4157688704430051,0.00380333212261625,1.7151521645554937e-05,0.00204331167177279,0.0018720753814667796,0.002697142857142915,0.02000000000000135,240,123,0.8914340950358824,0.5059813386503549,0.0015235885385949362,0.0015235885385949375,0.0024000000000002387,0.0019800000000000356,0.0013999657494010692,0.005201923293947855,-0.8860324391999957,False,False,False,True,False,False,0.9464078794901506,0.7719298245614035,0.7719298245614035,0.9433691756272401,-4.0724024628795915e-05,-9.095493680839232e-06,-9.095493680839232e-06,-3.210535733747478e-05,3452.0,57.0,57.0,2790.0,4.2577573808181416e-07,1.3064032114984522e-05,1.3064032114984522e-05,8.967401970314658e-07,True,True,True,0.0004859766515118585,False,False,True,False,False
812,0,e142_cell_clip_a30c6259,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,low_reward_excess,8,1,1,0.5,0.0006318733009858746,0.00014555636334689134,-4.022112227675123e-05,-1.4013731048811984e-05,1.1102230246251565e-16,-3.889257912659261e-05,-3.365487956263902e-05,-2.5711085285040625e-05,-4.049688312590671e-05,-6.6717571335361825e-06,1.1102230246251565e-16,-4.127390457797642e-05,-1.714556450482796e-06,1.1102230246251565e-16,-4.127390457797642e-05,-3.889257912659261e-05,3,1,1750,-0.0005185952068816502,-0.00014974868973960387,-9.052301241982419e-05,-7.523958144906029e-06,9.230398794379813e-05,4.239001489944605e-05,2.8718760867675155e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.00808941655356818,0.006296975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.0010776278112072707,0.0031224009906600926,0.4157688704430051,0.00380333212261625,1.7151521645554937e-05,0.00204331167177279,0.0018720753814667796,0.002697142857142915,0.02000000000000135,240,123,0.8914340950358824,0.5059813386503549,0.0015235885385949362,0.0015235885385949375,0.0024000000000002387,0.0019800000000000356,0.0013999657494010692,0.005201923293947855,-0.8860324391999957,False,False,False,True,False,False,0.9464078794901506,0.7719298245614035,0.7719298245614035,0.9433691756272401,-4.0724024628795915e-05,-9.095493680839232e-06,-9.095493680839232e-06,-3.210535733747478e-05,3452.0,57.0,57.0,2790.0,4.2577573808181416e-07,1.3064032114984522e-05,1.3064032114984522e-05,8.967401970314658e-07,True,True,True,0.0004859766515118585,False,False,True,False,False
809,0,e142_cell_clip_be8b9173,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,excess_per_reward,5,1,0,0.5,0.0006318733009858746,8.93403674489497e-05,-4.021185270230987e-05,-1.4004461474370622e-05,1.1102230246251565e-16,-3.8854174668867536e-05,-3.3616475104913945e-05,-2.5134633575119025e-05,-4.046880637831318e-05,-6.643680385942652e-06,1.1102230246251565e-16,-4.1312577059526845e-05,-1.753228932033224e-06,1.1102230246251565e-16,-4.1312577059526845e-05,-3.8854174668867536e-05,3,1,1711,-0.0005260141550893827,-0.00014635531804163548,-9.270428493415861e-05,-7.523958144906029e-06,9.230398794379813e-05,4.239001489944605e-05,2.8718760867675155e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.008106559410711037,0.006296975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.001086735468619507,0.003141455877339459,0.4157688704430051,0.003812439780028486,1.7212646655850206e-05,0.0020996477260672467,0.0019504555241750595,0.0027142857142857723,0.02000000000000135,240,123,0.8772568219023564,0.5447440997038644,0.0016670851298492496,0.0016670851298492507,0.0024000000000002387,0.0019800000000000356,0.0015017971094255693,0.005600437812684532,-0.8718269980393225,False,False,False,True,False,False,0.9397450753186558,0.7543859649122807,0.7543859649122807,0.9362007168458781,-4.037915085481937e-05,-8.297206584508657e-06,-8.297206584508657e-06,-3.17329800892234e-05,3452.0,57.0,57.0,2790.0,1.2913061412871615e-06,1.486170199678827e-05,1.486170199678827e-05,1.453799617387515e-06,True,True,True,0.0005423127058063152,False,False,True,False,False
809,0,e142_cell_clip_be8b9173,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,low_reward_excess,5,1,0,0.5,0.0006318733009858746,8.93403674489497e-05,-4.021185270230987e-05,-1.4004461474370622e-05,1.1102230246251565e-16,-3.8854174668867536e-05,-3.3616475104913945e-05,-2.5134633575119025e-05,-4.046880637831318e-05,-6.643680385942652e-06,1.1102230246251565e-16,-4.1312577059526845e-05,-1.753228932033224e-06,1.1102230246251565e-16,-4.1312577059526845e-05,-3.8854174668867536e-05,3,1,1747,-0.0005260141550893827,-0.00014635531804163548,-9.270428493415861e-05,-7.523958144906029e-06,9.230398794379813e-05,4.239001489944605e-05,2.8718760867675155e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.008106559410711037,0.006296975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.001086735468619507,0.003141455877339459,0.4157688704430051,0.003812439780028486,1.7212646655850206e-05,0.0020996477260672467,0.0019504555241750595,0.0027142857142857723,0.02000000000000135,240,123,0.8772568219023564,0.5447440997038644,0.0016670851298492496,0.0016670851298492507,0.0024000000000002387,0.0019800000000000356,0.0015017971094255693,0.005600437812684532,-0.8718269980393225,False,False,False,True,False,False,0.9397450753186558,0.7543859649122807,0.7543859649122807,0.9362007168458781,-4.037915085481937e-05,-8.297206584508657e-06,-8.297206584508657e-06,-3.17329800892234e-05,3452.0,57.0,57.0,2790.0,1.2913061412871615e-06,1.486170199678827e-05,1.486170199678827e-05,1.453799617387515e-06,True,True,True,0.0005423127058063152,False,False,True,False,False
808,0,e142_cell_clip_8e95dacc,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,excess_per_reward,5,1,0,0.25,0.0006318733009858746,0.00013401055117342455,-4.020946744143217e-05,-1.400207621349292e-05,1.1102230246251565e-16,-3.87618866244388e-05,-3.352418706048521e-05,-2.5370691006498802e-05,-4.0501052196884046e-05,-6.675926204513516e-06,1.1102230246251565e-16,-4.136546350275161e-05,-1.8061153752579884e-06,1.1102230246251565e-16,-4.136546350275161e-05,-3.87618866244388e-05,3,1,1710,-0.0005194749019121147,-0.000138872807149526,-9.133942635686232e-05,-3.773428955994307e-06,9.230398794379813e-05,4.426527949390191e-05,2.9902640030830868e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.008092273696425322,0.006286975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.001079932265225919,0.003123970773184383,0.4157688704430051,0.003805636576634898,1.7187935446054653e-05,0.002055032615974797,0.0018999860773521032,0.002700000000000058,0.02000000000000135,240,123,0.8820740026241334,0.5317133926475432,0.0015682451846873568,0.0015682451846873579,0.0024000000000002387,0.001970000000000036,0.0014064727948969484,0.005466470938029243,-0.8766764863161457,False,False,False,True,False,False,0.9426419466975666,0.7719298245614035,0.7719298245614035,0.939426523297491,-4.0572897373928716e-05,-8.83267474299975e-06,-8.83267474299975e-06,-3.1930337833141305e-05,3452.0,57.0,57.0,2790.0,9.937415488364046e-07,1.4154290684443811e-05,1.4154290684443811e-05,1.1779850225056339e-06,True,True,True,0.0004976975957138652,False,False,True,False,False
808,0,e142_cell_clip_8e95dacc,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,low_reward_excess,5,1,0,0.25,0.0006318733009858746,0.00013401055117342455,-4.020946744143217e-05,-1.400207621349292e-05,1.1102230246251565e-16,-3.87618866244388e-05,-3.352418706048521e-05,-2.5370691006498802e-05,-4.0501052196884046e-05,-6.675926204513516e-06,1.1102230246251565e-16,-4.136546350275161e-05,-1.8061153752579884e-06,1.1102230246251565e-16,-4.136546350275161e-05,-3.87618866244388e-05,3,1,1746,-0.0005194749019121147,-0.000138872807149526,-9.133942635686232e-05,-3.773428955994307e-06,9.230398794379813e-05,4.426527949390191e-05,2.9902640030830868e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.008092273696425322,0.006286975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.001079932265225919,0.003123970773184383,0.4157688704430051,0.003805636576634898,1.7187935446054653e-05,0.002055032615974797,0.0018999860773521032,0.002700000000000058,0.02000000000000135,240,123,0.8820740026241334,0.5317133926475432,0.0015682451846873568,0.0015682451846873579,0.0024000000000002387,0.001970000000000036,0.0014064727948969484,0.005466470938029243,-0.8766764863161457,False,False,False,True,False,False,0.9426419466975666,0.7719298245614035,0.7719298245614035,0.939426523297491,-4.0572897373928716e-05,-8.83267474299975e-06,-8.83267474299975e-06,-3.1930337833141305e-05,3452.0,57.0,57.0,2790.0,9.937415488364046e-07,1.4154290684443811e-05,1.4154290684443811e-05,1.1779850225056339e-06,True,True,True,0.0004976975957138652,False,False,True,False,False
811,0,e142_cell_clip_cf988203,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,excess_per_reward,8,1,1,0.25,0.0006318733009858746,0.000218334545020337,-4.0207650424339825e-05,-1.4000259196400577e-05,1.1102230246251565e-16,-3.880173234427353e-05,-3.356403278031994e-05,-2.620956109189443e-05,-4.0529300808778146e-05,-6.704174816407615e-06,1.1102230246251565e-16,-4.1291918119856774e-05,-1.7325699923631532e-06,1.1102230246251565e-16,-4.1291918119856774e-05,-3.880173234427353e-05,3,1,1713,-0.0005079067414788863,-0.0001439477100763087,-8.805236296519081e-05,-3.773428955994307e-06,9.230398794379813e-05,4.426527949390191e-05,2.9902640030830868e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.008066559410711037,0.006286975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.0010662859337277726,0.003095420149405222,0.4157688704430051,0.003791990245136752,1.7111402550819758e-05,0.0019706185625852895,0.0017825428303397425,0.0026742857142857714,0.02000000000000135,240,123,0.9002021336088002,0.48146428532763436,0.0013530002978058868,0.0013530002978058876,0.0024000000000002387,0.001970000000000036,0.0012537257548601993,0.004949866901673373,-0.8948468243275073,False,False,False,True,False,False,0.9510428736964078,0.8070175438596491,0.8070175438596491,0.9480286738351255,-4.103348003549223e-05,-1.0011192359650599e-05,-1.0011192359650599e-05,-3.2442488231298643e-05,3452.0,57.0,57.0,2790.0,-1.2561553476299741e-07,1.278055137225739e-05,1.278055137225739e-05,2.1743052341012618e-07,True,True,True,0.0004132835423243579,False,False,True,False,False
811,0,e142_cell_clip_cf988203,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,low_reward_excess,8,1,1,0.25,0.0006318733009858746,0.000218334545020337,-4.0207650424339825e-05,-1.4000259196400577e-05,1.1102230246251565e-16,-3.880173234427353e-05,-3.356403278031994e-05,-2.620956109189443e-05,-4.0529300808778146e-05,-6.704174816407615e-06,1.1102230246251565e-16,-4.1291918119856774e-05,-1.7325699923631532e-06,1.1102230246251565e-16,-4.1291918119856774e-05,-3.880173234427353e-05,3,1,1749,-0.0005079067414788863,-0.0001439477100763087,-8.805236296519081e-05,-3.773428955994307e-06,9.230398794379813e-05,4.426527949390191e-05,2.9902640030830868e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.008066559410711037,0.006286975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.0010662859337277726,0.003095420149405222,0.4157688704430051,0.003791990245136752,1.7111402550819758e-05,0.0019706185625852895,0.0017825428303397425,0.0026742857142857714,0.02000000000000135,240,123,0.9002021336088002,0.48146428532763436,0.0013530002978058868,0.0013530002978058876,0.0024000000000002387,0.001970000000000036,0.0012537257548601993,0.004949866901673373,-0.8948468243275073,False,False,False,True,False,False,0.9510428736964078,0.8070175438596491,0.8070175438596491,0.9480286738351255,-4.103348003549223e-05,-1.0011192359650599e-05,-1.0011192359650599e-05,-3.2442488231298643e-05,3452.0,57.0,57.0,2790.0,-1.2561553476299741e-07,1.278055137225739e-05,1.278055137225739e-05,2.1743052341012618e-07,True,True,True,0.0004132835423243579,False,False,True,False,False
806,0,e142_cell_clip_050f3524,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,excess_per_reward,3,1,0,0.5,0.0006318733009858746,6.099664468426422e-05,-4.019080997363922e-05,-1.3983418745699971e-05,1.1102230246251565e-16,-3.87532967867088e-05,-3.351559722275521e-05,-2.4351164026548133e-05,-4.049219733359699e-05,-6.66707134122646e-06,1.1102230246251565e-16,-4.13269358002788e-05,-1.7675876727851758e-06,1.1102230246251565e-16,-4.13269358002788e-05,-3.87532967867088e-05,3,1,1708,-0.0005282721810763945,-0.00015226073411667151,-9.369483899010489e-05,-7.523958144906029e-06,9.230398794379813e-05,4.239001489944605e-05,2.8718760867675155e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.008117987982139608,0.006296975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.0010922586239730853,0.0031530113294838897,0.4157688704430051,0.003817962935382065,1.7249554593081437e-05,0.002128045333068025,0.00199231942242089,0.002725714285714343,0.02000000000000135,240,123,0.8706026937084202,0.5625889888987596,0.001736704448200265,0.0017367044482002663,0.0024000000000002387,0.0019800000000000356,0.0015510941269598591,0.005783898619813212,-0.8651586710418859,False,False,False,True,False,False,0.9382966396292005,0.7368421052631579,0.7368421052631579,0.9344086021505377,-4.0226387694429156e-05,-7.893413569524034e-06,-7.893413569524034e-06,-3.1577383130486625e-05,3452.0,57.0,57.0,2790.0,1.50697582524718e-06,1.6101670570938553e-05,1.6101670570938553e-05,1.8845378771029018e-06,True,True,True,0.0005707103128070933,False,False,True,False,False
806,0,e142_cell_clip_050f3524,transfer_budget_clip,cell_clip,10,e140_score_top_local_25c44401,75,-1.3973289434643377e-05,0.0006318733009858686,1.6103092910554946e-05,low_reward_excess,3,1,0,0.5,0.0006318733009858746,6.099664468426422e-05,-4.019080997363922e-05,-1.3983418745699971e-05,1.1102230246251565e-16,-3.87532967867088e-05,-3.351559722275521e-05,-2.4351164026548133e-05,-4.049219733359699e-05,-6.66707134122646e-06,1.1102230246251565e-16,-4.13269358002788e-05,-1.7675876727851758e-06,1.1102230246251565e-16,-4.13269358002788e-05,-3.87532967867088e-05,3,1,1744,-0.0005282721810763945,-0.00015226073411667151,-9.369483899010489e-05,-7.523958144906029e-06,9.230398794379813e-05,4.239001489944605e-05,2.8718760867675155e-05,0.0012309635877555882,0.2222222222222222,0.9166666666666666,True,0.008117987982139608,0.006296975742043666,True,True,True,False,False,True,False,True,False,False,False,False,True,True,True,True,False,True,0.0010922586239730853,0.0031530113294838897,0.4157688704430051,0.003817962935382065,1.7249554593081437e-05,0.002128045333068025,0.00199231942242089,0.002725714285714343,0.02000000000000135,240,123,0.8706026937084202,0.5625889888987596,0.001736704448200265,0.0017367044482002663,0.0024000000000002387,0.0019800000000000356,0.0015510941269598591,0.005783898619813212,-0.8651586710418859,False,False,False,True,False,False,0.9382966396292005,0.7368421052631579,0.7368421052631579,0.9344086021505377,-4.0226387694429156e-05,-7.893413569524034e-06,-7.893413569524034e-06,-3.1577383130486625e-05,3452.0,57.0,57.0,2790.0,1.50697582524718e-06,1.6101670570938553e-05,1.6101670570938553e-05,1.8845378771029018e-06,True,True,True,0.0005707103128070933,False,False,True,False,False
