pred_index,filter,n_scenarios,tag,strategy,source,mask_name,alpha,local_delta,mean_pred_delta,p90_pred_delta,p95_pred_delta,mean_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate
1,broad,3452,e144_control_e142,control_e142,,none,,-3.6874173200418525e-05,-4.781231237607057e-05,-2.3645886854877152e-05,-1.940471301553773e-05,-3.250161237602204e-05,-8.335186854828626e-06,-4.0940130154892034e-06,0.985225955967555
1,tight,2790,e144_control_e142,control_e142,,none,,-3.6874173200418525e-05,-4.1886192285650434e-05,-2.3382680772283002e-05,-1.9598271053464763e-05,-2.6575492285601906e-05,-8.071980772234473e-06,-4.2875710534162355e-06,0.9842293906810036
1,e101_order,57,e144_control_e142,control_e142,,none,,-3.6874173200418525e-05,-2.9690290653840194e-05,-1.9923486812247183e-05,-1.9073042536085248e-05,-1.4379590653791665e-05,-4.612786812198656e-06,-3.7623425360367202e-06,1.0
1,e101_sensor,57,e144_control_e142,control_e142,,none,,-3.6874173200418525e-05,-2.9690290653840194e-05,-1.9923486812247183e-05,-1.9073042536085248e-05,-1.4379590653791665e-05,-4.612786812198656e-06,-3.7623425360367202e-06,1.0
2,broad,3452,e144_control_e143,control_e143,,none,,-3.575874899786058e-05,-4.695264962245596e-05,-2.330889666856321e-05,-1.9721721048833606e-05,-3.164194962240743e-05,-7.998196668514682e-06,-4.4110210487850775e-06,0.9875434530706837
2,tight,2790,e144_control_e143,control_e143,,none,,-3.575874899786058e-05,-4.109397705628362e-05,-2.3065067590746158e-05,-2.001654495944204e-05,-2.5783277056235088e-05,-7.754367590697631e-06,-4.705844959393513e-06,0.9867383512544803
2,e101_order,57,e144_control_e143,control_e143,,none,,-3.575874899786058e-05,-2.8441901275075446e-05,-1.9503762696735076e-05,-1.8679614796225585e-05,-1.3131201275026914e-05,-4.193062696686548e-06,-3.3689147961770574e-06,1.0
2,e101_sensor,57,e144_control_e143,control_e143,,none,,-3.575874899786058e-05,-2.8441901275075446e-05,-1.9503762696735076e-05,-1.8679614796225585e-05,-1.3131201275026914e-05,-4.193062696686548e-06,-3.3689147961770574e-06,1.0
3,broad,3452,e143_q2s3_6c7d8202,active_boundary_refine,,q2s3,,-3.557441673340822e-05,-4.617716268057074e-05,-2.3325167115231343e-05,-2.0215613987160456e-05,-3.086646268052221e-05,-8.014467115182814e-06,-4.904913987111929e-06,0.9913093858632677
3,tight,2790,e143_q2s3_6c7d8202,active_boundary_refine,,q2s3,,-3.557441673340822e-05,-4.0573670440522475e-05,-2.3092760517563674e-05,-2.059504579849322e-05,-2.5262970440473948e-05,-7.782060517515145e-06,-5.284345798444694e-06,0.9913978494623656
3,e101_order,57,e143_q2s3_6c7d8202,active_boundary_refine,,q2s3,,-3.557441673340822e-05,-2.823559551213937e-05,-1.9398363725488652e-05,-1.861459789411745e-05,-1.2924895512090843e-05,-4.0876637254401245e-06,-3.303897894068924e-06,1.0
3,e101_sensor,57,e143_q2s3_6c7d8202,active_boundary_refine,,q2s3,,-3.557441673340822e-05,-2.823559551213937e-05,-1.9398363725488652e-05,-1.861459789411745e-05,-1.2924895512090843e-05,-4.0876637254401245e-06,-3.303897894068924e-06,1.0
4,broad,3452,e143_q2s3_fece8117,active_boundary_refine,,q2s3,,-3.560647669365036e-05,-4.623164808092696e-05,-2.334267824845738e-05,-2.021217364687001e-05,-3.0920948080878435e-05,-8.031978248408853e-06,-4.901473646821483e-06,0.9913093858632677
4,tight,2790,e143_q2s3_fece8117,active_boundary_refine,,q2s3,,-3.560647669365036e-05,-4.061769262663274e-05,-2.3083361015138664e-05,-2.061070711673257e-05,-2.5306992626584215e-05,-7.772661015090135e-06,-5.300007116684044e-06,0.9913978494623656
4,e101_order,57,e143_q2s3_fece8117,active_boundary_refine,,q2s3,,-3.560647669365036e-05,-2.827147720966585e-05,-1.9416695225065022e-05,-1.862590594863978e-05,-1.2960777209617327e-05,-4.105995225016496e-06,-3.3152059485912553e-06,1.0
