prior,expected_delta_e144_minus_e95,expected_delta_total,expected_lb_if_full_test_prior,prefers_e144,hard_support_cells,hard_support_flip_share,mean_support_probability,top20_support_rate,fine_tail_hard_support_rate,body_hard_support_rate
global,-4.986551502850409e-05,-0.08726465129988216,0.5762414642849715,True,71,0.38487241798298943,0.48142942942942946,0.4,0.375,0.38509316770186336
prev_beta,-2.1732090271264386e-05,-0.038031157974712675,0.5762695977097287,True,78,0.4377278250303782,0.46460951485058927,0.45,0.2916666666666667,0.4409937888198758
nearest_hard085,-2.167376899676011e-05,-0.03792909574433019,0.5762696560310032,True,81,0.45595382746051194,0.4564864864864865,0.55,0.2916666666666667,0.45962732919254656
conflict_flat,-2.0485735656536937e-05,-0.03585003739893964,0.5762708440643435,True,90,0.5106318347509133,0.46271603966803315,0.5,0.2916666666666667,0.515527950310559
subject,-1.9888578980903016e-05,-0.03480501321658028,0.576271441221019,True,92,0.5072904009720548,0.4636175050648735,0.5,0.4166666666666667,0.5093167701863354
both_distance_beta,-1.571952809443564e-05,-0.02750917416526237,0.5762756102719055,True,76,0.4255771567436225,0.46046175230757985,0.5,0.2916666666666667,0.42857142857142855
next_beta,-1.3299040230471206e-05,-0.02327332040332461,0.5762780307597695,True,75,0.4195018226002449,0.4591353987653003,0.55,0.2916666666666667,0.422360248447205
both_equal_beta,-1.2853752418366536e-05,-0.022494066732141438,0.5762784760475816,True,88,0.49848116646415747,0.45415101368131805,0.55,0.2916666666666667,0.5031055900621118
nearest_beta,-1.2197928033808086e-05,-0.02134637405916415,0.5762791318719661,True,85,0.48025516403402363,0.45502428265586153,0.55,0.2916666666666667,0.484472049689441
edge_endpoint_beta,-1.2197928033808086e-05,-0.02134637405916415,0.5762791318719661,True,85,0.48025516403402363,0.45502428265586153,0.55,0.2916666666666667,0.484472049689441
