prior,outcome,rank,direction,group_kind,group,cells,world_rate,support_rate_lift,delta_shift_per_all,conditional_delta_per_all,unconditional_delta_per_all
global,breakthrough_win,1,credit,component,inherited_e143_body,161,0.662544,0.021231564046523266,-3.90660778455475e-05,-8.742645313463818e-05,-4.836037528909068e-05
global,breakthrough_win,2,credit,target,S4,21,0.662544,0.0220656586134369,-5.295758067216682e-06,-4.163865074017058e-05,-3.63428926729539e-05
global,breakthrough_win,3,credit,target_component,S4:inherited_e143_body,21,0.662544,0.0220656586134369,-5.295758067216682e-06,-4.163865074017058e-05,-3.63428926729539e-05
global,breakthrough_win,4,credit,target,Q3,56,0.662544,0.021258045621552202,-1.3605149197808028e-05,-2.3301756417987938e-05,-9.69660722017991e-06
global,breakthrough_win,5,credit,target_component,Q3:inherited_e143_body,56,0.662544,0.021258045621552202,-1.3605149197808028e-05,-2.3301756417987938e-05,-9.69660722017991e-06
global,breakthrough_win,6,credit,target,Q1,38,0.662544,0.02222973703911313,-9.654057228455582e-06,-1.9997290242806567e-05,-1.0343233014350984e-05
global,breakthrough_win,7,credit,target_component,Q1:inherited_e143_body,38,0.662544,0.02222973703911313,-9.654057228455582e-06,-1.9997290242806567e-05,-1.0343233014350984e-05
global,breakthrough_win,8,credit,target,S3,47,0.662544,0.011177385456856703,-5.292850934141663e-06,-1.0786820728321074e-05,-5.4939697941794115e-06
global,clean_win,1,credit,target,S4,21,0.064664,-0.01886667081411314,4.528000995395221e-06,-3.181489167755868e-05,-3.63428926729539e-05
global,clean_win,2,credit,target_component,S4:inherited_e143_body,21,0.064664,-0.01886667081411314,4.528000995395221e-06,-3.181489167755868e-05,-3.63428926729539e-05
global,clean_win,3,credit,component,inherited_e143_body,161,0.064664,-0.01976546337647528,3.636845261276923e-05,-1.1991922676321446e-05,-4.836037528909068e-05
global,clean_win,4,credit,component,e144_fine_tail_delta,24,0.064664,-2.8706874510342484e-05,1.1810828333703807e-09,-1.448729196314375e-06,-1.4499102791477454e-06
global,clean_win,5,credit,target_component,S3:e144_fine_tail_delta,24,0.064664,-2.8706874510342484e-05,1.1810828333703807e-09,-1.448729196314375e-06,-1.4499102791477454e-06
global,clean_win,6,credit,target,Q1,38,0.064664,-0.021356633610501496,9.274880882234166e-06,-1.068352132116818e-06,-1.0343233014350984e-05
global,clean_win,7,credit,target_component,Q1:inherited_e143_body,38,0.064664,-0.021356633610501496,9.274880882234166e-06,-1.068352132116818e-06,-1.0343233014350984e-05
global,clean_win,8,credit,target,S3,47,0.064664,-0.008869476331991755,4.757483055628296e-06,-7.364867385511152e-07,-5.4939697941794115e-06
global,micro_win,1,credit,target,S4,21,0.018352,-0.024298041931332337,5.831530063527785e-06,-3.0511362609426114e-05,-3.63428926729539e-05
global,micro_win,2,credit,target_component,S4:inherited_e143_body,21,0.018352,-0.024298041931332337,5.831530063527785e-06,-3.0511362609426114e-05,-3.63428926729539e-05
global,micro_win,3,credit,component,inherited_e143_body,161,0.018352,-0.024741460271732407,4.552428690004213e-05,-2.8360883890485527e-06,-4.836037528909068e-05
global,micro_win,4,credit,component,e144_fine_tail_delta,24,0.018352,0.007490579192095281,-3.081838296212696e-07,-1.758094108769015e-06,-1.4499102791477454e-06
global,micro_win,5,credit,target_component,S3:e144_fine_tail_delta,24,0.018352,0.007490579192095281,-3.081838296212696e-07,-1.758094108769015e-06,-1.4499102791477454e-06
global,micro_win,6,credit,target,S3,47,0.018352,-0.008015187668107382,6.05167583912754e-06,5.577060449481279e-07,-5.4939697941794115e-06
global,micro_win,7,credit,target,Q1,38,0.018352,-0.025759210755747164,1.118685724245513e-05,8.436242281041446e-07,-1.0343233014350984e-05
