projection_mode,source_family,rows,noncollinear,relaxed_structural,budget_ok,post101_ok,gate_strict_actionable,strict_e72_post101,e152_submit,best_all_minus_base,best_post101_p95,best_e72_gap,max_candidate_resid_ratio_e144
e144_plus_orth_full,e137,120,120,18,0,18,0,0,0,-4.5546767522663956e-05,-3.582004455736297e-06,9.92507154896989e-05,0.9630222206099922
e144_plus_orth_top100,e137,120,120,26,0,26,0,0,0,-3.758756525340523e-05,-3.9113239409580215e-06,4.11325873119412e-05,0.9511113314298798
e95_plus_orth_full,e137,120,120,0,0,0,0,0,0,-3.583817631291897e-05,,0.00011240453934438467,1.0000000000000002
e144_plus_orth_full,e138,120,120,4,120,40,0,0,0,-2.9216146593236125e-05,-1.0035339254058791e-05,-2.6283583639827865e-05,0.912420773454368
e144_plus_orth_top100,e138,120,120,15,120,41,0,0,0,-2.895148427239924e-05,-9.514270066733585e-06,-2.62835836398283e-05,0.8738489758259392
e144_plus_orth_top50,e137,120,120,27,0,27,0,0,0,-2.8788196759887974e-05,-4.243275176853384e-06,2.9411384772955922e-05,0.9361208711882473
e95_plus_orth_top100,e137,120,120,0,0,0,0,0,0,-2.7175018557090702e-05,,4.185450124047645e-05,0.9998824716864839
e144_plus_orth_top100,e139,120,120,18,120,83,0,0,0,-2.6113025685114977e-05,-1.2274438458796876e-05,-1.7170579621369943e-05,0.8332171976224767
e144_plus_orth_top50,e138,120,120,24,120,54,0,0,0,-2.540182750410125e-05,-6.470054678896683e-06,-2.502322114992183e-05,0.8577888516386453
e144_plus_orth_top50,e139,120,120,23,120,92,0,0,0,-2.515255211832379e-05,-1.0367357019250308e-05,2.6020852139652106e-18,0.8478491063578507
e144_plus_orth_full,e139,120,120,18,120,73,0,0,0,-2.4120685830797406e-05,-9.893465307941678e-06,-1.7170579621369943e-05,0.8935798199666556
e95_plus_orth_top100,e138,120,120,0,120,0,28,0,0,-2.155695058925211e-05,,-2.6283583639827865e-05,0.9996941153071237
e95_plus_orth_full,e138,120,120,0,8,0,8,0,0,-1.9992920838651784e-05,,-2.7170747353623837e-06,1.0000000000000002
e95_plus_orth_top50,e137,120,120,0,0,0,0,0,0,-1.900872796256614e-05,,3.0165192710391664e-05,0.9999507917365449
e95_plus_orth_top100,e139,120,120,0,120,30,29,0,0,-1.8602102257236908e-05,-7.4155862556522505e-06,-1.7170579621369727e-05,0.9928191891202091
e95_plus_orth_top50,e139,120,120,0,120,22,36,0,0,-1.6140907806660998e-05,-3.412822983598036e-06,2.8189256484623115e-18,0.9988555801408879
e95_plus_orth_top50,e138,120,120,0,120,0,21,0,0,-1.5668439116711674e-05,,-2.502322114992161e-05,0.9999998436124239
e144_plus_orth_top100,e140,120,120,65,0,21,0,0,0,-1.5069569558989748e-05,-2.0660951007196515e-06,1.1385414581960816e-05,0.8872269480773355
e144_plus_orth_full,e140,120,120,51,0,10,0,0,0,-1.4872681700084378e-05,-6.593818293313043e-07,1.1385414581960816e-05,0.8363824881854875
e95_plus_orth_full,e139,120,120,0,0,18,0,0,0,-1.4051463858466562e-05,-3.730263427634723e-06,1.355002004773927e-06,1.0000000000000002
e144_plus_orth_top50,e140,120,120,60,0,9,0,0,0,-1.3560195917694529e-05,-1.1951877784128309e-06,1.1385414581960816e-05,0.7437668555168244
e95_plus_orth_top100,e140,120,120,0,0,0,0,0,0,-6.636072353627398e-06,,1.1385414581961033e-05,0.9996985844092048
e95_plus_orth_full,e140,120,120,0,0,0,0,0,0,-5.4304076917421895e-06,,1.2064375684151321e-05,1.0000000000000002
e95_plus_orth_top50,e140,120,120,0,0,0,0,0,0,-4.245736201169414e-06,,1.1385414581961033e-05,1.0
