gate_class,component,fail_count,rows,fail_rate
all_four,fail_action_cos,0,10,0.0
all_four,fail_action_active_q2s3,0,10,0.0
all_four,fail_action_e72,0,10,0.0
all_four,fail_action_material,0,10,0.0
all_four,fail_relaxed,0,10,0.0
all_four,fail_budget,0,10,0.0
all_four,fail_post101,0,10,0.0
missing_actionable,fail_action_cos,316,372,0.8494623655913979
missing_actionable,fail_action_active_q2s3,293,372,0.7876344086021505
missing_actionable,fail_action_e72,0,372,0.0
missing_actionable,fail_action_material,0,372,0.0
missing_actionable,fail_relaxed,0,372,0.0
missing_actionable,fail_budget,0,372,0.0
missing_actionable,fail_post101,0,372,0.0
missing_relaxed,fail_relaxed,37,37,1.0
missing_relaxed,fail_action_cos,0,37,0.0
missing_relaxed,fail_action_active_q2s3,0,37,0.0
missing_relaxed,fail_action_e72,0,37,0.0
missing_relaxed,fail_action_material,0,37,0.0
missing_relaxed,fail_budget,0,37,0.0
missing_relaxed,fail_post101,0,37,0.0
other,fail_relaxed,7039,7039,1.0
other,fail_post101,6802,7039,0.9663304446654354
other,fail_action_cos,3346,7039,0.47535161244494956
other,fail_action_active_q2s3,796,7039,0.11308424492115357
other,fail_action_e72,0,7039,0.0
other,fail_action_material,0,7039,0.0
other,fail_budget,0,7039,0.0
