prior,outcome,rank,direction,group_kind,group,segments,unique_cells,world_rate,support_rate_lift,delta_shift_per_all,conditional_delta_per_all,unconditional_delta_per_all
global,breakthrough_win,1,credit,component,inherited_e144_body,185,185,0.63914,0.01981947217840868,-4.0982288776167795e-05,-9.075099777292587e-05,-4.9768708996758074e-05
global,breakthrough_win,2,credit,target,S4,55,34,0.63914,0.00729739637638066,-5.55734560512804e-06,-4.396423797287769e-05,-3.840689236774965e-05
global,breakthrough_win,3,credit,target_component,S4:inherited_e144_body,21,21,0.63914,0.023085689013659594,-5.540565363278299e-06,-4.1933652321938395e-05,-3.6393086958660096e-05
global,breakthrough_win,4,credit,target_component,Q3:inherited_e144_body,56,56,0.63914,0.02256867299362092,-1.4443950715917394e-05,-2.417731222182617e-05,-9.733361505908777e-06
global,breakthrough_win,5,credit,target,Q3,151,95,0.63914,0.009551833880875105,-1.5375516675422513e-05,-2.397240414072175e-05,-8.596887465299238e-06
global,breakthrough_win,6,credit,target_component,Q1:inherited_e144_body,38,38,0.63914,0.02352806528674206,-1.0217902638813802e-05,-2.0458621367491277e-05,-1.0240718728677475e-05
global,breakthrough_win,7,credit,target,Q1,108,70,0.63914,0.009436805015188288,-1.0386712362386182e-05,-1.9111622228496328e-05,-8.724909866110147e-06
global,breakthrough_win,8,credit,target_component,S3:inherited_e144_body,47,47,0.63914,0.011621123491074137,-5.320465359880821e-06,-1.0895590011158465e-05,-5.575124651277645e-06
global,breakthrough_win,9,credit,target,S3,103,56,0.63914,0.0063851678909554455,-5.353461184280297e-06,-9.471766357713106e-06,-4.118305173432809e-06
global,breakthrough_win,10,credit,target_component,S4:e154_adjustment_on_e144_body,21,21,0.63914,-0.004929599163757237,9.807774349024298e-09,-1.1568752050308604e-06,-1.1666829793798847e-06
global,clean_win,1,credit,target,S4,55,34,0.065635,-0.0055800798077522695,4.274236502529888e-06,-3.4132655865219764e-05,-3.840689236774965e-05
global,clean_win,2,credit,target_component,S4:inherited_e144_body,21,21,0.065635,-0.01767681644883151,4.242435947719511e-06,-3.2150651010940585e-05,-3.6393086958660096e-05
