pair_group,new,base,file_new,file_base,public_new,public_base,actual_public_delta,moved_cells,actual_abs_delta,actual_delta_vs_e95_edge_abs_ratio,moved_rows,targets_moved,all_support_delta,all_adverse_delta,total_swing,top1_swing,top3_swing,top5_swing,top10_swing,top25_swing,top1_swing_share,top5_swing_share,cells_for_2e6_guard,cells_for_e95_edge,cells_for_actual_abs_delta,top1_over_actual_abs_delta,top5_over_actual_abs_delta,actual_abs_as_total_swing_share,one_cell_can_flip_actual_delta,five_cells_can_flip_actual_delta,expected_delta_global,cells_to_flip_expected_global,support_prob_mean_global,support_prob_swing_weighted_global,expected_delta_subject,cells_to_flip_expected_subject,support_prob_mean_subject,support_prob_swing_weighted_subject,expected_delta_nearest_hard085,cells_to_flip_expected_nearest_hard085,support_prob_mean_nearest_hard085,support_prob_swing_weighted_nearest_hard085,expected_delta_focus_mean,cells_to_flip_expected_focus_mean,support_prob_mean_focus_mean,support_prob_swing_weighted_focus_mean,actual_focus_sign_match
known_transition,mixmin,a2c8,submission_mixmin_0c916bb4.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.5763066405,0.577439321,-0.0011326804999999274,1256,0.0011326804999999274,73.97966781400768,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.0225491143600051,0.02306508564223222,0.04561420000223732,4.6919142857149344e-05,0.00014075742857144394,0.00023459571428573764,0.0004691914285714666,0.0011729785714286373,0.0010286082591571925,0.005143041295785764,1,1,25.0,0.041423104624077445,0.2071155231203792,0.024831751953215683,False,False,-0.00032022276598878596,7,0.5088163481953291,0.5126760615570148,-0.00018495406283631138,4,0.5062138868834889,0.5097105660940704,-8.998746757209074e-05,2,0.5022841472045294,0.507628613648131,-0.00019838809879906282,5,0.5057714607611158,0.510005080433072,True
known_transition,raw05,a2c8,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.5775263072,0.577439321,8.698620000002766e-05,1750,8.698620000002766e-05,5.681399282856281,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.0034576835916985075,0.005073189639763456,0.008530873231461962,5.9132061899348625e-05,0.00013516709283945306,0.00020117696995830406,0.00033506732686593187,0.0006800768859604753,0.006931536818677469,0.023582224761746665,1,1,2.0,0.679786700641364,2.3127458143733155,0.010196634932895441,False,True,0.0009941384396554194,43,0.48476444444444444,0.47815166037920326,0.00093978681893631,40,0.4911696935537631,0.48452282769636146,0.0008718303798105831,36,0.49088000000000004,0.49248876943314673,0.0009352518794674375,40,0.4889380459994025,0.4850544191695704,True
known_transition,e95,mixmin,submission_e95_hardtail_541e3973.csv,submission_mixmin_0c916bb4.csv,0.5762913298,0.5763066405,-1.5310700000048527e-05,550,1.5310700000048527e-05,1.0000000000031695,250,"Q2,S1,S2,S3",-0.0028465284426808014,0.002701749980387862,0.005548278423068663,4.647677521129553e-05,0.00013577595217172412,0.00022118534326226084,0.0004229615849544032,0.0009127675126454622,0.008376792162782266,0.039865581067924635,1,1,1.0,3.035574807889138,14.44645530652157,0.0027595406777694525,True,True,-9.736026644902939e-05,3,0.5087797979797979,0.5045006817247554,-0.0001675811665441456,4,0.5188536365510392,0.5171570220776748,-0.00016868653134928025,4,0.5258141414141414,0.517356248706342,-0.00014454265478081838,4,0.5178158586483261,0.5130046508362573,True
known_transition,e101,e95,submission_e101_q2s3tail_177569bc.csv,submission_e95_hardtail_541e3973.csv,0.576300366,0.5762913298,9.036200000034356e-06,50,9.036200000034356e-06,0.5901885609432852,48,"Q2,S3",-9.667868940905586e-05,0.00021167672073691307,0.0003083554101459689,1.1619193802823402e-05,3.394398804293104e-05,5.529633581556495e-05,0.00010574039623860063,0.00022819187816136666,0.03768117380305772,0.17932662763850596,1,2,1.0,1.2858495609635938,6.119423631100984,0.02930449637889217,True,True,4.894988444062252e-05,5,0.49800000000000005,0.5277249269576918,4.810811351756649e-05,5,0.4984244279529994,0.5304547993560957,4.213581353232282e-05,4,0.5147333333333334,0.5498230341550782,4.639793716350395e-05,5,0.5037192537621109,0.5360009201562888,True
known_transition,e101,mixmin,submission_e101_q2s3tail_177569bc.csv,submission_mixmin_0c916bb4.csv,0.576300366,0.5763066405,-6.2745000000141715e-06,550,6.2745000000141715e-06,0.4098114390598844,250,"Q2,S1,S2,S3",-0.002634851721943888,0.0026050712909788053,0.005239923012922693,3.485758140847213e-05,0.00010183196412879311,0.00016588900744669589,0.0003172211887158026,0.0006845756344840956,0.006652307929430718,0.03165867266323963,1,1,1.0,5.555435717331006,26.43860187207287,0.001197441257159696,True,True,-4.841038200840615e-05,2,0.5087797979797979,0.5063970723316349,-0.00011947305302657835,4,0.5188536365510392,0.5199588500224365,-0.00012655071781695666,4,0.5258141414141414,0.5213095692549373,-9.814471761731373e-05,3,0.5178158586483261,0.5158884972030029,True
known_transition,e72,mixmin,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,submission_mixmin_0c916bb4.csv,0.5764077772,0.5763066405,0.00010113670000000408,893,0.00010113670000000408,6.605622211917423,249,"Q1,Q2,Q3,S1,S2,S3,S4",-0.004353276921864102,0.002330944722071791,0.006684221643935894,2.877034127193934e-05,8.560960479310774e-05,0.00014145939101135077,0.0002731090571800102,0.0006043093974951786,0.004304217125720325,0.02116318077807706,1,1,4.0,0.28446984400260417,1.3986949446773038,0.015130662235259362,False,True,-0.0010359172638779884,50,0.5038745800671893,0.5037029238855787,-0.0010184884545029705,49,0.5006366399981645,0.5010954685521922,-0.000989178496299794,47,0.4981174567624736,0.49671052146867245,-0.001014528071560251,49,0.5008762256092758,0.5005029713021478,False
known_transition,e72,e95,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,submission_e95_hardtail_541e3973.csv,0.5764077772,0.5762913298,0.0001164474000000526,1047,0.0001164474000000526,7.6056222119205925,250,"Q1,Q2,Q3,S1,S2,S3,S4",-0.005351321176518762,0.003473767439019385,0.008825088615538147,2.3430889985321467e-05,6.991826376572823e-05,0.00011593664597971458,0.00023024091424298665,0.000570611229480061,0.0026550316949868575,0.013137165079066445,1,1,6.0,0.20121436790611796,0.9956138649696104,0.013195040307586956,False,False,-0.0009385569974289616,42,0.5046545686087234,0.499975085652926,-0.0008509072879588276,38,0.4981787542271769,0.49004320697288517,-0.0008204919649505158,37,0.49647246099968156,0.4865967460552282,-0.0008699854167794351,39,0.49976859461186063,0.4922050128936798,False
pre_e95_live_vs_mixmin,e85,mixmin,submission_e85_inverse_conflict_pruned_58b23ed1.csv,submission_mixmin_0c916bb4.csv,,0.5763066405,,539,,,250,"S1,S2,S3",-0.002447650144754205,0.0023004336077721028,0.004748083752526308,4.315551190790988e-05,0.00012841440718966163,0.00021218908651702653,0.0004096635857700148,0.0008920067602773899,0.009089037632276005,0.044689415262341846,1,1,,,,,,,-0.00010241965848532711,3,0.5069470212327355,0.5060680037454998,-0.00015949536830434026,4,0.517226448346247,0.5180887920874586,-0.00015812258867321877,4,0.5243290043290043,0.5177996692112266,-0.0001400125384876287,4,0.5161674913026622,0.5139854883480617,
pre_e95_live_vs_mixmin,e86,mixmin,submission_e86_e85_consensus_a3f7c96f.csv,submission_mixmin_0c916bb4.csv,,0.5763066405,,579,,,250,"Q2,S1,S2,S3",-0.003141067824157256,0.0029230775231812297,0.006064145347338486,4.6639420421308524e-05,0.0001387811952700783,0.00022931893464730855,0.00044273538566290405,0.0009640177226956142,0.007691012953998252,0.03781554061001442,1,1,,,,,,,-0.00015101046000326975,4,0.5084475148723853,0.5069284799602796,-0.00022120318150625325,5,0.5180167915808181,0.5185035193899974,-0.00022090339561664965,5,0.5246286701208981,0.5184540835878468,-0.00019770567904205756,5,0.5170309921913673,0.514628694312708,
pre_e95_live_vs_mixmin,e89,mixmin,submission_e89_e72decontam_00d7807f.csv,submission_mixmin_0c916bb4.csv,,0.5763066405,,539,,,250,"S1,S2,S3",-0.002742064307972262,0.0026509499139219144,0.0053930142218941764,4.315551190790988e-05,0.00012841440718966163,0.00021218908651702653,0.00040966358577001273,0.0008920067602773873,0.008002113499480532,0.03934517466236161,1,1,,,,,,,-9.002922896718403e-05,3,0.5060399917542774,0.5082462293092915,-0.00016055810613494858,4,0.5163194188677889,0.5213240507771892,-0.00016162741275971287,4,0.5234219748505462,0.5215223270250847,-0.0001374049159539485,4,0.5152604618242043,0.5170308690371885,
