source_rank,source_kind,source_path,source_file,source_family,source_known_public_lb,source_known_delta_vs_e95,source_e164_broad_edge_score,source_e164_expected_delta_vs_e95,source_bad_span_energy,source_max_bad_cos,source_geometry_health_gate,source_move_norm_vs_e95,scale,scaled_expected_delta_focus_mean,scaled_moved_cells,scaled_moved_rows,scaled_targets_moved,scaled_cells_to_flip_expected,scaled_cells_for_2e6_guard,scaled_cells_for_e95_edge,scaled_top1_over_abs_expected,scaled_top5_over_abs_expected,scaled_support_prob_swing_weighted_focus_mean,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,entropy_delta_vs_e95,mean_abs_logit_move_vs_e95,max_abs_logit_move_vs_e95,q2s3_share_vs_e95,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,scaled_sensor_gate,material_gate,sensor_score,cos_bad_a2c8,cos_bad_raw05,cos_bad_stage2,cos_bad_ordinal,cos_bad_final9,cos_bad_e72,cos_bad_q2_bad,cos_bad_lejepa_bad,cos_bad_resid_bad
1,e165_health_survivor,jepa/submission_block_canvas_multifeature_k8_c0p02_all_scale1p0.csv,submission_block_canvas_multifeature_k8_c0p02_all_scale1p0.csv,jepa,,,0.0935446123665366,-0.0258809118488446,0.4507424408340974,0.2685385822251403,True,12.3594287553294,0.02,-0.0006627603113362663,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",74,1,1,0.023418742322349504,0.10428172885838526,0.4657468361940863,0.45074244083409815,0.8926540494676086,q2_bad,0.2685385822251402,0.0004762064436258277,0.00448797278250797,0.027161772667162243,0.25071858545881487,0.061661852337913936,-0.09914567450240834,-0.13768348927189444,True,True,0.025630110177693986,0.17935029875212682,0.14719398498158065,0.2534640287805287,-0.028300154520505577,0.16325455744036974,0.10870561427493343,0.2685385822251402,0.08391683357339091,0.23938867906934805
1,e165_health_survivor,jepa/submission_block_canvas_multifeature_k8_c0p02_all_scale1p0.csv,submission_block_canvas_multifeature_k8_c0p02_all_scale1p0.csv,jepa,,,0.0935446123665366,-0.0258809118488446,0.4507424408340974,0.2685385822251403,True,12.3594287553294,0.03,-0.000992048401114848,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",74,1,1,0.023468128574001986,0.10450164176546885,0.465746836194086,0.45074244083409765,0.8926540494676084,q2_bad,0.2685385822251403,0.0007134583295425442,0.006731959173761947,0.040742659000743364,0.2507185854588148,0.06166185233791355,-0.09914567450240798,-0.13768348927189458,True,True,0.02552235184317626,0.17935029875212719,0.14719398498158096,0.2534640287805287,-0.02830015452050558,0.16325455744036954,0.10870561427493299,0.2685385822251403,0.08391683357339058,0.23938867906934821
1,e165_health_survivor,jepa/submission_block_canvas_multifeature_k8_c0p02_all_scale1p0.csv,submission_block_canvas_multifeature_k8_c0p02_all_scale1p0.csv,jepa,,,0.0935446123665366,-0.0258809118488446,0.4507424408340974,0.2685385822251403,True,12.3594287553294,0.015,-0.0004975927396713036,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",74,1,2,0.023394151052500416,0.10417222596112134,0.4657468361940865,0.4507424408340978,0.8926540494676085,q2_bad,0.2685385822251404,0.00035736693781199713,0.0033659795868809773,0.02037132950037157,0.25071858545881476,0.0616618523379141,-0.099145674502409,-0.13768348927189503,True,True,0.0247005408742088,0.17935029875212685,0.14719398498158073,0.25346402878052865,-0.028300154520505518,0.16325455744036974,0.10870561427493305,0.2685385822251404,0.08391683357339012,0.2393886790693483
7,e165_health_survivor,jepa/submission_bigshot_11_jepa_multifeature_rawstack.csv,submission_bigshot_11_jepa_multifeature_rawstack.csv,jepa,,,0.0809477294176258,-0.0232783928779901,0.3988440886105009,0.1900855109955047,True,11.417966174745269,0.02,-0.0005849431491343845,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",66,1,2,0.025510813708485222,0.11310058029727794,0.455561065988101,0.39884408861050136,0.9170187527965057,a2c8,0.19008551099550505,0.00043281518665922293,0.0038984480939969098,0.026114157488338563,0.15729910346325898,0.03657384985194851,-0.08187024006203998,-0.12307070932707911,True,True,0.02333611997696509,0.19008551099550505,0.14385281709900324,0.16940171541390278,-0.06480723687548762,0.13677797723816262,0.12499274684118943,0.09819861887684725,0.022333745696374745,0.12869052589047705
7,e165_health_survivor,jepa/submission_bigshot_11_jepa_multifeature_rawstack.csv,submission_bigshot_11_jepa_multifeature_rawstack.csv,jepa,,,0.0809477294176258,-0.0232783928779901,0.3988440886105009,0.1900855109955047,True,11.417966174745269,0.03,-0.0008757024386392467,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",66,1,1,0.025560695704142124,0.11332172897249479,0.4555610659881008,0.3988440886105006,0.917018752796506,a2c8,0.19008551099550478,0.0006486325325399354,0.005847672140995364,0.039171236232507844,0.15729910346325865,0.03657384985194859,-0.08187024006204013,-0.12307070932707921,True,True,0.023245127429810216,0.19008551099550478,0.14385281709900313,0.16940171541390286,-0.06480723687548715,0.1367779772381625,0.12499274684118918,0.09819861887684721,0.02233374569637448,0.1286905258904767
8,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw1p0_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw1p0_mw1p0.csv,jepa,,,0.0795710906676015,-0.0229352647725111,0.3899827821447088,0.188714402862818,True,11.37080500858728,0.02,-0.0005774576826784929,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",65,1,2,0.02549594611155553,0.1131535955440588,0.4551471060673708,0.3899827821447089,0.9208221487511432,a2c8,0.18871440286281815,0.0004294025129441823,0.0038849148189444194,0.02576495242873067,0.15671214621095333,0.026626395415892876,-0.07443558178411443,-0.11537477524234278,True,True,0.023116547941837276,0.18871440286281815,0.13839230540619973,0.13437612297243917,-0.07798583398780709,0.12496652721742,0.12758644719923748,0.07886035663463517,0.006892712618146674,0.11366827989605925
8,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw1p0_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw1p0_mw1p0.csv,jepa,,,0.0795710906676015,-0.0229352647725111,0.3899827821447088,0.188714402862818,True,11.37080500858728,0.03,-0.0008644815002415406,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",65,1,1,0.025546231969962994,0.11337676928543888,0.4551471060673713,0.389982782144709,0.9208221487511433,a2c8,0.1887144028628183,0.000643507764698055,0.0058273722284166276,0.038647428643096005,0.15671214621095322,0.026626395415892533,-0.07443558178411407,-0.11537477524234253,True,True,0.023025631099451403,0.1887144028628183,0.13839230540619982,0.13437612297243845,-0.07798583398780756,0.12496652721741959,0.12758644719923729,0.07886035663463467,0.006892712618146611,0.11366827989605902
6,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p5_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p5_mw1p0.csv,jepa,,,0.0826437188027033,-0.0235864819748736,0.4120414744276652,0.20367386343686,True,11.49131941357587,0.02,-0.0005924151641540065,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",66,1,2,0.02552588517473924,0.11305147166862109,0.4561124873698091,0.41204147442766526,0.9111650911615722,stage2,0.20367386343686014,0.00043621912201427505,0.003924489508799049,0.026463362547946456,0.15809787484909246,0.04633361857428244,-0.08904032169853343,-0.13040541875777747,True,True,0.022948421108088132,0.1910089793390904,0.14892817948058157,0.20367386343686014,-0.0516191347564353,0.1481537985542306,0.12214135276261402,0.11711024912379796,0.03756193689664734,0.14326190384637474
6,e165_health_survivor,jepa/submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p5_mw1p0.csv,submission_jepa_multifeature_rawstack_k8_c0p02_noq2_rw0p5_mw1p0.csv,jepa,,,0.0826437188027033,-0.0235864819748736,0.4120414744276652,0.20367386343686,True,11.49131941357587,0.03,-0.0008868930962217624,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",66,1,1,0.025575666650902024,0.11327194861206384,0.4561124873698091,0.41204147442766553,0.9111650911615722,stage2,0.20367386343686028,0.0006537376152566328,0.005886734263198576,0.039695043821919684,0.15809787484909243,0.04633361857428243,-0.08904032169853289,-0.1304054187577771,True,True,0.022859172645332326,0.19100897933909014,0.1489281794805815,0.20367386343686028,-0.051619134756434974,0.14815379855423086,0.12214135276261427,0.11711024912379792,0.0375619368966478,0.14326190384637477
10,e165_health_survivor,jepa/submission_block_canvas_multifeature_k8_c0p02_all_scale0p75.csv,submission_block_canvas_multifeature_k8_c0p02_all_scale0p75.csv,jepa,,,0.0778970801633447,-0.0207369722440972,0.4942060890417638,0.3353736625871261,True,9.51811158607472,0.03,-0.0007488024481808668,1750,250,"Q1,Q2,Q3,S1,S2,S3,S4",73,1,1,0.023419613519559495,0.10522142921246602,0.46604731188891957,0.4942060890417634,0.8693447771477348,stage2,0.33537366258712575,0.0005404067834294054,0.005194085891826644,0.030689161893067807,0.25329654041484423,0.07765113970601985,-0.1028049454259848,-0.1599765580983932,True,True,0.022728713880715623,0.23602081798898783,0.2107784381938961,0.33537366258712575,-0.02072482596690639,0.14685552955843814,0.08548074743279994,0.31182506258244175,0.12274552131941804,0.2859575904723642
