pair,group_kind,target,n_cells,n_rows,expected_delta_focus_mean,abs_expected_share,swing_sum,top1_swing,support_prob_swing_weighted,mean_safe_density,e72_active_rate,context_high_rate,group,target_group,context_type,edge_like,e72_active,safe_density_bin
e174_vs_e169,target,Q1,41,41,-3.623938505290281e-06,0.9267617327844555,3.842504113506146e-05,1.9876677211164862e-06,0.5547243875128157,0.43944390777727216,0.4878048780487805,1.0,Q1,,,,,
e174_vs_e169,target,Q3,47,47,-2.3992133757360278e-06,0.6135587406273219,3.449557651729107e-05,2.190962102649114e-06,0.4875719857386193,0.4408092634568447,0.46808510638297873,1.0,Q3,,,,,
e174_vs_e169,target,S3,66,66,-2.1497260376123144e-06,0.5497565217293515,4.090881125882844e-05,1.6366906757880884e-06,0.6538585330863821,0.1830080336678268,0.015151515151515152,1.0,S3,,,,,
e174_vs_e169,target,S2,43,43,2.688032509398603e-07,0.06874194091744536,5.5499508003741705e-05,2.5269441086847192e-06,0.5805389696091318,0.47497757650609396,0.3953488372093023,1.0,S2,,,,,
e174_vs_e169,target,S1,26,26,4.344807231389765e-07,0.11111118669643862,1.8484591529715043e-05,2.387886372822025e-06,0.6187092972911126,0.4788803235122383,0.5769230769230769,1.0,S1,,,,,
e174_vs_e169,target,S4,41,41,6.764628098578265e-07,0.17299406292708713,2.0445767420636483e-05,1.3434678025598628e-06,0.4763205206518396,0.44960380946975553,0.43902439024390244,1.0,S4,,,,,
e174_vs_e169,target,Q2,71,71,2.8828072865191496e-06,0.7372298046001577,5.8718610059599675e-05,2.7034772483969875e-06,0.47237698618106644,0.1831350934105077,0.014084507042253521,1.0,Q2,,,,,
e174_vs_e169,target_group,,159,123,-3.140344594507159e-06,0.8030906688116196,0.00013163922771195223,2.7034772483969875e-06,0.5003957053543995,0.32539513983324475,0.27044025157232704,1.0,Q,Q,,,,
e174_vs_e169,target_group,,176,123,-7.699792536756516e-07,0.19690933118838053,0.00013533867821292168,2.5269441086847192e-06,0.5921701821500913,0.36015460574668634,0.2897727272727273,1.0,S,S,,,,
e174_vs_e169,context_type,,289,139,-2.623441622972908e-06,0.6709013689983921,0.00024193535224362216,2.7034772483969875e-06,0.5471271938856018,0.3453850352679978,0.2837370242214533,1.0,between_train_runs,,between_train_runs,,,
e174_vs_e169,context_type,,46,27,-1.2868822252099025e-06,0.329098631001608,2.504255368125171e-05,2.1170138263007587e-06,0.5449054330256892,0.33279918809676806,0.2608695652173913,1.0,after_train_run,,after_train_run,,,
e174_vs_e169,edge_like,,188,97,-3.115909230752027e-06,0.7968417327378243,0.00013854896894011277,2.7034772483969875e-06,0.5404223872905098,0.34298322835102574,0.30851063829787234,1.0,True,,,True,,
e174_vs_e169,edge_like,,147,69,-7.944146174307833e-07,0.20315826726217587,0.00012842893698476109,2.392673107521321e-06,0.5539271059271943,0.3445183055436047,0.24489795918367346,1.0,False,,,False,,
e174_vs_e169,e72_active,,241,144,-2.1842139388386407e-06,0.5585762263280777,0.00017739817707295797,2.7034772483969875e-06,0.5360136148075922,0.2887036948182977,0.0,1.0,False,,,,False,
e174_vs_e169,e72_active,,94,78,-1.726109909344169e-06,0.44142377367192237,8.95797288519159e-05,2.5269441086847192e-06,0.5685147346623882,0.4845473126988615,1.0,1.0,True,,,,True,
e174_vs_e169,target_context,Q1,36,36,-3.3812525154559417e-06,0.8646988450911205,3.529496298946399e-05,1.9876677211164862e-06,0.5588668801296932,0.43977089139412406,0.5,1.0,Q1:between_train_runs,,between_train_runs,,,
e174_vs_e169,target_context,Q3,39,39,-2.313890840129891e-06,0.5917389275072941,3.225381653023318e-05,2.190962102649114e-06,0.48016988515125825,0.4415364462117458,0.48717948717948717,1.0,Q3:between_train_runs,,between_train_runs,,,
e174_vs_e169,target_context,S3,52,52,-1.7848719519037948e-06,0.45645118440337196,3.2910346771237e-05,1.6366906757880884e-06,0.656004536217129,0.18252130701648728,0.019230769230769232,1.0,S3:between_train_runs,,between_train_runs,,,
e174_vs_e169,target_context,S3,14,14,-3.6485408570851964e-07,0.09330533732597958,7.998464487591451e-06,1.4480098546272934e-06,0.6450286248815494,0.18481587551565934,0.0,1.0,S3:after_train_run,,after_train_run,,,
e174_vs_e169,target_context,Q2,6,6,-3.3591502127574114e-07,0.08590465504074457,3.549883231139647e-06,1.374805975660896e-06,0.452302090463201,0.18481587551565928,0.0,1.0,Q2:after_train_run,,after_train_run,,,
e174_vs_e169,target_context,Q1,5,5,-2.426859898343384e-07,0.062062887693334776,3.1300781455974667e-06,1.3641389751247894e-06,0.5080133736672116,0.43708962573593785,0.4,1.0,Q1:after_train_run,,after_train_run,,,
e174_vs_e169,target_context,S2,3,3,-1.93985064707331e-07,0.04960843966861696,3.19078279277285e-06,2.1170138263007587e-06,0.4207229311515057,0.48010838285454865,0.3333333333333333,1.0,S2:after_train_run,,after_train_run,,,
e174_vs_e169,target_context,S1,4,4,-1.0682751663828263e-07,0.02731935276612117,1.5410999582756711e-06,6.056618536033184e-07,0.6822222222222222,0.46293056630338447,0.75,1.0,S1:after_train_run,,after_train_run,,,
e174_vs_e169,target_context,Q3,8,8,-8.532253560613663e-08,0.021819813120027738,2.2417599870578897e-06,5.590695399601157e-07,0.5940713414508286,0.43726424752670173,0.375,1.0,Q3:after_train_run,,after_train_run,,,
e174_vs_e169,target_context,S4,6,6,4.270798856044692e-08,0.010921854613216755,3.3904850788167374e-06,9.658621694166632e-07,0.4616656073308009,0.4394726032446104,0.5,1.0,S4:after_train_run,,after_train_run,,,
e174_vs_e169,target_context,S2,40,40,4.627883156471913e-07,0.11835038058606231,5.230872521096885e-05,2.5269441086847192e-06,0.5902875968881002,0.47459276602996,0.4,1.0,S2:between_train_runs,,between_train_runs,,,
e174_vs_e169,target_context,S1,22,22,5.413082397772593e-07,0.13843053946255984,1.6943491571439373e-05,2.387886372822025e-06,0.6129324616519758,0.4817802793683935,0.5454545454545454,1.0,S1:between_train_runs,,between_train_runs,,,
e174_vs_e169,target_context,S4,35,35,6.337548212973796e-07,0.16207220831387037,1.7055282341819746e-05,1.3434678025598628e-06,0.4792338271542187,0.45134058767978036,0.42857142857142855,1.0,S4:between_train_runs,,between_train_runs,,,
e174_vs_e169,target_context,Q2,65,65,3.2187223077948908e-06,0.8231344596409023,5.516872682846003e-05,2.7034772483969875e-06,0.4736687240871687,0.18297994429310918,0.015384615384615385,1.0,Q2:between_train_runs,,between_train_runs,,,
e174_vs_e169,target_safety,S3,29,29,-1.920387090154975e-06,0.4911069171540382,1.5617770310713277e-05,1.6366906757880884e-06,0.6551169948958889,0.18070147682748894,0.034482758620689655,1.0,S3:q1_low,,,,,q1_low
e174_vs_e169,target_safety,Q3,21,21,-1.6028801851208366e-06,0.40990983032408446,1.3574074061048919e-05,1.5744879459415844e-06,0.5227069579544397,0.42102811784461186,0.047619047619047616,1.0,Q3:q3,,,,,q3
e174_vs_e169,target_safety,Q1,16,16,-1.4887305254769773e-06,0.3807179618048296,1.5297882906546674e-05,1.8258969991470205e-06,0.5414986376444098,0.46895673418560047,1.0,1.0,Q1:q4_high,,,,,q4_high
e174_vs_e169,target_safety,Q1,11,11,-1.3640929764511218e-06,0.3488439907822565,1.0691219167713381e-05,1.6964972781402996e-06,0.5910107514945167,0.4199728477091821,0.36363636363636365,1.0,Q1:q2,,,,,q2
e174_vs_e169,target_safety,Q1,14,14,-7.711150033621822e-07,0.1971997801973695,1.243593906080141e-05,1.9876677211164862e-06,0.5397983335669001,0.4210136533641106,0.0,1.0,Q1:q3,,,,,q3
e174_vs_e169,target_safety,Q3,8,8,-6.860985533879685e-07,0.17545824336437238,6.133700185440604e-06,2.190962102649114e-06,0.45144138085661584,0.41966954945051604,0.375,1.0,Q3:q2,,,,,q2
e174_vs_e169,target_safety,S3,37,37,-2.293389474573396e-07,0.058649604575313395,2.5291040948115167e-05,1.4749970655507649e-06,0.6530814054258005,0.18481587551565934,0.0,1.0,S3:q2,,,,,q2
e174_vs_e169,target_safety,S2,17,17,-1.9259281041051053e-07,0.04925239389060103,3.0356015804334213e-05,2.5269441086847192e-06,0.6510702609005055,0.5575106354291275,1.0,1.0,S2:q4_high,,,,,q4_high
e174_vs_e169,target_safety,Q3,18,18,-1.1023463722722216e-07,0.028190666938864913,1.4787802270801549e-05,1.5037634840509969e-06,0.47030705262345834,0.47328269511837334,1.0,1.0,Q3:q4_high,,,,,q4_high
e174_vs_e169,target_safety,S4,19,19,2.4234534996587125e-08,0.006197577473755608,6.7428499988552e-06,1.2063132804025171e-06,0.46656394033656745,0.4210136533641106,0.0,1.0,S4:q3,,,,,q3
