band,n_worlds,swing_rank,sub_idx,target_idx,target,hidden_block_id,subject_id,support_label,swing,p_y1_visible_mean,visible_support,world_p_y1,world_support,between_train_runs,e72_active,e101_active,pos_bin,context_type
best3_current_anchor_residual,3,1,141,3,S1,id06_b6,id06,0,5.831957756260338e-06,0.9013522588522588,0.0986477411477411,1.0,0.0,True,False,False,single,between_train_runs
best3_current_anchor_residual,3,2,196,2,Q3,id08_b10,id08,1,4.561672802748853e-06,0.335671768707483,0.335671768707483,1.0,1.0,True,True,False,right_edge,between_train_runs
best3_current_anchor_residual,3,3,190,2,Q3,id08_b6,id08,1,4.531208669250164e-06,0.6037414965986395,0.6037414965986395,0.6666666666666666,0.6666666666666666,True,True,False,left_edge,between_train_runs
best3_current_anchor_residual,3,4,194,2,Q3,id08_b10,id08,1,4.466217533693996e-06,0.3516156462585034,0.3516156462585034,0.3333333333333333,0.3333333333333333,True,True,False,near_edge,between_train_runs
best3_current_anchor_residual,3,5,67,6,S4,id03_b2,id03,1,4.431570249905037e-06,0.1876479076479076,0.1876479076479076,0.3333333333333333,0.3333333333333333,True,False,False,interior,between_train_runs
best3_current_anchor_residual,3,6,135,3,S1,id06_b2,id06,0,4.08231116385415e-06,0.9009126984126984,0.0990873015873016,1.0,0.0,True,True,False,right_edge,between_train_runs
best3_current_anchor_residual,3,7,143,3,S1,id06_b8,id06,0,4.0173899301949476e-06,0.8997362278244632,0.1002637721755368,1.0,0.0,True,False,False,near_edge,between_train_runs
best3_current_anchor_residual,3,8,182,2,Q3,id08_b2,id08,1,4.0153139348455865e-06,0.3324829931972789,0.3324829931972789,0.3333333333333333,0.3333333333333333,True,True,False,left_edge,between_train_runs
best3_current_anchor_residual,3,9,205,4,S2,id09_b2,id09,0,3.994973872111499e-06,0.8006241539996212,0.1993758460003788,0.6666666666666666,0.33333333333333337,True,False,False,interior,between_train_runs
best3_current_anchor_residual,3,10,136,3,S1,id06_b4,id06,0,3.980857602837729e-06,0.901063074352548,0.098936925647452,1.0,0.0,True,True,False,left_edge,between_train_runs
best3_current_anchor_residual,3,11,139,5,S3,id06_b4,id06,0,3.935892347215614e-06,0.9072119815668204,0.0927880184331797,1.0,0.0,True,False,False,near_edge,between_train_runs
best3_current_anchor_residual,3,12,180,3,S1,id07_b4,id07,0,3.914537352039933e-06,0.8084142743326416,0.1915857256673584,1.0,0.0,False,False,False,near_edge,after_train_run
best3_current_anchor_residual,3,13,63,3,S1,id03_b2,id03,0,3.819250130072624e-06,0.5710617160617161,0.4289382839382839,1.0,0.0,True,False,False,interior,between_train_runs
best3_current_anchor_residual,3,14,70,6,S4,id03_b4,id03,1,3.816224322441172e-06,0.4250937950937951,0.4250937950937951,0.0,0.0,False,False,False,left_edge,after_train_run
best3_current_anchor_residual,3,15,113,0,Q1,id05_b2,id05,1,3.7916903077560728e-06,0.6546385937295028,0.6546385937295028,0.6666666666666666,0.6666666666666666,True,False,False,right_edge,between_train_runs
best3_current_anchor_residual,3,16,132,3,S1,id06_b2,id06,0,3.7914287961146752e-06,0.8977640103660512,0.1022359896339487,1.0,0.0,True,False,False,interior,between_train_runs
best5_current_anchor_residual,5,1,141,3,S1,id06_b6,id06,0,5.831957756260338e-06,0.9013522588522588,0.0986477411477411,0.8,0.19999999999999996,True,False,False,single,between_train_runs
best5_current_anchor_residual,5,2,196,2,Q3,id08_b10,id08,1,4.561672802748853e-06,0.335671768707483,0.335671768707483,0.6,0.6,True,True,False,right_edge,between_train_runs
best5_current_anchor_residual,5,3,190,2,Q3,id08_b6,id08,1,4.531208669250164e-06,0.6037414965986395,0.6037414965986395,0.6,0.6,True,True,False,left_edge,between_train_runs
best5_current_anchor_residual,5,4,194,2,Q3,id08_b10,id08,1,4.466217533693996e-06,0.3516156462585034,0.3516156462585034,0.4,0.4,True,True,False,near_edge,between_train_runs
best5_current_anchor_residual,5,5,67,6,S4,id03_b2,id03,1,4.431570249905037e-06,0.1876479076479076,0.1876479076479076,0.4,0.4,True,False,False,interior,between_train_runs
