scenario,candidate,role,file,direction,solver_success,status,message,mip_gap,mip_dual_bound,mip_node_count,elapsed_sec,time_limit,has_incumbent,pressure_alpha,world_id,delta_vs_e95,slack_sum,sum_abs_residual,max_abs_residual,mean_abs_residual,frontier_scale_fit,positive_cell_count,better_than_e95
global_t010,e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.012239394625535,-2.701835874462018e-06,406,5.008724927902222,5.0,True,0.01,97a8167c75cd,-0.00042121615077194026,0.00022344426589810626,0.00022344426589837596,4.947328297044695e-05,1.862035549153133e-05,True,1111,True
global_t010,e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,max,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0147248379376528,-4.019423877186371e-06,44,5.006373167037964,5.0,True,0.01,443d1385ff25,0.0002541226271206515,0.0002770272370521236,0.0002770272370519189,4.853232406232255e-05,2.3085603087659907e-05,True,919,False
global_t010,e154,repaired_all_four_branch,submission_e154_s3repair_9f2e2e73.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0266902967307372,-9.884530988479305e-06,178,5.006604909896851,5.0,True,0.01,1ded1118d551,-0.0010928573894589462,0.00038026118202616477,0.0003802611820279411,6.642590999839104e-05,3.168843183566176e-05,True,885,True
global_t010,e154,repaired_all_four_branch,submission_e154_s3repair_9f2e2e73.csv,max,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0302815636340965,-1.0224881068689531e-05,139,5.006639003753662,5.0,True,0.01,e287ff5f3be3,0.0009235347181488717,0.000347904754981866,0.0003479047549814762,7.681143452964445e-05,2.8992062915123018e-05,True,883,False
global_t010,e144,active_boundary_branch,submission_e144_activeboundary_d7b4b331.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0091765330452593,-9.52571428571424e-06,728,5.015838146209717,5.0,True,0.01,d9475a96de5f,-0.00064595948328247,0.001043834400000332,0.0006131047217265984,8.673175005191602e-05,5.10920601438832e-05,True,894,True
global_t010,e144,active_boundary_branch,submission_e144_activeboundary_d7b4b331.csv,max,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0089487176686167,-9.268571428571387e-06,920,5.020631790161133,5.0,True,0.01,cf23783597bf,0.0007414690881460967,0.001043834400000332,0.0005753433763043825,8.12783064995104e-05,4.794528135869854e-05,True,885,False
global_t010_subject_t020,e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0149189598370871,-2.6093391092443424e-06,299,5.0090720653533936,5.0,True,0.01,f52f9e185dee,-0.0004160381145766539,0.000177544216169008,0.00017754421616744676,5.7279134684784516e-05,1.479535134728723e-05,True,1113,True
global_t010_subject_t020,e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,max,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0115840745431945,-3.955770556410288e-06,7,5.007143974304199,5.0,True,0.01,fcda1deb0b69,0.0002512274529125274,0.00034551283361285796,0.0003455128336128377,8.66141952777788e-05,2.879273613440314e-05,True,939,False
global_t010_subject_t020,e154,repaired_all_four_branch,submission_e154_s3repair_9f2e2e73.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0209745079705366,-9.84265475963272e-06,66,5.007381200790405,5.0,True,0.01,cc605f0f3606,-0.0010666850178548638,0.0004789252086069847,0.00047892520860648435,7.655797581429535e-05,3.9910434050540365e-05,True,915,True
global_t010_subject_t020,e154,repaired_all_four_branch,submission_e154_s3repair_9f2e2e73.csv,max,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0372387480006857,-1.0166275281697554e-05,70,5.007311105728149,5.0,True,0.01,5c738cc42b40,0.0008901562804609273,0.00028291330367010586,0.0002829133036700293,8.236644456827147e-05,2.357610863916911e-05,True,913,False
global_t010_subject_t020,e144,active_boundary_branch,submission_e144_activeboundary_d7b4b331.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0213295188293294,-9.486467203606544e-06,803,5.015668153762817,5.0,True,0.01,144395ad2c45,-0.000992245197568183,0.0004540033892953356,0.00045400338929701967,7.234562840485737e-05,3.783361577475164e-05,True,902,True
global_t010_subject_t020,e144,active_boundary_branch,submission_e144_activeboundary_d7b4b331.csv,max,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0188217330135294,-9.245907861817702e-06,1016,5.026470899581909,5.0,True,0.01,5b761d68c2d6,0.0008380405167175233,0.0005002928784385329,0.0005002928784396676,7.981257992573099e-05,4.169107320330564e-05,True,896,False
global_t010_subject_t010,e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0054785304450962,-2.2728215385503635e-06,188,5.007678031921387,5.0,True,0.01,fff4d914ab95,-0.000382383609844285,0.00041716650508952187,0.0004171665050936024,7.698555881507918e-05,3.476387542446687e-05,True,1097,True
global_t010_subject_t010,e176,visible_body_q2_underopen,submission_e176_abl_q2_to0p75_91e49725.csv,max,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0133460061201165,-3.985726914805164e-06,1,5.010338068008423,5.0,True,0.01,d81155962f27,0.0002449342630972836,0.00030261204938823727,0.00030261204937886976,4.265071494269357e-05,2.521767078157248e-05,True,997,False
global_t010_subject_t010,e154,repaired_all_four_branch,submission_e154_s3repair_9f2e2e73.csv,min,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0431835100625593,-9.403187764046364e-06,115,5.007467031478882,5.0,True,0.01,11dafae244eb,-0.0010319247417141077,0.00022705961436561052,0.00022705961436519928,7.605650139019815e-05,1.8921634530433273e-05,True,972,True
