combo,gate_mode,shrink,delta,ungated_delta,vs_ungated_delta,subject_half_delta,subject_half_win_rate,geometry_delta,geometry_win_rate,ungated_geometry_delta,keep_abs_share
q3_center_c010_s4_rank,toward,0.5,-0.0005312313411143244,-0.0012727238597273205,0.0007414925186129961,-0.0005442365826603688,0.9846153846153847,-0.00028112562746653025,0.875,-0.000939022566716477,0.28719693630618026
q3_center_c010_s4_rank,toward,0.75,-0.000720373380531214,-0.0012727238597273205,0.0005523504791961065,-0.0007395783940789551,0.9576923076923077,-0.000334619512433007,0.625,-0.000939022566716477,0.4307954044592683
q3_center_c010_s4_rank,toward,1.0,-0.0008581600515907839,-0.0012727238597273205,0.0004145638081365366,-0.0008833422002633514,0.926923076923077,-0.00032937314403083673,0.625,-0.000939022566716477,0.5743938726123564
q3_center_c010_s4_rank,closer,0.5,-0.00036770741811542607,-0.0012727238597273205,0.0009050164416118944,-0.00037374823917910455,0.9461538461538461,-0.00011480863022578225,0.5,-0.000939022566716477,0.2683760037076351
q3_center_c010_s4_rank,closer,0.75,-0.0004821032943155279,-0.0012727238597273205,0.0007906205654117926,-0.00049097489355486,0.9230769230769231,-9.603560566008584e-05,0.5,-0.000939022566716477,0.40256400556145056
q3_center_c010_s4_rank,closer,1.0,-0.0005497731200962974,-0.0012727238597273205,0.0007229507396310231,-0.0005613271082881032,0.8884615384615384,-2.5798438441998472e-05,0.5,-0.000939022566716477,0.5367520074152661
q3_center_c010_s4_rank,toward_or_closer,0.5,-0.0005312313411143244,-0.0012727238597273205,0.0007414925186129961,-0.0005442365826603688,0.9846153846153847,-0.00028112562746653025,0.875,-0.000939022566716477,0.28719693630618026
q3_center_c010_s4_rank,toward_or_closer,0.75,-0.000720373380531214,-0.0012727238597273205,0.0005523504791961065,-0.0007395783940789551,0.9576923076923077,-0.000334619512433007,0.625,-0.000939022566716477,0.4307954044592683
q3_center_c010_s4_rank,toward_or_closer,1.0,-0.0008581600515907839,-0.0012727238597273205,0.0004145638081365366,-0.0008833422002633514,0.926923076923077,-0.00032937314403083673,0.625,-0.000939022566716477,0.5743938726123564
q3_center_c010_s4_rank,both_targets_toward,0.5,-0.0003918154894763104,-0.0012727238597273205,0.0008809083702510101,-0.00040940481399775677,0.9653846153846154,-0.00023044570589801638,0.875,-0.000939022566716477,0.16638465447522002
q3_center_c010_s4_rank,both_targets_toward,0.75,-0.0005432854196525394,-0.0012727238597273205,0.0007294384400747811,-0.0005690281169893217,0.9653846153846154,-0.0002972649500750657,0.75,-0.000939022566716477,0.24957698171282786
q3_center_c010_s4_rank,both_targets_toward,1.0,-0.0006649628582979794,-0.0012727238597273205,0.0006077610014293411,-0.0006984170947312142,0.9423076923076923,-0.00033139976816649874,0.75,-0.000939022566716477,0.33276930895043566
q3_center_c010_s4_rank,soft_toward,0.5,-0.000463114898978656,-0.0012727238597273205,0.0008096089607486645,-0.0004707074684672036,0.95,-0.0002706153123311489,0.875,-0.000939022566716477,0.2797920541160789
q3_center_c010_s4_rank,soft_toward,0.75,-0.0006319477029188558,-0.0012727238597273205,0.0006407761568084647,-0.0006430181744392125,0.9423076923076923,-0.0003405970771764161,0.75,-0.000939022566716477,0.41968808117411655
q3_center_c010_s4_rank,soft_toward,1.0,-0.0007585678736559132,-0.0012727238597273205,0.0005141559860714073,-0.0007728858302839933,0.9153846153846154,-0.00036642217581071834,0.75,-0.000939022566716477,0.5595841082321541
q3_center_c010_s4_rank,anti_toward_control,0.5,-0.0002791475277114097,-0.0012727238597273205,0.0009935763320159108,-0.00027722828920908775,0.8269230769230769,-0.00036551941050004533,0.875,-0.000939022566716477,0.2128030636938233
q3_center_c010_s4_rank,anti_toward_control,0.75,-0.00036480990180776107,-0.0012727238597273205,0.0009079139579195594,-0.0003630645875060076,0.8,-0.0005027152087478809,0.875,-0.000939022566716477,0.3192045955407329
q3_center_c010_s4_rank,anti_toward_control,1.0,-0.0004145638081365366,-0.0012727238597273205,0.0008581600515907839,-0.00041376349296880715,0.7653846153846153,-0.0006096494226856541,0.875,-0.000939022566716477,0.4256061273876426
s4_rank,toward,0.5,-0.0002867866651296014,-0.00044767926111122236,0.00016089259598162098,-0.00029409007980832005,0.9807692307692307,-0.00011180195214031963,0.75,-0.0005739648779982259,0.2580346216704551
s4_rank,toward,0.75,-0.0004000484752324507,-0.00044767926111122236,4.7630785878771675e-05,-0.00041095682821653846,0.9653846153846154,-0.00013471311942886421,0.5,-0.0005739648779982259,0.3870519325056785
s4_rank,toward,1.0,-0.0004929397794734003,-0.00044767926111122236,-4.5260518362177926e-05,-0.0005074167202585322,0.95,-0.00013524892263523658,0.375,-0.0005739648779982259,0.5160692433409018
s4_rank,closer,0.5,-0.00028313321817929893,-0.00044767926111122236,0.00016454604293192343,-0.000288222050169963,0.9807692307692307,-6.505595471104075e-05,0.625,-0.0005739648779982259,0.24295584213967292
s4_rank,closer,0.75,-0.00039621408672430025,-0.00044767926111122236,5.146517438692211e-05,-0.00040376083024816256,0.9807692307692307,-6.743131756274667e-05,0.5,-0.0005739648779982259,0.36443376320950516
s4_rank,closer,1.0,-0.0004900193745056569,-0.00044767926111122236,-4.234011339443455e-05,-0.0004999610614157682,0.95,-4.936654694670528e-05,0.375,-0.0005739648779982259,0.4859116842793374
s4_rank,toward_or_closer,0.5,-0.0002867866651296014,-0.00044767926111122236,0.00016089259598162098,-0.00029409007980832005,0.9807692307692307,-0.00011180195214031963,0.75,-0.0005739648779982259,0.2580346216704551
s4_rank,toward_or_closer,0.75,-0.0004000484752324507,-0.00044767926111122236,4.7630785878771675e-05,-0.00041095682821653846,0.9653846153846154,-0.00013471311942886421,0.5,-0.0005739648779982259,0.3870519325056785
s4_rank,toward_or_closer,1.0,-0.0004929397794734003,-0.00044767926111122236,-4.5260518362177926e-05,-0.0005074167202585322,0.95,-0.00013524892263523658,0.375,-0.0005739648779982259,0.5160692433409018
s4_rank,both_targets_toward,0.5,-0.0002867866651296014,-0.00044767926111122236,0.00016089259598162098,-0.00029409007980832005,0.9807692307692307,-0.00011180195214031963,0.75,-0.0005739648779982259,0.2580346216704551
s4_rank,both_targets_toward,0.75,-0.0004000484752324507,-0.00044767926111122236,4.7630785878771675e-05,-0.00041095682821653846,0.9653846153846154,-0.00013471311942886421,0.5,-0.0005739648779982259,0.3870519325056785
s4_rank,both_targets_toward,1.0,-0.0004929397794734003,-0.00044767926111122236,-4.5260518362177926e-05,-0.0005074167202585322,0.95,-0.00013524892263523658,0.375,-0.0005739648779982259,0.5160692433409018
s4_rank,soft_toward,0.5,-0.00024626210717482167,-0.00044767926111122236,0.0002014171539364007,-0.0002511835559850167,0.9461538461538461,-0.00015843971970319615,0.875,-0.0005739648779982259,0.25205402438020164
s4_rank,soft_toward,0.75,-0.0003451322248558819,-0.00044767926111122236,0.00010254703625534045,-0.00035238666099631475,0.9384615384615385,-0.0002127006466540876,0.75,-0.0005739648779982259,0.3780810365702987
s4_rank,soft_toward,1.0,-0.00042757083340561053,-0.00044767926111122236,2.010842770561183e-05,-0.00043706852093551595,0.926923076923077,-0.0002500462338748538,0.75,-0.0005739648779982259,0.5041080487603956
s4_rank,anti_toward_control,0.5,-1.1687597704868047e-05,-0.00044767926111122236,0.0004359916634063543,-1.8782321231532067e-05,0.55,-0.0002477385995961201,1.0,-0.0005739648779982259,0.24196537832955245
s4_rank,anti_toward_control,0.75,8.25538153437222e-06,-0.00044767926111122236,0.0004559346426455946,-2.640864378010101e-06,0.4846153846153846,-0.0003503034028741192,1.0,-0.0005739648779982259,0.36294806749432457
s4_rank,anti_toward_control,1.0,4.5260518362177926e-05,-0.00044767926111122236,0.0004929397794734003,3.039494070331977e-05,0.45,-0.0004387159553629755,1.0,-0.0005739648779982259,0.4839307566590968
