q3_scale,s4_mode,s4_scale,delta,ungated_delta,delta_vs_ungated,subject_half_delta,subject_half_win_rate,geometry_delta,geometry_win_rate,ungated_geometry_delta,geometry_vs_ungated_delta,keep_abs_share,anchor,anchor_scale,frontier_keep_abs_share,mean_abs_logit_step_vs_anchor,max_abs_logit_step_vs_anchor,q3s4_share_vs_e95,q2s3_share_vs_e95,bad_span_energy,bad_span_residual,max_bad_axis,max_bad_cos,cos_e154_axis,cos_e101_axis,cos_mixmin_axis,vs_e95_moved_cells,vs_e95_moved_rows,vs_e95_targets_moved,vs_e95_expected_delta_focus_mean,vs_e95_total_swing,vs_e95_top1_swing,vs_e95_top5_swing,vs_e95_top10_swing,vs_e95_top25_swing,vs_e95_cells_for_2e6_guard,vs_e95_cells_for_e95_edge,vs_e95_cells_to_flip_expected_focus_mean,vs_e95_top1_over_abs_expected,vs_e95_top5_over_abs_expected,vs_e95_support_prob_swing_weighted_focus_mean,vs_anchor_moved_cells,vs_anchor_moved_rows,vs_anchor_targets_moved,vs_anchor_expected_delta_focus_mean,vs_anchor_total_swing,vs_anchor_top1_swing,vs_anchor_top5_swing,vs_anchor_top10_swing,vs_anchor_top25_swing,vs_anchor_cells_for_2e6_guard,vs_anchor_cells_for_e95_edge,vs_anchor_cells_to_flip_expected_focus_mean,vs_anchor_top1_over_abs_expected,vs_anchor_top5_over_abs_expected,vs_anchor_support_prob_swing_weighted_focus_mean,e211_frontier_gate,survival_score,submission_file
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,e95,0.25,0.629828234832654,0.004959065336884904,0.10325541283780981,0.9999999999999891,2.0864955876972944e-15,0.32190920326636063,0.9467705449856461,ordinal,0.1622217016267247,0.06699817880983384,1.0441672430384416e-16,1.3097319252313924e-16,500,250,"Q3,S4",-0.00012723497351193615,0.0049590653368848485,5.900309305017713e-05,0.00026761550327380264,0.0004855690731670107,0.0009352473477397294,1,1,3,0.46373329141803876,2.1033171610531842,0.4702284240335246,500,250,"Q3,S4",-0.00012723497351193615,0.0049590653368848485,5.900309305017713e-05,0.00026761550327380264,0.0004855690731670107,0.0009352473477397294,1,1,3,0.46373329141803876,2.1033171610531842,0.4702284240335246,True,0.00909196723694929,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,e95,0.5,0.629828234832676,0.009918130673769752,0.2065108256756203,0.9999999999999942,1.043247793848653e-15,0.3219092032663605,0.946770544985646,ordinal,0.1622217016267244,0.06699817880983346,5.2208362151922066e-17,2.1044298734083827e-16,500,250,"Q3,S4",-0.00022061358245646412,0.009918130673769697,0.00011800618610035448,0.0005352310065476063,0.00097113814633402,0.001870494695479457,1,1,2,0.5348999131712202,2.4261017866079424,0.4702284240335246,500,250,"Q3,S4",-0.00022061358245646412,0.009918130673769697,0.00011800618610035448,0.0005352310065476063,0.00097113814633402,0.001870494695479457,1,1,2,0.5348999131712202,2.4261017866079424,0.4702284240335246,True,0.013743447727590077,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,e95,0.75,0.6298282348326828,0.014877196010654594,0.3097662385134299,0.9999999999999964,6.954985292324369e-16,0.32190920326636047,0.9467705449856457,ordinal,0.16222170162672436,0.0669981788098334,3.480557476794805e-17,2.3693291894673393e-16,500,250,"Q3,S4",-0.0002798916428654678,0.014877196010654537,0.0001770092791505314,0.0008028465098214083,0.0014567072195010298,0.002805742043219185,1,1,2,0.6324207373194504,2.8684190124508397,0.4702284240335247,500,250,"Q3,S4",-0.0002798916428654678,0.014877196010654537,0.0001770092791505314,0.0008028465098214083,0.0014567072195010298,0.002805742043219185,1,1,2,0.6324207373194504,2.8684190124508397,0.4702284240335247,False,0.016658590335966145,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,e95,1.0,0.6298282348326867,0.01983626134753945,0.41302165135124047,0.9999999999999971,5.216238969243279e-16,0.3219092032663607,0.946770544985646,ordinal,0.16222170162672428,0.06699817880983318,2.6104181075961033e-17,2.5017788474969117e-16,500,250,"Q3,S4",-0.00030486127677165005,0.019836261347539387,0.00023601237220070888,0.0010704620130952119,0.0019422762926680397,0.0037409893909589134,1,1,2,0.7741631692288982,3.511308567722817,0.4702284240335247,500,250,"Q3,S4",-0.00030486127677165005,0.019836261347539387,0.00023601237220070888,0.0010704620130952119,0.0019422762926680397,0.0037409893909589134,1,1,2,0.7741631692288982,3.511308567722817,0.4702284240335247,False,0.017836200815320537,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,e154,0.25,0.6298282348326549,0.004959065336884911,0.10325541283780981,0.8382061178708134,0.04742190641199431,0.34472379282889054,0.9387041635455038,ordinal,0.22188727508954018,0.48762556725069905,-0.002369652920955964,-0.010202641598947942,665,250,"Q1,Q3,S2,S3,S4",-0.00015588167031712645,0.006486025927388904,5.900309305017713e-05,0.0002677916062643532,0.00048240451716740723,0.0009912212194272754,1,1,3,0.3785120657877282,1.7179159404666156,0.4687705956352682,500,250,"Q3,S4",-0.00012604411230400574,0.004959065336884852,5.900309305017713e-05,0.00026761550327380264,0.00048556907316701047,0.0009352473477397293,1,1,3,0.468114630438807,2.1231892420991545,0.4702284240335247,True,0.010502414802119265,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,e154,0.5,0.6298282348326761,0.009918130673769756,0.2065108256756203,0.9070899834808558,0.0272319944989619,0.3361440482038754,0.9418105854454554,ordinal,0.1988648451211493,0.29856986748657594,-0.0012952066702881066,-0.005576567495034236,665,250,"Q1,Q3,S2,S3,S4",-0.0002480620468817423,0.011294792033177431,0.00011800618610035448,0.0005245680871657684,0.000965390640606365,0.0018958630603879223,1,1,3,0.47571237754323265,2.1146648338987695,0.4689950982915239,500,250,"Q3,S4",-0.00021822448886862155,0.009918130673769699,0.00011800618610035448,0.0005352310065476059,0.0009711381463340195,0.001870494695479457,1,1,2,0.5407559285035062,2.452662436386014,0.4702284240335247,True,0.015133320905439597,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,e154,0.75,0.629828234832683,0.014877196010654603,0.3097662385134299,0.9351903107790953,0.018995767802704535,0.3319627277783396,0.9432925036095452,ordinal,0.18815593426174587,0.22501975245802278,-0.000881535499090461,-0.0037954886449534874,665,250,"Q1,Q3,S2,S3,S4",-0.0003061344360456811,0.01619201275299938,0.0001770092791505314,0.0007857780627578537,0.0014509597137733758,0.002826639064582362,1,1,2,0.5782076705807714,2.5667744958969614,0.46925440247606587,500,250,"Q3,S4",-0.00027629687803256043,0.014877196010654544,0.0001770092791505314,0.0008028465098214087,0.0014567072195010302,0.0028057420432191856,1,1,2,0.6406488571675848,2.905738622666582,0.47022842403352466,False,0.01799783652834615,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,e154,1.0,0.6298282348326867,0.01983626134753945,0.41302165135124047,0.9503187452067876,0.014561612492572458,0.3296400481589867,0.9441066881712794,ordinal,0.1822183377936984,0.18665505721766212,-0.0006666284423930706,-0.002870197157251662,665,250,"Q1,Q3,S2,S3,S4",-0.00032989085067557686,0.021122641099761204,0.00023601237220070888,0.0010533935660316572,0.0019365287869403851,0.0037606793428251076,1,1,2,0.7154256376537388,3.1931578698664533,0.46944168607716347,500,250,"Q3,S4",-0.0003000532926624562,0.019836261347539387,0.00023601237220070888,0.0010704620130952123,0.0019422762926680397,0.0037409893909589134,1,1,2,0.7865681796273774,3.567572958779107,0.4702284240335247,False,0.019117048276304453,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,mixmin,0.25,0.629828234832655,0.004959065336884925,0.10325541283780981,0.47196184403761904,0.1173866267976142,0.5852624430677809,0.8108439262486543,e72,0.5027614157040673,0.03006499284148404,0.46386239294452136,0.712509248430213,1050,250,"Q2,Q3,S1,S2,S3,S4",1.7307681268881798e-05,0.010507343759953512,5.900309305017713e-05,0.00026761550327380264,0.0004942756090727195,0.001089262447978723,1,1,1,3.409069772752359,15.462238939826083,0.47908200026044423,500,250,"Q3,S4",-0.00012723497351193545,0.004959065336884847,5.900309305017713e-05,0.00026761550327380264,0.0004855690731670107,0.0009352473477397299,1,1,3,0.46373329141804137,2.1033171610531958,0.4702284240335247,False,0.000737659816204454,
0.75,raw,0.5,-0.000991864451475144,-0.0012727238597273205,0.0002808594082521765,-0.0010019176900302675,0.9423076923076923,-0.000819177054938669,0.875,-0.0010582560495632637,0.0002390789946245947,0.6219021378729974,mixmin,0.5,0.6298282348326765,0.009918130673769773,0.2065108256756203,0.6412691279320377,0.07974841689891941,0.44895709535587264,0.8935533148780876,e72,0.33471255150434576,0.048972459601525166,0.29473172591699487,0.4527184865938761,1050,250,"Q2,Q3,S1,S2,S3,S4",-7.60709276756467e-05,0.015466409096838364,0.00011800618610035448,0.0005352310065476063,0.00097113814633402,0.0018704946954794565,1,1,1,1.551265242925819,7.035946884067706,0.4762432377073859,500,250,"Q3,S4",-0.00022061358245646396,0.009918130673769697,0.00011800618610035448,0.0005352310065476063,0.00097113814633402,0.0018704946954794571,1,1,2,0.5348999131712205,2.426101786607944,0.4702284240335247,False,0.005774462676811689,
