candidate_id,family,status,pair_kind,candidate_file,base_file,note,moved_cells,moved_rows,targets_moved,expected_focus,expected_global,expected_subject,expected_nearest_hard085,hard_delta_focus,support_delta,adverse_delta,total_swing,top1_swing,top5_swing,top10_swing,top25_swing,support_prob_focus_mean,support_prob_focus_swing_weighted,mean_abs_prob_delta,mean_abs_logit_delta,max_abs_logit_delta,adverse_over_e216_miss,cells_for_2e6_guard,cells_for_e95_edge,cells_to_flip_expected_focus,top1_over_abs_expected,top5_over_abs_expected,top1_swing_share,top5_swing_share,support_tail_gate,q3_tag,s4_tag,q3_policy,s4_policy,q3_dropped_rows,s4_dropped_rows,q3_e234_loss_vs_full,s4_e234_loss_vs_full,q3_e234_tail_auc,s4_e234_tail_auc,q3_subject_win_rate,s4_subject_win_rate,e230_q3_risk_top21_overlap,e230_q3_risk_top21_jaccard,e230_q3_swing_top25_overlap,e230_q3_swing_top25_jaccard,e230_q3_expected_positive_overlap,e230_q3_expected_positive_jaccard,e222_tail_survival_score,e222_decision,q3_expected_focus,q3_adverse_delta,q3_support_prob,q3_top1_over_abs_expected,s4_expected_focus,s4_adverse_delta,s4_support_prob,s4_top1_over_abs_expected,expected_focus_vs_e224,adverse_delta_vs_e224,support_prob_focus_swing_weighted_vs_e224,top1_over_abs_expected_vs_e224,adverse_reduction_vs_e224,expected_loss_vs_e224,support_gain_vs_e224,q3_adverse_reduction_vs_e224,s4_adverse_reduction_vs_e224,q3_top1_delta_vs_e224,s4_top1_delta_vs_e224,e236_gate,e236_score,submission_file
q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,477,232,"Q1,Q3,S2,S3,S4",-0.00032369494958782864,-0.0004538945257900017,-0.00027742604698535825,-0.0002397642759881259,-3.526360779912121e-05,-0.004616879283160326,0.003412944900450622,0.008029824183610947,9.833848841696186e-05,0.00045095333670350593,0.0008353423069204492,0.001732463640047368,0.47988599773533425,0.4653451638038373,0.0061777081347759956,0.029459522686203693,0.17209235472968332,3.4294784158936014,1,1,4,0.30379988486746384,1.393142949180145,0.012246655240306872,0.056159802056925716,False,contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20,risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,drop_lowpos_p20,drop_risk_p15,50,38,-0.0006605349400697,-0.0008331939263461,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.3267639823485961,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002616650809525214,0.000783260091040902,0.5038568914349069,0.3171707561242936,0.0002996566452861606,1.2170330936271592e-05,-0.0006389682760969961,0.14604222574598358,-1.2170330936271592e-05,0.0002996566452861606,-0.0006389682760969961,0.00032975275756898324,0.0004018775464620113,2.179599302809872,0.15178497626395218,False,-1.023681110309755,
q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,477,232,"Q1,Q3,S2,S3,S4",-0.00032369494958782864,-0.0004538945257900017,-0.00027742604698535825,-0.0002397642759881259,-3.526360779912121e-05,-0.004616879283160326,0.003412944900450622,0.008029824183610947,9.833848841696186e-05,0.00045095333670350593,0.0008353423069204492,0.001732463640047368,0.47988599773533425,0.4653451638038373,0.0061777081347759956,0.029459522686203693,0.17209235472968332,3.4294784158936014,1,1,4,0.30379988486746384,1.393142949180145,0.012246655240306872,0.056159802056925716,False,contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20,risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,drop_lowpos_p20,drop_risk_p15,50,38,-0.0006605349400697,-0.0008331939263461,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.3267639823485961,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002616650809525214,0.000783260091040902,0.5038568914349069,0.3171707561242936,0.0002996566452861606,1.2170330936271592e-05,-0.0006389682760969961,0.14604222574598358,-1.2170330936271592e-05,0.0002996566452861606,-0.0006389682760969961,0.00032975275756898324,0.0004018775464620113,2.179599302809872,0.15178497626395218,False,-1.023681110309755,
q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_with_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_with_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,477,232,"Q1,Q3,S2,S3,S4",-0.00032369494958782864,-0.0004538945257900017,-0.00027742604698535825,-0.0002397642759881259,-3.526360779912121e-05,-0.004616879283160326,0.003412944900450622,0.008029824183610947,9.833848841696186e-05,0.00045095333670350593,0.0008353423069204492,0.001732463640047368,0.47988599773533425,0.4653451638038373,0.0061777081347759956,0.029459522686203693,0.17209235472968332,3.4294784158936014,1,1,4,0.30379988486746384,1.393142949180145,0.012246655240306872,0.056159802056925716,False,contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_with_targetid_q0p20,risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,drop_lowpos_p20,drop_risk_p15,50,38,-0.0006605349400697,-0.0008331939263461,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.3267639823485961,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002616650809525214,0.000783260091040902,0.5038568914349069,0.3171707561242936,0.0002996566452861606,1.2170330936271592e-05,-0.0006389682760969961,0.14604222574598358,-1.2170330936271592e-05,0.0002996566452861606,-0.0006389682760969961,0.00032975275756898324,0.0004018775464620113,2.179599302809872,0.15178497626395218,False,-1.023681110309755,
q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_with_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_with_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,477,232,"Q1,Q3,S2,S3,S4",-0.00032369494958782864,-0.0004538945257900017,-0.00027742604698535825,-0.0002397642759881259,-3.526360779912121e-05,-0.004616879283160326,0.003412944900450622,0.008029824183610947,9.833848841696186e-05,0.00045095333670350593,0.0008353423069204492,0.001732463640047368,0.47988599773533425,0.4653451638038373,0.0061777081347759956,0.029459522686203693,0.17209235472968332,3.4294784158936014,1,1,4,0.30379988486746384,1.393142949180145,0.012246655240306872,0.056159802056925716,False,contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_with_targetid_q0p20,risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,drop_lowpos_p20,drop_risk_p15,50,38,-0.0006605349400697,-0.0008331939263461,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.3267639823485961,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002616650809525214,0.000783260091040902,0.5038568914349069,0.3171707561242936,0.0002996566452861606,1.2170330936271592e-05,-0.0006389682760969961,0.14604222574598358,-1.2170330936271592e-05,0.0002996566452861606,-0.0006389682760969961,0.00032975275756898324,0.0004018775464620113,2.179599302809872,0.15178497626395218,False,-1.023681110309755,
q3_contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,477,232,"Q1,Q3,S2,S3,S4",-0.00032369494958782864,-0.0004538945257900017,-0.00027742604698535825,-0.0002397642759881259,-3.526360779912121e-05,-0.004616879283160326,0.003412944900450622,0.008029824183610947,9.833848841696186e-05,0.00045095333670350593,0.0008353423069204492,0.001732463640047368,0.47988599773533425,0.4653451638038373,0.0061777081347759956,0.029459522686203693,0.17209235472968332,3.4294784158936014,1,1,4,0.30379988486746384,1.393142949180145,0.012246655240306872,0.056159802056925716,False,contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_no_targetid_q0p20,risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,drop_lowpos_top50,drop_risk_p15,50,38,-0.0005731973938518,-0.0008331939263461,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.3267639823485961,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002616650809525214,0.000783260091040902,0.5038568914349069,0.3171707561242936,0.0002996566452861606,1.2170330936271592e-05,-0.0006389682760969961,0.14604222574598358,-1.2170330936271592e-05,0.0002996566452861606,-0.0006389682760969961,0.00032975275756898324,0.0004018775464620113,2.179599302809872,0.15178497626395218,False,-1.023681110309755,
q3_contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,477,232,"Q1,Q3,S2,S3,S4",-0.00032369494958782864,-0.0004538945257900017,-0.00027742604698535825,-0.0002397642759881259,-3.526360779912121e-05,-0.004616879283160326,0.003412944900450622,0.008029824183610947,9.833848841696186e-05,0.00045095333670350593,0.0008353423069204492,0.001732463640047368,0.47988599773533425,0.4653451638038373,0.0061777081347759956,0.029459522686203693,0.17209235472968332,3.4294784158936014,1,1,4,0.30379988486746384,1.393142949180145,0.012246655240306872,0.056159802056925716,False,contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_no_targetid_q0p20,risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,drop_lowpos_top50,drop_risk_p15,50,38,-0.0005731973938518,-0.0008331939263461,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.3267639823485961,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002616650809525214,0.000783260091040902,0.5038568914349069,0.3171707561242936,0.0002996566452861606,1.2170330936271592e-05,-0.0006389682760969961,0.14604222574598358,-1.2170330936271592e-05,0.0002996566452861606,-0.0006389682760969961,0.00032975275756898324,0.0004018775464620113,2.179599302809872,0.15178497626395218,False,-1.023681110309755,
q3_contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_with_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_with_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,477,232,"Q1,Q3,S2,S3,S4",-0.00032369494958782864,-0.0004538945257900017,-0.00027742604698535825,-0.0002397642759881259,-3.526360779912121e-05,-0.004616879283160326,0.003412944900450622,0.008029824183610947,9.833848841696186e-05,0.00045095333670350593,0.0008353423069204492,0.001732463640047368,0.47988599773533425,0.4653451638038373,0.0061777081347759956,0.029459522686203693,0.17209235472968332,3.4294784158936014,1,1,4,0.30379988486746384,1.393142949180145,0.012246655240306872,0.056159802056925716,False,contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_with_targetid_q0p20,risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,drop_lowpos_top50,drop_risk_p15,50,38,-0.0005731973938518,-0.0008331939263461,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.3267639823485961,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002616650809525214,0.000783260091040902,0.5038568914349069,0.3171707561242936,0.0002996566452861606,1.2170330936271592e-05,-0.0006389682760969961,0.14604222574598358,-1.2170330936271592e-05,0.0002996566452861606,-0.0006389682760969961,0.00032975275756898324,0.0004018775464620113,2.179599302809872,0.15178497626395218,False,-1.023681110309755,
q3_contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_with_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_with_targetid_q0p20__s4_risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,477,232,"Q1,Q3,S2,S3,S4",-0.00032369494958782864,-0.0004538945257900017,-0.00027742604698535825,-0.0002397642759881259,-3.526360779912121e-05,-0.004616879283160326,0.003412944900450622,0.008029824183610947,9.833848841696186e-05,0.00045095333670350593,0.0008353423069204492,0.001732463640047368,0.47988599773533425,0.4653451638038373,0.0061777081347759956,0.029459522686203693,0.17209235472968332,3.4294784158936014,1,1,4,0.30379988486746384,1.393142949180145,0.012246655240306872,0.056159802056925716,False,contrast_drop_lowpos_top50_hgb_shallow_subject5_latent_with_targetid_q0p20,risk_drop_risk_p15_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,drop_lowpos_top50,drop_risk_p15,50,38,-0.0005731973938518,-0.0008331939263461,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.3267639823485961,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002616650809525214,0.000783260091040902,0.5038568914349069,0.3171707561242936,0.0002996566452861606,1.2170330936271592e-05,-0.0006389682760969961,0.14604222574598358,-1.2170330936271592e-05,0.0002996566452861606,-0.0006389682760969961,0.00032975275756898324,0.0004018775464620113,2.179599302809872,0.15178497626395218,False,-1.023681110309755,
q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_top50_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_top50_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,471,230,"Q1,Q3,S2,S3,S4",-0.0002705748098424884,-0.0003756288722942399,-0.00023377616425485523,-0.00020231939297837015,5.242326172756408e-05,-0.004385562014675469,0.0033084360105368783,0.007693998025212347,9.833848841696186e-05,0.0004379757263444618,0.0008033764691422488,0.0016627625027258964,0.47982879493917846,0.4651691888471195,0.006032794303460068,0.028587041494950345,0.17209235472968332,3.324463247854744,1,1,3,0.36344288100658123,1.6186862575988639,0.01278119491254325,0.05692433568468119,False,contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20,risk_drop_risk_top50_lr_l2_c0p10_stratified5_latent_no_targetid_q0p30,drop_lowpos_p20,drop_risk_top50,50,50,-0.0006605349400697,-0.0006180915966501,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.2733397899917807,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002085449412071812,0.0006679897731615737,0.5106511111794041,0.39795984067811024,0.0003527767850315008,-9.233855897747192e-05,-0.0008149432328147799,0.20568522188510097,9.233855897747192e-05,0.0003527767850315008,-0.0008149432328147799,0.00032975275756898324,0.0005171478643413395,2.179599302809872,0.23257406081776885,False,-1.0294830750870698,
q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_top50_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,e236_e234_q3s4_tail_materialization,generated,actual_vs_e95,q3_contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20__s4_risk_drop_risk_top50_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,submission_e95_hardtail_541e3973.csv,E234 tail-contrastive Q3/S4 mask applied to E224 and rolled back toward E154.,471,230,"Q1,Q3,S2,S3,S4",-0.0002705748098424884,-0.0003756288722942399,-0.00023377616425485523,-0.00020231939297837015,5.242326172756408e-05,-0.004385562014675469,0.0033084360105368783,0.007693998025212347,9.833848841696186e-05,0.0004379757263444618,0.0008033764691422488,0.0016627625027258964,0.47982879493917846,0.4651691888471195,0.006032794303460068,0.028587041494950345,0.17209235472968332,3.324463247854744,1,1,3,0.36344288100658123,1.6186862575988639,0.01278119491254325,0.05692433568468119,False,contrast_drop_lowpos_p20_hgb_shallow_subject5_latent_no_targetid_q0p20,risk_drop_risk_top50_lr_l2_c0p10_stratified5_latent_with_targetid_q0p30,drop_lowpos_p20,drop_risk_top50,50,50,-0.0006605349400697,-0.0006180915966501,0.5037028189202102,0.7189447486311599,0.6,0.8,3.0,0.04411764705882353,3.0,0.041666666666666664,20.0,0.14184397163120568,0.2733397899917807,expected_good_but_low_support,-3.21923106221865e-05,0.0018858841744424535,0.4461822119336474,3.0547197922844442,-0.0002085449412071812,0.0006679897731615737,0.5106511111794041,0.39795984067811024,0.0003527767850315008,-9.233855897747192e-05,-0.0008149432328147799,0.20568522188510097,9.233855897747192e-05,0.0003527767850315008,-0.0008149432328147799,0.00032975275756898324,0.0005171478643413395,2.179599302809872,0.23257406081776885,False,-1.0294830750870698,
