pair,target,moved_cells,abs_logit_sum,abs_logit_share,mean_signed_logit_delta,max_abs_logit_delta
e237_cell25_vs_e95,Q1,70,0.8243482637966265,0.05285638935380705,0.0016807561877777851,0.023459001777274335
e237_cell25_vs_e95,Q2,0,2.220446049250313e-16,1.4237278838650168e-17,8.881784197001253e-19,2.220446049250313e-16
e237_cell25_vs_e95,Q3,238,7.2741319311670125,0.46641009200885447,-0.008441914605674849,0.13702647791740413
e237_cell25_vs_e95,S1,0,2.9976021664879227e-15,1.9220326432177728e-16,-1.199040866595169e-17,1.7763568394002505e-15
e237_cell25_vs_e95,S2,39,0.47383603597301116,0.030381894530723333,0.0002855519730088648,0.02135885040269403
e237_cell25_vs_e95,S3,56,0.5382645004001958,0.03451298347794447,-0.0012487909140142673,0.02200776788037867
e237_cell25_vs_e95,S4,119,6.485419560674238,0.41583864062867043,0.003149099166098391,0.16929496819948486
e237_cell25_vs_e224_clean,Q1,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e224_clean,Q2,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e224_clean,Q3,25,2.3206596605435146,0.9999999999999994,0.004265479894263182,0.17209235472968332
e237_cell25_vs_e224_clean,S1,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e224_clean,S2,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e224_clean,S3,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e224_clean,S4,0,1.6930901125533637e-15,7.295727768012434e-16,-6.772360450213455e-18,6.661338147750939e-16
e237_cell25_vs_e154,Q1,0,3.3306690738754696e-16,2.6037294856268212e-17,-1.3322676295501879e-18,3.3306690738754696e-16
e237_cell25_vs_e154,Q2,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e154,Q3,225,6.623816476969555,0.5178126642404234,-0.007235117738059086,0.15426198391220963
e237_cell25_vs_e154,S1,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e154,S2,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e154,S3,0,2.7755575615628914e-16,2.1697745713556843e-17,-1.1102230246251566e-18,2.7755575615628914e-16
e237_cell25_vs_e154,S4,105,6.16810024195812,0.4821873357595765,0.0028860637875081875,0.14789051018904398
e237_cell25_vs_e230_swing25,Q1,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_swing25,Q2,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_swing25,Q3,24,1.9635021677590536,0.9999999999999999,-0.0014126707651758545,0.15426198391220963
e237_cell25_vs_e230_swing25,S1,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_swing25,S2,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_swing25,S3,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_swing25,S4,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_risk21,Q1,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_risk21,Q2,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_risk21,Q3,24,1.9299009373139204,0.9999999999999999,-0.003766316982508576,0.15426198391220963
e237_cell25_vs_e230_risk21,S1,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_risk21,S2,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_risk21,S3,0,0.0,0.0,0.0,0.0
e237_cell25_vs_e230_risk21,S4,0,0.0,0.0,0.0,0.0
e224_clean_vs_e95,Q1,70,0.8243482637966265,0.04621888880460204,0.0016807561877777851,0.023459001777274335
e224_clean_vs_e95,Q2,0,2.220446049250313e-16,1.2449416533524348e-17,8.881784197001253e-19,2.220446049250313e-16
e224_clean_vs_e95,Q3,250,9.51387553342596,0.5334162449194181,-0.012707394499938029,0.17209235472968332
e224_clean_vs_e95,S1,0,2.9976021664879227e-15,1.680671232025787e-16,-1.199040866595169e-17,1.7763568394002505e-15
e224_clean_vs_e95,S2,39,0.47383603597301116,0.026566653949613907,0.0002855519730088648,0.02135885040269403
e224_clean_vs_e95,S3,56,0.5382645004001958,0.03017897675538615,-0.0012487909140142673,0.02200776788037867
e224_clean_vs_e95,S4,119,6.485419560674238,0.36361923557097964,0.003149099166098398,0.16929496819948486
