selector_a,selector_b,n_a,n_b,intersection,jaccard,a_recall,b_recall
e237_drop,e237_drop,25,25,25,1.0,1.0,1.0
e237_drop,e230_swing25,25,25,13,0.35135135135135137,0.52,0.52
e237_drop,e230_risk21,25,21,11,0.3142857142857143,0.44,0.5238095238095238
e237_drop,e237_only_not_swing25,25,12,12,0.48,0.48,1.0
e237_drop,e237_only_not_risk21,25,14,14,0.56,0.56,1.0
e237_drop,e237_overlap_swing25,25,13,13,0.52,0.52,1.0
e237_drop,e237_overlap_risk21,25,11,11,0.44,0.44,1.0
e237_drop,e230_risk21_only_not_e237,25,10,0,0.0,0.0,0.0
e230_swing25,e230_swing25,25,25,25,1.0,1.0,1.0
e230_swing25,e230_risk21,25,21,11,0.3142857142857143,0.44,0.5238095238095238
e230_swing25,e237_only_not_swing25,25,12,0,0.0,0.0,0.0
e230_swing25,e237_only_not_risk21,25,14,6,0.18181818181818182,0.24,0.42857142857142855
e230_swing25,e237_overlap_swing25,25,13,13,0.52,0.52,1.0
e230_swing25,e237_overlap_risk21,25,11,7,0.2413793103448276,0.28,0.6363636363636364
e230_swing25,e230_risk21_only_not_e237,25,10,4,0.12903225806451613,0.16,0.4
e230_risk21,e230_risk21,21,21,21,1.0,1.0,1.0
e230_risk21,e237_only_not_swing25,21,12,4,0.13793103448275862,0.19047619047619047,0.3333333333333333
e230_risk21,e237_only_not_risk21,21,14,0,0.0,0.0,0.0
e230_risk21,e237_overlap_swing25,21,13,7,0.25925925925925924,0.3333333333333333,0.5384615384615384
e230_risk21,e237_overlap_risk21,21,11,11,0.5238095238095238,0.5238095238095238,1.0
e230_risk21,e230_risk21_only_not_e237,21,10,10,0.47619047619047616,0.47619047619047616,1.0
e237_only_not_swing25,e237_only_not_swing25,12,12,12,1.0,1.0,1.0
e237_only_not_swing25,e237_only_not_risk21,12,14,8,0.4444444444444444,0.6666666666666666,0.5714285714285714
e237_only_not_swing25,e237_overlap_swing25,12,13,0,0.0,0.0,0.0
e237_only_not_swing25,e237_overlap_risk21,12,11,4,0.21052631578947367,0.3333333333333333,0.36363636363636365
e237_only_not_swing25,e230_risk21_only_not_e237,12,10,0,0.0,0.0,0.0
e237_only_not_risk21,e237_only_not_risk21,14,14,14,1.0,1.0,1.0
e237_only_not_risk21,e237_overlap_swing25,14,13,6,0.2857142857142857,0.42857142857142855,0.46153846153846156
e237_only_not_risk21,e237_overlap_risk21,14,11,0,0.0,0.0,0.0
e237_only_not_risk21,e230_risk21_only_not_e237,14,10,0,0.0,0.0,0.0
e237_overlap_swing25,e237_overlap_swing25,13,13,13,1.0,1.0,1.0
e237_overlap_swing25,e237_overlap_risk21,13,11,7,0.4117647058823529,0.5384615384615384,0.6363636363636364
e237_overlap_swing25,e230_risk21_only_not_e237,13,10,0,0.0,0.0,0.0
e237_overlap_risk21,e237_overlap_risk21,11,11,11,1.0,1.0,1.0
e237_overlap_risk21,e230_risk21_only_not_e237,11,10,0,0.0,0.0,0.0
e230_risk21_only_not_e237,e230_risk21_only_not_e237,10,10,10,1.0,1.0,1.0
