model,feature_set,features,alpha,n_features,insample_mae,insample_sign_acc,loo_mae,loo_p90_abs_error,loo_sign_acc,l2o_mae,l2o_p90_abs_error,l2o_sign_acc,current_order_pass,model_score,top1_is_current,pred_top_file,non_current_pred_worse_rate,current_pair_sign_acc,min_non_current_delta,max_non_current_delta
target_means_a0.03,target_means,"mean_prob_Q1,mean_prob_Q2,mean_prob_Q3,mean_prob_S1,mean_prob_S2,mean_prob_S3,mean_prob_S4,move_abs_a2c8_Q1,move_abs_a2c8_Q2,move_abs_a2c8_Q3,move_abs_a2c8_S1,move_abs_a2c8_S2,move_abs_a2c8_S3,move_abs_a2c8_S4",0.03,14,3.985208384050074e-05,0.9264705882352942,0.0018870424242909884,0.008427011735455734,0.7316176470588235,0.0029991696377678323,0.009147241509060771,0.625,True,0.004278515240852157,True,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,1.0,1.0,1.9314298273707846e-06,0.0049894665137690695
micro_distance_a0.1,micro_distance,"mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,bad_axis_abs_load,raw05_a2c8_compat_energy",0.1,6,0.0004341305667523089,0.8014705882352942,0.0006626111619417564,0.001428490107626428,0.7683823529411765,0.0008721472039986216,0.0022323878633216895,0.7647058823529411,False,0.00342168480023484,False,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.625,0.625,-0.0001055227509722193,0.004548907596215653
micro_distance_a0.03,micro_distance,"mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,bad_axis_abs_load,raw05_a2c8_compat_energy",0.03,6,0.00035494770950239085,0.8529411764705882,0.000653757076408119,0.0016861593590792358,0.8161764705882353,0.0009112542721463557,0.0023902279480738538,0.7794117647058824,False,0.0034272713099296505,False,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,0.6875,0.6875,-0.00013952847265046684,0.004709276086606861
micro_distance_a0.3,micro_distance,"mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,bad_axis_abs_load,raw05_a2c8_compat_energy",0.3,6,0.0005394427197787717,0.7867647058823529,0.0007465208102410019,0.0015713855948494549,0.7794117647058824,0.0009443418535012285,0.0021871258545164435,0.7647058823529411,False,0.0035569830827198645,False,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.5625,0.5625,-0.0004122843559354913,0.004316843912597668
target_moves_a3,target_moves,"move_abs_a2c8_Q1,move_abs_a2c8_Q2,move_abs_a2c8_Q3,move_abs_a2c8_S1,move_abs_a2c8_S2,move_abs_a2c8_S3,move_abs_a2c8_S4,bad_axis_abs_load,raw05_a2c8_compat_energy",3.0,9,0.00046132758968062983,0.8455882352941176,0.0008337705358150997,0.0016701094215617542,0.7867647058823529,0.0010587437352759508,0.002345258703235706,0.7132352941176471,False,0.003738490101977945,False,submission_e176_abl_q2_to0p75_91e49725.csv,0.625,0.625,-0.0003335043891408271,0.004320482542674462
micro_distance_a1,micro_distance,"mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,bad_axis_abs_load,raw05_a2c8_compat_energy",1.0,6,0.0006522959363560175,0.7941176470588235,0.0008402873223473453,0.0017122643999358186,0.7169117647058824,0.001009391950752369,0.002067714210977038,0.6397058823529411,False,0.0037401621677645635,False,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.625,0.625,-0.000588583611627096,0.004084081171507843
target_moves_a10,target_moves,"move_abs_a2c8_Q1,move_abs_a2c8_Q2,move_abs_a2c8_Q3,move_abs_a2c8_S1,move_abs_a2c8_S2,move_abs_a2c8_S3,move_abs_a2c8_S4,bad_axis_abs_load,raw05_a2c8_compat_energy",10.0,9,0.000650955209672004,0.7647058823529411,0.0008722947997434621,0.0017946516072085813,0.7242647058823529,0.0010205963719107296,0.002043069572023756,0.6838235294117647,False,0.0037699111963235684,False,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.625,0.625,-0.0004066738796019603,0.004055532116551385
micro_distance_a10,micro_distance,"mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,bad_axis_abs_load,raw05_a2c8_compat_energy",10.0,6,0.0007750248295566222,0.6691176470588235,0.0008964255901528236,0.001857350596541385,0.6691176470588235,0.00098899393260864,0.0019510236995997883,0.6544117647058824,False,0.003790009274903421,False,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.5,0.5,-0.0005568900590532331,0.0038128480941711767
micro_distance_a3,micro_distance,"mean_abs_move_vs_a2c8,mean_abs_move_vs_raw05,rms_move_vs_a2c8,max_abs_move_vs_a2c8,bad_axis_abs_load,raw05_a2c8_compat_energy",3.0,6,0.0007275896516902489,0.6911764705882353,0.0008873778608012778,0.0018470787731975418,0.6580882352941176,0.0010236961023345475,0.0019492777515752535,0.6470588235294118,False,0.0038112161140227765,False,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.5,0.5,-0.0005861823303684343,0.003948933879834267
target_moves_a1,target_moves,"move_abs_a2c8_Q1,move_abs_a2c8_Q2,move_abs_a2c8_Q3,move_abs_a2c8_S1,move_abs_a2c8_S2,move_abs_a2c8_S3,move_abs_a2c8_S4,bad_axis_abs_load,raw05_a2c8_compat_energy",1.0,9,0.00032550263170365144,0.8676470588235294,0.0008408530531337713,0.001701139781082036,0.7904411764705882,0.0011853072154845855,0.0029367937204637018,0.7279411764705882,False,0.0038366349353354456,False,submission_e176_abl_q2_to0p75_91e49725.csv,0.625,0.625,-0.0004793144985706722,0.004479624291431912
axis_compact_a10,axis_compact,"proj_a2c8,proj_raw05,proj_ordinal,proj_q2_bad,proj_resid_bad,proj_lejepa_bad,bad_axis_abs_load,good_span_residual_ratio",10.0,8,0.00032900777272673435,0.8088235294117647,0.0008399383209770912,0.0015353510128188585,0.7941176470588235,0.001303254739912397,0.0052988045424565665,0.7941176470588235,False,0.003910026434734919,False,submission_mixmin_0c916bb4.csv,0.625,0.625,-0.00014947618573036512,0.004592841527756744
