target_task,task_note,feature_set,model,split,n_labeled,n_pos,n_neg,n_features,covered_rate,n_eval,prevalence,ap,logloss,auc,ap_lift,perm_auc_p95,perm_ap_p95,auc_minus_perm_p95,valid_split_count,min_auc,mean_auc,min_ap_lift,min_auc_minus_perm_p95,latent_health_score,score_col
e247_body_vs_clean_neither,"diagnostic positive=current E247 body, negative=non-risk outside cells",cell_geometry,lr_l2_c0p35,aggregate,197,34,163,21,,,,,,,,,,,3.0,0.9989173583543846,0.9993985324191025,0.8227753765447195,0.4159148321905449,1.6402643669056296,score_e247_body_vs_clean_n_cell_geometry_lr_l2_c0p35
e247_body_vs_clean_neither,"diagnostic positive=current E247 body, negative=non-risk outside cells",human_plus_oldlaw_context,lr_l1_c0p22,aggregate,197,34,163,80,,,,,,,,,,,3.0,0.9974738361602309,0.9978948634668591,0.8160718855555242,0.4307831107903284,1.6379937728677048,score_e247_body_vs_clean_n_human_plus_oldlaw__lr_l1_c0p22
e247_body_vs_clean_neither,"diagnostic positive=current E247 body, negative=non-risk outside cells",cell_geometry,lr_l1_c0p22,aggregate,197,34,163,21,,,,,,,,,,,3.0,0.9974738361602309,0.9977745699506796,0.8163303333571659,0.41540959942259104,1.6357610519041557,score_e247_body_vs_clean_n_cell_geometry_lr_l1_c0p22
e247_body_vs_clean_neither,"diagnostic positive=current E247 body, negative=non-risk outside cells",human_plus_geometry,lr_l1_c0p22,aggregate,197,34,163,75,,,,,,,,,,,3.0,0.9945867917719236,0.995609286659449,0.8047605597066916,0.4099242150848068,1.6268819695821835,score_e247_body_vs_clean_n_human_plus_geometr_lr_l1_c0p22
e247_body_vs_clean_neither,"diagnostic positive=current E247 body, negative=non-risk outside cells",human_plus_oldlaw_context,lr_l2_c0p35,aggregate,197,34,163,80,,,,,,,,,,,3.0,0.9889931432695778,0.9929628293035005,0.7747664464921444,0.4390472753518585,1.6129975204950895,score_e247_body_vs_clean_n_human_plus_oldlaw__lr_l2_c0p35
e247_body_vs_clean_neither,"diagnostic positive=current E247 body, negative=non-risk outside cells",human_plus_geometry,lr_l2_c0p35,aggregate,197,34,163,75,,,,,,,,,,,3.0,0.9864669794298088,0.9908576927703597,0.7631310986637494,0.3924215084806929,1.5982970683600024,score_e247_body_vs_clean_n_human_plus_geometr_lr_l2_c0p35
e247_common_vs_e284_extra,"positive=E247/E256 common core, negative=E284 old-law extra outside E247",human_plus_geometry,lr_l1_c0p22,aggregate,71,21,50,75,,,,,,,,,,,3.0,1.0,1.0,0.631578947368421,0.36857142857142866,1.5579172932330827,score_e247_common_vs_e284__human_plus_geometr_lr_l1_c0p22
e247_common_vs_e284_extra,"positive=E247/E256 common core, negative=E284 old-law extra outside E247",cell_geometry,lr_l1_c0p22,aggregate,71,21,50,21,,,,,,,,,,,3.0,1.0,1.0,0.631578947368421,0.3398095238095239,1.553603007518797,score_e247_common_vs_e284__cell_geometry_lr_l1_c0p22
e247_common_vs_e284_extra,"positive=E247/E256 common core, negative=E284 old-law extra outside E247",cell_geometry,lr_l2_c0p35,aggregate,71,21,50,21,,,,,,,,,,,3.0,0.9990476190476191,0.9996825396825396,0.631578947368421,0.33866666666666667,1.5523998329156223,score_e247_common_vs_e284__cell_geometry_lr_l2_c0p35
e247_common_vs_e284_extra,"positive=E247/E256 common core, negative=E284 old-law extra outside E247",human_plus_oldlaw_context,lr_l1_c0p22,aggregate,71,21,50,80,,,,,,,,,,,3.0,1.0,1.0,0.631578947368421,0.3074285714285715,1.548745864661654,score_e247_common_vs_e284__human_plus_oldlaw__lr_l1_c0p22
