episode,target,instances,strict_instances,robust_instances,best_delta,mean_delta,best_p_value,worst_min_mode_dominance,mean_margin_q05,best_state_corr,pair_gate
bedtime_arousal,S1,2,2,1,-0.017000262889500073,-0.011957563601912913,0.010362694300518135,0.90625,0.005434440242545999,0.729084828555957,True
bedtime_arousal,S3,1,1,1,-0.016375964985038793,-0.016375964985038793,0.010362694300518135,0.984375,0.007563003788298023,0.5847315913579327,True
routine_anchor_recovery,S2,3,2,1,-0.009187161068898941,-0.00490994362971849,0.010362694300518135,0.875,0.000776810873322409,0.6383179390172588,False
routine_fragmentation,S3,2,2,1,-0.0077848083107663335,-0.0060517221049512515,0.010362694300518135,0.9375,0.0025425840710626537,0.5552814690406135,False
routine_fragmentation,S1,2,1,1,-0.011594630335861833,-0.01069932975779564,0.010362694300518135,0.890625,0.003616247722056671,0.3400415050638974,False
cashflow_stress,S1,3,3,0,-0.017243504261813647,-0.012623907792208752,0.015544041450777202,0.9375,0.00378383687426776,0.5780433765723039,False
home_recovery,S3,3,3,0,-0.00950853837688459,-0.007613984278341775,0.015544041450777202,0.90625,0.002549342591653575,0.4878612898679398,False
social_overload,S3,4,2,0,-0.011342651395506609,-0.005485868509189279,0.046632124352331605,0.734375,-0.0006125866311596298,0.8048288309994457,False
routine_anchor_recovery,S3,2,2,0,-0.004538114606526311,-0.004074453231060204,0.025906735751295335,0.953125,0.0012009677799266762,0.6383179390172588,False
cashflow_stress,Q1,2,1,0,-0.0030499350208391673,-0.002363123836484571,0.031088082901554404,0.859375,-0.00015463972144806018,0.5780433765723039,False
badnight_aftereffect,Q3,1,0,0,-0.015000043451713685,-0.015000043451713685,0.11398963730569948,0.671875,-0.004854666063001011,0.3587012972131068,False
routine_anchor_recovery,S1,2,0,0,-0.01069960801657066,-0.006172469168967354,0.10880829015544041,0.703125,-0.003862416919004797,0.32797631725849524,False
badnight_aftereffect,Q1,2,0,0,-0.006495824169153841,-0.0040204123589521745,0.05699481865284974,0.796875,-0.0010516033563612935,0.7997401801816698,False
badnight_aftereffect,S4,2,0,0,-0.003667793711126688,-0.0027316229071954745,0.09844559585492228,0.796875,-0.0015832819048378992,0.7997401801816698,False
badnight_aftereffect,S2,2,0,0,-0.0016343351514004345,-0.001620975869557617,0.05181347150259067,0.78125,-0.0015962484009099914,0.7594217356245341,False
