experiment,outcome_quadrant,n,targets,best_actual_p90,median_null_strict_rate,min_readiness_distance
e279,null_rare_but_no_selector_edge,46,multi,-2.6448964026809357e-05,0.0,0.5475403942248959
e279,visible_but_null_common,13,multi,-0.0001293142160211,0.9523809523809524,1.092857142857143
e279,adverse_or_no_edge,7,multi,-4.87798391710768e-05,0.3809523809523809,1.6416963513051137
e284,null_rare_but_no_selector_edge,9,"contrast,risk",2.522348360717347e-05,0.0,0.6989001564746999
e285,null_rare_but_no_selector_edge,158,multi,-3.480541969471926e-06,0.0,0.546519458030528
e286,null_rare_but_no_selector_edge,533,"e247_body_vs_clean_neither,e247_common_vs_e284_extra,e247_only_vs_e256_only",-4.493139560518299e-06,0.0,0.5506300837348936
e287,null_rare_but_no_selector_edge,3,multi,-3.497272468265565e-05,0.0,1.3269320372221065
e289,null_rare_but_no_selector_edge,15,"Q3,S1,S4",1.036883730957514e-05,0.0,0.7868499462906
e289,visible_but_null_common,12,"Q3,S4",-0.0004174271326008,1.0,1.05
e289,adverse_or_no_edge,1,S1,9.58926872736722e-06,0.2666666666666666,1.8429226020607004
e290,visible_but_null_common,33,Q3,-0.0003082526114092,1.0,0.9333333333333333
e290,null_rare_but_no_selector_edge,12,Q3,-2.923243482979808e-05,0.0,1.4816459130436335
e290,adverse_or_no_edge,3,Q3,-4.838757270128962e-05,0.3333333333333333,2.1283318035914993
e291,null_rare_but_no_selector_edge,22,"Q3,S4",-4.634094614540992e-05,0.0,0.7823586556138
e291,visible_but_null_common,18,"Q3,S4",-0.0003141511233707,1.0,0.9
e292,null_rare_but_no_selector_edge,38,"Q3,S4",-4.36309711142748e-05,0.0,0.5397023622190585
e292,visible_but_null_common,16,"Q3,S4",-0.0001566791533376,1.0,0.9333333333333333
e292,visible_but_null_not_rare,2,S4,-5.258217398978411e-05,0.16666666666666666,0.2666666666666666
e293,visible_but_null_common,48,multi,-0.0002676222838103,1.0,0.6857142857142857
e293,null_rare_but_no_selector_edge,14,multi,-4.442209756288349e-05,0.0,0.7823365639037513
e293,adverse_or_no_edge,2,multi,-4.99605822630679e-05,0.1428571428571428,0.8143251320226463
e297,visible_but_null_common,20,S1,-0.00056547497621,1.0,0.7428571428571429
e297,null_rare_but_no_selector_edge,17,"S1,S2,S3",-4.887624306160008e-05,0.0,0.5011237569384
e297,adverse_or_no_edge,2,S1,-4.933799009525144e-05,0.30952380952380953,0.9010714360233687
