policy,sources,selected_actual_rate,selected_row_rate,selected_subject_rate,selected_dateblock_rate,oracle_mode_accuracy,visible_rate,joint_health_rate,p90_rank_health_mean,mean_rank_health_mean,health_score_mean,target_p90_mean,target_mean_mean,delta_p90_vs_actual,delta_mean_vs_actual,delta_rank_vs_actual,delta_health_score_vs_actual,selected_paths_found
oracle_p90_rank,67,0.029850746268656716,0.23880597014925373,0.4626865671641791,0.26865671641791045,1.0,0.8059701492537313,0.582089552238806,0.9375,0.6436567164179104,4.387126865671642,-0.0003508583281611716,-0.0007171831950189702,-5.104058211800011e-05,-1.6537747829537337e-05,0.31716417910447764,0.6819029850746269,67
oracle_health_score,67,0.0,0.07462686567164178,0.6417910447761194,0.2835820895522388,0.582089552238806,0.9850746268656716,0.7014925373134329,0.8218283582089553,0.8414179104477612,4.648320895522388,-0.00033570846003953163,-0.0007756141672520866,-3.5890713996360106e-05,-7.496872006265375e-05,0.20149253731343283,0.9430970149253731,67
human_identity_action_p90_rank,67,0.08955223880597014,0.14925373134328357,0.5522388059701493,0.208955223880597,0.582089552238806,0.7313432835820896,0.31343283582089554,0.6492537313432836,0.5792910447761194,3.9598880597014925,-0.00030691394096593377,-0.0007205298747377539,-7.096194922762246e-06,-1.988442754832122e-05,0.028917910447761194,0.25466417910447764,67
human_action_p90_rank,67,0.13432835820895522,0.208955223880597,0.4626865671641791,0.19402985074626866,0.5522388059701493,0.7014925373134329,0.26865671641791045,0.6436567164179104,0.5569029850746269,3.90205223880597,-0.00030411778735694127,-0.0007206176682286151,-4.300041313769708e-06,-1.997222103918241e-05,0.02332089552238806,0.19682835820895522,67
actual_baseline,67,1.0,0.0,0.0,0.0,0.029850746268656716,0.6268656716417911,0.13432835820895522,0.6203358208955224,0.45802238805970147,3.705223880597015,-0.0002998177460431716,-0.0007006454471894329,0.0,0.0,0.0,0.0,67
joint_shape_identity,67,0.0,0.0,1.0,0.0,0.4626865671641791,0.835820895522388,0.2537313432835821,0.601679104477612,0.6194029850746269,4.041977611940299,-0.00030068828250192004,-0.0007292947311972708,-8.705364587485085e-07,-2.864928400783803e-05,-0.018656716417910446,0.33675373134328357,67
regime_then_geometry,67,0.04477611940298507,0.04477611940298507,0.7611940298507462,0.14925373134328357,0.47761194029850745,0.8208955223880597,0.31343283582089554,0.601679104477612,0.628731343283582,4.0513059701492535,-0.0003025770637341748,-0.0007366773527090137,-2.7593176910032207e-06,-3.603190551958093e-05,-0.018656716417910446,0.3460820895522388,67
health_human_action,67,0.014925373134328358,0.13432835820895522,0.5970149253731343,0.2537313432835821,0.43283582089552236,0.8507462686567164,0.2835820895522388,0.5951492537313433,0.6632462686567164,4.1091417910447765,-0.0003049031996828187,-0.000737938674693609,-5.08545363964713e-06,-3.729322750417616e-05,-0.025186567164179104,0.4039179104477612,67
geometry_health_only,67,0.0,0.0,1.0,0.0,0.4626865671641791,0.8208955223880597,0.2835820895522388,0.5923507462686567,0.6240671641791045,4.022388059701493,-0.00030071468840472894,-0.000733083062645023,-8.969423615574476e-07,-3.2437615455590274e-05,-0.027985074626865673,0.31716417910447764,67
human_p90_rank,67,0.19402985074626866,0.08955223880597014,0.47761194029850745,0.23880597014925373,0.43283582089552236,0.7014925373134329,0.26865671641791045,0.5876865671641791,0.5541044776119403,3.843283582089552,-0.00029584349070156495,-0.0007179107250078734,3.9742553416065864e-06,-1.7265277818440614e-05,-0.03264925373134328,0.13805970149253732,67
health_human_identity_action,67,0.0,0.07462686567164178,0.6716417910447762,0.2537313432835821,0.44776119402985076,0.8805970149253731,0.23880597014925373,0.566231343283582,0.7042910447761194,4.151119402985074,-0.00030096226508434136,-0.0007448353877362553,-1.1445190411698281e-06,-4.418994054682242e-05,-0.054104477611940295,0.4458955223880597,67
joint_human_action,67,0.0,0.13432835820895522,0.47761194029850745,0.3880597014925373,0.43283582089552236,0.7761194029850746,0.2835820895522388,0.5447761194029851,0.6259328358208955,3.90205223880597,-0.0002933129773240593,-0.0007336255305740949,6.504768719112275e-06,-3.298008338466203e-05,-0.07555970149253731,0.19682835820895522,67
human_regime_only,67,0.04477611940298507,0.07462686567164178,0.6268656716417911,0.2537313432835821,0.3880597014925373,0.8507462686567164,0.2835820895522388,0.5373134328358209,0.5960820895522388,3.984141791044776,-0.00029521823509040545,-0.0007308186678930689,4.599510952766109e-06,-3.017322070363615e-05,-0.0830223880597015,0.2789179104477612,67
