mode,mean_dominance,min_dominance,p25_dominance,pass_0p8_count,pass_0p8_rate,section,killer_mode,count,null_threshold,base_count,pass_p90_dom,pass_mean_dom,pass_worst_dom,all_promotion_except_null_threshold
subject,0.6117021276595744,0.0,0.25,16.0,0.3404255319148936,mode_dominance,,,,,,,,
dateblock,0.7021276595744681,0.0,0.5,22.0,0.46808510638297873,mode_dominance,,,,,,,,
row,0.7553191489361702,0.25,0.5,21.0,0.44680851063829785,mode_dominance,,,,,,,,
q_s_swap,0.9787234042553191,0.0,1.0,46.0,0.9787234042553191,mode_dominance,,,,,,,,
sign_flip,1.0,1.0,1.0,47.0,1.0,mode_dominance,,,,,,,,
target_perm,1.0,1.0,1.0,47.0,1.0,mode_dominance,,,,,,,,
,,,,,,killer_counts,row,16.0,,,,,,
,,,,,,killer_counts,subject,15.0,,,,,,
,,,,,,killer_counts,dateblock,15.0,,,,,,
,,,,,,killer_counts,q_s_swap,1.0,,,,,,
,,,,,,relaxed_gates,,,0.0,2.0,0.0,0.0,0.0,0.0
,,,,,,relaxed_gates,,,0.05,2.0,0.0,0.0,0.0,0.0
,,,,,,relaxed_gates,,,0.1,2.0,0.0,0.0,0.0,0.0
,,,,,,relaxed_gates,,,0.2,3.0,1.0,1.0,1.0,1.0
,,,,,,relaxed_gates,,,0.35,9.0,4.0,5.0,3.0,3.0
,,,,,,relaxed_gates,,,0.5,19.0,9.0,10.0,8.0,8.0
