level,mode,task,feature_block,n,groups,positive_rate,auc,average_precision,logloss,spearman,pred_mean,pearson,rmse,top10_actual_ready_like,top10_mean_actual_health
pair,row,p90_win,actual_geometry,188,47,0.7553191489361702,0.6267605633802817,0.841838441385217,0.7944944557159124,0.18881580561675504,0.5345723741257236,,,,
pair,row,mean_win,actual_geometry,188,47,0.9840425531914894,0.9108108108108108,0.9983805887966011,0.3253040212912482,0.1783690308415036,0.8225606646084173,,,,
pair,row,null_not_strict,actual_geometry,188,47,0.5106382978723404,0.5407608695652174,0.6112834567358333,0.7359828582888086,0.07059989704764445,0.4779677692175033,,,,
pair,row,pair_health,actual_geometry,188,47,0.40425531914893614,0.6000939849624061,0.5184880904694426,0.7235002553097337,0.1701981693313409,0.45144114597441803,,,,
pair,row,actual_p90_minus_null_p90,actual_geometry,188,47,,,,,0.4896191241080804,-0.00012255768469557544,0.6323190624423184,0.00020666669333692923,,
pair,row,actual_mean_minus_null_mean,actual_geometry,188,47,,,,,0.6370063159494758,-0.0004961701772542888,0.6752171598201763,0.00018411176730356223,,
pair,row,p90_win,pair_delta_geometry,188,47,0.7553191489361702,0.8398652786282916,0.9401950321022634,0.5237076050856484,0.506137836195194,0.6046270402706458,,,,
pair,row,mean_win,pair_delta_geometry,188,47,0.9840425531914894,0.9243243243243243,0.9986593736509355,0.1861186945318319,0.18419733292876211,0.8607450430107043,,,,
pair,row,null_not_strict,pair_delta_geometry,188,47,0.5106382978723404,0.5101902173913043,0.5345110488687665,0.8399273875856941,0.01764622843231781,0.48697223938052187,,,,
pair,row,pair_health,pair_delta_geometry,188,47,0.40425531914893614,0.6896146616541353,0.6250458693152698,0.6420586520891783,0.3223492325505412,0.4652423489407644,,,,
pair,row,actual_p90_minus_null_p90,pair_delta_geometry,188,47,,,,,0.7053206840440883,-0.00014267144017139416,0.7593258492212724,0.0001623893664043463,,
pair,row,actual_mean_minus_null_mean,pair_delta_geometry,188,47,,,,,0.9954633045997251,-0.0005080781245598297,0.9960386700148856,2.66459337108208e-05,,
pair,row,p90_win,actual_plus_null_geometry,188,47,0.7553191489361702,0.6570728720146969,0.8490946200494549,0.8212356285435249,0.23391775672804918,0.5461532493308627,,,,
pair,row,mean_win,actual_plus_null_geometry,188,47,0.9840425531914894,0.9297297297297297,0.9987540017983078,0.20388824998144733,0.18654379576861893,0.850027864564004,,,,
pair,row,null_not_strict,actual_plus_null_geometry,188,47,0.5106382978723404,0.553328804347826,0.5862378727381573,0.7909450212583291,0.09234859546246323,0.4784888122913347,,,,
pair,row,pair_health,actual_plus_null_geometry,188,47,0.40425531914893614,0.6260573308270676,0.5521272951507658,0.7425571471950255,0.21430032622474027,0.44592964903774485,,,,
pair,row,actual_p90_minus_null_p90,actual_plus_null_geometry,188,47,,,,,0.5755986469378208,-0.00011757710696986122,0.6677296073539374,0.0002023196534816332,,
pair,row,actual_mean_minus_null_mean,actual_plus_null_geometry,188,47,,,,,0.863868435833392,-0.0004938708651376138,0.8714580375353891,0.00012461654264531781,,
pair,row,p90_win,full_pair_geometry,188,47,0.7553191489361702,0.82103490508267,0.9321719584681749,0.5564537985048336,0.47809506418978465,0.6033301302333081,,,,
pair,row,mean_win,full_pair_geometry,188,47,0.9840425531914894,0.9135135135135135,0.9984607048753387,0.18691465628494194,0.1795044072490484,0.8624672591355775,,,,
pair,row,null_not_strict,full_pair_geometry,188,47,0.5106382978723404,0.544044384057971,0.574864298563196,0.872603409658434,0.07627092066857365,0.4835444803051826,,,,
pair,row,pair_health,full_pair_geometry,188,47,0.40425531914893614,0.6805686090225564,0.6509222227307779,0.6741839424204389,0.3069707375651684,0.4518453321137089,,,,
pair,row,actual_p90_minus_null_p90,full_pair_geometry,188,47,,,,,0.7317227342258631,-0.00013767356848004287,0.797571810239002,0.00015517841953358548,,
pair,row,actual_mean_minus_null_mean,full_pair_geometry,188,47,,,,,0.9926188399279763,-0.0005060212015639124,0.9942258955630581,3.0361373673658066e-05,,
pair,row,p90_win,route_meta_only,188,47,0.7553191489361702,0.606552357624005,0.8429456242937716,0.758797666347241,0.15871473515611292,0.5261945055242696,,,,
pair,row,mean_win,route_meta_only,188,47,0.9840425531914894,0.9108108108108108,0.9983805887966011,0.3255957623801231,0.1783690308415036,0.817929045120973,,,,
pair,row,null_not_strict,route_meta_only,188,47,0.5106382978723404,0.547554347826087,0.5859270743161766,0.7193831069615403,0.0823665465555852,0.4910870031221648,,,,
pair,row,pair_health,route_meta_only,188,47,0.40425531914893614,0.6071428571428572,0.5223129104322017,0.6876366536616593,0.18218395590397057,0.47168087952076226,,,,
pair,row,actual_p90_minus_null_p90,route_meta_only,188,47,,,,,0.38765909547419825,-0.0001343881555334995,0.5686797808421453,0.0002091386052995412,,
pair,row,actual_mean_minus_null_mean,route_meta_only,188,47,,,,,0.608132935294597,-0.000496334162625372,0.6321022736537698,0.00019333264670200415,,
pair,subject,p90_win,actual_geometry,188,47,0.6117021276595744,0.8287671232876713,0.8611339962701549,0.5047985079684093,0.5551749076482039,0.5563471548138045,,,,
pair,subject,mean_win,actual_geometry,188,47,0.5159574468085106,0.7755182961368529,0.710060352504801,0.6159221717744702,0.4770765878994148,0.47235229273656976,,,,
pair,subject,null_not_strict,actual_geometry,188,47,0.4574468085106383,0.6741906064751482,0.6111848596755363,0.6893928250695155,0.3006804142489441,0.48515901358042296,,,,
pair,subject,pair_health,actual_geometry,188,47,0.18617021276595744,0.6740429505135388,0.35713588317929734,0.6762249294788781,0.23472928286846456,0.32472203434121283,,,,
pair,subject,actual_p90_minus_null_p90,actual_geometry,188,47,,,,,0.6513924272817738,-2.985320766551427e-05,0.6340891495535341,8.697718139363777e-05,,
pair,subject,actual_mean_minus_null_mean,actual_geometry,188,47,,,,,0.5983856403738184,6.917199481512942e-06,0.64079776869349,0.0001032827370619724,,
pair,subject,p90_win,pair_delta_geometry,188,47,0.6117021276595744,0.932817153067302,0.961721532635514,0.3345560261150853,0.7307246063149812,0.5712908499288213,,,,
pair,subject,mean_win,pair_delta_geometry,188,47,0.5159574468085106,0.9468675654242665,0.949079003095812,0.3026689414869842,0.7736139897580153,0.4913140470204405,,,,
pair,subject,null_not_strict,pair_delta_geometry,188,47,0.4574468085106383,0.7330141358869129,0.7161024145800703,0.6609629930060923,0.4021337257706782,0.4844588363282088,,,,
pair,subject,pair_health,pair_delta_geometry,188,47,0.18617021276595744,0.7686274509803922,0.4894889761711447,0.5054411220561463,0.3622171810096633,0.31589329424557905,,,,
pair,subject,actual_p90_minus_null_p90,pair_delta_geometry,188,47,,,,,0.9049587597772829,-2.7928986142409042e-05,0.9003580355423122,4.783455829605013e-05,,
pair,subject,actual_mean_minus_null_mean,pair_delta_geometry,188,47,,,,,0.9953621680780629,5.507754679429585e-06,0.9963137496067787,1.4409353630426532e-05,,
pair,subject,p90_win,actual_plus_null_geometry,188,47,0.6117021276595744,0.8528886241810602,0.9015444827389717,0.4705848942964715,0.5957813805444149,0.5669493084485281,,,,
pair,subject,mean_win,actual_plus_null_geometry,188,47,0.5159574468085106,0.7859975076469922,0.7332431936343371,0.6193049560605224,0.4951168759396906,0.4856860256562146,,,,
pair,subject,null_not_strict,actual_plus_null_geometry,188,47,0.4574468085106383,0.751481988144095,0.7289899939086312,0.6744468487190372,0.4340053811399784,0.4742720008114139,,,,
pair,subject,pair_health,actual_plus_null_geometry,188,47,0.18617021276595744,0.6584500466853408,0.3775734469929102,0.7115743510195549,0.21365399936510207,0.30635161480890755,,,,
pair,subject,actual_p90_minus_null_p90,actual_plus_null_geometry,188,47,,,,,0.7078978593371584,-2.3873419029052643e-05,0.7128461394762385,7.802832815059766e-05,,
pair,subject,actual_mean_minus_null_mean,actual_plus_null_geometry,188,47,,,,,0.7414607364544786,6.16064609313765e-06,0.7415809419314233,8.987733260832187e-05,,
