basename,actual__min_prob,actual__max_prob,actual__mean_prob,actual__prob_span,actual__mean_abs_move_vs_stage2,actual__mean_abs_move_vs_raw05,actual__mean_abs_move_vs_a2c8,actual__rms_move_vs_a2c8,actual__max_abs_move_vs_a2c8,actual__move_abs_a2c8_Q1,actual__mean_prob_Q1,actual__move_abs_a2c8_Q2,actual__mean_prob_Q2,actual__move_abs_a2c8_Q3,actual__mean_prob_Q3,actual__move_abs_a2c8_S1,actual__mean_prob_S1,actual__move_abs_a2c8_S2,actual__mean_prob_S2,actual__move_abs_a2c8_S3,actual__mean_prob_S3,actual__move_abs_a2c8_S4,actual__mean_prob_S4,actual__proj_a2c8,actual__cos_a2c8,actual__proj_raw05,actual__cos_raw05,actual__proj_final9,actual__cos_final9,actual__proj_ordinal,actual__cos_ordinal,actual__proj_q2_bad,actual__cos_q2_bad,actual__proj_resid_bad,actual__cos_resid_bad,actual__proj_lejepa_bad,actual__cos_lejepa_bad,actual__bad_axis_abs_load,actual__bad_axis_positive_load,actual__good_axis_load,actual__good_span_residual_ratio,actual__bad_to_good_load_ratio,actual__raw05_a2c8_compat_energy,policy,recipe,group_key,base_variant,meta_source_count,meta_weight,meta_nonzero_rows,meta_nonzero_cells,meta_mean_abs_delta,meta_max_abs_delta,meta_l1_delta,meta_signed_delta_sum,meta_q_abs_share,meta_s_abs_share,meta_abs_Q1,meta_abs_Q2,meta_abs_Q3,meta_abs_S1,meta_abs_S2,meta_abs_S3,meta_abs_S4,mix_actual,mix_row,mix_subject,mix_dateblock,mix_actual_share,mix_row_share,mix_subject_share,mix_dateblock_share,previously_null_evaluated,old_strict_promote,old_info_sensor,actual_p90,actual_mean,actual_beats_current_rate,incremental_bad_axis_vs_current,pred_target_worst_placement_dominance,pred_null_strict_rate,pred_target_adversarial_health,pred_row_p90_dominance,pred_subject_p90_dominance,pred_dateblock_p90_dominance,pred_worst_placement_dominance,pred_adversarial_health,pred_ready_score,selection_reason,fresh_old_strict_promote,fresh_actual_mean,fresh_actual_p10,fresh_actual_p90,fresh_actual_beats_current_rate,fresh_null_count,fresh_null_strict_rate,fresh_p90_dominance,fresh_mean_dominance,fresh_worst_mode_p90_dominance,fresh_dateblock_p90_dominance,fresh_q_s_swap_p90_dominance,fresh_row_p90_dominance,fresh_sign_flip_p90_dominance,fresh_subject_p90_dominance,fresh_target_perm_p90_dominance,fresh_public_free_submission_ready,fresh_final_decision
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w8_00_b0dfdc5e.csv,0.063156583280465,0.9715428750543724,0.5939736963515344,0.9083862917739074,0.08063675672325268,0.06450417876699376,0.061646181362581876,0.09864367441513115,0.47181042044685273,0.07532516612673425,0.4929238551439167,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.0802808435528121,0.6594800850128681,0.03301601284580745,0.6346331809966811,0.10818834335893443,0.6483941146703626,0.04142229484797425,0.5654989620215859,1.100026645277085,0.5453526960415898,1.1443000135643489,0.5125595157070334,0.1748063157014295,0.34787423207340684,0.17996782695938784,0.28631380371293746,-0.01264962033049761,-0.012920072382271724,-0.09089918717195877,-0.1103548003683652,0.019945420361437368,0.026385341454991697,0.21347814134358767,0.1099293338411313,2.244326658841434,0.829570013422241,0.09511901505401639,0.09757821449827364,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_row2,18.0,8.0,98.0,128.0,0.0214693890598609,0.35,37.57143085475661,-6.828694254258775,0.2045459925130188,0.7954540074869813,7.685085614320451,0.0,0.0,12.32143569031106,0.0,17.564909550125105,0.0,0.0,1.0,15.0,2.0,0.0,0.05555555555555555,0.8333333333333334,0.1111111111111111,False,True,False,-0.0010768453906677784,-0.001844580590121588,1.0,0.013917876521162886,0.9350366178768139,0.09333900038750542,0.8416976174893085,1.013950594195649,1.0436884109806344,1.127379241140721,0.9350366178768139,0.8416976174893085,0.8183628673924321,guided_global,True,-0.001844580590121588,-0.0025384272287134434,-0.0010768453906677784,1.0,22,0.13636363636363635,0.9545454545454546,0.9090909090909091,0.8,0.8,1.0,1.0,1.0,1.0,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_vote2__c128__w8_00_b6aa3bb6.csv,0.063156583280465,0.9715428750543724,0.5939901800031597,0.9083862917739074,0.08059966887750675,0.06440647607290344,0.061488401398493465,0.09847581526116708,0.47181042044685273,0.07874728765935095,0.49268376191882807,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.07940763428854848,0.6595592090307566,0.03301601284580745,0.6346331809966811,0.10453497134196249,0.64867046943894,0.04142229484797425,0.5654989620215859,1.111084948305331,0.5500000799942252,1.1551133873732018,0.5166188443181972,0.1793345484076368,0.3563447243000086,0.1812309854355425,0.2878863640033458,-0.01264962033049761,-0.01290048908137811,-0.08951843034004894,-0.108513786219038,0.020345807371951206,0.026874208499376384,0.213129350760269,0.11096130008972246,2.266198335678533,0.8261077623728833,0.0940470863960845,0.09738543444750902,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_vote2,18.0,8.0,95.0,128.0,0.0212336728599256,0.35,37.15892750486992,-6.375928165102212,0.2341467767756198,0.7658532232243802,8.700643103704218,0.0,0.0,12.103133374245155,0.0,16.35515102692055,0.0,0.0,1.0,15.0,2.0,0.0,0.05555555555555555,0.8333333333333334,0.1111111111111111,False,True,False,-0.0011449425419868956,-0.0018316005104407728,1.0,0.013569085937844227,0.9892385045887218,0.14453862546323465,0.8446998791254874,1.0981007346152982,1.0603180925609565,1.1614257750059775,0.9892385045887218,0.8446998791254874,0.8085652227596785,guided_global,True,-0.0018316005104407728,-0.0024725889579839786,-0.0011449425419868956,1.0,22,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_regime_then_geometry__recipe_family_consensus__selected_maxmean__c128__w3_00_913e0d2c.csv,0.063156583280465,0.9715428750543724,0.5939369346768839,0.9083862917739074,0.08131076043893068,0.0654278812590646,0.06250908285843502,0.10109635257917493,0.47181042044685273,0.0842720265225095,0.4924944732478101,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.08002387553741096,0.6591731088484205,0.03301601284580745,0.6346331809966811,0.1055387614495324,0.648873141008364,0.04142229484797425,0.5654989620215859,1.1205289238704301,0.5432750832987437,1.1692133318919062,0.5121776374100471,0.17936050873826428,0.3490715258711683,0.17422976410744664,0.27107671790066,-0.01264962033049761,-0.012635353680400413,-0.08947584598034534,-0.10623301299637518,0.019840508481266988,0.02566816246565266,0.20908085684583327,0.10695539053499031,2.289742255762336,0.8321441211365369,0.09131196152246004,0.09876371432356973,regime_then_geometry,policy_recipe,regime_then_geometry__recipe_family_consensus,selected_maxmean,18.0,3.0,90.0,128.0,0.0218895579862194,0.35,38.30672647588409,-7.563052765177668,0.2534738153727203,0.7465261846272796,9.70975211428154,0.0,0.0,12.159599838077872,0.0,16.437374523524674,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.8888888888888888,0.1111111111111111,False,True,False,-0.001062952063945874,-0.0017737790560842868,1.0,0.009520592023408492,0.9019239728254143,0.11569475997611278,0.7862292128493015,1.015555116546257,0.8990801815773095,1.21105323807462,0.9019239728254143,0.7862292128493015,0.7573055228552733,guided_global,True,-0.0017737790560842868,-0.0024412771722259123,-0.001062952063945874,1.0,22,0.2727272727272727,0.8181818181818182,0.8636363636363636,0.6,0.6,1.0,1.0,1.0,0.6,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_vote2__call__w3_00_2409a948.csv,0.0681101766719186,0.9752871840116872,0.5941234191633193,0.9071770073397687,0.0715631588259415,0.054991884420011204,0.05208743174559844,0.07533257813412302,0.4066168641034884,0.06073900547256079,0.49392076373161614,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06267206527050548,0.6592818083129958,0.03301601284580745,0.6346331809966811,0.07347203497653049,0.6486435424650304,0.04142229484797425,0.5654989620215859,1.0841492579821268,0.6431761751789039,1.1309955239573188,0.6062222833048003,0.17408326327349122,0.4145613143314153,0.17820281396769974,0.3392568175326064,-0.01264962033049761,-0.015460785645472128,-0.09355827168598475,-0.1359189567423011,0.019105992250921192,0.030245149431878282,0.21441529125125341,0.10820739923477106,2.2151447819394456,0.7541679590743318,0.09679515890005587,0.08398039449048278,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_vote2,18.0,3.0,118.0,215.0,0.0129644010058282,0.35,22.687701760199488,-4.715472236526786,0.2350548795924376,0.7649451204075626,5.332855005472825,0.0,0.0,8.35888967200714,0.0,8.995957082719524,0.0,0.0,1.0,15.0,2.0,0.0,0.05555555555555555,0.8333333333333334,0.1111111111111111,False,True,False,-0.0006914427171521953,-0.0009614656400206515,1.0,0.014855026428828633,0.7907339204676922,0.40917228294515695,0.38156163752253514,1.1279588988118003,0.9100806927490783,0.8588490301386302,0.7907339204676922,0.38156163752253514,0.279268566786246,guided_global,True,-0.0009614656400206515,-0.0013272638693950266,-0.0006914427171521953,1.0,22,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_row2__c128__w3_00_00c567e5.csv,0.0681101766719186,0.9752871840116872,0.5940146467854026,0.9071770073397687,0.07139982704916374,0.05463879114794985,0.0517174476189724,0.07495391147972583,0.4066168641034884,0.05857491507407006,0.49378401719536646,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06255689793046883,0.6589548948874522,0.03301601284580745,0.6346331809966811,0.07316140382867559,0.6483457957814068,0.04142229484797425,0.5654989620215859,1.0817850135881086,0.6442161817321764,1.1278677786412796,0.6068467026351992,0.17394019940812402,0.4157971554919429,0.1775388766287767,0.33927924317449676,-0.01264962033049761,-0.015519629742491462,-0.09528832657264387,-0.1389592108153625,0.017122033707486484,0.027207665646508287,0.21382941892501633,0.10589147202187484,2.209652792229388,0.7529101303683962,0.09677059653001253,0.08347644040214941,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_row2,18.0,3.0,98.0,128.0,0.0114929923722807,0.35,20.11273665149126,-6.005706223564976,0.1724307564098866,0.8275692435901134,3.468054394289488,0.0,0.0,7.890449284725236,0.0,8.754232972476535,0.0,0.0,1.0,15.0,2.0,0.0,0.05555555555555555,0.8333333333333334,0.1111111111111111,False,True,False,-0.000670962047999147,-0.0009699835166060717,1.0,0.014269154102591552,0.7798327089187755,0.34437317869458156,0.4354595302241938,1.0627776382023972,0.8988336938153703,0.8997452160743448,0.7798327089187755,0.4354595302241938,0.3493662355505486,guided_global,True,-0.0009699835166060717,-0.0013218231097948555,-0.000670962047999147,1.0,22,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_maxmean__c128__w3_00_3f0dceb3.csv,0.063156583280465,0.9715428750543724,0.5939796750763905,0.9083862917739074,0.08129760599318771,0.06516502803692877,0.0623070306325169,0.10025122905880725,0.47181042044685273,0.07672550421056465,0.49294759204079275,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.08130125375004374,0.6595656590205815,0.03301601284580745,0.6346331809966811,0.11039353996741752,0.6483266548397665,0.04142229484797425,0.5654989620215859,1.100954341399825,0.5394777495402288,1.145452330168536,0.5071207567578246,0.17421408040768965,0.34267179791301294,0.17969695894585927,0.282564833331364,-0.01264962033049761,-0.01277011816668038,-0.0899678747435756,-0.10795646629605772,0.01998491945261583,0.026130751297217328,0.2124508939996187,0.10983339892554547,2.2464066715683613,0.8336496232207636,0.09457365694018322,0.0984957484005116,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_maxmean,18.0,3.0,98.0,128.0,0.0221302383297959,0.35,38.727917077142905,-6.763032481567055,0.2074774669464572,0.7925225330535427,8.035170135278054,0.0,0.0,12.576538239618973,0.0,18.11620870224588,0.0,0.0,1.0,15.0,2.0,0.0,0.05555555555555555,0.8333333333333334,0.1111111111111111,False,True,False,-0.0011003949133358973,-0.0018760221976326624,1.0,0.012890629177193913,0.7859809478147757,0.12110159292143491,0.664879354893341,0.89294293224466,0.9437288098715222,1.090424804565149,0.7859809478147757,0.664879354893341,0.6346039566629822,guided_global,True,-0.0018760221976326624,-0.002593093878093276,-0.0011003949133358973,1.0,22,0.3181818181818182,0.9090909090909091,0.9090909090909091,0.6,0.6,1.0,1.0,1.0,1.0,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_regime_then_geometry__recipe_family_consensus__selected_maxmean__c128__w5_00_20b420b7.csv,0.063156583280465,0.9715428750543724,0.5941393259032189,0.9083862917739074,0.08453331596581705,0.06865043678595098,0.06573163838532141,0.10925211758231958,0.47181042044685273,0.09503390620007576,0.49362043044614257,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.08542084465834651,0.6597772257097984,0.03301601284580745,0.6346331809966811,0.1119378013392352,0.6485598055329983,0.04142229484797425,0.5654989620215859,1.1092386516693986,0.5096375419410444,1.1570386117078502,0.48030201455062677,0.17765224921828826,0.3276408244395109,0.17136948403284338,0.2526638221550115,-0.01264962033049761,-0.011973665055965907,-0.08504270768837036,-0.09568204912712801,0.018547384766981968,0.022738633675445416,0.2019244548022716,0.10423212678340366,2.2662772633772486,0.8539248182347863,0.08909962517660368,0.1032246252251954,regime_then_geometry,policy_recipe,regime_then_geometry__recipe_family_consensus,selected_maxmean,18.0,5.0,90.0,128.0,0.0251121135131058,0.35,43.94619864793525,-5.600833937136519,0.282168251525339,0.7178317484746608,12.400222033673108,0.0,0.0,13.508842118311762,0.0,18.037134495950372,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.8888888888888888,0.1111111111111111,False,True,False,-0.0008790766421145526,-0.0015575198491867984,1.0,0.0023641899798468313,0.8981860350247248,0.18337188346868158,0.7148141515560434,0.9102249451345923,1.0355091563248797,1.2598961020531583,0.8981860350247248,0.7148141515560434,0.6689711806888728,guided_global,True,-0.0015575198491867984,-0.00236797801287745,-0.0008790766421145526,1.0,22,0.3181818181818182,0.9545454545454546,0.8181818181818182,0.8,0.8,1.0,1.0,1.0,1.0,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_regime_then_geometry__recipe_family_consensus__selected_maxmean__c128__w8_00_b25b3202.csv,0.063156583280465,0.9715428750543724,0.5942237483541972,0.9083862917739074,0.08502120245271119,0.06913832327284511,0.06621952487221555,0.11064911174188123,0.47181042044685273,0.0972330180653833,0.4940211102393645,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.08598547618509943,0.6598834790321442,0.03301601284580745,0.6346331809966811,0.11258926335543368,0.6486438295742789,0.04142229484797425,0.5654989620215859,1.1038804682876384,0.5029547439973081,1.1509432526467542,0.47379547534194544,0.17693899459290077,0.3236095253858157,0.170037863640543,0.24861404171516346,-0.01264962033049761,-0.011874013733898322,-0.08380859575101231,-0.09350878064614473,0.01819058610928614,0.022115604651512865,0.19966773401106758,0.10320951792955764,2.2548237209343927,0.8579128456524516,0.08855137191823334,0.10388930144481108,regime_then_geometry,policy_recipe,regime_then_geometry__recipe_family_consensus,selected_maxmean,18.0,8.0,90.0,128.0,0.0255999999999999,0.35,44.79999999999998,-4.9,0.2890624999999999,0.7109375000000001,12.949999999999992,0.0,0.0,13.649999999999991,0.0,18.2,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.8888888888888888,0.1111111111111111,False,True,False,-0.0007383431100605801,-0.0014405252461557848,1.0,0.00010746918864279476,0.9500757377341467,0.19160977258506506,0.758465965149082,0.9467426841898152,1.112964931066376,1.2689391170446407,0.9500757377341467,0.758465965149082,0.7105635220028155,guided_global,True,-0.0014405252461557848,-0.0022772478919875793,-0.0007383431100605801,1.0,22,0.3181818181818182,1.0,0.7727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_human_regime_only__recipe_family_consensus__selected_vote2__c128__w3_00_2c6c6a7f.csv,0.0681101766719186,0.9752871840116872,0.5940181159939353,0.9071770073397687,0.07150868682384572,0.05468841107881907,0.05170699027984353,0.07502734452572779,0.4066168641034884,0.05945814288322733,0.49368911820428907,0.025741513597124482,0.5486605446144907,0.0675490952086862,0.6082251320008355,0.06222944445636996,0.6589829597495698,0.03301601284580745,0.6346331809966811,0.07253242811971507,0.6484369143700951,0.04142229484797425,0.5654989620215859,1.0859318772237012,0.6453663966755724,1.1319227938195995,0.6077860252208188,0.17563828667295178,0.41899982366857474,0.17801256105733473,0.33949045585935383,-0.01264962033049761,-0.015487968397841863,-0.09477054276067767,-0.13792217736340667,0.017272178836429158,0.027390260214220318,0.2136986224562718,0.10627845936509653,2.217854671043301,0.7517451188951334,0.09635375353940215,0.08350878820255972,human_regime_only,policy_recipe,human_regime_only__recipe_family_consensus,selected_vote2,18.0,3.0,95.0,128.0,0.0114045987973049,0.35,19.958047895283748,-5.835918940131265,0.1928489435942242,0.8071510564057757,3.8488884528084015,0.0,0.0,7.808585916200522,0.0,8.300573526274825,0.0,0.0,1.0,15.0,2.0,0.0,0.05555555555555555,0.8333333333333334,0.1111111111111111,False,True,False,-0.0006955018886664065,-0.0009789686815743753,1.0,0.01413835763384702,0.7851143753782648,0.39918018947803097,0.38593418590023354,1.0960052522201753,0.9100735156237081,0.9123053889643034,0.7851143753782648,0.38593418590023354,0.28613913853072603,guided_global,True,-0.0009789686815743753,-0.0013178255032520974,-0.0006955018886664065,1.0,22,0.4090909090909091,0.9545454545454546,0.9090909090909091,0.8,0.8,1.0,1.0,1.0,1.0,1.0,False,blocked_by_e322_nulls
submission_e319_modespec_human_identity_action_p90_rank__all__blend35_maxmean__call__w3_00_2bba2e57.csv,0.068043111358154,0.9741825775129612,0.5949941087554862,0.9061394661548072,0.08244843087785719,0.06707888904535743,0.06445459449550026,0.10128447409138662,0.4321085000000031,0.07423122576520112,0.4945039448772991,0.025741513597124482,0.5486605446144907,0.0801117652576436,0.6068976140533139,0.10894909163427448,0.663661389493892,0.03301601284580745,0.6346331809966811,0.07471382428454239,0.6478189734419271,0.054418728083908234,0.5687831138108003,1.0288444775880894,0.5092326197970589,1.0747784052801947,0.48063517859910354,0.1691686306211118,0.3361067233098774,0.1787152979263821,0.2838581502501595,-0.01264962033049761,-0.012899033532056393,-0.07396592272032786,-0.08965099916448246,0.03769301892092451,0.04978203806487456,0.21366621093494104,0.12705066788411556,2.103622882868284,0.8546309393928218,0.10157058690198177,0.10138929967673485,human_identity_action_p90_rank,policy_all,human_identity_action_p90_rank__all,blend35_maxmean,67.0,3.0,244.0,755.0,0.0293310880189967,0.35,51.32940403324434,5.675825507223042,0.2780440717979754,0.7219559282020246,8.877663787719277,0.0,5.3941727126474035,23.99567959188678,0.0,9.101132101231643,3.96075583975924,6.0,10.0,37.0,14.0,0.08955223880597014,0.14925373134328357,0.5522388059701493,0.208955223880597,False,True,False,-0.0014525875960670165,-0.0030425148484702776,1.0,0.014105946112516254,0.10802840547830478,0.46536780779985476,-0.3573394023215498,0.6954654102886336,0.23918554802980935,0.19430830448865288,0.10802840547830478,-0.3573394023215498,-0.4736813542715136,guided_variant,True,-0.0030425148484702776,-0.004069138206541418,-0.0014525875960670165,1.0,22,0.45454545454545453,0.7272727272727273,0.7272727272727273,0.2,0.6,1.0,1.0,1.0,0.2,1.0,False,blocked_by_e322_nulls
