basename,target,feature,actual_abs_weighted_mean,actual_signed_weighted_mean,abs_z_worst_abs,abs_z_max_abs,signed_z_worst_abs,signed_z_max_abs,abs_worst_mode_dominance,signed_worst_mode_dominance,row_abs_z,subject_abs_z,dateblock_abs_z,row_signed_z,subject_signed_z,dateblock_signed_z,source,family,human_story
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,hstory__night_out_mobility,-0.2324039507791528,-0.3848703911769813,2.3163295059344358,2.54025408140056,2.8715461323350517,4.31936783397411,0.9921875,0.9921875,-2.4035450572893846,-2.54025408140056,-2.3163295059344358,-4.31936783397411,-3.1127622992335073,-2.8715461323350517,human_social,nightlife_mobility,"Late/deepnight movement, public ambience, weak charging."
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,Q1,e280__night_out_mobility,-0.049530924027520545,-0.2507488447800624,1.8274460884974937,2.0174319891774077,2.740339887124753,3.7759437078085365,0.96875,0.984375,-1.9232899380909674,-2.0174319891774077,-1.8274460884974937,-3.7759437078085365,-2.8509344878199516,-2.740339887124753,human_social,mobility_context,"Late/deepnight movement, public ambience, weak charging."
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,e280__phone_in_bed,-0.29696341438652624,-0.3311019202438229,0.8630638909688948,1.897595817656699,2.6838215668478895,3.3689754847543556,0.828125,0.9921875,-0.8630638909688948,-1.897595817656699,-1.530593456755924,-3.3689754847543556,-2.932316061804283,-2.6838215668478895,human_social,bedtime_phone,Screen use while phone is charging at presleep.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__phone_in_bed,-0.06819328882204834,-0.2921020763942684,0.5406375055884889,1.718615637723928,2.5402857046238783,3.167569716829964,0.7109375,0.9921875,-0.5406375055884889,-1.718615637723928,-1.3039660230856247,-3.167569716829964,-2.8938625591598566,-2.5402857046238783,human_social,sleep_fragment,Screen use while phone is charging at presleep.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,episode__bedtime_arousal,-0.07321584592460337,-0.3146943590169833,0.2878100268634872,1.437511664013782,2.5360659061383024,2.9392799667926446,0.625,0.9921875,-0.2878100268634872,-0.9589827138482503,-1.437511664013782,-2.5360659061383024,-2.9392799667926446,-2.663119087519995,episode,bedtime_arousal,"bright screen, messages, search spiral, media/game and phone-in-bed before sleep"
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__home_stability,0.12434831810038852,-0.2918463420530325,0.4581100506877963,1.9818070954252318,2.4823255208406976,2.6884560086490223,0.65625,0.984375,0.4581100506877963,-1.2913598440023477,-1.9818070954252318,-2.6884560086490223,-2.6697955085445537,-2.4823255208406976,human_social,routine_anchor,"Low GPS range, stable WiFi, charge, and low public ambience."
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__game_dopamine_late,-0.110251673644617,-0.25141171772795484,0.541890972588196,1.637127299656087,2.1358286647807057,2.7021110600351923,0.6953125,0.96875,-0.541890972588196,-1.637127299656087,-1.5347854703547403,-2.1358286647807057,-2.7021110600351923,-2.254485792412096,human_social,media_binge,Late games with screen exposure.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,hstory__social_isolation_media,0.05541847703396513,0.21820665670676107,0.2990721469537731,1.3258692542794752,2.122490653294007,2.376093324825788,0.609375,1.0,1.3258692542794752,0.3368026746086766,-0.2990721469537731,2.376093324825788,2.2731320586438972,2.122490653294007,human_social,social_isolation,Low direct social signal but high passive media/home utility.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,hstory__night_out_mobility,-0.03507452355052459,0.2191661374008278,0.24825652553175206,1.9461697129223612,2.0421374221151503,2.1824862296583065,0.6015625,0.984375,-0.24825652553175206,1.8315225297287292,1.9461697129223612,2.0421374221151503,2.1824862296583065,2.1795857355726915,human_social,nightlife_mobility,"Late/deepnight movement, public ambience, weak charging."
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,e280__sedentary_screen_day,-0.029563736565811943,-0.17659581872181213,0.11110605252233742,1.5641441434702343,1.9815295583889478,2.45447777816778,0.5546875,0.96875,-0.11110605252233742,-1.5641441434702343,-0.5631447169948081,-1.9815295583889478,-2.45447777816778,-2.2168429783745585,human_social,media_game,Low movement but high screen/media/social day.
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S1,e280__night_out_mobility,0.06010352970252557,0.18611315730625125,0.3642645682022942,1.860603460087921,1.9427878225189112,2.087257508669697,0.6484375,0.9609375,-0.3642645682022942,1.849889716617826,1.860603460087921,1.9427878225189112,2.087257508669697,1.9457503669285454,human_social,mobility_context,"Late/deepnight movement, public ambience, weak charging."
submission_e323_healthresid_null_common_residual__src_human_regime_only__recipe_family_consensus____meanresid_l1_50__kal_5508f966.csv,S3,episode__commute_pressure,-0.16216139704073773,-0.17145375751857977,0.6974554438637105,0.8424143284524778,1.942014352819926,2.2497909188187335,0.765625,0.9765625,-0.6974554438637105,-0.831566526834734,-0.8424143284524778,-1.942014352819926,-2.2497909188187335,-2.1472168517601182,episode,commute_pressure,"weekday commute, vehicle exposure, routine pressure, less home stability"
