target,view_id,split,policy,source_delta,source_dominance,base_loss,localized_loss,actual_delta,null_best,null_median,null_q20,dominance,placebo_adjusted_vs_median,train_rows,test_rows,gate,threshold,train_blocks,test_blocks
Q1,jepa_resid,dateblock,pos_q80,-0.025842772406742,0.9583333333333334,0.6789693600090467,0.6492944963115911,-0.029674863697455645,-0.016470315702131644,0.0011554441861776343,-0.009169977334192246,1.0,-0.03083030788363328,90,42,True,0.08545746130216811,,
Q1,jepa_resid,dateblock,pos_q90,-0.025842772406742,0.9583333333333334,0.6789693600090467,0.6560109955213284,-0.022958364487718375,-0.017585480234004303,-0.0003500428710224157,-0.008384729862590888,1.0,-0.02260832161669596,45,11,True,0.1518401150222862,,
Q2,jepa_resid,subject,pos_q80,-0.0302106163451467,1.0,0.765899724395758,0.7484181273573277,-0.01748159703843033,-0.027584624856673012,0.001308576187523891,-0.0046915060830798215,0.9,-0.01879017322595422,90,51,True,0.07099443392775837,,
S2,jepa_resid,dateblock,pos_q80,-0.0142112181443165,1.0,0.5904046644709509,0.5735217016795316,-0.01688296279141921,-0.005035200437192189,0.0014198854586781606,0.0005279898661277427,1.0,-0.01830284825009737,90,54,True,0.08324146656415235,,
Q1,jepa_resid,dateblock,abs_q75,-0.025842772406742,0.9583333333333334,0.6789693600090467,0.6639170212703804,-0.015052338738666293,-0.014372315227738075,0.000705465243215353,-0.006031438287760427,1.0,-0.015757803981881646,113,37,True,0.1388908254828226,,
S2,family,dateblock,neg_q90,-0.0075516244660015,1.0,0.5904046644709509,0.5768316559238225,-0.013573008547128396,-0.005870516986213992,0.0005576662083107142,-0.002560053629061043,1.0,-0.01413067475543911,45,14,True,-0.14951117050368937,,
S2,jepa_resid,dateblock,pos_q90,-0.0142112181443165,1.0,0.5904046644709509,0.5786069119667472,-0.011797752504203673,-0.008330996221878939,0.0011496039747633247,-0.0018259044122211905,1.0,-0.012947356478966998,45,14,True,0.13301582368894718,,
S2,family,dateblock,neg_q80,-0.0075516244660015,1.0,0.5904046644709509,0.5792780357461803,-0.011126628724770549,-0.013949093830834092,0.0017958466611957546,0.00016231278005631746,0.9666666666666667,-0.012922475385966303,90,31,True,-0.08900366924456964,,
S2,raw_day,subject,pos_q80,-0.0164520744946392,0.9583333333333334,0.6986893302524716,0.6875852949743767,-0.011104035278094893,-0.020109995315530926,-0.0002856169712789902,-0.005955485779809777,0.9,-0.010818418306815902,90,51,True,0.3056263909056079,,
Q1,jepa_resid,dateblock,blockabs_q65,-0.025842772406742,0.9583333333333334,0.6789693600090467,0.6680677330944457,-0.01090162691460106,-0.010938197789682635,0.000747853385112851,-0.0025118980975592704,0.9666666666666667,-0.01164948029971391,147,46,True,0.10280637015412192,30.0,10.0
Q2,jepa_resid,subject,blockabs_q65,-0.0302106163451467,1.0,0.765899724395758,0.7557829604212054,-0.010116763974552634,-0.015147824168122437,0.0008954865799954415,-0.0021551824817662713,0.9666666666666667,-0.011012250554548075,168,55,True,0.11630878653223845,30.0,12.0
Q2,jepa_resid,subject,abs_q75,-0.0302106163451467,1.0,0.765899724395758,0.7558406719979379,-0.010059052397820123,-0.02805895315312268,0.0019159189334298499,-0.007572101688484144,0.9333333333333333,-0.011974971331249973,113,37,True,0.1579699438484205,,
S1,family_story,subject,abs_q75,-0.0051085094335151,1.0,0.6566789899315844,0.647020868004179,-0.009658121927405339,-0.005503950808681046,0.0020053140996872942,0.0001238875260172861,1.0,-0.011663436027092633,113,45,True,0.4716229516805002,,
S2,jepa_resid,dateblock,abs_q75,-0.0142112181443165,1.0,0.5904046644709509,0.5807714167631015,-0.009633247707849346,-0.0032393245743644883,0.0023228393582214735,-0.0010129653217258781,1.0,-0.01195608706607082,113,41,True,0.11076056332179104,,
