variant,source,axis_set,method,alpha,removed_l2,source_poscos_before,removed_component_count,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,source_move_l2,delta_l2_vs_source,delta_cos_vs_source,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4
sequential_all_existing_a0.01,e351,all_existing,sequential,0.01,0.00013321653982328627,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_sequential_all_existing_a0_01_b6a08f83.csv,submission_e353_publictangent_sequential_all_existing_a0_01_b6a08f83.csv,250,1750,4.6357164804891156,0.44386334644194775,0.44386732465602213,0.0001332165398232871,0.9999999550016724,2.2411280727825074,1.0299581958097055,0.23019465516749943,1.1241603633582784,0.0004598038428750466,0.009254543130760679,0.0005608463974885465
sequential_all_existing_a0.02,e351,all_existing,sequential,0.02,0.00026643307964657254,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_sequential_all_existing_a0_02_3456e375.csv,submission_e353_publictangent_sequential_all_existing_a0_02_3456e375.csv,250,1750,4.6379631477148,0.44385940817480424,0.44386732465602213,0.00026643307964657265,0.999999820003483,2.2412485341752544,1.0300602291251009,0.23096592129568694,1.124261913331494,0.0009196076857500932,0.009385249306537094,0.001121692794977093
sequential_all_existing_a0.05,e351,all_existing,sequential,0.05,0.0006660826991164315,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_sequential_all_existing_a0_05_f41bbeeb.csv,submission_e353_publictangent_sequential_all_existing_a0_05_f41bbeeb.csv,250,1750,4.645005726664284,0.4438478330655385,0.44386732465602213,0.0006660826991164322,0.9999988749625599,2.2417311996080236,1.0303663290712866,0.23327971968024946,1.124566563251141,0.002299019214375233,0.009958663851765744,0.0028042319874427325
sequential_all_existing_a0.10,e351,all_existing,sequential,0.1,0.001332165398232863,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_sequential_all_existing_a0_10_fc9085bf.csv,submission_e353_publictangent_sequential_all_existing_a0_10_fc9085bf.csv,250,1750,4.657797284072895,0.4438293402525094,0.44386732465602213,0.0013321653982328616,0.9999954994676267,2.2428679416806316,1.0308764956482632,0.23713605032118695,1.1250743131172192,0.004598038428750466,0.011635980901958307,0.005608463974885465
sequential_all_existing_a0.25,e351,all_existing,sequential,0.25,0.0033304134955821577,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_sequential_all_existing_a0_25_acff1df3.csv,submission_e353_publictangent_sequential_all_existing_a0_25_acff1df3.csv,250,1750,4.700435453369937,0.443779855693038,0.44386732465602213,0.003330413495582158,0.9999718650668283,2.247646988936174,1.0324069953791928,0.2487050422439995,1.1272883078805145,0.011495096071876165,0.01887186292096685,0.014021159937213663
sequential_all_existing_a0.50,e351,all_existing,sequential,0.5,0.0066608269911643155,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_sequential_all_existing_a0_50_9cbf0795.csv,submission_e353_publictangent_sequential_all_existing_a0_50_9cbf0795.csv,250,1750,4.7776785645325734,0.44371736730567113,0.44386732465602213,0.006660826991164314,0.9998874238142034,2.2579494582978823,1.0349578282640755,0.26798669544868703,1.1328292157873827,0.02299019214375233,0.032922854716366086,0.028042319874427325
sequential_all_existing_a0.75,e351,all_existing,sequential,0.75,0.009991240486746471,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_sequential_all_existing_a0_75_d0f69719.csv,submission_e353_publictangent_sequential_all_existing_a0_75_d0f69719.csv,250,1750,4.858469328321204,0.4436798700488013,0.44386732465602213,0.009991240486746471,0.9997466429309322,2.26954461197551,1.0375086611489577,0.28726834865337453,1.1396847671941162,0.0344852882156285,0.04791417132197691,0.04206347981164099
sequential_all_existing_a1.00,e351,all_existing,sequential,1.0,0.013321653982328631,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_sequential_all_existing_a1_00_92960a79.csv,submission_e353_publictangent_sequential_all_existing_a1_00_92960a79.csv,250,1750,4.940780199753464,0.4436673702589246,0.44386732465602213,0.01332165398232863,0.9995495176463993,2.281726706276962,1.0400594940338403,0.306550001858062,1.1470399373525115,0.04598038428750466,0.063339036195728,0.05608463974885465
span_all_existing_a0.01,e351,all_existing,span,0.01,0.003511531334489249,0.03001269352875283,5,analysis_outputs/submission_e353_publictangent_span_all_existing_a0_01_2bb18d41.csv,submission_e353_publictangent_span_all_existing_a0_01_2bb18d41.csv,250,1750,4.689864536886825,0.4439090384068418,0.44386732465602213,0.0035115313344892493,0.9999687136680742,2.242362479246418,1.0302131334798026,0.2550469734021733,1.124406138220229,0.0040829513147122,0.010477877978742835,0.02327498324474634
span_all_existing_a0.02,e351,all_existing,span,0.02,0.007023062668978498,0.03001269352875283,5,analysis_outputs/submission_e353_publictangent_span_all_existing_a0_02_974cab79.csv,submission_e353_publictangent_span_all_existing_a0_02_974cab79.csv,250,1750,4.748224269200925,0.4439785226403476,0.44386732465602213,0.0070230626689784985,0.9998748879711642,2.244507127804573,1.0305701044652948,0.28067055776503375,1.124799251794412,0.0081659026294244,0.012961358252693126,0.04654996648949268
