scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_origin,top_file,top_score,generated_gated_count,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees,e365_rank,e365_score,top_beats_e365,top_is_e365,best_generated_variant,best_generated_family,best_generated_rank,best_generated_score
all__none,all,none,13,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.567837837837838,23,0.9835164835164836,1.0,1.0,0.9917393003710356,17.0,5.028528528528528,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.567837837837838
all__drop_submission_hybrid_0p578_logit_after_subjec,all,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.5415615615615605,23,0.9790209790209792,1.0,1.0,0.9894797752097304,15.0,5.025915915915915,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.5415615615615605
all__drop_submission_hybrid_0p567_foldsafe_stage2_q1,all,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.567327327327328,23,0.9790209790209792,1.0,1.0,0.9947414184151023,15.0,5.073603603603603,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.567327327327328
all__drop_submission_ordinal_q_constraints_ambnext_Q,all,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.552672672672672,23,0.9790209790209792,1.0,1.0,0.9894797752097304,16.0,5.014834834834834,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.552672672672672
all__drop_submission_mixmin_0c916bb4_csv,all,submission_mixmin_0c916bb4.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.572102102102101,23,0.9930069930069931,1.0,1.0,0.9964973622679555,18.0,5.01069069069069,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.572102102102101
all__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,all,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.55081081081081,23,0.9720279720279721,1.0,1.0,0.9894797752097304,15.0,5.017867867867867,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.55081081081081
all__drop_submission_e95_hardtail_541e3973_csv,all,submission_e95_hardtail_541e3973.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.564234234234234,23,0.9790209790209792,1.0,1.0,0.9964973622679555,17.0,5.028528528528528,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.564234234234234
all__drop_submission_e101_q2s3tail_177569bc_csv,all,submission_e101_q2s3tail_177569bc.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.566276276276276,23,0.9790209790209792,1.0,1.0,0.9964973622679555,17.0,5.027837837837837,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.566276276276276
all__drop_submission_e176_abl_q2_to0p75_91e49725_csv,all,submission_e176_abl_q2_to0p75_91e49725.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.5707807807807805,23,0.9930069930069931,1.0,1.0,0.9947414184151023,16.0,5.031291291291291,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.5707807807807805
all__drop_submission_e216_maskfam_jepa_s2_rank_e154_,all,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,129,201,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,e366_generated,analysis_outputs/submission_e366_hiddenlife_donorlatent_e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2_a91d9ac9.csv,5.551171171171171,23,0.9860139860139862,1.0,1.0,0.9894797752097304,14.0,5.034444444444444,True,False,e366_nulltargetrow_q3_good_s1_bad_perm_cluster_2,null_row_lifestyle_gate,1.0,5.551171171171171
