variant,family,file,candidate_origin,scenario_gate,scenario_rank,scenario_public_like_score,scenario_pred_public_delta_mean,scenario_pred_public_delta_std,scenario_id
e367_null_validboost_baddamp_random_validity,null_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_null_validboost_baddamp_random_validity_f634f0b3.csv,e367_generated,True,1.0,6.584220297029702,0.00024007979321757046,8.93804667273358e-05,all__none
e367_null_source_switch_random_validity,null_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_null_source_switch_random_validity_9c61acf7.csv,e367_generated,True,2.0,6.509931930693069,0.0002463593762617841,0.00010263184545524337,all__none
e367_direct_validboost_baddamp_amp0.97,diagnostic_direct_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_direct_validboost_baddamp_amp0_97_05227c33.csv,e367_generated,True,3.0,6.345544554455446,0.000198628420323651,7.097626477571205e-05,all__none
e367_direct_validboost_baddamp_amp1.00,diagnostic_direct_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_direct_validboost_baddamp_amp1_00_08739715.csv,e367_generated,True,4.0,6.276887376237624,0.0002024844553583755,6.95184293480857e-05,all__none
e367_direct_validboost_baddamp_amp1.03,diagnostic_direct_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_direct_validboost_baddamp_amp1_03_7e5abcb1.csv,e367_generated,True,5.0,6.176949257425743,0.00020259813491594722,6.961962833334462e-05,all__none
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,e364_existing,True,6.0,6.145142326732675,0.0002629462809643281,0.000135595837831329,all__none
e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_1198dfee.csv,e364_existing,True,7.0,6.027784653465346,0.0002691012432436881,0.00014301775250920065,all__none
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_3aeb0277.csv,e364_existing,True,8.0,5.971658415841585,0.0002679762738424935,0.00012284816578764484,all__none
e367_null_target_validity_perm_validity_0,null_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_null_target_validity_perm_validity_0_9e2a3d59.csv,e367_generated,True,9.0,5.957827970297031,0.0002540679081216825,0.00012740468263802652,all__none
e367_target_validity_amp1.00,learned_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_target_validity_amp1_00_f46fc0ab.csv,e367_generated,True,10.0,5.949257425742575,0.00021689933884142876,8.927992650241146e-05,all__none
e367_target_validity_amp1.03,learned_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_target_validity_amp1_03_970904ce.csv,e367_generated,True,11.0,5.912500000000001,0.00022050035428083955,8.753905918983712e-05,all__none
e367_direct_target_validity_amp1.03,diagnostic_direct_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_direct_target_validity_amp1_03_ce6ee54c.csv,e367_generated,True,12.0,5.864356435643564,0.00022192914992043297,8.903657896399871e-05,all__none
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_0139f787.csv,e364_existing,False,,5.8509282178217825,0.00024710220170551256,0.00011969286220918673,all__none
e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_1f057e41.csv,e364_existing,True,13.0,5.7325804455445555,0.00028538999699528726,0.00014083320060594856,all__none
e367_null_target_validity_perm_validity_1,null_public_rowmask_gate,analysis_outputs/submission_e367_publicrowmask_e367_null_target_validity_perm_validity_1_86ef167c.csv,e367_generated,True,14.0,5.619368811881189,0.00024292175172845414,0.00010946116838206926,all__none
