variant,family,file,candidate_origin,gate_count,rank_mean,rank_median,rank_min,top1_count,top5_count,top10_count,score_mean,score_std,pred_mean,pred_std_mean,gate_rate,top1_rate,top5_rate,top10_rate
e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p06_3052e883.csv,e372_generated,98,1.2346938775510203,1.0,1.0,93,96,97,7.746152162014231,0.45555541140237793,0.00034056334052428146,0.0001375780769075757,1.0,0.9489795918367347,0.9795918367346939,0.9897959183673469
e372_agreegate_Q2_jepa_resid_dateblock_floor0p65_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p65_amp1p08_s11p0_9da8eaa7.csv,e372_generated,98,24.683673469387756,25.0,1.0,2,2,2,7.484778883638842,0.4479460211458817,0.00035280673297077646,0.00013879102034675974,1.0,0.02040816326530612,0.02040816326530612,0.02040816326530612
e372_agreegate_Q2_jepa_resid_subject_floor0p45_amp1p08_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p45_amp1p08_s11p06_ce28f255.csv,e372_generated,98,2.2142857142857144,2.0,1.0,1,96,97,7.740812193514515,0.456134436410018,0.00034046584643694525,0.00013752018479555359,1.0,0.01020408163265306,0.9795918367346939,0.9897959183673469
e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p0_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p0_s11p06_075b7bb0.csv,e372_generated,98,4.275510204081633,4.0,1.0,1,92,97,7.708521553120427,0.4536603947291032,0.0003435033335249375,0.00013847335381437557,1.0,0.01020408163265306,0.9387755102040817,0.9897959183673469
e372_agreegate_Q2_jepa_resid_dateblock_floor0p45_amp1p08_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p45_amp1p08_s11p06_f7237e3d.csv,e372_generated,97,33.55670103092783,35.0,1.0,1,1,2,7.38592447762373,0.4378046758613053,0.0003563410698342674,0.00013966525478495645,0.9897959183673469,0.01020408163265306,0.01020408163265306,0.02040816326530612
e372_agreegate_Q2_jepa_resid_subject_floor0p25_amp1p08_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p25_amp1p08_s11p06_388fb847.csv,e372_generated,98,3.326530612244898,3.0,3.0,0,95,97,7.7293436323626326,0.4567233777987696,0.00034033066864312607,0.00013745141302383727,1.0,0.0,0.9693877551020408,0.9897959183673469
e372_agreegate_Q2_jepa_resid_subject_floor0p45_amp1p0_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p45_amp1p0_s11p06_9d10096f.csv,e372_generated,98,5.377551020408164,5.0,2.0,0,89,97,7.699931023312445,0.454475528478137,0.00034177705773296655,0.00013798360193676605,1.0,0.0,0.9081632653061225,0.9897959183673469
e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p65_amp1p08_s11p0_cd615b9b.csv,e372_generated,98,6.918367346938775,7.0,4.0,0,6,96,7.684977603520884,0.4623230165000787,0.0003413760309530071,0.00013736911025364465,1.0,0.0,0.061224489795918366,0.9795918367346939
e372_agreegate_Q2_jepa_resid_subject_floor0p45_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p45_amp1p08_s11p0_08356a36.csv,e372_generated,98,8.071428571428571,8.0,5.0,0,5,96,7.678502731141719,0.46276762696803314,0.0003415434164816248,0.00013705484601511558,1.0,0.0,0.05102040816326531,0.9795918367346939
e372_agreegate_Q2_jepa_resid_subject_floor0p25_amp1p0_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p25_amp1p0_s11p06_52282641.csv,e372_generated,98,6.622448979591836,6.0,3.0,0,1,96,7.691531226612156,0.45511358479482944,0.00034167258626082564,0.00013792605495246995,1.0,0.0,0.01020408163265306,0.9795918367346939
e372_agreegate_Q2_jepa_resid_subject_floor0p25_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_subject_floor0p25_amp1p08_s11p0_0208f595.csv,e372_generated,98,9.387755102040817,9.0,5.0,0,1,89,7.667100074841103,0.4631511726410287,0.00034143047532736085,0.00013699379628443037,1.0,0.0,0.01020408163265306,0.9081632653061225
e372_agreegate_Q2_jepa_resid_dateblock_floor0p65_amp1p0_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p65_amp1p0_s11p0_28c72254.csv,e372_generated,98,29.367346938775512,30.0,3.0,0,1,2,7.430710655362311,0.4467577093147677,0.0003536225386916612,0.00013933614135089463,1.0,0.0,0.01020408163265306,0.02040816326530612
