pred_index,base_index,tag,strategy,source,fallback,blend_e86_weight,blend_e90_weight,tail_quantile,target_scope,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,e72_adverse_positive_exposure_all,e72_adverse_weighted_positive_mean,e72_adverse_positive_weight_frac,hard_worst_tail_mean,kl_if_mixmin_calibrated,max_abs_logit_move_vs_mixmin,moved_cells_vs_mixmin,moved_rows_vs_mixmin,active_targets_vs_mixmin,tail_reduction_vs_e86,tail_reduction_vs_e90,tail_reduction_vs_e89,margin_loss_vs_e86,margin_gain_vs_e89,beats_e90_tail_and_margin,beats_e89_tail_and_margin,beats_e85_tail_and_margin,strict_nondominated_vs_e89_e90,materialized_submission
2,0,e95_control_a3f7c96f,control,e86,,,,,,-2.7705869828476004e-05,-2.7705869828476004e-05,-3.498042661254086e-05,-6.9100032192848104e-06,-6.9100032192848104e-06,-1.3700079533940368e-05,-3.533869208549589e-05,-3.533869208549589e-05,-3.498042661254086e-05,-4.086891418064731e-05,-4.086891418064731e-05,-3.498042661254086e-05,-4.086891418064731e-05,-6.9100032192848104e-06,3,3,1,-0.0003074391775771235,-0.00017278562923006557,-0.00023918120377530716,-0.000290814306410897,-0.00046435628805567564,-0.0003775852972332863,-0.0005349503017766005,6.344131569286608e-17,0.75,1.0,True,0.006064145347338554,0.005556388911177608,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0010102416357210917,0.0033252470618392728,0.40808492206760344,0.00292307752318128,1.333451444160868e-05,0.08161898573728976,579,250,"Q2,S1,S2,S3",0.0,-7.621100426407398e-05,-0.00021113215541082662,0.0,1.8099178725750065e-06,False,False,False,False,False
97,0,e95_cell_hardtail_fallback_d961cd49,cell_hardtail_fallback,e86,e89,,,0.9,q2s3,-2.7650736643791696e-05,-2.7650736643791696e-05,-3.498042661254086e-05,-6.367846257293586e-06,-6.367846257293586e-06,-1.3375316838093454e-05,-3.54624851267582e-05,-3.54624851267582e-05,-3.498042661254086e-05,-4.1121878547101254e-05,-4.1121878547101254e-05,-3.498042661254086e-05,-4.1121878547101254e-05,-6.367846257293586e-06,3,3,96,-0.0003006233128652946,-0.00017506925167098952,-0.00023744092850871978,-0.000290814306410897,-0.00045217436118909216,-0.0003714943337999946,-0.0005285123776841684,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006026162898343961,0.005423450339696512,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.000987976360301198,0.0032145786623169834,0.4186961438780894,0.002900812247761391,1.2898003242742996e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.226527541989375e-05,-5.3945728844180226e-05,-0.00018886687999093287,5.513318468430839e-08,1.754784687890698e-06,False,False,False,False,False
99,0,e95_row_hardtail_fallback_cf8b1aae,row_hardtail_fallback,e86,e89,,,0.9,s3,-2.76433793739983e-05,-2.76433793739983e-05,-3.498754190300879e-05,-6.361083195960404e-06,-6.361083195960404e-06,-1.3375316838093454e-05,-3.5449126881026416e-05,-3.5449126881026416e-05,-3.498754190300879e-05,-4.111992804489706e-05,-4.111992804489706e-05,-3.498754190300879e-05,-4.111992804489706e-05,-6.361083195960404e-06,3,3,98,-0.00030188998866939045,-0.00017325993478367607,-0.00023732286310407247,-0.000290814306410897,-0.00045134790335617236,-0.0003710811048835347,-0.0005274035213109412,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006022777532454732,0.005411601559084213,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.000988676510746769,0.0032169545507639207,0.4186961438780894,0.002901512398206961,1.2905685152835343e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.156512497432264e-05,-5.464587928975134e-05,-0.00018956703043650398,6.249045447770385e-08,1.7474274180973026e-06,False,False,False,False,False
81,0,e95_row_hardtail_fallback_c81a7bad,row_hardtail_fallback,e86,e89,,,0.8,s3,-2.7628013021141484e-05,-2.7628013021141484e-05,-3.498754190300879e-05,-6.163447647811182e-06,-6.163447647811182e-06,-1.3257220857543217e-05,-3.5500317631664835e-05,-3.5500317631664835e-05,-3.498754190300879e-05,-4.122027378383741e-05,-4.122027378383741e-05,-3.498754190300879e-05,-4.122027378383741e-05,-6.163447647811182e-06,3,3,80,-0.00030028954915578,-0.00017465005578631843,-0.00023648452252703067,-0.000290814306410897,-0.0004454795193176153,-0.00036814691286425616,-0.0005222293891663341,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006010852211735892,0.005369862936568275,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009849104493931634,0.0032039136400299068,0.4186961438780894,0.0028977463368533556,1.2820249230876296e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.533118632792831e-05,-5.0879817936145665e-05,-0.0001858009690828983,7.785680733451983e-08,1.7320610652404866e-06,False,False,False,False,False
60,0,e95_cell_hardtail_fallback_8eaa2e07,cell_hardtail_fallback,e86,e89,,,0.7,s3,-2.7623230594686632e-05,-2.7623230594686632e-05,-3.498042661254086e-05,-6.171720565606442e-06,-6.171720565606442e-06,-1.3257220857543217e-05,-3.5500538586807906e-05,-3.5500538586807906e-05,-3.498042661254086e-05,-4.119743263131248e-05,-4.119743263131248e-05,-3.498042661254086e-05,-4.119743263131248e-05,-6.171720565606442e-06,3,3,59,-0.0003011134861823528,-0.000175938086333427,-0.0002364633443622255,-0.000290814306410897,-0.0004453312721635211,-0.00036807278928720905,-0.0005195476024540066,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006007072253500189,0.0053566330827433135,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009836224188461838,0.003195359425817458,0.4186961438780894,0.0028964583063063763,1.2749249826147268e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.6619216874907868e-05,-4.959178738916611e-05,-0.00018451293853591875,8.263923378937221e-08,1.7272786387856343e-06,False,False,False,False,False
80,0,e95_cell_hardtail_fallback_700b6ac5,cell_hardtail_fallback,e86,e89,,,0.8,s3,-2.762009403456389e-05,-2.762009403456389e-05,-3.498042661254086e-05,-6.185023097682318e-06,-6.185023097682318e-06,-1.3257220857543217e-05,-3.5486209777557676e-05,-3.5486209777557676e-05,-3.498042661254086e-05,-4.11890492285627e-05,-4.11890492285627e-05,-3.498042661254086e-05,-4.11890492285627e-05,-6.185023097682318e-06,3,3,79,-0.0003015553049479203,-0.00017634741533534282,-0.00023678555390144185,-0.000290814306410897,-0.0004475867389382715,-0.00036920052267458425,-0.0005226479187996714,5.947623346206196e-17,0.7777777777777778,1.0,True,0.00601121135445155,0.0053711199360730755,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009844105329522763,0.0031988892422925175,0.4186961438780894,0.0028972464204124683,1.2778487179034309e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.5831102768815407e-05,-5.037990149525857e-05,-0.0001853010526420112,8.577579391211287e-08,1.7241420786628936e-06,False,False,False,False,False
61,0,e95_row_hardtail_fallback_bedcbcc6,row_hardtail_fallback,e86,e89,,,0.7,s3,-2.7613908907375695e-05,-2.7613908907375695e-05,-3.498754190300879e-05,-6.117096241875508e-06,-6.117096241875508e-06,-1.3257220857543217e-05,-3.550853493439199e-05,-3.550853493439199e-05,-3.498754190300879e-05,-4.121609554552652e-05,-4.121609554552652e-05,-3.498754190300879e-05,-4.121609554552652e-05,-6.117096241875508e-06,3,3,60,-0.00030160439094279454,-0.00017605812530752107,-0.00023635056011991895,-0.000290814306410897,-0.00044454178246740306,-0.00036767804443915003,-0.0005219974710314721,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006002139722464282,0.005339369224117636,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009835023798720661,0.003195121778705396,0.4186961438780894,0.0028963382673322584,1.2745526022779812e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.6739255849025576e-05,-4.94717484150484e-05,-0.00018439289956180104,9.196092110030918e-08,1.7179569514746973e-06,False,False,False,False,False
41,0,e95_row_hardtail_fallback_89b683be,row_hardtail_fallback,e86,e89,,,0.6,s3,-2.760432037995919e-05,-2.760432037995919e-05,-3.500094044395219e-05,-6.0811365237833925e-06,-6.0811365237833925e-06,-1.3257220857543217e-05,-3.551238266030765e-05,-3.551238266030765e-05,-3.500094044395219e-05,-4.1219441955675507e-05,-4.1219441955675507e-05,-3.500094044395219e-05,-4.1219441955675507e-05,-6.0811365237833925e-06,3,3,40,-0.00030203352941282624,-0.00017661959983739095,-0.00023572991009235267,-0.000290814306410897,-0.00044019723227459173,-0.00036550576934274437,-0.0005160621798073557,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005995695501868766,0.005316814452033329,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009829409053421796,0.003191172045458162,0.4186961438780894,0.0028957767928023716,1.2709735577747106e-05,0.0816189857372911,579,250,"Q2,S1,S2,S3",2.730073037891215e-05,-4.891027388516183e-05,-0.00018383142503191447,1.0154944851681336e-07,1.7083684240581931e-06,False,False,False,False,False
40,0,e95_cell_hardtail_fallback_53b84594,cell_hardtail_fallback,e86,e89,,,0.6,s3,-2.7601839768465197e-05,-2.7601839768465197e-05,-3.498042661254086e-05,-6.095560510011033e-06,-6.095560510011033e-06,-1.3257220857543217e-05,-3.549678462244632e-05,-3.549678462244632e-05,-3.498042661254086e-05,-4.1213174172716194e-05,-4.1213174172716194e-05,-3.498042661254086e-05,-4.1213174172716194e-05,-6.095560510011033e-06,3,3,39,-0.00030170450703950193,-0.0001768524656935444,-0.00023602816503356938,-0.000290814306410897,-0.0004422850168631365,-0.00036654966163701674,-0.0005181113084735613,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005998015501031541,0.005324934449103042,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0009827080394859955,0.0031893393549997555,0.4186961438780894,0.0028955439269461878,1.2694325799071189e-05,0.08133435661976707,579,250,"Q2,S1,S2,S3",2.7533596235096176e-05,-4.86774080289778e-05,-0.00018359855917573044,1.0403006001080684e-07,1.7058878125641996e-06,False,False,False,False,False
20,0,e95_cell_hardtail_fallback_723a71da,cell_hardtail_fallback,e86,e89,,,0.5,s3,-2.7599838071434846e-05,-2.7599838071434846e-05,-3.498042661254086e-05,-6.072960677894201e-06,-6.072960677894201e-06,-1.3257220857543217e-05,-3.550064116886187e-05,-3.550064116886187e-05,-3.498042661254086e-05,-4.1225912367437445e-05,-4.1225912367437445e-05,-3.498042661254086e-05,-4.1225912367437445e-05,-6.072960677894201e-06,3,3,19,-0.000302034086388453,-0.0001770965985447015,-0.00023593360075710446,-0.000290814306410897,-0.00044162306692771547,-0.00036621868666930624,-0.0005179676561438224,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005995448177041947,0.005315948815139461,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.000982463906634905,0.0031879842517717758,0.4186961438780894,0.002895299794095097,1.2681831073288404e-05,0.08133435661976707,579,250,"Q2,S1,S2,S3",2.7777729086186703e-05,-4.8433275177887274e-05,-0.00018335442632463992,1.0603175704115841e-07,1.703886115533848e-06,False,False,False,False,False
