filter,candidate,n_scenarios,mean_pred_delta,median_pred_delta,p10_pred_delta,p90_pred_delta,p95_pred_delta,min_pred_delta,max_pred_delta,mean_vs_e95,median_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate,win_rate_live
solved_all,e85,3894,-4.464838629764746e-06,-4.941391366788705e-06,-1.2263867615276474e-05,4.034942675780464e-06,6.80959254179471e-06,-4.923807227229964e-05,6.0485079186063835e-05,1.084586137028378e-05,1.0369308633259823e-05,1.9345642675828993e-05,2.2120292541843236e-05,0.028505392912172575,0.0023112480739599386
solved_all,e86,3894,5.614805161929851e-06,1.566940454087251e-06,-8.284605393781903e-06,2.655141071979792e-05,3.128147079186049e-05,-1.765415902025156e-05,0.0001141567457267601,2.0925505161978377e-05,1.6877640454135778e-05,4.186211071984645e-05,4.6592170791909014e-05,0.0005136106831022085,0.00025680534155110427
solved_all,noq2,3894,2.4049457364582274e-06,2.1080300055727784e-07,-1.1194788830509264e-05,1.8554028210174e-05,2.3901535399803428e-05,-4.8984882440745696e-05,0.00015856288247898724,1.7715645736506755e-05,1.5521503000605803e-05,3.386472821022252e-05,3.921223539985196e-05,0.021314843348741654,0.005906522855675398
solved_all,e90,3894,-1.524297617884559e-06,-3.917627558417348e-06,-1.0738164151925125e-05,1.1214988927980555e-05,1.6786183715540503e-05,-1.8693878530336795e-05,0.00011494132420295769,1.3786402382163969e-05,1.1393072441631179e-05,2.6525688928029083e-05,3.209688371558903e-05,0.0025680534155110425,0.0015408320493066256
solved_all,e89,3894,-1.119360421378282e-05,-1.123201087725407e-05,-1.785451071735012e-05,-4.443104729976506e-06,-2.031569236416489e-06,-6.678110613172591e-05,0.00011610807107087734,4.117095786265707e-06,4.0786891227944565e-06,1.086759527007202e-05,1.3279130763632039e-05,0.19388803287108372,0.1877247046738572
solved_all,e95,3894,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.8022598870056498
positive_transfer,e85,3849,-4.423049910769534e-06,-4.839521292133184e-06,-1.2275333022151614e-05,4.056650344739256e-06,6.8445020153989064e-06,-4.923807227229964e-05,6.0485079186063835e-05,1.0887650089278991e-05,1.0471178707915343e-05,1.9367350344787784e-05,2.2155202015447434e-05,0.028838659392049885,0.002338269680436477
positive_transfer,e86,3849,5.735212751307219e-06,1.7775784941757871e-06,-8.231213865844298e-06,2.665159714239942e-05,3.131107338538423e-05,-1.765415902025156e-05,0.0001141567457267601,2.1045912751355745e-05,1.7088278494224314e-05,4.1962297142447945e-05,4.6621773385432755e-05,0.0005196154845414394,0.0002598077422707197
positive_transfer,noq2,3849,2.556685894554629e-06,4.4876180255077637e-07,-1.1003573674827478e-05,1.8657228014362326e-05,2.3996188498984737e-05,-4.8984882440745696e-05,0.00015856288247898724,1.786738589460316e-05,1.5759461802599304e-05,3.3967928014410857e-05,3.9306888499033264e-05,0.021044427123928292,0.005455962587685113
positive_transfer,e90,3849,-1.4606550673038953e-06,-3.859981233823786e-06,-1.06957710822773e-05,1.1322858214381316e-05,1.6812067515126235e-05,-1.8693878530336795e-05,0.00011494132420295769,1.3850044932744631e-05,1.1450718766224742e-05,2.6633558214429843e-05,3.212276751517476e-05,0.002598077422707197,0.001558846453624318
positive_transfer,e89,3849,-1.1203584413170847e-05,-1.1235455247999893e-05,-1.7918358898829286e-05,-4.410378663940612e-06,-2.0098582721800655e-06,-6.678110613172591e-05,0.00011610807107087734,4.107115586877679e-06,4.075244752048634e-06,1.0900321336107915e-05,1.3300841727868461e-05,0.1956352299298519,0.18939984411535463
positive_transfer,e95,3849,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.8009872694206287
