candidate,direction,actual_anchor_score_final,anchor_delta_vs_mixmin,mean_actual_anchor,min_set_score,max_set_score,mean_abs_prob_move_vs_mixmin,mean_abs_logit_move_vs_mixmin,max_abs_logit_move_vs_mixmin,pred_index,band,target_mask,base_cell_gate,gradient_gate,row_gate,weight,cap,active_gate_mean,hash,world_all_worlds,world_all_better_rate,world_all_median_delta,world_all_p90_delta,world_all_max_delta,raw_energy_half_worlds,raw_energy_half_better_rate,raw_energy_half_median_delta,raw_energy_half_p90_delta,raw_energy_half_max_delta,raw_energy_quarter_worlds,raw_energy_quarter_better_rate,raw_energy_quarter_median_delta,raw_energy_quarter_p90_delta,raw_energy_quarter_max_delta,low_slack_half_worlds,low_slack_half_better_rate,low_slack_half_median_delta,low_slack_half_p90_delta,low_slack_half_max_delta,mean_prob_delta_Q1,mean_abs_prob_delta_Q1,mean_prob_delta_Q2,mean_abs_prob_delta_Q2,mean_prob_delta_Q3,mean_abs_prob_delta_Q3,mean_prob_delta_S1,mean_abs_prob_delta_S1,mean_prob_delta_S2,mean_abs_prob_delta_S2,mean_prob_delta_S3,mean_abs_prob_delta_S3,mean_prob_delta_S4,mean_abs_prob_delta_S4,world_support_score,prefilter_keep,hidden_delta_subject_mean,hidden_delta_calendar_count_strict,hidden_delta_raw_phone_base,hidden_delta_transition_row_safe,hidden_delta_transition_balanced_hidden_sign,hidden_delta_transition_aggressive_hidden_sign,hidden_delta_core_median,hidden_core_mean_delta,hidden_core_max_delta,hidden_core_improve_count,hidden_all_mean_delta,hidden_all_max_delta,hidden_all_improve_count,hidden_guard,validation_support_score,anchor_beats_mixmin,anchor_margin_gate,movement_guard,world_guard,eligible_submission_gate,diagnostic_reverse_gate,selection_score
mixmin,reference,0.5777344877066474,0.0,0.5776007350054972,0.5772305660209559,0.578037556989407,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
a2c8,reference,0.5778270681645602,9.258045791282754e-05,0.5777841604763623,0.5777214450713848,0.5779985663687973,0.00849582438014208,0.04561420000223732,0.08210850000001058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
raw05,reference,0.5779059943862466,0.00017150667959919819,0.5778501495454361,0.5777302084275879,0.5781360888903859,0.009174226027820472,0.049029823053049724,0.1855896083238608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
toward_teacher|all|no_q2_s3|raw_agree|grad_core_top50|all|w0.070|c0.080,toward_teacher,0.5777308381157389,-3.649590908483269e-06,0.577595381384724,0.5772148514349007,0.5780402187627803,0.00037646464997794356,0.0020147811986647958,0.005600000000003824,25996.0,all,no_q2_s3,raw_agree,grad_core_top50,all,0.07,0.08,0.3605714285714286,c3cf75de,45.0,1.0,-0.00023286378734777013,-0.00016152531589550543,-0.00010847275681813429,22.0,1.0,-0.0003009392286844048,-0.00026842069921196866,-0.0002453806992120944,11.0,1.0,-0.0005259106458460616,-0.0003009392286844603,-0.0003009392286843493,22.0,1.0,-0.00023092237898514334,-0.00017632990631214482,-0.00015870241519000405,5.208658687599954e-06,0.0005496897220640707,7.993605777301126e-18,1.0658141036401503e-17,7.246725643459084e-05,0.0005751609254376748,0.00021678668895441978,0.0006040528203247257,0.0002798327717442672,0.00042582600888393804,1.5543122344752192e-18,9.547918011776345e-18,-0.00011562370186905635,0.0004805230731351758,-0.0006244318317519537,True,-0.00025830916658253766,-0.00029240565800359164,-0.0002901005270720125,-0.0002889581305318689,-0.00025938328581320835,-0.00020742982788912734,-0.00029427206836840636,-0.0002840403848143047,-0.00025938328581320835,4.0,-0.00027012266632296466,-0.00020742982788912734,7.0,True,-0.0006244318317519537,True,False,True,True,False,False,-3.649590908483269e-06
toward_teacher|all|no_q2_s3|all|grad_core_top50|all|w0.070|c0.080,toward_teacher,0.5777309652466833,-3.5224599640448773e-06,0.577595461929359,0.57721489867498,0.5780404018384493,0.0003823984539211497,0.0020403811986647946,0.005600000000003824,24716.0,all,no_q2_s3,all,grad_core_top50,all,0.07,0.08,0.36514285714285716,4481e758,45.0,1.0,-0.0002441275314702951,-0.00016539214815378678,-0.00011681958907638901,22.0,1.0,-0.00030322968768881076,-0.00026934519108270385,-0.0002441275314702951,11.0,1.0,-0.0005342574781043163,-0.00030608606094262303,-0.00030288606094275305,22.0,1.0,-0.00024171883341034262,-0.00018339713945962898,-0.00016384924744827778,-9.789108528582113e-06,0.0005646874892802519,7.993605777301126e-18,1.0658141036401503e-17,7.246725643459084e-05,0.0005751609254376748,0.00022202831480361697,0.0006092944461739228,0.00028994115389426755,0.0004359343910339384,1.5543122344752192e-18,9.547918011776345e-18,-0.00010443484948199277,0.0004917119255222394,-0.0006351917464870016,True,-0.0002573581307940831,-0.0002945079564371511,-0.00028933074802539593,-0.00028838548410403675,-0.0002611221073327563,-0.0002189703761049655,-0.00029560675994855234,-0.0002851418929359639,-0.0002611221073327563,4.0,-0.00027218308039242016,-0.0002189703761049655,7.0,True,-0.0006351917464870016,True,False,True,True,False,False,-3.5224599640448773e-06
toward_teacher|all|no_q2_s3|raw_agree|grad_all_4of6|all|w0.070|c0.080,toward_teacher,0.5777309813040956,-3.5064025517561603e-06,0.5775953920256888,0.5772144940369531,0.5780406718045823,0.00043201652535193504,0.0022476349292396627,0.005600000000003824,25823.0,all,no_q2_s3,raw_agree,grad_all_4of6,all,0.07,0.08,0.4114285714285714,de94851a,45.0,1.0,-0.00024693130956743303,-0.0001719750329252756,-0.0001241742073836427,22.0,1.0,-0.00031333027270380454,-0.00027779585966341,-0.00027540088968236454,11.0,1.0,-0.0005404125294755646,-0.0003126824939215789,-0.0003086520036590379,22.0,1.0,-0.00024090912309177037,-0.00018880278868225187,-0.00016702609430241377,5.260550045117551e-06,0.00060592487747223,7.993605777301126e-18,1.0658141036401503e-17,0.00010879231767144592,0.0006635249943374185,0.00019625679012642795,0.0006262724846008222,0.00032475214946282426,0.000519141302265967,1.5543122344752192e-18,9.547918011776345e-18,-0.00010098607093684419,0.0006092520187870874,-0.0006432762839127026,True,-0.0002673191768175487,-0.00029918752695323736,-0.0002983027329812593,-0.0002972846867607126,-0.0002687352735215587,-0.00021691007015156583,-0.0003020750805576844,-0.00029207515350343494,-0.0002687352735215587,4.0,-0.00027854493539193815,-0.00021691007015156583,7.0,True,-0.0006432762839127026,True,False,True,True,False,False,-3.5064025517561603e-06
toward_teacher|all|no_q2_s3|raw_agree|grad_all_top50|all|w0.070|c0.080,toward_teacher,0.5777309909959021,-3.496710745287679e-06,0.5775955718047464,0.5772148272525855,0.5780403867890226,0.00037941823241944216,0.001998258202462165,0.005600000000003824,26312.0,all,no_q2_s3,raw_agree,grad_all_top50,all,0.07,0.08,0.3577142857142857,6108e517,45.0,1.0,-0.00024743399129145693,-0.00016061740693518178,-0.00011024296076200812,22.0,1.0,-0.00030357605557695955,-0.0002765909031558045,-0.0002535509031559302,11.0,1.0,-0.0005308808497898054,-0.00030963242883086384,-0.0003064324288307718,22.0,1.0,-0.0002308652012985024,-0.00017505120772757227,-0.00016165286710012605,1.0800742893660786e-05,0.0005552818062701314,7.993605777301126e-18,1.0658141036401503e-17,7.547663588652031e-05,0.0005925131775872264,0.00021764590610586832,0.0005967151572978307,0.0003203967514983439,0.00042371111419923336,1.5543122344752192e-18,9.547918011776345e-18,-0.0001262620436524744,0.0004877063715816532,-0.0006330323561266671,True,-0.0002612964701191878,-0.0002889396665125554,-0.00028862960168951624,-0.0002878714080444267,-0.00026268383732064304,-0.00021407698289910293,-0.0002919402914225433,-0.0002830483492363145,-0.00026268383732064304,4.0,-0.00027077689400113936,-0.00021407698289910293,7.0,True,-0.0006330323561266671,True,False,True,True,False,False,-3.496710745287679e-06
toward_teacher|all|no_q2_s3|all|grad_all_top50|all|w0.070|c0.080,toward_teacher,0.5777310002601673,-3.487446480043843e-06,0.5775955412637539,0.5772148322344651,0.5780403894969748,0.00038206245349930827,0.0020110582024621656,0.005600000000003824,25032.0,all,no_q2_s3,all,grad_all_top50,all,0.07,0.08,0.36,670ee895,45.0,1.0,-0.0002517687486002229,-0.00015958762440881902,-0.00011137771807068209,22.0,1.0,-0.000306310812885513,-0.00027772566046447845,-0.00025468566046460417,11.0,1.0,-0.0005352156070985714,-0.0003139671861395188,-0.00031076718613931575,22.0,1.0,-0.00023519995860715737,-0.00017849426838210112,-0.00015958762440881902,5.375578493295008e-06,0.0005607069706704972,7.993605777301126e-18,1.0658141036401503e-17,7.547663588652031e-05,0.0005925131775872264,0.0002203051409114659,0.0005993743921034284,0.00032522369315740975,0.00042853805585829917,1.5543122344752192e-18,9.547918011776345e-18,-0.00012066383695844097,0.0004933045782756866,-0.0006388842784934734,True,-0.0002615906259241241,-0.00028976616511733333,-0.00028848139288883967,-0.00028775550285053964,-0.00026378073328514606,-0.0002184100658004784,-0.0002926532667214543,-0.00028367038950319334,-0.00026378073328514606,4.0,-0.00027177682179827363,-0.0002184100658004784,7.0,True,-0.0006388842784934734,True,False,True,True,False,False,-3.487446480043843e-06
toward_teacher|all|no_q2_s3|all|grad_all_4of6|all|w0.070|c0.080,toward_teacher,0.5777310736257776,-3.414080869790226e-06,0.5775954390031631,0.5772146333123286,0.5780407491424235,0.00043834822646777387,0.0022783056926026523,0.005600000000003824,24201.0,all,no_q2_s3,all,grad_all_4of6,all,0.07,0.08,0.41828571428571426,ef827553,45.0,1.0,-0.00025002276668684154,-0.00017136173150871236,-0.00012726566450316223,22.0,1.0,-0.00031627915587228994,-0.0002809664652342669,-0.00027742234447614145,11.0,1.0,-0.0005478212496068391,-0.0003156313770901198,-0.0003116008868276898,22.0,1.0,-0.00024400058021117887,-0.00018528753879096802,-0.0001605175514218793,9.253451101621235e-07,0.000613637992437392,7.993605777301126e-18,1.0658141036401503e-17,0.00011349488466336288,0.0006682275613293355,0.00020307088748884329,0.0006330865819632375,0.00033320159748684986,0.000538635224063311,1.5543122344752192e-18,9.547918011776345e-18,-9.538786424281077e-05,0.0006148502254811208,-0.0006517313705480532,True,-0.00026772788469009434,-0.00030061010530413323,-0.0002978178019459321,-0.0002970653735844264,-0.00027120909360067724,-0.00022765490052389925,-0.0003031927751518948,-0.00029320744400065935,-0.00027120909360067724,4.0,-0.00028075399068586533,-0.00022765490052389925,7.0,True,-0.0006517313705480532,True,False,True,True,False,False,-3.414080869790226e-06
toward_teacher|all|no_q2|raw_agree|grad_all_abs50|all|w0.070|c0.080,toward_teacher,0.577731081399576,-3.406307071407433e-06,0.5775953480335653,0.5772142784507266,0.5780410905677589,0.00030946616641403576,0.0016416000000000564,0.005600000000003824,11087.0,all,no_q2,raw_agree,grad_all_abs50,all,0.07,0.08,0.29314285714285715,5be43a2a,45.0,1.0,-0.00021948984159714247,-0.00014716984159719447,-0.00011388984159721449,22.0,1.0,-0.00031388984159713695,-0.00025788984159703655,-0.00019068984159709146,11.0,1.0,-0.0005202898415971324,-0.00030908984159705444,-0.00030588984159707344,22.0,1.0,-0.00021308984159706945,-0.00015292984159720466,-0.00012348984159704646,2.410555206770587e-05,0.00046743320471126623,7.993605777301126e-18,1.0658141036401503e-17,5.302100269128995e-05,0.00043016831311803506,0.00018575779695108053,0.0005064386010001737,0.00022795627074307433,0.0002459959609612744,0.0001770018150073982,0.00019799940510504876,-9.666185228760127e-05,0.00031822768000244175,-0.0006195112861561103,True,-0.00024352251418768844,-0.0002621479695857909,-0.0002624077540352987,-0.00026103341391736645,-0.00023845757166263137,-0.00019267930539623723,-0.00026599573450325487,-0.00025725225744674396,-0.00023845757166263137,4.0,-0.00024660632332689544,-0.00019267930539623723,7.0,True,-0.0006195112861561103,True,False,True,True,False,False,-3.406307071407433e-06
