method,blocks,weighted_logloss,delta_vs_subject_mean,rate_rmse_weighted,rate_mae_weighted,count_mae_mean,rate_r2_weighted
endpoint_local_nonoverlap,369,0.6097493318571101,-0.00325244171945982,0.24867543643671436,0.19432225246832877,0.895778188207662,0.3028199037848718
endpoint_strict_subject,369,0.6128694998034939,-0.00013227377307600818,0.25100110627785555,0.19694373783719307,0.9078625963714512,0.28971854846130185
subject_mean,369,0.6130017735765699,0.0,0.25128450237657485,0.19332880935431287,0.8911986577552465,0.28811373778563554
markov_local_nonoverlap,369,0.6316776204983269,0.018675846921756944,0.26660318963788576,0.21616655893202497,0.9964751131256755,0.1986728004319792
markov_strict_subject,369,0.6394352862857113,0.026433512709141405,0.2731754124434343,0.22208055962076717,1.0237372138615857,0.15867766749713264
knn_full_local_nonoverlap_k8,369,0.6430743666605933,0.030072593084023325,0.25407486046090955,0.19327692862573015,0.8909595002503172,0.2722158488683406
knn_raw_local_nonoverlap_k8,369,0.6449227907343343,0.03192101715776441,0.25911763535388493,0.1978571968748395,0.9120734197401139,0.2430396250799809
global_mean,369,0.6750645657758994,0.06206279219932942,0.3022211536932364,0.24726045728430512,1.1398104006520404,-0.02974317105782065
knn_full_strict_subject_k8,369,0.7073027533294853,0.0943009797529154,0.3034028020580209,0.23664857031241252,1.0908921899767305,-0.03781125682273534
knn_raw_strict_subject_k8,369,0.7099174891704416,0.09691571559387169,0.30462065137847244,0.2387195263251166,1.1004387920840741,-0.04615946157362427
