prior,strategy,targets,weight,base_loss,candidate_loss,delta,changed_blocks,mean_abs_shift,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
exact_value,nearest,Q2,1.0,0.5604271644171386,0.5601799236919444,-0.0002472407251942199,50,0.22708209256513015,0.0,-0.0017306850763592063,0.0,0.0,0.0,0.0,0.0
uniform_total,nearest,Q2,1.0,0.5604271644171386,0.5601799236919444,-0.0002472407251942199,50,0.22708209256513015,0.0,-0.0017306850763592063,0.0,0.0,0.0,0.0,0.0
exact_value,nearest,Q2,0.75,0.5604271644171386,0.5601814948781352,-0.0002456695390034014,50,0.22708209256513015,0.0,-0.0017196867730240317,0.0,0.0,0.0,0.0,0.0
uniform_total,nearest,Q2,0.75,0.5604271644171386,0.5601814948781352,-0.0002456695390034014,50,0.22708209256513015,0.0,-0.0017196867730240317,0.0,0.0,0.0,0.0,0.0
exact_value,nearest,Q2,0.5,0.5604271644171386,0.5602233485532813,-0.0002038158638573151,50,0.22708209256513015,0.0,-0.0014267110470017608,0.0,0.0,0.0,0.0,0.0
uniform_total,nearest,Q2,0.5,0.5604271644171386,0.5602233485532813,-0.0002038158638573151,50,0.22708209256513015,0.0,-0.0014267110470017608,0.0,0.0,0.0,0.0,0.0
exact_value,nearest,Q2,0.25,0.5604271644171386,0.5603052144237853,-0.00012194999335324308,50,0.22708209256513015,0.0,-0.0008536499534724795,0.0,0.0,0.0,0.0,0.0
uniform_total,nearest,Q2,0.25,0.5604271644171386,0.5603052144237853,-0.00012194999335324308,50,0.22708209256513015,0.0,-0.0008536499534724795,0.0,0.0,0.0,0.0,0.0
exact_value,nearest,Q2,0.1,0.5604271644171386,0.5603735555541275,-5.36088630110898e-05,50,0.22708209256513015,0.0,-0.00037526204107818373,0.0,0.0,0.0,0.0,0.0
uniform_total,nearest,Q2,0.1,0.5604271644171386,0.5603735555541275,-5.36088630110898e-05,50,0.22708209256513015,0.0,-0.00037526204107818373,0.0,0.0,0.0,0.0,0.0
exact_value,range,Q2,0.1,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,range,Q2,0.25,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,range,Q2,0.5,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,range,Q2,0.75,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,range,Q2,1.0,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,Q2,0.1,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,Q2,0.25,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,Q2,0.5,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,Q2,0.75,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,Q2,1.0,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean,Q2,0.1,0.5604271644171386,0.5606281008119797,0.00020093639484108916,50,1.4617778244156059,0.0,0.001406554763886958,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mode,Q2,0.1,0.5604271644171386,0.5607056077496909,0.0002784433325523361,50,1.480866110722714,0.0,0.0019491033278655756,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,Q2,0.1,0.5604271644171386,0.5607099513541153,0.00028278693697669777,50,1.4408661107227139,0.0,0.0019795085588362182,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,Q2,0.1,0.5604271644171386,0.5610213209221973,0.0005941565050586739,50,0.6080221631020325,0.0,0.00415909553540994,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,Q2,0.1,0.5604271644171386,0.5610541190701176,0.0006269546529790171,50,0.6416726671548346,0.0,0.0043886825708525645,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,Q2,0.1,0.5604271644171386,0.5611720077736726,0.0007448433565340196,50,0.7588012458174505,0.0,0.005213903495738137,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean,Q2,0.25,0.5604271644171386,0.5614858134061284,0.0010586489889897743,50,1.4617778244156059,0.0,0.007410542922927754,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,Q2,0.25,0.5604271644171386,0.5616670698056277,0.0012399053884891709,50,1.4408661107227139,0.0,0.008679337719423863,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mode,Q2,0.25,0.5604271644171386,0.5616938864396495,0.00126672202251088,50,1.480866110722714,0.0,0.008867054157575827,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,Q2,0.25,0.5604271644171386,0.5620102482171172,0.001583083799978624,50,0.6080221631020325,0.0,0.011081586599849924,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,Q2,0.25,0.5604271644171386,0.5621045072159561,0.0016773427988174827,50,0.6416726671548346,0.0,0.011741399591721713,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,Q2,0.25,0.5604271644171386,0.5624538660191254,0.0020267016019868134,50,0.7588012458174505,0.0,0.01418691121390725,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,Q2,0.5,0.5604271644171386,0.5639274192644861,0.003500254847347506,50,0.6080221631020325,0.0,0.02450178393143254,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,Q2,0.5,0.5604271644171386,0.5641573561609824,0.0037301917438438137,50,0.6416726671548346,0.0,0.026111342206906585,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean,Q2,0.5,0.5604271644171386,0.5642399949916003,0.0038128305744616897,50,1.4617778244156059,0.0,0.026689814021231384,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,Q2,0.5,0.5604271644171386,0.5645448204640565,0.004117656046917939,50,1.4408661107227139,0.0,0.02882359232842535,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mode,Q2,0.5,0.5604271644171386,0.5646961214205948,0.0042689570034561974,50,1.480866110722714,0.0,0.029882699024192494,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,Q2,0.5,0.5604271644171386,0.5650930773774456,0.00466591296030705,50,0.7588012458174505,0.0,0.03266139072214891,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,Q2,0.75,0.5604271644171386,0.5662099484668436,0.005782784049705003,50,0.6080221631020325,0.0,0.04047948834793469,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,Q2,0.75,0.5604271644171386,0.5666179934282395,0.006190829011100907,50,0.6416726671548346,0.0,0.043335803077706014,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,Q2,0.75,0.5604271644171386,0.5685962752705338,0.008169110853395223,50,0.7588012458174505,0.0,0.05718377597376578,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean,Q2,0.75,0.5604271644171386,0.5687376725964981,0.008310508179359521,50,1.4617778244156059,0.0,0.058173557255516206,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,Q2,1.0,0.5604271644171386,0.5689181722605731,0.008491007843434484,50,0.6080221631020325,0.0,0.05943705490404072,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,Q2,0.75,0.5604271644171386,0.5691210541202293,0.008693889703090707,50,1.4408661107227139,0.0,0.06085722792163473,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mode,Q2,0.75,0.5604271644171386,0.5694958943574432,0.00906872994030461,50,1.480866110722714,0.0,0.06348110958213238,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,Q2,1.0,0.5604271644171386,0.5695469014960114,0.009119737078872814,50,0.6416726671548346,0.0,0.06383815955211003,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean,Q2,1.0,0.5604271644171386,0.5755692619946576,0.015142097577519054,50,1.4617778244156059,0.0,0.10599468304263249,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,Q2,1.0,0.5604271644171386,0.5759643785206541,0.015537214103515495,50,1.4408661107227139,0.0,0.10876049872460847,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mode,Q2,1.0,0.5604271644171386,0.57676707098195,0.016339906564811435,50,1.480866110722714,0.0,0.11437934595367916,0.0,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,Q2,1.0,0.5604271644171386,0.5803957354637465,0.019968571046607875,50,0.7588012458174505,0.0,0.13977999732625535,0.0,0.0,0.0,0.0,0.0
