prior,strategy,targets,weight,base_loss,candidate_loss,delta,changed_blocks,mean_abs_shift,Q1_delta,Q2_delta,Q3_delta,S1_delta,S2_delta,S3_delta,S4_delta
exact_value,nearest,"Q2,Q3",1.0,0.5604271644171386,0.5593549565786903,-0.0010722078384483025,100,0.18027234245163248,0.0,-0.0017306850763592063,-0.005774769792778578,0.0,0.0,0.0,0.0
uniform_total,nearest,"Q2,Q3",1.0,0.5604271644171386,0.5593549565786903,-0.0010722078384483025,100,0.18027234245163248,0.0,-0.0017306850763592063,-0.005774769792778578,0.0,0.0,0.0,0.0
exact_value,nearest,"Q2,Q3",0.75,0.5604271644171386,0.5595426245895659,-0.000884539827572639,100,0.18027234245163248,0.0,-0.0017196867730240317,-0.00447209201998533,0.0,0.0,0.0,0.0
uniform_total,nearest,"Q2,Q3",0.75,0.5604271644171386,0.5595426245895659,-0.000884539827572639,100,0.18027234245163248,0.0,-0.0017196867730240317,-0.00447209201998533,0.0,0.0,0.0,0.0
exact_value,nearest,"Q2,Q3",0.5,0.5604271644171386,0.559783990749394,-0.0006431736677445787,100,0.18027234245163248,0.0,-0.0014267110470017608,-0.0030755046272110675,0.0,0.0,0.0,0.0
uniform_total,nearest,"Q2,Q3",0.5,0.5604271644171386,0.559783990749394,-0.0006431736677445787,100,0.18027234245163248,0.0,-0.0014267110470017608,-0.0030755046272110675,0.0,0.0,0.0,0.0
exact_value,nearest,"Q2,Q3",0.25,0.5604271644171386,0.5600787976002606,-0.00034836681687799853,100,0.18027234245163248,0.0,-0.0008536499534724795,-0.0015849177646732882,0.0,0.0,0.0,0.0
uniform_total,nearest,"Q2,Q3",0.25,0.5604271644171386,0.5600787976002606,-0.00034836681687799853,100,0.18027234245163248,0.0,-0.0008536499534724795,-0.0015849177646732882,0.0,0.0,0.0,0.0
exact_value,nearest,"Q2,Q3",0.1,0.5604271644171386,0.5602813672633228,-0.0001457971538157965,100,0.18027234245163248,0.0,-0.00037526204107818373,-0.0006453180356330579,0.0,0.0,0.0,0.0
uniform_total,nearest,"Q2,Q3",0.1,0.5604271644171386,0.5602813672633228,-0.0001457971538157965,100,0.18027234245163248,0.0,-0.00037526204107818373,-0.0006453180356330579,0.0,0.0,0.0,0.0
exact_value,range,"Q2,Q3",0.1,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,range,"Q2,Q3",0.25,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,range,"Q2,Q3",0.5,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,range,"Q2,Q3",0.75,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,range,"Q2,Q3",1.0,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,"Q2,Q3",0.1,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,"Q2,Q3",0.25,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,"Q2,Q3",0.5,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,"Q2,Q3",0.75,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_total,range,"Q2,Q3",1.0,0.5604271644171386,0.5604271644171386,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exact_value,posterior_mean,"Q2,Q3",0.1,0.5604271644171386,0.5608302484667359,0.00040308404959732425,100,1.560627165819302,0.0,0.001406554763886958,0.0014150335832933125,0.0,0.0,0.0,0.0
exact_value,posterior_mode,"Q2,Q3",0.1,0.5604271644171386,0.5608786098336928,0.0004514454165541748,100,1.587179425583507,0.0,0.0019491033278655756,0.001211014588013315,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,"Q2,Q3",0.1,0.5604271644171386,0.5609262979949888,0.0004991335778502526,100,1.5616502830611498,0.0,0.0019795085588362182,0.0015144264861152168,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,"Q2,Q3",0.1,0.5604271644171386,0.561369978539999,0.0009428141228604581,100,0.5423176274897518,0.0,0.00415909553540994,0.0024406033246127112,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,"Q2,Q3",0.1,0.5604271644171386,0.561509790737482,0.001082626320343394,100,0.5803292699525815,0.0,0.0043886825708525645,0.0031897016715509707,0.0,0.0,0.0,0.0
uniform_total,posterior_mode,"Q2,Q3",0.1,0.5604271644171386,0.5616671772437769,0.001240012826638326,100,0.6922360641822045,0.0,0.005213903495738137,0.003466186290729256,0.0,0.0,0.0,0.0
exact_value,posterior_mean,"Q2,Q3",0.25,0.5604271644171386,0.5626611043935175,0.0022339399763788848,100,1.560627165819302,0.0,0.007410542922927754,0.008227036911723884,0.0,0.0,0.0,0.0
exact_value,posterior_mode,"Q2,Q3",0.25,0.5604271644171386,0.5628276654688332,0.002400501051694648,100,1.587179425583507,0.0,0.008867054157575827,0.007936453204286265,0.0,0.0,0.0,0.0
exact_value,posterior_mean_nearest,"Q2,Q3",0.25,0.5604271644171386,0.5628901614769871,0.0024629970598485373,100,1.5616502830611498,0.0,0.008679337719423863,0.008561641699515343,0.0,0.0,0.0,0.0
uniform_total,posterior_mean_nearest,"Q2,Q3",0.25,0.5604271644171386,0.5629385305278516,0.002511366110713009,100,0.5423176274897518,0.0,0.011081586599849924,0.006497976175140696,0.0,0.0,0.0,0.0
uniform_total,posterior_mean,"Q2,Q3",0.25,0.5604271644171386,0.563304131636012,0.0028769672188734274,100,0.5803292699525815,0.0,0.011741399591721713,0.008397370940391946,0.0,0.0,0.0,0.0
