name,file,role,view,predicted_delta_vs_mixmin,predicted_public_lb,neighbor_indices,view_strict_gate,view_loose_gate
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,anchor_residual,1.2335647133622147e-17,0.5763066405,"0,2,3",False,False
blend_m0p50_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s0p50.csv,raw-structure bridge,anchor_residual,0.0008830803467226279,0.5771897208467226,"0,2,3",False,False
inv7_s1p00,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s1p00.csv,raw-structure bridge,anchor_residual,0.0009265670825797321,0.5772332075825798,"0,2,3",False,False
inverse7blend_1040,analysis_outputs/submission_inverse7blend_1040423d.csv,raw-structure bridge,anchor_residual,0.0009265670825797344,0.5772332075825798,"0,2,3",False,False
pair_sensor_6b,analysis_outputs/submission_label_flow_focused_6b9335b1.csv,S4/Q3 selector disambiguation,anchor_residual,0.000981409141228333,0.5772880496412284,"2,3,0",False,False
blend_m0p25_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p25_s0p50.csv,raw-structure bridge,anchor_residual,0.0009924936622780953,0.5772991341622781,"2,3,0",False,False
inv7_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p50.csv,raw-structure bridge,anchor_residual,0.0010585921799871082,0.5773652326799872,"2,3,0",False,False
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,anchor_residual,0.0011326804999999334,0.577439321,"1,2,3",False,False
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,anchor_residual,0.0012196666999999728,0.5775263072,"2,3,1",False,False
pair_sensor_1bb,analysis_outputs/submission_label_flow_focused_1bbfb735.csv,S4/Q3 selector disambiguation,anchor_residual,0.0013417975084547872,0.5776484380084548,"3,2,1",False,False
pair_sensor_1bb_s0p65,analysis_outputs/submission_label_flow_sensorcurve_conservative_1bb_full_s0p65_0ee928c4.csv,S4/Q3 selector disambiguation,anchor_residual,0.0013435377646505168,0.5776501782646506,"3,2,1",False,False
inv7_s0p25,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p25.csv,raw-structure bridge,anchor_residual,0.0013454908042857257,0.5776521313042857,"2,3,1",False,False
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,anchor_residual,0.0016383351999999832,0.5779449757,"3,2,1",False,False
ordinal,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,ordinal_constraint_anchor,anchor_residual,0.001996724700000006,0.5783033652,"4,5,3",False,False
final9,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,subject_logit_anchor,anchor_residual,0.0021207122999999904,0.5784273528,"5,4,3",False,False
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,anchor_residual,0.0034946456999999983,0.5798012862,"6,3,2",False,False
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,anchor_residual,0.003940178699999961,0.5802468192,"7,8,4",False,False
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,anchor_residual,0.004920687299999937,0.5812273278,"8,7,6",False,False
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,anchor_shape,1.3114248539431147e-17,0.5763066405,"0,3,2",False,False
blend_m0p50_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s0p50.csv,raw-structure bridge,anchor_shape,0.0008598448378748406,0.5771664853378748,"0,2,3",False,False
inv7_s1p00,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s1p00.csv,raw-structure bridge,anchor_shape,0.0009499001190460882,0.5772565406190461,"2,0,3",False,False
inverse7blend_1040,analysis_outputs/submission_inverse7blend_1040423d.csv,raw-structure bridge,anchor_shape,0.0009499001190460891,0.5772565406190461,"2,0,3",False,False
pair_sensor_6b,analysis_outputs/submission_label_flow_focused_6b9335b1.csv,S4/Q3 selector disambiguation,anchor_shape,0.0009684270430213162,0.5772750675430214,"3,0,2",False,False
blend_m0p25_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p25_s0p50.csv,raw-structure bridge,anchor_shape,0.0009709940591286036,0.5772776345591286,"2,3,0",False,False
pair_sensor_1bb,analysis_outputs/submission_label_flow_focused_1bbfb735.csv,S4/Q3 selector disambiguation,anchor_shape,0.000978898600618604,0.5772855391006186,"3,2,0",False,False
inv7_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p50.csv,raw-structure bridge,anchor_shape,0.001059912750601569,0.5773665532506016,"2,3,0",False,False
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,anchor_shape,0.0011326804999999334,0.577439321,"1,2,3",False,False
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,anchor_shape,0.0012196666999999713,0.5775263072,"2,3,1",False,False
inv7_s0p25,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p25.csv,raw-structure bridge,anchor_shape,0.001342833127664175,0.5776494736276642,"2,3,1",False,False
pair_sensor_1bb_s0p65,analysis_outputs/submission_label_flow_sensorcurve_conservative_1bb_full_s0p65_0ee928c4.csv,S4/Q3 selector disambiguation,anchor_shape,0.0013504915901110981,0.5776571320901112,"3,2,1",False,False
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,anchor_shape,0.0016383351999999854,0.5779449757,"3,2,1",False,False
ordinal,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,ordinal_constraint_anchor,anchor_shape,0.001996724700000006,0.5783033652,"4,5,3",False,False
final9,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,subject_logit_anchor,anchor_shape,0.0021207122999999904,0.5784273528,"5,4,3",False,False
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,anchor_shape,0.0034946456999999983,0.5798012862,"6,3,2",False,False
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,anchor_shape,0.00394017869999996,0.5802468192,"7,8,4",False,False
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,anchor_shape,0.004920687299999938,0.5812273278,"8,7,6",False,False
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,contextall_anchor_residual,8.374331169144414e-18,0.5763066405,"0,3,2",False,False
blend_m0p50_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s0p50.csv,raw-structure bridge,contextall_anchor_residual,0.0009531261610190755,0.5772597666610191,"2,0,3",False,False
