name,file,role,public_lb,public_delta_vs_mixmin,view,predicted_delta,error,abs_error,neighbor_indices
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,0.5763066405,0.0,target_prior,0.001336202065009402,0.001336202065009402,0.001336202065009402,"2,1,0"
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,0.577439321,0.0011326804999999274,target_prior,0.0008903297238868535,-0.00024235077611307388,0.00024235077611307388,"0,1,2"
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,0.5775263072,0.001219666699999955,target_prior,0.0012383844475520383,1.8717747552083296e-05,1.8717747552083296e-05,"2,1,0"
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,0.5779449757,0.0016383352000000073,target_prior,0.001507236562209937,-0.0001310986377900704,0.0001310986377900704,"2,5,0"
ordinal,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,ordinal_constraint_anchor,0.5783033652,0.0019967247000000077,target_prior,0.0016305644063116327,-0.000366160293688375,0.000366160293688375,"3,0,5"
final9,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,subject_logit_anchor,0.5784273528,0.002120712299999994,target_prior,0.002521188429755143,0.0004004761297551492,0.0004004761297551492,"4,6,3"
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,0.5798012862,0.003494645700000021,target_prior,0.0010614672467479428,-0.002433178453252078,0.002433178453252078,"3,2,0"
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,0.5802468192,0.003940178699999963,target_prior,0.002870480698044558,-0.0010696980019554055,0.0010696980019554055,"4,7,3"
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,0.5812273278,0.0049206872999999485,target_prior,0.0024072190141145563,-0.0025134682858853922,0.0025134682858853922,"6,3,4"
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,0.5763066405,0.0,calendar_no_prior,0.0013776080769331007,0.0013776080769331007,0.0013776080769331007,"2,1,0"
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,0.577439321,0.0011326804999999274,calendar_no_prior,0.0011863025395982892,5.362203959836183e-05,5.362203959836183e-05,"1,2,0"
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,0.5775263072,0.001219666699999955,calendar_no_prior,0.0011056416664989984,-0.00011402503350095659,0.00011402503350095659,"1,2,0"
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,0.5779449757,0.0016383352000000073,calendar_no_prior,0.0006850101189863348,-0.0009533250810136725,0.0009533250810136725,"0,2,1"
ordinal,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,ordinal_constraint_anchor,0.5783033652,0.0019967247000000077,calendar_no_prior,0.0015855805394584502,-0.0004111441605415575,0.0004111441605415575,"0,3,5"
final9,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,subject_logit_anchor,0.5784273528,0.002120712299999994,calendar_no_prior,0.003337987521207916,0.001217275221207922,0.001217275221207922,"4,7,6"
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,0.5798012862,0.003494645700000021,calendar_no_prior,0.0020919684268812743,-0.0014026772731187465,0.0014026772731187465,"0,3,7"
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,0.5802468192,0.003940178699999963,calendar_no_prior,0.0028672171746135255,-0.0010729615253864378,0.0010729615253864378,"7,3,4"
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,0.5812273278,0.0049206872999999485,calendar_no_prior,0.002406632889734556,-0.0025140544102653923,0.0025140544102653923,"6,3,4"
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,0.5763066405,0.0,calendar,0.0013456704312732614,0.0013456704312732614,0.0013456704312732614,"2,1,0"
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,0.577439321,0.0011326804999999274,calendar,0.001003910783101408,-0.00012876971689851943,0.00012876971689851943,"1,0,2"
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,0.5775263072,0.001219666699999955,calendar,0.0010602418945179076,-0.0001594248054820474,0.0001594248054820474,"1,2,0"
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,0.5779449757,0.0016383352000000073,calendar,0.0007825724761642075,-0.0008557627238357998,0.0008557627238357998,"2,0,1"
