combo,note,ops,base_loss,candidate_loss,delta,geometry_delta,geometry_win_rate,geometry_Q1_delta,geometry_Q2_delta,geometry_Q3_delta,geometry_S1_delta,geometry_S2_delta,geometry_S3_delta,geometry_S4_delta
presleep_core_prectx_s2wlight_s3light_q3hr_ble_ambnext,aggressive future-context Q3 ambience-next residual added to temporal S2/S3,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_wlight_pre1h_w_light_min_dprev1|global_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3; Q3:prectx__presleep_ambience_core5h_top_is_speech_count_next1|subject_z|c0.5|w0.45,0.5710662326231513,0.5623851178987495,-0.008681114724401806,-0.009748256661776544,1.0,-0.006250333111316064,0.0,-0.018358729692402077,-0.017292984901517077,-0.0070753923362252835,-0.010591947893424231,-0.0086684086975507
presleep_core_prectx_s2charge_s3light_q3hr_ble_ambnext,aggressive future-context Q3 ambience-next residual added to temporal S2/S3,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_charge_pre3h_m_charging_mean_dprev1|subject_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3; Q3:prectx__presleep_ambience_core5h_top_is_speech_count_next1|subject_z|c0.5|w0.45,0.5710662326231513,0.5624047829610622,-0.008661449662089038,-0.009741006603635537,1.0,-0.006250333111316064,0.0,-0.018358729692402077,-0.017292984901517077,-0.00702464192923829,-0.010591947893424231,-0.0086684086975507
presleep_core_prectx_s2wlight_s3light_q3hr_ble,core plus temporal-context S2 watch-light/S3 and Q3 HR/BLE,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_wlight_pre1h_w_light_min_dprev1|global_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5710662326231513,0.5636969395169388,-0.007369293106212482,-0.008500036374141918,1.0,-0.006250333111316064,0.0,-0.009621187678959786,-0.017292984901517077,-0.0070753923362252835,-0.010591947893424231,-0.0086684086975507
presleep_core_prectx_s2charge_s3light_q3hr_ble,core plus temporal-context S2/S3 and Q3 HR/BLE,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_charge_pre3h_m_charging_mean_dprev1|subject_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5710662326231513,0.5637166045792515,-0.007349628043899714,-0.008492786316000922,1.0,-0.006250333111316064,0.0,-0.009621187678959786,-0.017292984901517077,-0.00702464192923829,-0.010591947893424231,-0.0086684086975507
presleep_core_all_s2quiet_q3hr_ble,largest OOF candidate with quiet S2,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:quiet__quiet_w22_32_screen_step_end|subject_z|c0.5|w0.45; S3:presleep__presleep_activity_pre1h_m_activity_last|subject_center|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5710662326231513,0.5647864669803143,-0.006279765642836943,-0.006719905444436514,1.0,-0.006250333111316064,0.0,-0.009621187678959786,-0.017292984901517077,-0.003439676420917237,-0.0017667473007942913,-0.0086684086975507
presleep_core_all_s2charge_q3hr_ble,largest presleep-heavy candidate,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:presleep__presleep_charge_pre3h_m_charging_mean|subject_rank|c0.5|w0.45; S3:presleep__presleep_activity_pre1h_m_activity_last|subject_center|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5710662326231513,0.5647903390727723,-0.0062758935503789415,-0.006660943593204238,1.0,-0.006250333111316064,0.0,-0.009621187678959786,-0.017292984901517077,-0.0030269434622914983,-0.0017667473007942913,-0.0086684086975507
presleep_core_q1_s1_s4_q3hr_ble,core plus sequential Q3 HR and BLE residuals,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5710662326231513,0.565696515084089,-0.005369717539062235,-0.005976130627049092,1.0,-0.006250333111316064,0.0,-0.009621187678959786,-0.017292984901517077,0.0,0.0,-0.0086684086975507
presleep_core_soft_q3hr_ble,conservative core plus sequential Q3 residuals,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.2|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.2|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5710662326231513,0.5658002974005284,-0.005265935222622864,-0.005974745382193824,1.0,-0.006035501936438858,0.0,-0.009621187678959786,-0.016754452217794525,0.0,0.0,-0.009412075842163525
presleep_core_prectx_s2wlight_s3light,core plus temporal-context S2 watch-light and S3 light,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_wlight_pre1h_w_light_min_dprev1|global_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45,0.5710662326231513,0.5659849660428438,-0.0050812665803074974,-0.0071255809914334,1.0,-0.006250333111316064,0.0,0.0,-0.017292984901517077,-0.0070753923362252835,-0.010591947893424231,-0.0086684086975507
presleep_core_prectx_s2charge_s3light,core plus temporal-context S2 charge and S3 light,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_charge_pre3h_m_charging_mean_dprev1|subject_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45,0.5710662326231513,0.5660046311051565,-0.005061601517994729,-0.007118330933292383,1.0,-0.006250333111316064,0.0,0.0,-0.017292984901517077,-0.00702464192923829,-0.010591947893424231,-0.0086684086975507
