rank,source,active_weights,score,mean_expected,p90_expected,mean_regret,p90_regret,p95_regret,max_regret,mean_delta_vs_prior,p90_delta_vs_prior,win_rate_vs_prior,w::submission_public_entropyproj_public2d0_g100.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g075.csv,w::submission_public2dblend_budget0p0.csv,w::submission_public_entropyproj_public2d0_g050.csv,w::submission_public_entropyproj_public2d0_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q3_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s3_s4_g050.csv
1,sparse5_refined,6,0.5749249725168349,0.5746342260269525,0.5808746067835624,6.686397147382451e-05,0.00011833901757745125,0.00012265364659512777,0.00016032235417196006,-0.0007312114093119218,-0.0002687777801978819,1.0,0.15948078198285046,0.203125,0.023042649275471543,0.2316911472526193,0.09062500000000001,0.29203542148905876,,,,,,,,,
2,dirichlet_0.3_refined,13,0.5749249728880381,0.5746342235349337,0.5808744678282861,6.686147945494068e-05,0.00011833601803277194,0.00012266392903810818,0.00016048787804567866,-0.0007312139013308057,-0.00026891339993793115,1.0,0.27584530563381066,0.04451520952316301,0.16037144464289332,0.16369289284557964,,,0.0023032106821290243,0.043750000000000004,0.18593236928114237,0.02500000000000001,0.05672264850989526,0.00022348803580704487,0.0038481842145533353,0.022385994023081213,0.015409252607944856
3,dirichlet_0.3_refined,12,0.5749249759031553,0.5746342187567013,0.5808746373996407,6.685670122263711e-05,0.00011833533221874416,0.00012264334190519865,0.00016095152627448872,-0.0007312186795631092,-0.0002686395847713574,1.0,0.3041056570914251,0.05,0.09190804859771676,0.22610156400010709,,0.08188647843064811,0.0011023636350048077,,0.1,0.09579099570573726,0.003673400259071355,0.00625,0.001382056104585834,0.03779943617570376,
4,dirichlet_0.7_refined,11,0.5749249774446297,0.5746342274082102,0.5808744916416327,6.68653527314505e-05,0.0001183225303924007,0.00012265187761882341,0.00016067662318963727,-0.0007312100280542958,-0.0002688726738245828,1.0,0.26465280950185543,0.003125,0.254969250374006,,0.0778675538373142,0.10697209976269643,0.0037499413659862852,0.028125,,,0.1938127771845601,,0.0012549949090254415,0.009375000000000001,0.05609557306455604
5,dirichlet_0.15_refined,10,0.5749249798303506,0.5746342411505904,0.5808746924191663,6.687909511174676e-05,0.00011828118391459253,0.00012258894489329265,0.00016104138797701228,-0.0007311962856739994,-0.00026852509148876934,1.0,0.2725008764855134,0.14183402810562487,0.08638727698787531,0.23085146808592266,,0.14425463209881592,0.00019838005414436524,0.07330977110512987,0.012504197355660517,,,,0.034855250989225164,0.003304116102794062,
6,dirichlet_0.7_refined,9,0.5749249804188007,0.5746342384691423,0.5808745719459487,6.68764136635917e-05,0.00011829465175033915,0.0001226144683202257,0.00016081707001647239,-0.0007311989671221546,-0.00026873169449487255,1.0,0.2971844109137947,0.22092813435665995,0.06079056254650253,0.13509300803446084,0.11845484939264694,,,,,,0.029702546576272096,,0.01727365362583125,0.020248447049580533,0.10032438750425118
7,dirichlet_0.7_refined,12,0.5749249826451175,0.5746343035759136,0.5808745622577208,6.694152043490743e-05,0.00011814470219581042,0.00012246024523765442,0.00016072529657629175,-0.0007311338603508388,-0.0002685997771079362,1.0,0.1927701257109618,0.08782481308458949,0.12036089548823667,0.09570497903592165,0.10982339778776601,0.003125,0.0007262433492703926,,0.22250159734572966,0.00625,0.13716874400423185,,0.011244204193292515,0.0125,
8,dirichlet_0.7_refined,10,0.5749249827258839,0.5746343130452612,0.5808745614188693,6.695098978255869e-05,0.00011812296754105666,0.00012243905592621007,0.0001606993906991816,-0.0007311243910031876,-0.00026860617583189804,1.0,0.18057506178587557,0.07376390510882626,0.13251228839760246,0.20586783311980023,,,,,0.3603217140269525,0.012329269858359894,0.027140529768650088,0.0002899159317032604,0.0004369436251770338,0.006762538377052522,
9,dirichlet_0.15_refined,10,0.5749249848364304,0.5746342428924128,0.5808745699819684,6.68808369341297e-05,0.00011829618281044008,0.00012260886545933936,0.0001606374194810245,-0.0007311945438516166,-0.00026873880319283616,1.0,0.20315984346208527,0.22597864130923842,,0.14852558963604778,0.18428070230224977,0.00625,0.010195831521722577,,0.12523439857963511,,0.08320807113501379,,0.012724153908590415,0.00044276814541680535,
10,dirichlet_0.7_refined,8,0.5749249866556877,0.574634234433662,0.5808748326419317,6.687237818326101e-05,0.00011829051232566946,0.0001226213550903521,0.00016123229121856042,-0.0007312030026024852,-0.0002683035437238801,1.0,0.20510565858791815,,0.23497612228369613,0.00625,0.10203117212062332,,0.007791504248979125,0.020394246285423825,0.1999676977331701,,0.22348359874018953,,,,
