band,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,base_no_q2_s3_anchor_delta,add_all_anchor_minus_no_q2_s3,add_all_mean_anchor_minus_no_q2_s3,add_all_max_set_minus_no_q2_s3,add_all_min_set_minus_no_q2_s3,add_all_hidden_core_minus_no_q2_s3,add_all_anchor_q2_s3_contrib,add_all_beats_no_q2_s3,add_no_q2_anchor_minus_no_q2_s3,add_no_q2_mean_anchor_minus_no_q2_s3,add_no_q2_max_set_minus_no_q2_s3,add_no_q2_min_set_minus_no_q2_s3,add_no_q2_hidden_core_minus_no_q2_s3,add_no_q2_anchor_q2_s3_contrib,add_no_q2_beats_no_q2_s3,add_no_s3_anchor_minus_no_q2_s3,add_no_s3_mean_anchor_minus_no_q2_s3,add_no_s3_max_set_minus_no_q2_s3,add_no_s3_min_set_minus_no_q2_s3,add_no_s3_hidden_core_minus_no_q2_s3,add_no_s3_anchor_q2_s3_contrib,add_no_s3_beats_no_q2_s3,add_q2_anchor_minus_no_q2_s3,add_q2_mean_anchor_minus_no_q2_s3,add_q2_max_set_minus_no_q2_s3,add_q2_min_set_minus_no_q2_s3,add_q2_hidden_core_minus_no_q2_s3,add_q2_anchor_q2_s3_contrib,add_q2_beats_no_q2_s3,add_s3_anchor_minus_no_q2_s3,add_s3_mean_anchor_minus_no_q2_s3,add_s3_max_set_minus_no_q2_s3,add_s3_min_set_minus_no_q2_s3,add_s3_hidden_core_minus_no_q2_s3,add_s3_anchor_q2_s3_contrib,add_s3_beats_no_q2_s3,add_q2_s3_anchor_minus_no_q2_s3,add_q2_s3_mean_anchor_minus_no_q2_s3,add_q2_s3_max_set_minus_no_q2_s3,add_q2_s3_min_set_minus_no_q2_s3,add_q2_s3_hidden_core_minus_no_q2_s3,add_q2_s3_anchor_q2_s3_contrib,add_q2_s3_beats_no_q2_s3
all,support60,grad_all_abs50,all,core_gain,0.07,0.08,-9.240841736257721e-08,1.768369127796987e-07,-1.9777492976658095e-07,1.2902950111692846e-06,-1.6813811337668128e-06,-1.3387552121407742e-05,-1.9777492980395726e-07,False,-2.2881474714964156e-08,-1.9967166098311395e-07,7.878528361926485e-07,-1.3245255002791723e-06,-4.17904187791085e-06,-1.9967166101910446e-07,True,1.7857984002667138e-07,1.896731327555301e-09,5.024757793181678e-07,-3.5682419230465e-07,-9.208510243441381e-06,1.8967312106875183e-09,False,2.7830740245704533e-07,5.132899669746394e-07,-4.0414946622657766e-07,1.6069257392503644e-06,2.379932869012169e-05,1.8967312106875183e-09,False,7.59288667495639e-08,3.117215746639701e-07,-1.1882363237791793e-07,6.362487423583474e-07,2.8828797055652222e-05,-1.9967166101910446e-07,False,2.46635413758689e-07,3.136183058805031e-07,3.83765451861251e-07,2.777722757363321e-07,1.962028681221084e-05,-1.9777492980395726e-07,False
all,support60,grad_all_abs50,teacher_row_top50,core_gain,0.07,0.08,-4.381818363707879e-08,1.978555846937624e-07,-6.527177531800987e-08,8.921324472499492e-07,-1.0316711449576133e-06,-1.1087192047121164e-05,-6.527177531702583e-08,False,-2.868449922033278e-09,-7.840643900802746e-08,4.222798165587349e-07,-7.415226839224687e-07,-2.763791180915298e-06,-7.840643908365338e-08,True,1.8207511465195836e-07,1.313466369001759e-08,4.737494724293967e-07,-2.901016830092473e-07,-8.323400866316888e-06,1.3134663762167935e-08,False,2.428699789058797e-07,4.484586769715193e-07,-3.3186771075666144e-07,1.4025289263308593e-06,1.6827857420409487e-05,1.3134663762167935e-08,False,4.516211404848036e-08,3.5691757405142965e-07,-3.8009008807016187e-07,9.536003705568064e-07,2.2387467105838832e-05,-7.840643908365338e-08,False,2.4035780055164935e-07,3.7005223796349185e-07,9.455362415256019e-08,6.614364647106186e-07,1.4064066239632966e-05,-6.527177531702583e-08,False
all,support60,grad_all_4of6,all,core_gain,0.07,0.08,-1.682366856936568e-08,2.126743460229008e-07,-2.223940755996523e-07,1.4574694447988534e-06,-1.8024282278927828e-06,-1.4254476936814697e-05,-2.223940754593022e-07,False,1.5223578841983e-08,-2.2085401818472405e-07,9.306219781457514e-07,-1.4232015004278509e-06,-4.775472307844142e-06,-2.2085401806458884e-07,False,1.820586291723103e-07,-1.5400575259505445e-09,5.268811480441116e-07,-3.7911440864402124e-07,-9.479004629053822e-06,-1.540057399173094e-09,False,2.096624883707321e-07,4.66825743505872e-07,-4.079904545317703e-07,1.442895193659588e-06,2.5158275459319368e-05,-1.540057399173094e-09,False,3.8958010040168745e-08,2.475117827360762e-07,-6.795776386070429e-09,3.942667649026177e-07,2.9861807780529048e-05,-2.2085401806458884e-07,False,2.2023533685633367e-07,2.459717254321703e-07,5.226774612010487e-07,1.2696763751485207e-08,2.038280315144747e-05,-2.223940754593022e-07,False
all,raw_agree,grad_all_abs50,all,core_gain,0.07,0.08,-2.3858555229239187e-06,2.1524923665694473e-07,-4.477062806040877e-07,2.1184495900827827e-06,-3.1308734037560626e-06,-3.7021857717867146e-05,-4.477062806823882e-07,False,1.564135733156391e-07,-4.037393933620237e-07,1.5822907054596769e-06,-2.3315141240987103e-06,-1.151430796955677e-05,-4.037393934587864e-07,False,6.185745837772316e-08,-4.396688713104169e-08,5.362216539683828e-07,-8.475273219898938e-07,-2.5507549748365888e-05,-4.396688722806134e-08,False,2.4881091436057545e-06,3.2460956826962928e-06,-3.6848855766713484e-07,7.939887281094293e-06,0.00013416760695939,-4.396688722806134e-08,False,2.4295736987811622e-06,2.8863231763542885e-06,4.1481497792261735e-07,6.527474644690834e-06,0.00014816084873819912,-4.037393934587864e-07,False,2.4796165917218005e-06,2.842356289223247e-06,9.511712157905805e-07,5.684362329505532e-06,0.00012265329898974997,-4.477062806823882e-07,False
low_slack_half,support60,grad_all_4of6,all,core_gain,0.07,0.08,-1.1241539965567426e-07,2.3120549530464274e-07,-1.5003840092564502e-07,1.3735130089953529e-06,-1.6001678009303077e-06,-1.361170314886917e-05,-1.500384009707899e-07,False,8.313090016365265e-08,-1.582440297687171e-07,9.459813067325129e-07,-1.3251651368451078e-06,-5.1016887265553645e-06,-1.582440298105695e-07,False,1.5130507979854713e-07,8.205628732049774e-09,4.275497148542584e-07,-2.7497293786371557e-07,-8.51001442228605e-06,8.205628835319952e-09,False,2.6613960779631185e-07,4.4521199338287687e-07,-2.7912963895815324e-07,1.3264855310834989e-06,2.861152771752029e-05,8.205628835319952e-09,False,2.084587128470261e-07,2.787623345490431e-07,2.6030562882972674e-07,2.7603653063312805e-07,3.201985341322322e-05,-1.582440298105695e-07,False,3.4194254006081337e-07,2.8696796339211517e-07,6.669914834889212e-07,1.1099522412294505e-09,2.3509838990964926e-05,-1.500384009707899e-07,False
all,support60,grad_core_top50,all,core_gain,0.07,0.08,-2.367849005757705e-08,2.3938115845112407e-07,-1.609292824555908e-07,1.3993552796520703e-06,-1.6580235397967158e-06,-1.4029115875918707e-05,-1.6092928249372337e-07,False,2.9507316923194082e-08,-1.684464339124503e-07,8.815987548871362e-07,-1.3103396789837518e-06,-4.601289123190577e-06,-1.6844643395757427e-07,False,1.885861401484945e-07,7.517151567881797e-09,5.189460110521793e-07,-3.476238212840599e-07,-9.42782675272813e-06,7.517151459391205e-09,False,2.223946439228186e-07,4.986880272062066e-07,-4.7279810155842483e-07,1.5716369107243722e-06,2.4838732382570505e-05,7.517151459391205e-09,False,6.212157965812537e-08,3.2272444183689686e-07,-1.1169554570145124e-07,6.045270841692485e-07,2.9665270012135814e-05,-1.6844643395757427e-07,False,2.495522890555435e-07,3.3024159340477865e-07,4.088651389677622e-07,2.5559375438355403e-07,2.023744325943544e-05,-1.6092928249372337e-07,False
all,support60,grad_all_abs50,all,flat,0.07,0.08,-6.710552924449331e-08,2.3944325278080214e-07,-2.864507780975245e-07,1.8140117750142792e-06,-2.280881734928464e-06,-1.7555456196610697e-05,-2.8645077802626103e-07,False,-2.642104990346894e-08,-3.4437618712246376e-07,1.1307186669196057e-06,-1.8357465373375348e-06,-5.340894083188941e-06,-3.4437618703084063e-07,True,2.3796736769998716e-07,5.792540880289465e-08,6.833371344328043e-07,-4.43277911155171e-07,-1.2214562113421756e-05,5.7925409000120026e-08,False,3.262930089453775e-07,7.584414829509001e-07,-6.872552837933199e-07,2.2606135370306646e-06,3.5420986466638826e-05,5.7925409000120026e-08,False,4.56670171677942e-08,3.5613988702554167e-07,-2.1843020037159988e-07,7.791839234938536e-07,4.229465449681613e-05,-3.4437618703084063e-07,False,2.7176305883447327e-07,4.140652959394586e-07,4.473744079636077e-07,3.0795005290240596e-07,3.0080092383449886e-05,-2.8645077802626103e-07,False
low_slack_half,support60,grad_core_top50,all,core_gain,0.07,0.08,-5.583777129558598e-08,2.4034673329342837e-07,-1.1714293912667983e-07,1.3191834072889819e-06,-1.496700310577026e-06,-1.3619354734456524e-05,-1.1714293905878788e-07,False,8.563987452525623e-08,-1.3106293239584232e-07,8.891407186073508e-07,-1.2301666962866165e-06,-5.018401555978436e-06,-1.31062932359676e-07,False,1.548121122407764e-07,1.391999326916249e-08,4.300609718344006e-07,-2.6653516083108286e-07,-8.600953178450332e-06,1.3919993296428356e-08,False,2.1806843297778045e-07,3.9805610474452635e-07,-3.6870819408729716e-07,1.3228409714294287e-06,2.8454040909314804e-05,1.3919993296428356e-08,False,1.500559742018126e-07,2.5307317907952154e-07,1.0218599133526851e-07,3.587841957974902e-07,3.203659253184221e-05,-1.31062932359676e-07,False,2.928115290234956e-07,2.6699317245970633e-07,5.205662237939279e-07,9.251887533867631e-08,2.3435639353336368e-05,-1.1714293905878788e-07,False
all,all,grad_all_abs50,all,core_gain,0.07,0.08,-2.3575338821135716e-06,2.462260358937485e-07,-4.374738629131514e-07,2.1808308048321123e-06,-3.17461943877273e-06,-3.7435246570072245e-05,-4.374738628897697e-07,False,1.9255253735916966e-07,-3.954311561527035e-07,1.640096358834775e-06,-2.370006113028289e-06,-1.1885100165698326e-05,-3.9543115616324734e-07,False,7.719473926748321e-08,-4.2042706760447857e-08,5.410097680957904e-07,-8.521745992196017e-07,-2.5550146404290652e-05,-4.204270673098205e-08,False,2.463008975217562e-06,3.2579111052255527e-06,-4.5741111387442857e-07,7.990713128958049e-06,0.00013426516960304835,-4.204270673098205e-08,False,2.415485585327559e-06,2.9045226557222747e-06,3.788691139705591e-07,6.522297316235992e-06,0.00014793021584158517,-3.9543115616324734e-07,False,2.4679628585211333e-06,2.862479948961827e-06,9.200372849127447e-07,5.6744847810596966e-06,0.00012238006943729451,-4.374738628897697e-07,False
low_slack_half,support60,grad_all_abs50,all,core_gain,0.07,0.08,-2.2898042029151355e-07,2.5102059475479166e-07,-6.455484891088048e-08,1.1940679536248666e-06,-1.3232584864519836e-06,-1.2454849720483496e-05,-6.455484884514896e-08,False,1.1289440904338477e-07,-7.676371016618333e-08,7.85032532535368e-07,-1.0580861811160247e-06,-4.440918292131224e-06,-7.676371007435155e-08,False,1.5641975104063732e-07,1.2208861144280547e-08,4.090413157076256e-07,-2.6523749518947426e-07,-8.013931428269006e-06,1.2208861224742925e-08,False,3.763052107697007e-07,5.278610258896421e-07,-2.725371464062931e-07,1.6090896497455986e-06,2.7495466121379986e-05,1.2208861224742925e-08,False,3.2397014193552565e-07,4.3888845469020055e-07,1.050890807707816e-07,8.160592565031877e-07,3.106847925762879e-05,-7.676371007435155e-08,False,4.632159970041627e-07,4.510973158344811e-07,5.12637250982273e-07,5.509342323462008e-07,2.305454782924876e-05,-6.455484884514896e-08,False
