variant_kind,variant_name,pool_size,asym_all_delta,sym16_all_delta,sym20_all_delta,asym_minus_sym16,asym_minus_sym20,asym_strict,asym_deployable,sym16_deployable,sym20_deployable,asym_beats_sym16,asym_beats_sym20,asym_hidden_q2s3,asym_world,asym_block_win,best_pair_name,best_dominant_axis,best_all_delta,best_deployable_pair_name,best_deployable_axis,best_deployable_all_delta
bootstrap8,bootstrap8_002,8,-1.255997048288382e-05,-1.0535122144550435e-05,-1.0808386055272123e-05,-2.024848338333385e-06,-1.7515844276116965e-06,True,True,True,True,True,True,-0.00038814564042778665,-0.00019379608273253912,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2675733411016132e-05,asym8_28_e75,s3_higher,-1.255997048288382e-05
bootstrap8,bootstrap8_001,8,-1.2443789478955303e-05,-1.0482563584379712e-05,-1.0719467591346898e-05,-1.961225894575591e-06,-1.7243218876084043e-06,True,True,True,True,True,True,-0.00037906046330086346,-0.00019177567491197043,0.75,q2a8_s3a32,s3_higher,-1.2541408120014808e-05,asym8_28_e75,s3_higher,-1.2443789478955303e-05
bootstrap8,bootstrap8_059,8,-1.2419217672698935e-05,-1.054789376142562e-05,-1.0773656237472728e-05,-1.8713239112733149e-06,-1.645561435226206e-06,True,True,True,True,True,True,-0.0003997658198847745,-0.0002109013712174089,0.75,q2a8_s3a32,s3_higher,-1.2491884853527147e-05,asym8_28_e75,s3_higher,-1.2419217672698935e-05
bootstrap8,bootstrap8_019,8,-1.2398175427419389e-05,-1.0531609400010744e-05,-1.0751879748083226e-05,-1.8665660274086449e-06,-1.6462956793361627e-06,True,True,True,True,True,True,-0.00037151348498201675,-0.00021353573925710903,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2399501919779787e-05,asym8_28_e75,s3_higher,-1.2398175427419389e-05
bootstrap8,bootstrap8_040,8,-1.2392872335009741e-05,-1.0379662652715282e-05,-1.06107211735873e-05,-2.013209682294459e-06,-1.7821511614224406e-06,True,True,True,True,True,True,-0.0003757133439476895,-0.00019969687448873064,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2484940888124463e-05,asym8_28_e75,s3_higher,-1.2392872335009741e-05
group_keep,base_cell_gate_raw_agree,6,-1.2390738534762136e-05,-1.0497446816248868e-05,-1.0706759835610313e-05,-1.893291718513268e-06,-1.6839786991518224e-06,True,True,True,True,True,True,-0.0003611156479098668,-0.00020652564183781807,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2429032122618366e-05,asym8_28_e75,s3_higher,-1.2390738534762136e-05
bootstrap8,bootstrap8_034,8,-1.2385784137425304e-05,-1.041383704436516e-05,-1.0644954981486876e-05,-1.9719470930601446e-06,-1.7408291559384281e-06,True,True,True,True,True,True,-0.00037612386969164413,-0.00019106638010766273,0.75,q2a8_s3a32,s3_higher,-1.2489671620485865e-05,asym8_28_e75,s3_higher,-1.2385784137425304e-05
bootstrap8,bootstrap8_041,8,-1.2381804293748466e-05,-1.0406572651611157e-05,-1.0638122796224891e-05,-1.9752316421373095e-06,-1.7436814975235748e-06,True,True,True,True,True,True,-0.0003804218720144595,-0.00019963261466534026,0.6944444444444444,q2a8_s3a32,s3_higher,-1.251219344178267e-05,asym8_28_e75,s3_higher,-1.2381804293748466e-05
reference,full_pool,13,-1.2367636337495824e-05,-1.0545787970772658e-05,-1.0726078925937799e-05,-1.8218483667231666e-06,-1.6415574115580256e-06,True,True,True,True,True,True,-0.0003726916634950034,-0.0002003514012567432,0.7222222222222222,asym8_28_e75,s3_higher,-1.2367636337495824e-05,asym8_28_e75,s3_higher,-1.2367636337495824e-05
bootstrap8,bootstrap8_052,8,-1.2365887378740226e-05,-1.0460241000820325e-05,-1.0692464192496587e-05,-1.9056463779199007e-06,-1.6734231862436388e-06,True,True,True,True,True,True,-0.0003869399433081844,-0.00021985647072654286,0.75,q2a8_s3a32,s3_higher,-1.2499342438188066e-05,asym8_28_e75,s3_higher,-1.2365887378740226e-05
jackknife,drop_cell_047,12,-1.2363938187709422e-05,-1.03711557629671e-05,-1.0583448366241477e-05,-1.992782424742323e-06,-1.7804898214679454e-06,True,True,True,True,True,True,-0.0003697768551369357,-0.0001946379503789898,0.7222222222222222,q2a8_s3a32,s3_higher,-1.2455791270293837e-05,asym8_28_e75,s3_higher,-1.2363938187709422e-05
