pool,base_agg,delta_agg,gate,n,pool_size,pool_support_mean,strict_unified_gate,deployable_unified_gate,loose_unified_gate,all_margin_vs_mixmin,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_sets_beating_base,best_sets_tail_neutral,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
top75_heldout_mean,mean,signed_p75,none,7,75,1.64,1,0,3,1,-1.0055969577260626e-05,-5.164115944422676e-06,7.559492425368575e-06,3,3,-0.00047790713162695897,-0.0004136019279208148,0.8333333333333334
translator_tail_soft_p90_m1.00,mean,signed_p75,none,7,25,1.36,0,0,3,1,-1.0618171367382523e-05,-5.664587393039433e-06,8.351757324942533e-06,3,3,-0.00047048543939732373,-0.0003948557892678561,0.8333333333333334
translator_tail_soft_p90_m1.00,median,signed_p75,none,7,25,1.36,0,0,3,1,-1.0326610028865701e-05,-5.7074955642777425e-06,7.316633890419588e-06,3,3,-0.00047048543939730986,-0.0003953325654732498,0.8333333333333334
top75_heldout_mean,median,signed_p75,none,7,75,1.64,0,0,3,0,-9.917128781511408e-06,-5.244077960098181e-06,7.104443957905993e-06,3,3,-0.0004779071316268896,-0.00041186002671164137,0.8333333333333334
top50_heldout_mean,mean,signed_p75,none,7,50,1.84,0,0,3,0,-9.895577577356818e-06,-5.0947101025711206e-06,7.964898261825226e-06,3,3,-0.00046140671548033224,-0.000381535453149734,0.8333333333333334
support2,mean,signed_p75,none,7,51,2.0,0,0,3,0,-9.839806577760513e-06,-5.094130436367195e-06,7.92077175770789e-06,3,3,-0.0004169106978351711,-0.00033471991455036884,0.8333333333333334
translator_tail_soft_p90_m0.50,mean,weighted_mean,none,7,13,1.4615384615384615,0,0,3,0,-9.837584799443633e-06,-5.072052346788425e-06,1.0624113152668535e-05,3,3,-0.00041212629265754974,-0.00034734016308482496,0.8333333333333334
support2_top50,mean,signed_p75,none,7,50,2.0,0,0,3,0,-9.831871476073673e-06,-5.085310192942671e-06,7.945417761390239e-06,3,3,-0.0004219271972015978,-0.00033975457551929113,0.8333333333333334
translator_tail_soft_p90_m1.00,mean,weighted_mean,none,7,25,1.36,0,0,3,0,-9.823355791915844e-06,-4.8697718175727545e-06,8.56236931734422e-06,3,3,-0.0003774843286906901,-0.000317977418004628,0.8333333333333334
top50_heldout_mean,median,signed_p75,none,7,50,1.84,0,0,3,0,-9.797616181139723e-06,-5.1382652078713065e-06,7.322879973181706e-06,3,3,-0.0004614067154803392,-0.0003816920008012925,0.8333333333333334
top75_heldout_mean,mean,weighted_mean,none,7,75,1.64,0,0,3,0,-9.641507205393474e-06,-4.749653572555523e-06,7.493126795599103e-06,3,3,-0.0003455803556992945,-0.0002795236357348962,0.8333333333333334
all_unique,mean,weighted_mean,none,7,104,1.4903846153846154,0,0,3,0,-9.581522494306327e-06,-4.688228165572461e-06,7.119350632245336e-06,3,3,-0.0003473003409870043,-0.0002891515165071633,0.8333333333333334
translator_tail_soft_p90_m0.50,mean,signed_p75,agree60_top50,7,13,1.4615384615384615,0,0,3,0,-9.498537291707798e-06,-4.73300483905259e-06,9.81686480627797e-06,3,3,-0.0003457985817948636,-0.00027686364069241516,0.6944444444444444
translator_tail_p90_nonpos_m0.50,mean,signed_p75,none,7,12,1.4166666666666667,0,0,3,0,-8.830591664454879e-06,-4.100059625589125e-06,7.130651906717134e-06,3,3,-0.00030602531315068737,-0.0002350884212434679,0.5833333333333334
translator_tail_p90_nonpos_m0.50,median,signed_p75,none,7,12,1.4166666666666667,0,0,3,0,-8.787584279135174e-06,-3.990231510098141e-06,6.498091386752947e-06,3,3,-0.00030602531315068737,-0.00023366990209443533,0.5833333333333334
high_hidden,mean,mean,none,7,37,1.4324324324324325,0,0,3,0,-8.694362082062312e-06,-3.807862403171214e-06,6.347957218655331e-06,3,3,-0.00039612718503396344,-0.00034542451387104553,0.8333333333333334
high_hidden,median,mean,none,7,37,1.4324324324324325,0,0,3,0,-8.637831592994694e-06,-3.82886943128824e-06,5.527556769191477e-06,3,3,-0.00039612718503394956,-0.0003446701440472989,0.8333333333333334
high_world,mean,mean,none,7,37,1.3243243243243243,0,0,3,0,-8.632664041607896e-06,-3.7108032202581853e-06,6.2938495074549294e-06,3,3,-0.00040566596545842104,-0.0003580546549519837,0.8333333333333334
high_world,median,mean,none,7,37,1.3243243243243243,0,0,3,0,-8.539354547032474e-06,-3.7299115885902623e-06,5.7283809254959905e-06,3,3,-0.0004056659654583794,-0.00035735131752547846,0.8333333333333334
translator_tail_soft_p90_m0.50,mean,signed_p75,none,7,13,1.4615384615384615,0,0,2,1,-1.0821660890503182e-05,-6.056128437847974e-06,1.0483946957018375e-05,3,3,-0.0002498891561362182,-0.00019690160020124914,0.8333333333333334
support2,mean,mean,none,7,51,2.0,0,0,2,1,-1.0311655323835822e-05,-5.565979182442504e-06,7.751923662757676e-06,3,3,-0.0002938077507908185,-0.00022707422778042155,0.8333333333333334
