method,mode,estimator,k,alpha,strength,mask,pseudo_adjusted_cells,hidden_adjusted_cells
raw_phone_td_knn_pair_s3_k8_a8_w0.25,pair,knn,8,8.0,0.25,s3,369,36
raw_phone_td_knn_pair_s2s3_k8_a8_w0.25,pair,knn,8,8.0,0.25,s2s3,738,72
raw_phone_td_knn_pair_stage_k8_a8_w0.25,pair,knn,8,8.0,0.25,stage,1476,144
raw_phone_td_knn_pair_all_k8_a8_w0.25,pair,knn,8,8.0,0.25,all,2583,252
raw_phone_td_knn_pair_s3_k8_a8_w0.50,pair,knn,8,8.0,0.5,s3,369,36
raw_phone_td_knn_pair_s2s3_k8_a8_w0.50,pair,knn,8,8.0,0.5,s2s3,738,72
raw_phone_td_knn_pair_stage_k8_a8_w0.50,pair,knn,8,8.0,0.5,stage,1476,144
raw_phone_td_knn_pair_all_k8_a8_w0.50,pair,knn,8,8.0,0.5,all,2583,252
raw_phone_td_knn_pair_s3_k8_a8_w0.75,pair,knn,8,8.0,0.75,s3,369,36
raw_phone_td_knn_pair_s2s3_k8_a8_w0.75,pair,knn,8,8.0,0.75,s2s3,738,72
raw_phone_td_knn_pair_stage_k8_a8_w0.75,pair,knn,8,8.0,0.75,stage,1476,144
raw_phone_td_knn_pair_all_k8_a8_w0.75,pair,knn,8,8.0,0.75,all,2583,252
raw_phone_td_knn_pair_s3_k8_a24_w0.25,pair,knn,8,24.0,0.25,s3,369,36
raw_phone_td_knn_pair_s2s3_k8_a24_w0.25,pair,knn,8,24.0,0.25,s2s3,738,72
raw_phone_td_knn_pair_stage_k8_a24_w0.25,pair,knn,8,24.0,0.25,stage,1476,144
raw_phone_td_knn_pair_all_k8_a24_w0.25,pair,knn,8,24.0,0.25,all,2583,252
raw_phone_td_knn_pair_s3_k8_a24_w0.50,pair,knn,8,24.0,0.5,s3,369,36
raw_phone_td_knn_pair_s2s3_k8_a24_w0.50,pair,knn,8,24.0,0.5,s2s3,738,72
raw_phone_td_knn_pair_stage_k8_a24_w0.50,pair,knn,8,24.0,0.5,stage,1476,144
raw_phone_td_knn_pair_all_k8_a24_w0.50,pair,knn,8,24.0,0.5,all,2583,252
raw_phone_td_knn_pair_s3_k8_a24_w0.75,pair,knn,8,24.0,0.75,s3,369,36
raw_phone_td_knn_pair_s2s3_k8_a24_w0.75,pair,knn,8,24.0,0.75,s2s3,738,72
raw_phone_td_knn_pair_stage_k8_a24_w0.75,pair,knn,8,24.0,0.75,stage,1476,144
raw_phone_td_knn_pair_all_k8_a24_w0.75,pair,knn,8,24.0,0.75,all,2583,252
raw_phone_td_knn_pair_s3_k16_a8_w0.25,pair,knn,16,8.0,0.25,s3,369,36
raw_phone_td_knn_pair_s2s3_k16_a8_w0.25,pair,knn,16,8.0,0.25,s2s3,738,72
raw_phone_td_knn_pair_stage_k16_a8_w0.25,pair,knn,16,8.0,0.25,stage,1476,144
raw_phone_td_knn_pair_all_k16_a8_w0.25,pair,knn,16,8.0,0.25,all,2583,252
raw_phone_td_knn_pair_s3_k16_a8_w0.50,pair,knn,16,8.0,0.5,s3,369,36
raw_phone_td_knn_pair_s2s3_k16_a8_w0.50,pair,knn,16,8.0,0.5,s2s3,738,72
raw_phone_td_knn_pair_stage_k16_a8_w0.50,pair,knn,16,8.0,0.5,stage,1476,144
raw_phone_td_knn_pair_all_k16_a8_w0.50,pair,knn,16,8.0,0.5,all,2583,252
raw_phone_td_knn_pair_s3_k16_a8_w0.75,pair,knn,16,8.0,0.75,s3,369,36
raw_phone_td_knn_pair_s2s3_k16_a8_w0.75,pair,knn,16,8.0,0.75,s2s3,738,72
raw_phone_td_knn_pair_stage_k16_a8_w0.75,pair,knn,16,8.0,0.75,stage,1476,144
raw_phone_td_knn_pair_all_k16_a8_w0.75,pair,knn,16,8.0,0.75,all,2583,252
raw_phone_td_knn_pair_s3_k16_a24_w0.25,pair,knn,16,24.0,0.25,s3,369,36
raw_phone_td_knn_pair_s2s3_k16_a24_w0.25,pair,knn,16,24.0,0.25,s2s3,738,72
raw_phone_td_knn_pair_stage_k16_a24_w0.25,pair,knn,16,24.0,0.25,stage,1476,144
