method,target,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mixmin_better_block_rate,mean_predicted_rate
subject_mean,Q1,0.0014442273185520022,0.0009015505818507491,0.3888888888888889,0.47986167316409845
subject_mean,Q2,-0.000867966411568925,-0.0011786899823514592,0.6388888888888888,0.5599407858571391
subject_mean,Q3,0.0006362044462368997,0.00014921266734557737,0.6111111111111112,0.6025665109082493
subject_mean,S1,0.004670073652034493,0.004821665650167648,0.16666666666666666,0.6616029620539754
subject_mean,S2,-0.001060821650632238,-0.0012150348210787935,0.6944444444444444,0.6318556075455947
subject_mean,S3,-0.0018875752650724582,-0.0019840270811934072,0.8888888888888888,0.6208430820169771
subject_mean,S4,0.0001819674518314114,0.0002781928768431872,0.4444444444444444,0.5652547777095046
calendar_count_strict,Q1,0.000649262090596273,-2.9792777753740204e-05,0.4722222222222222,0.46421477637101805
calendar_count_strict,Q2,-0.0008199262122147206,-0.0009422609511749663,0.6666666666666666,0.56259875626574
calendar_count_strict,Q3,0.0003328637342246421,-0.0002159152081694741,0.5,0.5926689095523999
calendar_count_strict,S1,0.00366498118847135,0.004405442390778641,0.16666666666666666,0.6602914254350455
calendar_count_strict,S2,-0.0023634718796428198,-0.003028254374942227,0.7222222222222222,0.6417350819732065
calendar_count_strict,S3,-0.003536571209100694,-0.003930051437310343,0.8055555555555556,0.629683627256591
calendar_count_strict,S4,0.0008213027556938756,0.0007060756810123581,0.4444444444444444,0.5668559454204521
calendar_count_local,Q1,0.0012193450952944441,0.0004401714035410432,0.4722222222222222,0.4745922172538737
calendar_count_local,Q2,-0.0009389893671000165,-0.0010850505237890795,0.6666666666666666,0.5711806384318743
calendar_count_local,Q3,0.00024771063246539613,-0.0006897405062480347,0.5833333333333334,0.6100367281831083
calendar_count_local,S1,0.004486825457168915,0.0050441309353336395,0.1388888888888889,0.6652621586418592
calendar_count_local,S2,-0.0014769917892721886,-0.002055654641518279,0.75,0.6275211146160655
calendar_count_local,S3,-0.0023966520933929787,-0.002784736483547653,0.7777777777777778,0.6173092775006767
calendar_count_local,S4,0.0006073854074128489,0.00046807544223681345,0.4722222222222222,0.5691588113130309
night_phone_rawctx_local_k8_a24,Q1,0.0013493100470060172,0.0007393284133486444,0.4444444444444444,0.4763844718501267
night_phone_rawctx_local_k8_a24,Q2,-0.0009175427458292162,-0.0011977667409432094,0.6666666666666666,0.5839208624015586
night_phone_rawctx_local_k8_a24,Q3,0.00028566623723235194,-0.000341664831408816,0.5833333333333334,0.6037036180903461
night_phone_rawctx_local_k8_a24,S1,0.0044583628764059404,0.004748589472397293,0.16666666666666666,0.6629005373869404
night_phone_rawctx_local_k8_a24,S2,-0.0015859278018413908,-0.0015941933224214314,0.75,0.6293057857233928
night_phone_rawctx_local_k8_a24,S3,-0.0016973884981157288,-0.0021266048528053114,0.9166666666666666,0.6167642556705011
night_phone_rawctx_local_k8_a24,S4,0.00023350114773263786,0.00011597751430665758,0.4444444444444444,0.567679221109846
night_coverage_rawctx_local_k8_a24,Q1,0.00111769834687432,0.0007879181108892547,0.4444444444444444,0.475571051463977
night_coverage_rawctx_local_k8_a24,Q2,-0.0007834621855415862,-0.0009811486006204419,0.6944444444444444,0.5759569744046498
night_coverage_rawctx_local_k8_a24,Q3,0.0004742978663154402,-5.267957896544958e-05,0.5277777777777778,0.6011772546298902
night_coverage_rawctx_local_k8_a24,S1,0.004669701117212517,0.004716140072414448,0.16666666666666666,0.662126649881321
night_coverage_rawctx_local_k8_a24,S2,-0.001591167867342148,-0.0020007945885646,0.8055555555555556,0.6270220362947191
night_coverage_rawctx_local_k8_a24,S3,-0.0018932481209076517,-0.00232324881759245,0.9166666666666666,0.6191031913206042
night_coverage_rawctx_local_k8_a24,S4,0.00027274852194005163,-6.30470110895472e-05,0.4444444444444444,0.5629690707339386
night_all_rawctx_local_k8_a24,Q1,0.0014217819943620506,0.0007391151943739337,0.4444444444444444,0.4777672448432873
night_all_rawctx_local_k8_a24,Q2,-0.0008321291437408582,-0.0010180642374302289,0.6111111111111112,0.5758371472681769
night_all_rawctx_local_k8_a24,Q3,0.0003452509605087373,-6.449046647504879e-05,0.6111111111111112,0.5982792744430253
night_all_rawctx_local_k8_a24,S1,0.0044444191091459724,0.004668110236535589,0.1111111111111111,0.6622529701339308
night_all_rawctx_local_k8_a24,S2,-0.0017821741123187132,-0.002146841380070966,0.8333333333333334,0.6257846479717866
night_all_rawctx_local_k8_a24,S3,-0.001540986909350285,-0.002009544260062337,0.8611111111111112,0.6195749684999088
