method,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate
struct_raw_subject_fbraw_k8_a4_w1.00,36.0,-0.00036686159702164085,-0.0006829316359949123,0.0008485500517000438,0.5277777777777778
struct_raw_subject_fbsubject_k8_a4_w1.00,36.0,-0.0003220871458578021,-0.0006098091527379077,0.0008639994171975174,0.5277777777777778
struct_raw_subject_fbraw_k16_a4_w1.00,36.0,-0.00030315333604329987,-0.0006386472136369463,0.0008742355336205671,0.5
struct_raw_subject_fbsubject_k16_a4_w1.00,36.0,-0.0002762886775800082,-0.0005947737356903466,0.0008835051499723038,0.5277777777777778
struct_raw_subject_fbraw_k4_a4_w1.00,36.0,-0.00025942086853585224,-0.0005046980825864533,0.000820238255566247,0.5277777777777778
struct_raw_calendar_subject_fbraw_k8_a4_w1.00,36.0,-0.00021753022550418467,-0.0005973539823103131,0.0008270767936137333,0.5277777777777778
struct_raw_calendar_subject_fbraw_k4_a4_w1.00,36.0,-0.00019976839059405798,-0.00046813479915383646,0.0008064256177101272,0.5555555555555556
struct_raw_subject_fbsubject_k4_a4_w1.00,36.0,-0.00019225918050306314,-0.0003950143526565332,0.0008434123069801616,0.5277777777777778
calendar_count_indep,36.0,-0.0001787942188531561,-0.00043353666822282163,0.0008406271661630442,0.5277777777777778
struct_raw_calendar_subject_fbsubject_k8_a4_w1.00,36.0,-0.00017275577927978268,-0.0005242315117338386,0.0008425261588957272,0.5277777777777778
struct_raw_calendar_subject_fbraw_k16_a4_w1.00,36.0,-0.00014448014637743952,-0.0006027695500239392,0.0008126864259272578,0.5
struct_raw_calendar_subject_fbsubject_k4_a4_w1.00,36.0,-0.00013260670252198867,-0.0003584510688840133,0.0008295996691318677,0.5833333333333334
struct_raw_subject_fbraw_k8_a4_w0.65,36.0,-0.00012968077147032823,-0.0004320529332785781,0.0008022229324936535,0.5
struct_raw_subject_fbraw_k16_a12_w1.00,36.0,-0.00012773869587277744,-0.0004465009647462956,0.0008290787680054047,0.5277777777777778
struct_raw_calendar_subject_fbsubject_k16_a4_w1.00,36.0,-0.00011761549069860958,-0.0005588960809051363,0.0008219560426792047,0.5277777777777778
struct_raw_subject_fbraw_k8_a12_w1.00,36.0,-9.579779639154705e-05,-0.00039621311860479924,0.0007956047726070341,0.5
struct_raw_subject_fbraw_k16_a4_w0.65,36.0,-8.827040183440574e-05,-0.0004032680587459004,0.0008189184957419917,0.5277777777777778
struct_raw_subject_fbsubject_k16_a12_w1.00,36.0,-7.017152344734632e-05,-0.0003524863233918083,0.000848942242063113,0.5555555555555556
struct_raw_subject_fbraw_k4_a4_w0.65,36.0,-5.9844297954551444e-05,-0.00031620112356306907,0.0007838202650066865,0.5
struct_raw_subject_fbsubject_k8_a4_w0.65,36.0,-5.356416709750133e-05,-0.0003077446756781699,0.0008284868618134684,0.5277777777777778
struct_raw_calendar_subject_fbraw_k8_a4_w0.65,36.0,-3.26153799839594e-05,-0.0003764274583835729,0.0007882653147375613,0.5
struct_raw_subject_fbsubject_k16_a4_w0.65,36.0,-2.3795162513972567e-05,-0.00029797165438945523,0.0008411655881546394,0.5555555555555556
struct_raw_calendar_subject_fbraw_k4_a4_w0.65,36.0,-2.1070187292386454e-05,-0.00029243498933187456,0.0007748420504002125,0.5
struct_raw_subject_fbsubject_k8_a12_w1.00,36.0,-1.5203742450392896e-05,-0.00026459260877262553,0.0008234136392772229,0.5277777777777778
struct_raw_calendar_subject_fbraw_k16_a12_w1.00,36.0,-1.4400703254298472e-05,-0.00042087406216557483,0.0007851151196530576,0.5
struct_raw_calendar_subject_fbraw_k8_a12_w1.00,36.0,-6.1989734810808104e-06,-0.0003448665263940486,0.0007827208177552393,0.5
struct_raw_subject_fbraw_k16_a24_w1.00,36.0,3.822284255128788e-06,-0.00030239127807830506,0.0007952111937940397,0.5555555555555556
struct_raw_calendar_fbraw_k4_a4_w1.00,36.0,9.623521671277501e-06,-0.000415177687539358,0.00073288500773778,0.5277777777777778
struct_raw_calendar_subject_fbraw_k16_a4_w0.65,36.0,1.4867171448407781e-05,-0.00037994757739744415,0.0007789115757413554,0.5
struct_raw_subject_fbraw_k4_a12_w1.00,36.0,2.56885180088597e-05,-0.0002354167125530503,0.0007682125547668762,0.5
struct_raw_subject_fbraw_k16_a12_w0.65,36.0,2.574911427645926e-05,-0.0002783729969669605,0.0007895665980921536,0.5555555555555556
struct_raw_subject_fbsubject_k4_a4_w0.65,36.0,3.082400985526889e-05,-0.00016812805632705123,0.000815105240083514,0.5555555555555556
struct_raw_calendar_subject_fbsubject_k16_a12_w1.00,36.0,4.3166467186339094e-05,-0.000326859427600996,0.0008049785939806218,0.5
