method,blocks,weighted_row_logloss,weighted_count_nll_per_row,rate_mae_weighted,count_mae_mean,is_subject_mean,transition_residual_mse,family,context,base,k,alpha,strength,pseudo_support_mean,hidden_support_mean,pseudo_dist_median,hidden_dist_median,pseudo_residual_l2_mean,hidden_residual_l2_mean,delta_weighted_row_logloss_vs_subject,delta_weighted_row_logloss_vs_raw,delta_transition_residual_mse_vs_raw,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate,s3_delta_vs_subject,s3_delta_vs_raw,row_beats_raw,transition_mse_beats_raw,fixes_s3_vs_subject,hidden_mixmin_negative,joint_gate
raw_phone_base,369,0.6052685999000914,0.2830365562199124,0.1908421859994161,0.8797359305826741,0.0,30.728494063552176,baseline,,raw_phone_base,,,,,,,,,,-0.007733173676478522,0.0,0.0,36.0,0.00031079790455357655,3.386465748035595e-05,0.0007161868539675224,0.5,0.007802363987765792,0.0,True,True,False,False,False
transition_raw_residual_baseraw_k4_a24_w0.35,369,0.6054547658193715,0.28322272213919264,0.1909320641445131,0.8801502469100723,0.0,30.71141990575896,transition_residual,raw_residual,raw,4.0,24.0,0.35,4.0,4.0,0.6628873608602655,0.6163110897860833,0.2871643426003158,0.2970272006214259,-0.0075470077571984095,0.0001861659192801124,-0.017074157793217637,36.0,0.00022982222090870265,-1.880129150342938e-05,0.0007144295553257273,0.5,0.00778256321958104,-1.9800768184752293e-05,False,True,False,False,False
transition_raw_residual_baseraw_k8_a24_w0.35,369,0.6065419509970392,0.2843099073168603,0.19160365929298234,0.8832461367408209,0.0,30.71470678813543,transition_residual,raw_residual,raw,8.0,24.0,0.35,8.0,8.0,0.6946479310550522,0.6514844272287765,0.4064422569933364,0.384455552154988,-0.006459822579530705,0.0012733510969478168,-0.01378727541674607,36.0,0.00024257124744143455,-4.219352236581561e-05,0.0007108445183742834,0.5,0.007714345983583559,-8.801800418223316e-05,False,True,False,False,False
transition_topology_baseraw_k4_a24_w0.35,369,0.6073280342915955,0.28509599061141677,0.19079451954644824,0.8795161998604565,0.0,30.62354233340158,transition_residual,topology,raw,4.0,24.0,0.35,4.0,4.0,1.003983909504755,0.95468657847973,0.6034858738513814,0.4880428677429557,-0.005673739284974388,0.0020594343915041335,-0.10495173015059578,36.0,0.00020273831780478674,-0.00027249966132855983,0.0007056331238501468,0.5277777777777778,0.015478445366260196,0.007676081378494404,False,True,False,False,False
transition_raw_residual_baseraw_k4_a12_w0.35,369,0.6073285385490876,0.28509649486890865,0.19250818938581243,0.8874157998516717,0.0,30.71588012144198,transition_residual,raw_residual,raw,4.0,12.0,0.35,4.0,4.0,0.6628873608602655,0.6163110897860833,0.5025375995505527,0.5197976010874952,-0.005673235027482293,0.002059938648996229,-0.012613942110196064,36.0,0.00016441670881161709,-5.7487891169642476e-05,0.0007138731036477441,0.4722222222222222,0.009107291264490835,0.001304927276725043,False,True,False,False,False
transition_raw_residual_baseraw_k16_a24_w0.35,369,0.6075380977001414,0.2853060540199626,0.19279908645748584,0.8887567644015811,0.0,30.615500110973713,transition_residual,raw_residual,raw,16.0,24.0,0.35,16.0,16.0,0.7339085396278408,0.6875356841767861,0.5295060435897673,0.5401721524482113,-0.0054636758764284865,0.0022694978000500354,-0.11299395257846356,36.0,0.00037174576773215746,4.655024177499702e-05,0.0007077588549850807,0.4444444444444444,0.008406801858424573,0.0006044378706587805,False,True,False,False,False
transition_raw_residual_baseraw_k4_a24_w0.65,369,0.6077154599852038,0.28548341630502494,0.19282359896859497,0.8888697610991327,0.0,30.717725400115853,transition_residual,raw_residual,raw,4.0,24.0,0.65,4.0,4.0,0.6628873608602655,0.6163110897860833,0.2871643426003158,0.2970272006214259,-0.00528631359136611,0.0024468600851124123,-0.010768663436323322,36.0,0.00015484772545588176,-6.290242462208512e-05,0.0007138551701735807,0.4722222222222222,0.009390251981801878,0.0015878879940360857,False,True,False,False,False
transition_full_transition_baseraw_k4_a24_w0.35,369,0.6081078726825325,0.2858758290023536,0.19188424291306458,0.8845395587943711,0.0,30.75336606191751,transition_residual,full_transition,raw,4.0,24.0,0.35,4.0,4.0,1.0276573084477332,0.9858103654897716,0.4518753739796639,0.29326185615367084,-0.004893900894037406,0.0028392727824411157,0.02487199836533449,36.0,0.00026453493707720064,-0.00014480814095134414,0.0006757313533850721,0.5,0.014090622311174306,0.006288258323408513,False,False,False,False,False
transition_raw_topology_baseraw_k4_a24_w0.35,369,0.6088683349184942,0.2866362912383153,0.19209979403927946,0.8855331969127758,0.0,30.728054552197307,transition_residual,raw_topology,raw,4.0,24.0,0.35,4.0,4.0,1.0017797184441535,0.948641397267046,0.5495911939929555,0.42327280618255,-0.004133438658075694,0.0035997350184028276,-0.0004395113548696372,36.0,0.00024726882134482227,-0.00012481051797291423,0.0006612319885131684,0.5277777777777778,0.013857566589961179,0.006055202602195386,False,True,False,False,False
transition_raw_residual_baseraw_k8_a12_w0.35,369,0.6095976798295651,0.2873656361493862,0.19382803749116875,0.8934999777031927,0.0,30.72949037282326,transition_residual,raw_residual,raw,8.0,12.0,0.35,8.0,8.0,0.6946479310550522,0.6514844272287765,0.6503076111893382,0.6151288834479808,-0.0034040937470047883,0.004329079929473734,0.0009963092710840726,36.0,0.00020642932639537462,-8.066563685445879e-05,0.0007082450288875691,0.4444444444444444,0.009758382122174836,0.0019560181344090433,False,False,False,False,False
transition_topology_baseraw_k8_a24_w0.35,369,0.6103254097337724,0.2880933660535933,0.191745915115993,0.8839019013883582,0.0,30.60834814238891,transition_residual,topology,raw,8.0,24.0,0.35,8.0,8.0,1.0421498575026162,0.9895623153475519,0.8580388494159054,0.7387685893203544,-0.002676363842797569,0.005056809833680953,-0.12014592116326739,36.0,0.00021765802706056686,-0.00024369003061840708,0.0006652239066399529,0.5277777777777778,0.021742748044371707,0.013940384056605915,False,True,False,False,False
