method,target,target_row_logloss,target_count_nll_per_row,target_rate_mae,target_count_mae,delta_row_vs_subject,delta_row_vs_raw
transition_topology_baseraw_k4_a12_w0.35,Q1,0.6317111149071812,0.2939292713734802,0.20385439275046044,0.939719029996025,-0.017025656059519556,-0.006299493238233533
transition_topology_baseraw_k4_a24_w0.65,Q1,0.6319386318149561,0.29415678828125513,0.20373074470875008,0.9391490426817991,-0.016798139151744662,-0.006071976330458639
transition_topology_baseraw_k4_a24_w0.35,Q1,0.632053772335517,0.29427192880181574,0.2051448937326512,0.9456679247675873,-0.016682998631183832,-0.005956835809897809
transition_topology_baseedge_shrink025_k4_a12_w0.35,Q1,0.633339332794785,0.295557489261084,0.19737938065300484,0.9098708034979979,-0.015397438171915745,-0.004671275350629722
transition_topology_baseedge_shrink025_k4_a24_w0.65,Q1,0.6333402487904443,0.29555840525674304,0.19745517432421078,0.9102201938359961,-0.015396522176256533,-0.00467035935497051
transition_topology_baseraw_k8_a24_w0.35,Q1,0.6348506640783167,0.2970688205446157,0.20573497139984523,0.9483880388919694,-0.013886106888384098,-0.003159944067098075
transition_raw_topology_baseraw_k4_a24_w0.35,Q1,0.6348768097888937,0.2970949662551926,0.20718682794162366,0.9550807434382165,-0.013859961177807079,-0.003133798356521056
transition_raw_residual_baseraw_k16_a24_w0.35,Q1,0.6348915775737058,0.2971097340400048,0.2076353614340949,0.957148373440096,-0.013845193392994948,-0.003119030571708925
transition_topology_baseedge_shrink025_k4_a24_w0.35,Q1,0.6350507106146082,0.297268867080907,0.19847338183496194,0.9149138821172635,-0.013686060352092633,-0.00295989753080661
transition_full_transition_baseraw_k8_a24_w0.35,Q1,0.6353454058699454,0.2975635623362443,0.20696418066131306,0.9540543937801993,-0.013391365096755425,-0.0026652022754694027
transition_raw_residual_baseraw_k16_a12_w0.35,Q1,0.6356609945871986,0.2978791510534976,0.20753278838797024,0.9566755367152775,-0.01307577637950219,-0.002349613558216168
transition_raw_topology_baseedge_shrink025_k8_a24_w0.35,Q1,0.6357555355722262,0.29797369203852525,0.19827123856904477,0.913982050964621,-0.0129812353944746,-0.002255072573188577
transition_raw_topology_baseraw_k8_a24_w0.35,Q1,0.6357884437181064,0.2980066001844053,0.207599715257672,0.9569840532609759,-0.012948327248594405,-0.002222164427308382
transition_raw_residual_basesubject_k16_a24_w0.65,Q1,0.6359426591064776,0.2981608155727765,0.2074994448172552,0.9565218309868594,-0.012794111860223167,-0.0020679490389371447
transition_raw_residual_basesubject_k16_a4_w0.35,Q1,0.6361013167167148,0.2983194731830136,0.2077614102257678,0.9577294276261004,-0.012635454249986022,-0.0019092914286999996
transition_topology_baseedge_shrink025_k4_a24_w1.00,Q1,0.6361796867927992,0.2983978432590982,0.19963137204318387,0.9202519345405306,-0.012557084173901556,-0.0018309213526155332
transition_full_transition_baseraw_k16_a24_w0.35,Q1,0.6363833826884717,0.29860153915477067,0.2073109064509099,0.955652715102975,-0.012353388278229072,-0.0016272254569430489
transition_raw_residual_basesubject_k16_a12_w0.35,Q1,0.6364182953246585,0.2986364517909575,0.2075936103280195,0.956955911024285,-0.012318475642042248,-0.0015923128207562254
transition_raw_topology_baseraw_k4_a12_w0.35,Q1,0.6365438606188809,0.2987620170851799,0.20697504153592836,0.9541044597631819,-0.012192910347819885,-0.0014667475265338625
transition_raw_topology_baseedge_shrink025_k8_a12_w0.35,Q1,0.63657852470902,0.29879668117531893,0.19881571064593712,0.9164919344410273,-0.012158246257680805,-0.001432083436394782
transition_full_transition_baseedge_shrink025_k8_a24_w0.35,Q1,0.6366227120361071,0.29884086850240593,0.19939942311164963,0.9191827065390679,-0.012114058930593696,-0.0013878961093076736
transition_topology_basesubject_k4_a24_w0.65,Q1,0.6366260450125996,0.2988442014788985,0.2045113994426277,0.9427476706013813,-0.012110725954101231,-0.0013845631328152086
transition_full_transition_baseraw_k4_a24_w0.35,Q1,0.6367299821218734,0.2989481385881724,0.20905948664592372,0.9637132433190142,-0.01200678884482742,-0.001280626023541398
transition_topology_basesubject_k4_a12_w0.35,Q1,0.6367717973187624,0.2989899537850612,0.20491827387548664,0.9446232624991945,-0.01196497364793836,-0.0012388108266523368
calendar_count_strict,Q1,0.6368299184685237,0.29904807493482255,0.2056543859110124,0.9480165594434474,-0.011906852498177134,-0.0011806896768911113
transition_raw_residual_baseraw_k8_a24_w0.35,Q1,0.636932784612521,0.29915094107881995,0.2089652125922957,0.9632786629254606,-0.011803986354179785,-0.0010778235328937624
transition_raw_topology_baseraw_k4_a24_w0.65,Q1,0.6370503434124765,0.2992684998787753,0.20702820648744577,0.954349537222616,-0.011686427554224332,-0.0009602647329383096
transition_full_transition_baseedge_shrink025_k8_a12_w0.35,Q1,0.6371676387212338,0.29938579518753283,0.19902242878971202,0.91744485466477,-0.011569132245466962,-0.0008429694241809393
transition_topology_baseraw_k4_a24_w1.00,Q1,0.6372116649269453,0.2994298213932441,0.20483066367276737,0.9442194008330008,-0.01152510603975554,-0.0007989432184695167
transition_raw_topology_baseedge_shrink025_k4_a12_w0.35,Q1,0.6372897181235072,0.299507874589806,0.19963963122189157,0.9202900073399392,-0.011447052843193584,-0.0007208900219075609
transition_raw_topology_baseedge_shrink025_k4_a24_w0.65,Q1,0.6374417522535731,0.2996599087198721,0.19993161822269165,0.9216359961972859,-0.011295018713127658,-0.0005688558918416353
transition_topology_baseedge_shrink025_k8_a24_w0.35,Q1,0.6375613759016846,0.29977953236798355,0.19912934055266152,0.9179376918159274,-0.011175395065016192,-0.0004492322437301688
transition_raw_topology_baseedge_shrink025_k16_a24_w0.35,Q1,0.637624677656282,0.29984283412258084,0.19881269703706894,0.9164780424391714,-0.011112093310418847,-0.00038593048913282413
