date,records,home_records,unique_cells,home_share,subject_id,precision
2024-06-26,707,166,13,0.2347949080622348,id01,2
2024-06-27,1439,731,17,0.5079916608756081,id01,2
2024-06-28,1418,739,18,0.5211565585331452,id01,2
2024-06-29,1440,1262,11,0.8763888888888889,id01,2
2024-06-30,1440,1058,12,0.7347222222222223,id01,2
2024-07-01,1428,666,16,0.46638655462184875,id01,2
2024-07-02,1436,622,12,0.4331476323119777,id01,2
2024-07-03,1439,548,13,0.38082001389854064,id01,2
2024-07-04,1436,1010,38,0.7033426183844012,id01,2
2024-07-05,1439,623,16,0.43293954134815843,id01,2
2024-07-06,1440,1080,53,0.75,id01,2
2024-07-07,1440,1112,9,0.7722222222222223,id01,2
2024-07-08,1440,797,13,0.5534722222222223,id01,2
2024-07-09,1436,609,17,0.42409470752089135,id01,2
2024-07-10,1440,540,15,0.375,id01,2
2024-07-12,1440,619,18,0.42986111111111114,id01,2
2024-07-13,1426,1277,13,0.8955119214586256,id01,2
2024-07-14,1440,1113,10,0.7729166666666667,id01,2
2024-07-15,1440,651,13,0.45208333333333334,id01,2
2024-07-16,1440,629,17,0.43680555555555556,id01,2
2024-07-17,1440,552,13,0.38333333333333336,id01,2
2024-07-19,1423,724,15,0.5087842586085735,id01,2
2024-07-21,1440,1092,10,0.7583333333333333,id01,2
2024-07-22,1440,788,14,0.5472222222222223,id01,2
2024-07-23,1437,649,12,0.4516353514265832,id01,2
2024-07-26,1420,495,26,0.3485915492957746,id01,2
2024-07-27,1431,1431,1,1.0,id01,2
2024-07-28,1440,1112,13,0.7722222222222223,id01,2
2024-07-30,1433,582,17,0.4061409630146546,id01,2
2024-07-31,1440,482,13,0.3347222222222222,id01,2
2024-08-01,1429,530,16,0.370888733379986,id01,2
2024-08-02,1431,607,11,0.4241788958770091,id01,2
2024-08-03,1440,1146,11,0.7958333333333333,id01,2
2024-08-05,1439,510,16,0.35441278665740095,id01,2
2024-08-06,1433,492,17,0.3433356594556874,id01,2
2024-08-08,1438,698,39,0.4853963838664812,id01,2
2024-08-09,1417,589,16,0.41566690190543404,id01,2
2024-08-11,1431,882,9,0.6163522012578616,id01,2
2024-08-12,1437,445,17,0.30967292971468335,id01,2
2024-08-13,1406,551,16,0.3918918918918919,id01,2
2024-08-14,1440,469,13,0.32569444444444445,id01,2
2024-08-16,933,685,11,0.7341907824222936,id01,2
2024-08-17,428,318,15,0.7429906542056075,id01,2
2024-08-18,911,736,7,0.8079034028540066,id01,2
2024-08-19,635,241,10,0.3795275590551181,id01,2
2024-08-20,682,147,18,0.2155425219941349,id01,2
2024-08-21,690,141,11,0.20434782608695654,id01,2
2024-08-23,867,83,222,0.09573241061130335,id01,2
2024-08-24,737,686,10,0.9308005427408412,id01,2
2024-08-25,522,446,11,0.8544061302681992,id01,2
2024-08-26,744,223,11,0.29973118279569894,id01,2
2024-08-27,693,293,5,0.4227994227994228,id01,2
2024-08-28,960,444,11,0.4625,id01,2
2024-08-29,727,239,13,0.328748280605227,id01,2
2024-08-31,731,729,3,0.9972640218878249,id01,2
2024-09-01,603,451,5,0.7479270315091211,id01,2
2024-09-02,664,175,10,0.2635542168674699,id01,2
2024-09-03,797,248,9,0.3111668757841907,id01,2
2024-09-04,1426,625,16,0.438288920056101,id01,2
2024-09-06,1430,858,21,0.6,id01,2
2024-09-07,1440,1104,18,0.7666666666666667,id01,2
2024-09-08,1438,1118,9,0.7774687065368567,id01,2
2024-09-09,1429,659,13,0.46116165150454863,id01,2
2024-09-10,1367,703,13,0.5142648134601316,id01,2
2024-09-11,1439,615,15,0.4273801250868659,id01,2
2024-09-12,1382,740,18,0.5354558610709117,id01,2
2024-09-13,1430,757,15,0.5293706293706294,id01,2
2024-09-14,1440,1358,3,0.9430555555555555,id01,2
2024-07-17,715,280,43,0.3916083916083916,id02,2
2024-07-18,1425,712,87,0.49964912280701756,id02,2
2024-07-20,1390,784,100,0.5640287769784172,id02,2
2024-07-21,1423,1224,38,0.8601546029515109,id02,2
2024-07-22,1440,362,89,0.2513888888888889,id02,2
2024-07-23,1440,356,196,0.24722222222222223,id02,2
2024-07-25,1440,675,113,0.46875,id02,2
2024-07-28,1440,323,267,0.22430555555555556,id02,2
2024-07-29,1440,446,81,0.30972222222222223,id02,2
2024-07-30,1393,712,84,0.511127063890883,id02,2
2024-07-31,1423,778,95,0.5467322557976106,id02,2
2024-08-03,1414,1144,36,0.809052333804809,id02,2
2024-08-04,1291,1291,1,1.0,id02,2
2024-08-05,1406,688,42,0.48933143669985774,id02,2
2024-08-06,1423,1035,59,0.7273366127898805,id02,2
2024-08-07,1440,1439,2,0.9993055555555556,id02,2
2024-08-09,1377,1377,1,1.0,id02,2
2024-08-10,1406,1257,10,0.8940256045519204,id02,2
2024-08-11,1403,1071,74,0.7633642195295794,id02,2
2024-08-12,1425,491,70,0.34456140350877196,id02,2
2024-08-13,1386,526,48,0.3795093795093795,id02,2
2024-08-14,1234,805,79,0.6523500810372771,id02,2
2024-08-15,1431,1063,102,0.742837176799441,id02,2
2024-08-16,1385,1312,2,0.9472924187725632,id02,2
