scheme,target,rank,family,mean_improvement_vs_prior,mean_logloss
interleaved_rank,Q1,1,activity_steps,0.02003980193808515,0.6779439189806346
interleaved_rank,Q1,2,same_subject_temporal_label,0.014906281971668323,0.6830774389470514
interleaved_rank,Q1,3,screen_phone,0.007392571702296791,0.6905911492164228
interleaved_rank,Q1,4,heart_light,0.006733747098958909,0.6912499738197608
interleaved_rank,Q1,5,ssl,-0.020974914795519828,0.7189586357142396
interleaved_rank,Q2,1,same_subject_temporal_label,0.0007828109736002601,0.6856419640757637
interleaved_rank,Q2,2,heart_light,-0.008103372439724513,0.6945281474890885
interleaved_rank,Q2,3,ssl,-0.03444149501291919,0.7208662700622832
interleaved_rank,Q2,4,routine_axes,-0.03631703190881371,0.7227418069581777
interleaved_rank,Q2,5,screen_phone,-0.057959902916695206,0.7443846779660593
interleaved_rank,Q3,1,same_subject_temporal_label,0.01542045469968456,0.6536393200580456
interleaved_rank,Q3,2,activity_steps,0.007841556499898964,0.6612182182578312
interleaved_rank,Q3,3,ssl,-0.018308759721058537,0.6873685344787889
interleaved_rank,Q3,4,routine_axes,-0.019202001806584674,0.6882617765643149
interleaved_rank,Q3,5,heart_light,-0.028119213548552253,0.6971789883062826
interleaved_rank,S1,1,same_subject_temporal_label,0.017599680309430932,0.6090747058799137
interleaved_rank,S1,2,activity_steps,-0.016254380373312432,0.6429287665626572
interleaved_rank,S1,3,routine_axes,-0.020969197456406685,0.6476435836457514
interleaved_rank,S1,4,ssl,-0.021651651775992747,0.6483260379653375
interleaved_rank,S1,5,screen_phone,-0.023650105235497376,0.650324491424842
interleaved_rank,S2,1,same_subject_temporal_label,0.05231516459608406,0.5893451855074966
interleaved_rank,S2,2,activity_steps,0.017277928894931332,0.6243824212086492
interleaved_rank,S2,3,screen_phone,-0.004514097502477332,0.6461744476060579
interleaved_rank,S2,4,ssl,-0.00817877725508239,0.6498391273586629
interleaved_rank,S2,5,location_context,-0.030613109123060034,0.6722734592266407
interleaved_rank,S3,1,same_subject_temporal_label,0.06808731271112012,0.570769353254536
interleaved_rank,S3,2,location_context,0.03077511585580665,0.6080815501098495
interleaved_rank,S3,3,activity_steps,0.010710162677315208,0.628146503288341
interleaved_rank,S3,4,screen_phone,-0.004376085108545406,0.6432327510742016
interleaved_rank,S3,5,ssl,-0.014422390723038489,0.6532790566886947
interleaved_rank,S4,1,same_subject_temporal_label,0.034585419503516755,0.653592348369302
interleaved_rank,S4,2,activity_steps,0.030224131244115122,0.6579536366287037
interleaved_rank,S4,3,screen_phone,0.027594280643266522,0.6605834872295523
interleaved_rank,S4,4,heart_light,-0.007243369656354637,0.6954211375291734
interleaved_rank,S4,5,ssl,-0.015261514496475578,0.7034392823692944
testpattern,Q1,1,same_subject_temporal_label,0.02802576896844594,0.6666982642193864
testpattern,Q1,2,screen_phone,0.023480945077144016,0.6712430881106883
testpattern,Q1,3,activity_steps,0.010889236082604947,0.6838347971052274
testpattern,Q1,4,heart_light,0.0033080603304531386,0.6914159728573792
testpattern,Q1,5,location_context,-0.009901886796753134,0.7046259199845855
testpattern,Q2,1,same_subject_temporal_label,0.023901238536283065,0.6608875223947406
testpattern,Q2,2,heart_light,-0.00881655315181959,0.6936053140828432
testpattern,Q2,3,ssl,-0.02082860852514315,0.7056173694561667
testpattern,Q2,4,screen_phone,-0.022063579996898758,0.7068523409279224
testpattern,Q2,5,activity_steps,-0.02336951209441629,0.7081582730254399
testpattern,Q3,1,same_subject_temporal_label,0.015370876913546466,0.6538134687359137
testpattern,Q3,2,ssl,-0.00042350599303256353,0.6696078516424927
testpattern,Q3,3,heart_light,-0.026671522571085876,0.695855868220546
testpattern,Q3,4,activity_steps,-0.029782891188097016,0.6989672368375572
testpattern,Q3,5,screen_phone,-0.03931352946133246,0.7084978751107927
testpattern,S1,1,same_subject_temporal_label,0.026359615544320147,0.5966777403102002
testpattern,S1,2,activity_steps,-0.0070425522792685324,0.6300799081337888
testpattern,S1,3,ssl,-0.013887571487493033,0.6369249273420133
testpattern,S1,4,screen_phone,-0.024235556991402313,0.6472729128459226
testpattern,S1,5,routine_axes,-0.03558773582806507,0.6586250916825853
testpattern,S2,1,same_subject_temporal_label,0.050205576132471036,0.6082595810737315
testpattern,S2,2,screen_phone,0.010807373385781638,0.6476577838204208
testpattern,S2,3,activity_steps,0.004441568152383307,0.6540235890538192
testpattern,S2,4,ssl,0.0010525399769914512,0.6574126172292111
testpattern,S2,5,location_context,-0.022476395751525963,0.6809415529577285
testpattern,S3,1,same_subject_temporal_label,0.06610025671780609,0.5829429929900332
testpattern,S3,2,activity_steps,0.021499335370605943,0.6275439143372332
testpattern,S3,3,location_context,0.014406541258451255,0.634636708449388
testpattern,S3,4,screen_phone,0.011734417777514328,0.6373088319303248
testpattern,S3,5,ssl,-0.011317140213443239,0.6603603899212824
testpattern,S4,1,same_subject_temporal_label,0.033727478299720004,0.6594958137251886
testpattern,S4,2,activity_steps,0.033684372248637406,0.6595389197762712
testpattern,S4,3,screen_phone,0.028125238896511723,0.6650980531283969
testpattern,S4,4,heart_light,-0.0006821116202790356,0.6939054036451877
testpattern,S4,5,ssl,-0.004556099743156128,0.6977793917680648
