transition,feature,family,mean_delta_z,mean_abs_delta_z,count
0->1,activity_mean__prev_delta__subj_z,activity_steps,0.055744590423312916,1.3252411160353208,34
0->1,evening_mlight_mean__weekday_vs_subject_mean__subj_z,heart_light,0.034012908622257816,1.3096066064644305,34
0->1,activity_mean__prev_delta,activity_steps,0.10810239781341852,1.3039104609438161,34
0->1,activity_mean__prev_delta__routine_deviation_features_v1,activity_steps,0.10810239781341852,1.3039104609438161,34
0->1,activity_mean__prev_delta__subj_delta,activity_steps,0.10775718996466896,1.3035007039394084,34
0->1,evening_mlight_mean__prev_delta__subj_z,heart_light,0.1639549890063167,1.267369861767967,34
0->1,dyncl_dino_k10_cluster,ssl,0.05773044240108932,1.250826252023602,34
0->1,evening_mlight_mean__weekday_vs_subject_mean,heart_light,0.01993163290484176,1.2486234760484616,34
0->1,evening_mlight_mean__weekday_vs_subject_mean__routine_deviation_features_v1,heart_light,0.01993163290484176,1.2486234760484616,34
0->1,evening_mlight_mean__weekday_vs_subject_mean__subj_delta,heart_light,0.01992832559328889,1.248416288465425,34
0->1,dyncl_dino_k6_mindist,ssl,-0.09960322058558468,1.246211754408127,34
0->1,app_browser_search_time__weekday_vs_subject_mean__subj_z,screen_phone,-0.03519497289416023,1.2417469861627715,34
0->1,app_browser_search_time__prev_delta__subj_z,screen_phone,-0.18456679703803106,1.2149079490780272,34
0->1,amb_inside_prob__weekday_vs_subject_mean__subj_z,location_context,-0.209774496747362,1.1953094113744915,34
0->1,app_active_hours__subj_z,screen_phone,-0.06777726766355985,1.1841676104532695,34
0->1,dyncl_dino_k7_dist6,ssl,0.1566083445788399,1.1684507424930237,34
0->1,dyncl_dino_k10_dist4,ssl,0.15977077943707318,1.163831291696705,34
0->1,app_browser_search_time__weekday_vs_subject_mean,screen_phone,0.1204797494127691,1.1605470582931696,34
0->1,app_browser_search_time__weekday_vs_subject_mean__routine_deviation_features_v1,screen_phone,0.1204797494127691,1.1605470582931696,34
0->1,app_browser_search_time__weekday_vs_subject_mean__subj_delta,screen_phone,0.12046775768762469,1.1604315454255885,34
0->1,dyncl_dino_k7_mindist,ssl,-0.13449955980345263,1.1554986357024926,34
0->1,dyncl_dino_k7_cluster,ssl,0.0262192491031522,1.1274277114355458,34
0->1,evening_mlight_mean__prev_delta__subj_delta,heart_light,0.18595464513737467,1.1089859210471382,34
0->1,evening_mlight_mean__prev_delta,heart_light,0.18617076781424793,1.1086045486302794,34
0->1,evening_mlight_mean__prev_delta__routine_deviation_features_v1,heart_light,0.18617076781424793,1.1086045486302794,34
0->1,dyncl_dino_k3_dist1,ssl,0.10349945053730317,1.1021055210021105,34
0->1,activity_mean__weekday_vs_subject_mean__subj_z,activity_steps,-0.11216664163975354,1.0988522795903501,34
0->1,dyncl_dino_k6_dist1,ssl,0.10813758442828972,1.0939199030467048,34
0->1,dyncl_dino_k4_dist1,ssl,0.1081375844282898,1.0939199030467046,34
0->1,dyncl_dino_k5_dist2,ssl,0.1081375844282898,1.0939199030467046,34
0->2,evening_mlight_mean__prev_delta__subj_z,heart_light,0.24547637756917912,1.4552819037970384,49
0->2,evening_mlight_mean__dev_roll3__subj_z,heart_light,0.12092434650858834,1.3794596752717787,49
0->2,app_browser_search_time__prev_delta__subj_z,screen_phone,0.4340876358030007,1.3559658469554647,49
0->2,activity_mean__prev_delta__subj_z,activity_steps,0.4765616710970456,1.3303217960859237,49
0->2,app_browser_search_time__prev_delta__subj_delta,screen_phone,0.3192475688381595,1.3005457641937628,49
0->2,app_browser_search_time__prev_delta,screen_phone,0.3191815344525213,1.300276754343992,49
0->2,app_browser_search_time__prev_delta__routine_deviation_features_v1,screen_phone,0.3191815344525213,1.300276754343992,49
0->2,activity_mean__prev_delta__subj_delta,activity_steps,0.443859335973727,1.2894578593811359,49
0->2,activity_mean__prev_delta,activity_steps,0.4438420151102069,1.289407540458479,49
0->2,activity_mean__prev_delta__routine_deviation_features_v1,activity_steps,0.4438420151102069,1.289407540458479,49
0->2,app_browser_search_time__weekday_vs_subject_mean__subj_z,screen_phone,0.0700676731239224,1.2750388513186037,49
0->2,activity_mean__weekday_vs_subject_mean__subj_z,activity_steps,0.2917741723291938,1.274386141084423,49
0->2,evening_mlight_mean__prev_delta,heart_light,0.14451619316312958,1.2713605692071541,49
0->2,evening_mlight_mean__prev_delta__routine_deviation_features_v1,heart_light,0.14451619316312958,1.2713605692071541,49
0->2,evening_mlight_mean__prev_delta__subj_delta,heart_light,0.1445346374932312,1.270934829255929,49
0->2,evening_mlight_mean__dev_roll7__subj_z,heart_light,0.15324576071049167,1.2267625686920116,49
0->2,evening_mlight_mean__dev_roll3,heart_light,0.058914063095124695,1.2068732428608457,49
0->2,evening_mlight_mean__dev_roll3__routine_deviation_features_v1,heart_light,0.058914063095124695,1.2068732428608457,49
0->2,evening_mlight_mean__dev_roll3__subj_delta,heart_light,0.05722102075597577,1.2050775954386879,49
0->2,activity_mean__dev_weekday_mean__subj_z,activity_steps,0.30485447728762927,1.1949170650009415,49
0->2,evening_mlight_mean__dev_weekday_mean__subj_z,heart_light,0.24350669825375837,1.1895959623194177,49
0->2,activity_mean__dev_weekday_mean,activity_steps,0.29070461090772537,1.1847147347399478,49
0->2,activity_mean__dev_weekday_mean__routine_deviation_features_v1,activity_steps,0.29070461090772537,1.1847147347399478,49
0->2,activity_mean__dev_weekday_mean__subj_delta,activity_steps,0.29070461090772537,1.1847147347399478,49
0->2,amb_inside_prob__weekday_vs_subject_mean__subj_z,location_context,-0.023183442818724143,1.1797957050613919,49
0->2,axis_morning_activation_vs_prev30,routine_axes,0.3171122786327286,1.174563611288998,49
0->2,axis_morning_activation_vs_prev7,routine_axes,0.34353067115713565,1.1672405161040642,49
0->2,evening_mlight_mean__subj_z,heart_light,0.20989988050275765,1.1653208206745278,49
0->2,activity_mean__dev_roll3__subj_z,activity_steps,0.3614182554558767,1.159173730337858,49
0->2,activity_mean__weekday_vs_subject_mean,activity_steps,0.2005855715115403,1.1441491869936298,49
1->0,app_browser_search_time__weekday_vs_subject_mean__subj_z,screen_phone,-0.12642387135512667,1.394383608198722,33
1->0,evening_mlight_mean__weekday_vs_subject_mean__subj_z,heart_light,-0.03281829603684447,1.3919077273251046,33
1->0,activity_mean__weekday_vs_subject_mean,activity_steps,-0.27880909964739803,1.3570644909664682,33
1->0,activity_mean__weekday_vs_subject_mean__routine_deviation_features_v1,activity_steps,-0.27880909964739803,1.3570644909664682,33
1->0,activity_mean__weekday_vs_subject_mean__subj_delta,activity_steps,-0.27880909964739814,1.357064490966468,33
1->0,evening_mlight_mean__dev_weekday_mean__subj_z,heart_light,-0.5261665231378051,1.3453895368085305,33
1->0,dyncl_dino_k6_mindist,ssl,0.21713717712034458,1.333887673040522,33
1->0,evening_mlight_mean__prev_delta__subj_z,heart_light,-0.48363593123975224,1.3230683104581835,33
1->0,dyncl_dino_k10_mindist,ssl,0.321146243924206,1.3114451306072927,33
1->0,evening_mlight_mean__subj_z,heart_light,-0.5178828454407913,1.308140182162289,33
1->0,dyncl_dino_k10_cluster,ssl,-0.2379193989863075,1.2887300778424988,33
1->0,evening_mlight_mean__weekday_vs_subject_mean,heart_light,-0.03551597875196396,1.2697571002856922,33
1->0,evening_mlight_mean__weekday_vs_subject_mean__routine_deviation_features_v1,heart_light,-0.03551597875196396,1.2697571002856922,33
1->0,evening_mlight_mean__weekday_vs_subject_mean__subj_delta,heart_light,-0.0355100854863495,1.2695464059413222,33
1->0,dyncl_dino_k8_cluster,ssl,-0.19776562681118642,1.268026666024666,33
1->0,activity_mean__prev_delta__subj_delta,activity_steps,0.012161311401056231,1.262554259160409,33
1->0,activity_mean__prev_delta,activity_steps,0.013271761048784797,1.2612461776679704,33
1->0,activity_mean__prev_delta__routine_deviation_features_v1,activity_steps,0.013271761048784797,1.2612461776679704,33
1->0,activity_mean__weekday_vs_subject_mean__subj_z,activity_steps,-0.21414769352637789,1.258757498894624,33
1->0,activity_mean__prev_delta__subj_z,activity_steps,0.02358579375908461,1.2559151404583115,33
1->0,app_browser_search_time__prev_delta__subj_z,screen_phone,-0.15847762887168818,1.2267328343997688,33
1->0,dyncl_dino_k7_mindist,ssl,0.20819515694825874,1.2096074765660267,33
1->0,app_active_hours__subj_z,screen_phone,0.42973676316408804,1.1917181252088762,33
1->0,app_browser_search_time__weekday_vs_subject_mean,screen_phone,-0.17737663905991885,1.178467057783432,33
1->0,app_browser_search_time__weekday_vs_subject_mean__routine_deviation_features_v1,screen_phone,-0.17737663905991885,1.178467057783432,33
1->0,app_browser_search_time__weekday_vs_subject_mean__subj_delta,screen_phone,-0.17735898420992946,1.1783497612824225,33
1->0,activity_mean__dev_roll7__subj_delta,activity_steps,0.07045018630253971,1.174607754148867,33
1->0,activity_mean__dev_roll7,activity_steps,0.0702118416426251,1.1744070205397146,33
1->0,activity_mean__dev_roll7__routine_deviation_features_v1,activity_steps,0.0702118416426251,1.1744070205397146,33
1->0,evening_mlight_mean__prev_delta,heart_light,-0.5262566709802008,1.171495384575398,33
1->2,evening_mlight_mean__weekday_vs_subject_mean__subj_z,heart_light,0.5267059839042088,1.3962877803130964,37
1->2,app_browser_search_time__prev_delta__subj_z,screen_phone,0.1451486035768789,1.3456191683752605,37
1->2,app_browser_search_time__prev_delta__subj_delta,screen_phone,0.12175671677143016,1.343840952057441,37
1->2,app_browser_search_time__prev_delta,screen_phone,0.12173153214741375,1.3435629868657635,37
1->2,app_browser_search_time__prev_delta__routine_deviation_features_v1,screen_phone,0.12173153214741375,1.3435629868657635,37
1->2,app_browser_search_time__dev_roll3,screen_phone,0.2920281259390164,1.2631602746891932,37
1->2,app_browser_search_time__dev_roll3__routine_deviation_features_v1,screen_phone,0.2920281259390164,1.2631602746891932,37
1->2,app_browser_search_time__dev_roll3__subj_delta,screen_phone,0.29045358700650886,1.2619683696737742,37
1->2,activity_mean__weekday_vs_subject_mean__subj_z,activity_steps,0.13134774456908618,1.2331991721468651,37
1->2,app_browser_search_time__dev_roll3__subj_z,screen_phone,0.3481859712528809,1.2208122253862996,37
1->2,dyncl_dino_k7_cluster,ssl,0.10842013818330509,1.216714884057091,37
1->2,evening_mlight_mean__weekday_vs_subject_mean,heart_light,0.5526124268383955,1.1969263769246732,37
1->2,evening_mlight_mean__weekday_vs_subject_mean__routine_deviation_features_v1,heart_light,0.5526124268383955,1.1969263769246732,37
1->2,evening_mlight_mean__weekday_vs_subject_mean__subj_delta,heart_light,0.5525207303139676,1.196727767585778,37
1->2,dyncl_dino_k6_cluster,ssl,-0.10854085894625447,1.1939494484087994,37
1->2,app_browser_search_time__dev_weekday_mean,screen_phone,0.2322678344260331,1.1717643824622554,37
1->2,app_browser_search_time__dev_weekday_mean__routine_deviation_features_v1,screen_phone,0.2322678344260331,1.1717643824622554,37
1->2,app_browser_search_time__dev_weekday_mean__subj_delta,screen_phone,0.2322678344260331,1.1717643824622554,37
1->2,app_browser_search_time__dev_weekday_mean__subj_z,screen_phone,0.21322274511233946,1.1642749481655386,37
1->2,evening_mlight_mean__dev_roll3__subj_z,heart_light,-0.0697739535849133,1.1597191472341333,37
1->2,app_browser_search_time__subj_z,screen_phone,0.31999275981025976,1.1528528580750084,37
1->2,evening_mlight_mean__prev_delta__subj_z,heart_light,-0.04116400882712731,1.152414003009571,37
1->2,app_browser_search_time__subj_delta,screen_phone,0.2806659406195458,1.1507273865186727,37
1->2,app_browser_search_time__dev_roll7__subj_z,screen_phone,0.25155367920626,1.119831165766584,37
1->2,app_browser_search_time__dev_roll7__subj_delta,screen_phone,0.20832104701314766,1.1151608962899464,37
1->2,app_browser_search_time__dev_roll7,screen_phone,0.2079293260818019,1.1130639796741828,37
1->2,app_browser_search_time__dev_roll7__routine_deviation_features_v1,screen_phone,0.2079293260818019,1.1130639796741828,37
1->2,dyncl_dino_k7_mindist,ssl,0.06615453212347336,1.1087889133388207,37
1->2,evening_mlight_mean__dev_roll7__subj_z,heart_light,-0.06141677791627267,1.079726618553068,37
1->2,dyncl_dino_k5_cluster,ssl,-0.03271192495114953,1.0794935233879346,37
2->0,app_browser_search_time__prev_delta__subj_z,screen_phone,-0.26800048095392254,1.4552970649250654,49
2->0,evening_mlight_mean__weekday_vs_subject_mean__subj_z,heart_light,-0.1055597173174109,1.3738750514612517,49
2->0,app_browser_search_time__prev_delta__subj_delta,screen_phone,-0.08780409639925853,1.365206372471789,49
2->0,app_browser_search_time__prev_delta,screen_phone,-0.08778593466482985,1.3649239879750057,49
2->0,app_browser_search_time__prev_delta__routine_deviation_features_v1,screen_phone,-0.08778593466482985,1.3649239879750057,49
2->0,activity_mean__prev_delta__subj_z,activity_steps,-0.2369723504625069,1.3510491133044156,49
2->0,activity_mean__prev_delta__subj_delta,activity_steps,-0.15875266103431018,1.298554511941467,49
2->0,activity_mean__prev_delta,activity_steps,-0.15874646597891234,1.2985038380372549,49
2->0,activity_mean__prev_delta__routine_deviation_features_v1,activity_steps,-0.15874646597891234,1.2985038380372549,49
2->0,app_browser_search_time__weekday_vs_subject_mean__subj_z,screen_phone,-0.18255796222250456,1.268603998136406,49
2->0,evening_mlight_mean__weekday_vs_subject_mean,heart_light,-0.03855479516566544,1.2556232600249255,49
2->0,evening_mlight_mean__weekday_vs_subject_mean__routine_deviation_features_v1,heart_light,-0.03855479516566544,1.2556232600249255,49
2->0,evening_mlight_mean__weekday_vs_subject_mean__subj_delta,heart_light,-0.038548397660750536,1.255414910948171,49
2->0,app_browser_search_time__dev_roll3__subj_z,screen_phone,-0.4326946224854081,1.2284852711729664,49
2->0,axis_night_movement_vs_prev7,routine_axes,-0.28527338886213494,1.2206031119495542,49
2->0,axis_day_night_reversal_vs_prev7,routine_axes,0.1295052919377764,1.2033094268993103,49
2->0,axis_night_movement_vs_prev30,routine_axes,-0.30053805728238253,1.1946073133819441,49
2->0,dyncl_dino_k7_cluster,ssl,-0.1637365352156037,1.164348694866515,49
2->0,dyncl_dino_k5_cluster,ssl,-0.01235042064482177,1.148589119968424,49
2->0,axis_day_night_reversal_vs_prev30,routine_axes,0.1293743725871667,1.1483080475623662,49
2->0,amb_inside_prob__weekday_vs_subject_mean__subj_z,location_context,-0.28397685689626795,1.1447798898852175,49
2->0,app_browser_search_time__dev_roll3__subj_delta,screen_phone,-0.3325438462488834,1.1343372359509736,49
2->0,app_browser_search_time__dev_roll3,screen_phone,-0.3324128728897911,1.1338904739380484,49
2->0,app_browser_search_time__dev_roll3__routine_deviation_features_v1,screen_phone,-0.3324128728897911,1.1338904739380484,49
2->0,dyncl_dino_k8_cluster,ssl,-0.3055514546290479,1.1203553336398422,49
2->0,amb_inside_prob__weekday_vs_subject_mean,location_context,-0.30095361108289553,1.1190212407819433,49
2->0,amb_inside_prob__weekday_vs_subject_mean__routine_deviation_features_v1,location_context,-0.30095361108289553,1.1190212407819433,49
2->0,amb_inside_prob__weekday_vs_subject_mean__subj_delta,location_context,-0.30095361108289553,1.1190212407819433,49
2->0,activity_mean__weekday_vs_subject_mean__subj_z,activity_steps,0.20359947921154067,1.1135065567544873,49
2->0,app_browser_search_time__dev_roll7__subj_z,screen_phone,-0.25008269128418986,1.105891798155403,49
2->1,app_browser_search_time__prev_delta__subj_z,screen_phone,-0.433519664114012,1.5677353120198605,35
2->1,evening_mlight_mean__weekday_vs_subject_mean__subj_z,heart_light,0.06623759209770863,1.551775324001542,35
2->1,app_browser_search_time__prev_delta,screen_phone,-0.4818590615572938,1.4599916467957244,35
2->1,app_browser_search_time__prev_delta__routine_deviation_features_v1,screen_phone,-0.4818590615572938,1.4599916467957244,35
2->1,app_browser_search_time__prev_delta__subj_delta,screen_phone,-0.48238258470253553,1.4598698665606644,35
2->1,evening_mlight_mean__weekday_vs_subject_mean,heart_light,0.056361918065781245,1.4395586177989717,35
2->1,evening_mlight_mean__weekday_vs_subject_mean__routine_deviation_features_v1,heart_light,0.056361918065781245,1.4395586177989717,35
2->1,evening_mlight_mean__weekday_vs_subject_mean__subj_delta,heart_light,0.05635256577519617,1.4393197478142383,35
2->1,app_browser_search_time__weekday_vs_subject_mean__subj_z,screen_phone,-0.07488387977146138,1.3838965070038367,35
2->1,dyncl_dino_k7_mindist,ssl,0.01537502084377153,1.3260398355305172,35
2->1,dyncl_dino_k4_cluster,ssl,0.32084904745428794,1.3125642850402688,35
2->1,dyncl_dino_k6_mindist,ssl,0.03738495193613142,1.299728275713163,35
2->1,app_browser_search_time__subj_z,screen_phone,-0.22539177867205962,1.2860918147859974,35
2->1,app_browser_search_time__dev_roll3__subj_z,screen_phone,-0.41522896224284994,1.277201150102504,35
2->1,app_browser_search_time__dev_weekday_mean__subj_z,screen_phone,-0.23594232540151064,1.2672329729099139,35
2->1,dyncl_dino_k7_cluster,ssl,0.11461557465092255,1.2607713211601481,35
2->1,activity_mean__prev_delta__subj_delta,activity_steps,0.025067353460651726,1.2460531377769068,35
2->1,activity_mean__prev_delta__subj_z,activity_steps,0.015625307310243374,1.2459839245482467,35
2->1,activity_mean__prev_delta,activity_steps,0.02523910077633003,1.2458317871235,35
2->1,activity_mean__prev_delta__routine_deviation_features_v1,activity_steps,0.02523910077633003,1.2458317871235,35
2->1,dyncl_dino_k5_cluster,ssl,0.20748706683300563,1.2449224009980338,35
2->1,app_browser_search_time__dev_roll7__subj_z,screen_phone,-0.2635158014464105,1.2386419343053234,35
2->1,dyncl_dino_k6_cluster,ssl,0.24587827230682138,1.2293913615341068,35
2->1,dyncl_dino_k10_mindist,ssl,-0.011887708847253901,1.214186542939416,35
2->1,activity_mean__weekday_vs_subject_mean__subj_z,activity_steps,-0.011057082408873889,1.17417612889438,35
2->1,evening_mlight_mean__prev_delta__subj_z,heart_light,-0.12697698275411318,1.1717369531573647,35
2->1,dyncl_dino_k5_mindist,ssl,0.26083518659341515,1.1589932961714877,35
2->1,app_browser_search_time__dev_roll3__subj_delta,screen_phone,-0.4856106930924077,1.1587602315726742,35
2->1,app_browser_search_time__dev_roll3,screen_phone,-0.4854194339113917,1.1583038504920329,35
2->1,app_browser_search_time__dev_roll3__routine_deviation_features_v1,screen_phone,-0.4854194339113917,1.1583038504920329,35
