model,split,mean,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
base,chrono_last_20,0.5901522016975517,0.6129752871032171,0.6233742706141666,0.6470283360386839,0.522202929170233,0.5629569974221492,0.5936649302481091,0.5688626612863028
base,chrono_last_25,0.5983883091097163,0.6473999950166149,0.6330229917461263,0.6404634265417825,0.5277147151872911,0.5654303625714235,0.5706214651543202,0.6040652075504551
base,chrono_last_30,0.6163878863303326,0.6408307661587569,0.6459869806319742,0.6542094534822095,0.5690326922497169,0.5802639653118844,0.5705287605183947,0.6538625859593923
base,chrono_tail_14,0.6143983031147336,0.6369420495657269,0.6448822263912432,0.6558798792990708,0.5884658157896047,0.5839295391828523,0.5632805314084278,0.6274080801662101
base,chrono_tail_21,0.6510713277492611,0.6484513194578406,0.6946347111839605,0.6628059051464185,0.5822379663101517,0.6720433826954941,0.5580160850080113,0.7393099244429512
base,loso_id01,0.7736743208578181,0.7616900348767166,0.740132124745994,0.7526163471452042,0.6767242610031051,0.7529849081712627,1.038425389502498,0.6931471805599453
base,loso_id02,0.8050671674313346,1.0834093412888206,0.7424160904007825,0.6206738152359225,0.3792623090891551,0.47751007295682973,1.605423392303216,0.726775150744616
base,loso_id03,0.7277800257458492,0.6945461467918825,1.0590614732277321,0.5954596280333916,0.6438353328776464,0.6942217765588448,0.7141886421715012,0.6931471805599462
base,loso_id04,0.6712392816480425,0.7156670096205291,0.7079320185921429,0.6308387385448022,0.5663509339190136,0.7007194093650744,0.68401968093479,0.6931471805599454
base,loso_id05,0.7237255997346077,0.7064663263786044,0.7042643431958534,0.6868006524586298,0.7313358498527311,0.7041869977861066,0.7435231672044942,0.7895018612658351
base,loso_id06,0.5806908541527754,0.8697196895605038,0.7645457297128955,0.7332894653027532,0.6208763520251785,0.2966632093180872,0.1739782518528189,0.6057632812971906
base,loso_id07,0.6921806950328123,0.7901463335582043,0.7027329437903773,0.6847817677525471,0.7506491921492597,0.6865192007240866,0.5372882466952662,0.6931471805599453
base,loso_id08,0.8499787490469893,0.7849860573861301,0.8819312837730752,0.8254350864658362,0.9512662691611629,0.6989201128481118,0.6876799384602926,1.1196324952343164
base,loso_id09,0.7034431271562532,0.7443297618600607,0.7480987035882609,0.7368690046732579,0.6936923871438561,0.6706910179122522,0.6182281014926699,0.7121929134234147
