model,subset,n_features,k,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
rf100,noflat_no_routine,520,500,chrono_last_25,0.630228568040695,0.6829214552663346,0.6473392169046375,0.6559602364855026,0.5634521317854672,0.6265422683533113,0.6033863579891083,0.6319983095005037
rf100,sleep,176,20,chrono_last_25,0.630730778590145,0.6834914862459502,0.6683655619392826,0.6456438056900028,0.5449574879088979,0.6250106160881594,0.6056672760622654,0.6419792161964564
rf300,sleep,176,20,chrono_last_25,0.6310232109484849,0.6871108569462419,0.6695742606643051,0.6455685652314634,0.547681769132342,0.6243138988217468,0.603602728292902,0.6393103975503927
rf300,noflat_no_routine,520,500,chrono_last_25,0.63111735315961,0.6895291736988487,0.6537327059826549,0.6552326469099543,0.5629476972548383,0.6235851186941963,0.5931651549907576,0.6396289745860201
rf100,sleep,176,100,chrono_last_25,0.6320750694594033,0.6695224210839797,0.6609938207207534,0.6508853425668661,0.550578914214978,0.6427183980875854,0.6118595262601642,0.6379670632814963
rf100,noflat_no_routine,520,500,chrono_last_30,0.6323562696518105,0.6688096450738562,0.6579509846741907,0.6409324077733519,0.5773576973518162,0.6449927725035451,0.5973353632506203,0.6391150169352932
rf300,sleep,176,100,chrono_last_25,0.6327117768794176,0.6678227901911186,0.6641005932134967,0.6487780452002627,0.5560005051467832,0.6460589074005978,0.6105195437119065,0.635702053291758
rf100,noflat_no_routine,520,200,chrono_last_25,0.6329609849067647,0.6747929413307318,0.6720396300485177,0.6609682490451653,0.5631465799818669,0.6155589536114773,0.6193213100672349,0.6248992302623585
rf300,noflat_no_routine,520,200,chrono_last_25,0.6337906773476095,0.678392730790982,0.6660213493481436,0.665418728422878,0.564729153490358,0.6217834241406545,0.6110340427593169,0.629155312480934
rf300,sleep,176,20,chrono_last_30,0.6346402250968646,0.6514876694222462,0.6720939316885955,0.6184457483949245,0.5747642499724754,0.6787957872572424,0.5889870556390565,0.6579071333035112
rf300,noflat_no_routine,520,500,chrono_last_30,0.6346423137570921,0.6660244539602003,0.6684238515943641,0.6369950467974582,0.5800748215060193,0.6488699921541905,0.5973279687829464,0.6447800615044668
extratrees100,sleep,176,20,chrono_last_25,0.6346661607802189,0.6914396812144425,0.6618787061872188,0.6774167312673259,0.5362678108597949,0.6372848708375849,0.6158546363306306,0.622520688764535
