app_name,app_sem_proto,app_sem_proto_dist,app_sem_k8,app_sem_k16,app_sem_k32
(구)티머니onda,phone_system,0.8314066572003664,1,10,26
(캐시아워),video_music_entertainment,0.9108380712937739,3,7,13
11번가,study_work_productivity,0.8997053682290035,2,8,27
1945 air force,browser_search_news,0.6558912656930143,1,1,10
8 seconds,transport_map,0.624953776289008,1,4,1
abc-mart,finance_shopping,0.8384289620960083,1,1,30
adidas,study_work_productivity,0.7477023616711118,1,4,1
adobe acrobat,health_fitness,0.7028641109260405,1,1,10
ahnlab v3 mobile plus,study_work_productivity,0.8811403569283213,6,5,0
ai retouch - 객체 제거,browser_search_news,0.7068700373352866,1,1,28
aia생명,study_work_productivity,0.7880884011316655,1,1,27
airvisual,health_fitness,0.6174101060441012,1,1,28
aliexpress,study_work_productivity,0.7362352800462936,1,2,16
alwaysondisplay,finance_shopping,0.6094626987442902,1,13,24
amway,finance_shopping,0.511108912837926,1,13,24
android auto,browser_search_news,0.8838218153212427,1,1,28
android 시스템,browser_search_news,0.9344216882606998,2,1,28
anyauth,finance_shopping,0.807859226951474,1,1,28
ar 이모지,study_work_productivity,0.9298428359314634,1,1,26
ar 이모지 스티커,study_work_productivity,0.9309147598574036,1,1,26
ar 이모지 에디터,study_work_productivity,0.9086170563590941,2,6,26
ar 존,browser_search_news,0.8700093250046131,1,1,26
arkcraft_v1,social_chat,0.8227166827912219,1,1,10
art puzzle,finance_shopping,0.8552711333803503,1,5,10
authentication framework,health_fitness,0.5445895733558386,6,4,28
authenticator,health_fitness,0.70232486597776,6,1,28
auto clicker,browser_search_news,0.7188401647683988,1,2,28
auto redial,browser_search_news,0.8239808590720173,1,1,28
avenza maps,transport_map,0.10131566476492382,6,4,1
avis corporate,transport_map,0.5845813928950403,1,4,1
b.stage,social_chat,0.2763401996311181,6,5,3
b612,finance_shopping,0.6737574217248137,6,5,25
band,finance_shopping,0.5135638958037072,6,1,16
battle.net,finance_shopping,0.5553928091401972,6,5,3
bhc,finance_shopping,0.6337680469847181,6,5,3
blind,finance_shopping,0.5664105284896116,6,5,31
block journey,study_work_productivity,0.6533997203263875,6,5,25
block puzzle,study_work_productivity,0.7881461662626613,6,5,25
bnkr몰,transport_map,0.6351078972172048,6,4,25
booking.com,finance_shopping,0.7141766740975899,6,4,27
cake sort,phone_system,0.6965441830039918,1,1,30
camscanner,phone_system,0.6284758470616236,1,2,4
carrot,phone_system,0.6572028503580087,1,1,10
cgv,phone_system,0.710465434076067,2,8,3
chargev,social_chat,0.534277556796621,1,1,3
chrome,browser_search_news,0.4586821051662945,6,5,14
cj one,phone_system,0.5306364798504533,6,5,3
cj온스타일,phone_system,0.7572489215914783,2,5,3
cncity에너지,phone_system,0.7835009952768285,2,1,14
com.dreamsecurity.mobilerelay.samplecrypto,study_work_productivity,0.6425480453254662,1,4,0
crossy road,finance_shopping,0.6847578671881611,1,1,10
cytus ii,transport_map,0.5873900266426437,6,4,1
darkness and flame 1,finance_shopping,0.8254717860687558,6,2,16
darkness and flame 2,finance_shopping,0.8250526789652086,6,2,16
darkness and flame 3,finance_shopping,0.8246420970929567,6,2,16
darkness and flame 4,finance_shopping,0.8240059493030665,6,2,16
datuner,browser_search_news,0.4991260429713327,1,2,4
discord,social_chat,0.2499970451199477,1,1,10
domino dreams,study_work_productivity,0.42145434119262015,1,4,1
drawely,social_chat,0.5844113107824314,2,1,14
drive,browser_search_news,0.6586695822717545,6,5,14
duit,health_fitness,0.8195676097381326,2,10,14
duit+,social_chat,0.8261987630438967,7,10,14
edge,social_chat,0.4042002386593633,6,5,3
expert raw,health_fitness,0.7248814692970608,1,1,30
expressvpn,study_work_productivity,0.7494950299675103,1,2,21
facebook,social_chat,0.33777441050868184,6,4,25
fantastic bricks,transport_map,0.6282042045701164,6,4,1
fc online m,phone_system,0.6203671106675414,6,5,3
files by google,browser_search_news,0.39196979740272064,6,5,12
find differences,finance_shopping,0.5475928178231835,6,1,31
find out,finance_shopping,0.5228377555236704,6,1,31
flightradar24,transport_map,0.7402973191816165,6,2,16
flo,health_fitness,0.7692167994500837,1,2,16
friends rush,transport_map,0.569331995424988,6,4,1
galaxy buds live manager,transport_map,0.7711216854585925,6,5,21
galaxy buds2 pro manager,transport_map,0.7694381501995411,6,5,21
galaxy store,phone_system,0.8109726624972204,6,5,21
galaxy themes,phone_system,0.819930634068305,6,5,21
galaxy watch5 manager,transport_map,0.8222999379356443,6,5,21
galaxy wearable,phone_system,0.85293188809046,6,5,21
gaming hub,video_music_entertainment,0.4879941451504226,6,5,31
gateman,transport_map,0.41110741678642504,6,4,21
gayo,video_music_entertainment,0.624514255472334,1,13,21
gmail,study_work_productivity,0.13556176669227338,6,4,25
goblins wood,browser_search_news,0.7003083356414448,6,5,31
gofasting,finance_shopping,0.4985572826420763,6,4,31
good lock,study_work_productivity,0.6348154196256881,6,5,25
google,browser_search_news,0.39015870418041776,6,5,12
google play 게임즈,browser_search_news,0.43656538410548995,6,5,12
google play 서비스,browser_search_news,0.46258376711624116,6,5,12
google play 스토어,browser_search_news,0.4702257175148681,6,5,12
google 음성 인식 및 합성,browser_search_news,0.39777242080783737,6,5,12
grab,social_chat,0.46886967053393636,2,5,21
gs shop,finance_shopping,0.5440874632747059,6,4,31
g마켓,browser_search_news,0.6790436237204034,0,7,2
h.point,finance_shopping,0.6536466748141148,1,1,31
headphones,study_work_productivity,0.5798838374898758,6,4,1
help-cnuh24,health_fitness,0.5401123200067715,1,10,16
hexa sort,health_fitness,0.7401529372774853,1,1,30
home,browser_search_news,0.725342501145676,6,5,14
hotels.com,study_work_productivity,0.7682428876902758,6,4,27
i-one 알림,phone_system,0.5535009372759482,6,5,3
ibk 기업은행,study_work_productivity,0.7317068556501757,3,0,26
idf mobilités,study_work_productivity,0.8560806799950808,6,10,0
iherb,browser_search_news,0.5362980557470718,6,2,4
im뱅크 (아이엠),study_work_productivity,0.8712450880275783,3,7,9
inbody,social_chat,0.42816731576292055,6,5,31
inframe,social_chat,0.4601599695049228,6,5,31
instagram,social_chat,0.13157293223056443,6,5,31
intentresolver,browser_search_news,0.3678319230352002,6,2,4
k-패스,finance_shopping,0.7855012328076505,0,9,8
kaist idcard,finance_shopping,0.4700707613054321,1,1,10
kb pay,finance_shopping,0.3144506066390811,1,13,24
kb부동산,finance_shopping,0.6790869855557884,1,13,1
kb손해보험+ 다이렉트,health_fitness,0.9566731046840298,5,11,20
kb스타뱅킹,finance_shopping,0.7872014540466259,3,7,9
kia,phone_system,0.8447951412323167,1,1,1
kia connect,phone_system,0.7275299171019811,1,1,1
kia digital key,phone_system,0.8113782182492746,1,1,1
killer sudoku,phone_system,0.6141588943318517,1,2,4
kream,study_work_productivity,0.4802075925988939,1,4,1
ks fit,finance_shopping,0.6238909110153693,6,1,1
kt 멤버십,video_music_entertainment,0.9320629782287473,2,1,10
kt알파 쇼핑,phone_system,0.953368356621799,3,0,6
lavu,browser_search_news,0.6615561451137444,6,5,0
letter fonts,browser_search_news,0.3716979087518214,6,2,4
lg thinq,finance_shopping,0.5936593128681371,6,1,31
lh청약센터,browser_search_news,0.8762211879376551,2,6,0
line,social_chat,0.5829490110353563,6,5,3
live스코어,phone_system,0.816724823520547,6,5,3
m-stock,study_work_productivity,0.6169405540301098,6,5,25
magic tiles 3,transport_map,0.5382961357797257,6,4,1
maps & navigation,transport_map,0.05765113778897424,6,4,1
master for minecraft,social_chat,0.5437340596821592,6,2,4
match factory,social_chat,0.7959973012572331,6,4,3
mcdonald's,transport_map,0.25611053899779856,6,4,21
meet,health_fitness,0.579698228813492,6,10,14
meitu,video_music_entertainment,0.5545170737722969,6,10,14
melon,video_music_entertainment,0.5402749569865093,6,10,14
melon drop: fruit merge master,transport_map,0.6285436662473112,6,2,14
merge designer-decor & story,social_chat,0.5108657287016756,6,2,4
messenger,social_chat,0.27859753877048465,6,2,4
mg더뱅킹,transport_map,0.863227232954002,3,7,9
mg손해보험 다이렉트,health_fitness,0.9439613612232417,5,11,20
mi home,browser_search_news,0.7254729896266138,6,5,14
microsoft 365 (office),study_work_productivity,0.8070176022420065,1,1,10
microsoft launcher,phone_system,0.7167075527001598,1,1,10
microsoft word,health_fitness,0.795594613089087,1,1,10
mobile hr,browser_search_news,0.8412991349614216,6,5,0
monimo,transport_map,0.7557392235397649,1,2,0
mtp 애플리케이션,transport_map,0.5045045990848501,6,10,14
my fans,finance_shopping,0.6527316709251825,6,4,1
my s-oil,study_work_productivity,0.5969738032764329,6,10,14
mykia,phone_system,0.8424826093270374,1,1,1
my네컷,health_fitness,0.843856511214433,6,10,14
naver,transport_map,0.34006573676059104,6,2,4
new york mysteries 1,browser_search_news,0.8252637976324205,6,2,4
new york mysteries 2,browser_search_news,0.8252283547680976,6,2,4
new york mysteries 3,browser_search_news,0.825724151907872,6,2,4
nfc,browser_search_news,0.6870996289115453,6,5,3
nh pay,finance_shopping,0.3452744346486597,1,13,24
nh기업뱅킹,transport_map,0.8639646315443041,3,7,9
nh뱅킹,transport_map,0.8559655189468692,3,7,9
nh앱캐시,transport_map,0.8362612742522886,3,7,9
nh콕뱅크,transport_map,0.8543628258591071,3,7,9
nike,video_music_entertainment,0.6419693089446841,6,5,3
nonogram elf,social_chat,0.42150476677309745,2,4,21
nonogram-number games,social_chat,0.49447722152108675,2,4,21
notion,transport_map,0.38029118105387394,6,4,21
ns홈쇼핑,browser_search_news,0.9092159897068703,3,0,6
number match,browser_search_news,0.7131816627100442,6,4,3
nummatch,browser_search_news,0.8176420804049135,6,4,3
nuts & bolts jam,study_work_productivity,0.43047426208786144,6,4,1
ok cashbag,study_work_productivity,0.5603014268993074,6,5,25
okok international,transport_map,0.4426930446192595,6,4,25
omio,study_work_productivity,0.451121656661705,6,4,1
one ui 홈,phone_system,0.541531905471474,6,5,3
opentable,browser_search_news,0.6594331556166335,6,5,31
outlook,video_music_entertainment,0.49717128720011106,6,5,25
papago,finance_shopping,0.43690689054431653,1,13,24
pass,finance_shopping,0.4625657137317991,1,13,24
payco,finance_shopping,0.3248847996543063,1,13,24
pdf 리더기,study_work_productivity,0.49719124511339163,1,13,0
pi,finance_shopping,0.6274475489538164,1,13,24
plague inc.,browser_search_news,0.5585876502931104,6,5,3
pokerogue offline,social_chat,0.6221167618677237,6,5,3
pokémon go,transport_map,0.8343823010250941,1,2,21
pokémon unite,video_music_entertainment,0.8419494311840658,1,2,21
powerpoint,browser_search_news,0.6602954897743968,1,2,31
prime ruler,browser_search_news,0.3436331842961533,6,2,4
pro guitar tuner,browser_search_news,0.5256153107723643,1,2,4
quick share,study_work_productivity,0.5381582142879042,1,5,25
roomestimateapp,study_work_productivity,0.4345214480053676,6,4,1
royal match,browser_search_news,0.8152698242663107,6,4,3
samsung checkout,health_fitness,0.271422748281131,1,4,18
samsung flow,health_fitness,0.3219696347857024,1,4,18
samsung free,health_fitness,0.30139450673520674,1,4,18
samsung global goals,health_fitness,0.29888179736049636,1,4,18
samsung members,health_fitness,0.2776150118164521,1,4,18
samsung notes,health_fitness,0.28592921235807633,1,4,18
samsung pass,health_fitness,0.44345296074758855,1,13,18
samsung pass 자동 완성,health_fitness,0.4648581113322139,1,13,18
samsung wallet,health_fitness,0.27252886826806033,1,4,18
screw pin,finance_shopping,0.793055701379605,1,2,27
screw puzzle,finance_shopping,0.8984876844065637,1,5,27
secsoundpicker,browser_search_news,0.6554325688916891,1,2,4
secure signin,video_music_entertainment,0.5002627199354777,1,2,4
shein,health_fitness,0.49118098974350766,1,1,31
sim 카드 툴킷,video_music_entertainment,0.787656641921846,3,0,15
simcity,video_music_entertainment,0.6021315923506027,1,0,15
skyscanner,browser_search_news,0.6612998307357926,1,2,4
slack,study_work_productivity,0.2984883138315074,1,5,25
smart home,browser_search_news,0.7562908524226674,1,1,30
smart switch,finance_shopping,0.812136839435506,1,1,30
smart view,finance_shopping,0.8295971215061837,1,1,30
smart​things,finance_shopping,0.679794850174495,1,1,30
snow,health_fitness,0.6031785036421524,1,1,21
srt,health_fitness,0.82021648303099,1,1,30
ssg.com,finance_shopping,0.7995528661138526,6,4,27
starmaker,social_chat,0.630878429217531,1,2,4
start,social_chat,0.8109449140150571,1,1,30
steam,study_work_productivity,0.4232928782386308,1,4,1
studiomate,study_work_productivity,0.34537865439506565,6,4,1
super slime - black hole game,browser_search_news,0.5630804482119719,6,5,25
syrup,health_fitness,0.5508082076088907,1,4,30
t world,health_fitness,0.6180009598638088,1,1,31
t 멤버십,transport_map,0.9037811643272914,2,1,10
talking tom gold run,finance_shopping,0.4968084814955187,6,4,31
tapo,transport_map,0.4516093040480562,6,4,1
tasks,transport_map,0.568697534208134,6,4,1
tastebuds,transport_map,0.5943924646754225,6,4,1
td infinite,social_chat,0.6101863939676614,6,5,31
teams,study_work_productivity,0.36332467446511385,1,4,1
temu,video_music_entertainment,0.5942525477004973,6,4,1
tft,finance_shopping,0.6934391935146258,6,1,10
the건강보험,health_fitness,0.8221655225487023,5,11,20
threads,study_work_productivity,0.6666181569942997,6,4,1
tiktok,video_music_entertainment,0.4424106536476372,6,5,25
tiktok-lite,video_music_entertainment,0.4469468444078437,6,5,25
timetree,video_music_entertainment,0.3932137844821345,6,5,25
tmap,transport_map,0.11446839957096233,6,4,1
trip.com,finance_shopping,0.7949205636454333,6,4,27
tving,finance_shopping,0.45949133511198637,6,4,31
t전화,phone_system,0.5167850931827529,6,6,22
u+스마트홈,phone_system,0.8530345409030767,7,14,13
ulike,video_music_entertainment,0.730600798662999,6,5,3
v-guard for web,browser_search_news,0.5711273649612918,1,1,10
vflat scan,phone_system,0.7462353095061514,1,2,4
virtualpro,transport_map,0.7231836195165908,1,2,21
vpndialogs,study_work_productivity,0.7306377973413323,1,1,1
waze,health_fitness,0.5850027709521975,1,5,21
weawow,health_fitness,0.647833775506311,1,1,21
wechat,health_fitness,0.6050005264369606,1,1,10
whale,browser_search_news,0.5871369944492761,1,5,21
whiteout survival,health_fitness,0.44700701111008145,1,1,31
wi-fi 연결 팁,finance_shopping,0.7460600832763695,2,1,31
windows와 연결,finance_shopping,0.6676177893675586,2,1,31
withings,finance_shopping,0.6068437006272043,6,1,31
woodber,browser_search_news,0.5753771327588013,1,2,4
works,health_fitness,0.5783571423946808,1,1,31
wow 컴패니언,health_fitness,0.6422468423571018,1,1,21
wps office,study_work_productivity,0.39982325347062153,6,4,10
x,video_music_entertainment,0.672026728809781,1,15,29
yodha pro,browser_search_news,0.7460989385333328,1,2,21
youtube,video_music_entertainment,0.19921796934396363,1,2,21
youtube music,video_music_entertainment,0.17654558313136137,1,2,21
yt kids,finance_shopping,0.790928973939383,1,1,1
