file,oof_file,rank,selection_trust,selection_score,family_group,agg_mode,target_mask,gamma,oof_loss,posterior_mean_expected,conservative_mean_expected,posterior_mean_delta_vs_stage2,conservative_mean_delta_vs_stage2,mean_probability_move,p90_probability_move,candidate_id
submission_public_maskaware_t35_r01_2d5fa124.csv,final_public_maskaware_t35_r01_2d5fa124_oof.npy,1,0.35,0.5777387891167914,random_all,marginal,all,1.25,0.5542547695285053,0.5755324285904091,0.5757063724735583,-0.0014599599341236233,-0.00016959498435235973,0.009688651918523226,0.021255664089892278,random_all|marginal|all|g1.25
submission_public_maskaware_t35_r02_517540cc.csv,final_public_maskaware_t35_r02_517540cc_oof.npy,2,0.35,0.5777686020517392,random50,marginal,all,1.25,0.5538161040577724,0.5755217200921305,0.5757635917683775,-0.0014706684324021974,-0.00011237568953317247,0.01096617215259561,0.023826679755908093,random50|marginal|all|g1.25
submission_public_maskaware_t35_r03_cac1b720.csv,final_public_maskaware_t35_r03_cac1b720_oof.npy,3,0.35,0.5777965043253624,all_struct_random,marginal,all,1.25,0.5549567261767744,0.5755450563408085,0.5757342477650802,-0.0014473321837241892,-0.00014171969283048916,0.009529298074325752,0.02178942918402863,all_struct_random|marginal|all|g1.25
submission_public_maskaware_t50_r04_6761fb38.csv,final_public_maskaware_t50_r04_6761fb38_oof.npy,4,0.5,0.577525437805474,all_struct_random,conditional,all,0.75,0.5531213445930238,0.5755021320274997,0.5758234761692237,-0.0014902564970330435,-5.249128868701772e-05,0.013071337060430762,0.028621737687357162,all_struct_random|conditional|all|g0.75
submission_public_maskaware_t50_r05_fb7b695a.csv,final_public_maskaware_t50_r05_fb7b695a_oof.npy,5,0.5,0.5775270438923216,subject_contig,conditional,all,0.75,0.5532117741282818,0.5755000761991222,0.5758216405142482,-0.0014923123254104505,-5.432694366236881e-05,0.012899225268533375,0.028568633528725417,subject_contig|conditional|all|g0.75
submission_public_maskaware_t50_r06_8d5b4fe1.csv,final_public_maskaware_t50_r06_8d5b4fe1_oof.npy,6,0.5,0.5775303390524162,subject_struct,conditional,all,0.75,0.5532615368468707,0.5755002004765126,0.5758229012440598,-0.001492188048020171,-5.3066213850928214e-05,0.01292503986153258,0.028584433835193754,subject_struct|conditional|all|g0.75
submission_public_maskaware_t65_r07_768f6df0.csv,final_public_maskaware_t65_r07_768f6df0_oof.npy,7,0.65,0.5772571624283315,random_all,conditional,all,0.75,0.5530448422746145,0.5755016843850268,0.5758269763028432,-0.0014907041395059496,-4.899115506746101e-05,0.013185647724271944,0.02903982518199171,random_all|conditional|all|g0.75
submission_public_maskaware_t65_r08_7f7fa3e2.csv,final_public_maskaware_t65_r08_7f7fa3e2_oof.npy,8,0.65,0.5772651805842283,random50,conditional,all,0.75,0.5532823958682528,0.5755019746441439,0.5758310453759335,-0.0014904138803888483,-4.4922081977114185e-05,0.013163546254517225,0.028886775153808428,random50|conditional|all|g0.75
submission_public_maskaware_t65_r09_35ff9a82.csv,final_public_maskaware_t65_r09_35ff9a82_oof.npy,9,0.65,0.5772690222144826,structured,conditional,all,0.75,0.5532939356639351,0.5755121834381044,0.5758272386197023,-0.0014802050864283905,-4.872883820839703e-05,0.01308154019230429,0.028616045400032795,structured|conditional|all|g0.75
submission_public_maskaware_t80_r10_18d78615.csv,final_public_maskaware_t80_r10_18d78615_oof.npy,10,0.8,0.5770017187625406,rowmod,conditional,all,0.75,0.5531770224520643,0.5755107906860937,0.575834827290028,-0.0014815978384390609,-4.114016788267729e-05,0.013317652920555848,0.029047627282299864,rowmod|conditional|all|g0.75
submission_public_maskaware_t80_r11_544844af.csv,final_public_maskaware_t80_r11_544844af_oof.npy,11,0.8,0.5770132916532098,random_all,conditional,noq2,0.75,0.5531558729401492,0.5755016809955091,0.5758452942815143,-0.001490707529023599,-3.067317639630095e-05,0.011843226052615848,0.02903982518199171,random_all|conditional|noq2|g0.75
submission_public_maskaware_t80_r12_dcfaabba.csv,final_public_maskaware_t80_r12_dcfaabba_oof.npy,12,0.8,0.5770161251763664,all_struct_random,conditional,noq2,0.75,0.5532581655938881,0.5755024246200421,0.5758418984905036,-0.001489963904490594,-3.406896740699994e-05,0.011739687257809956,0.028621737687357162,all_struct_random|conditional|noq2|g0.75
