split,target,mode,rep,null_delta
subject5,Q1,row,0,0.02543244739687678
subject5,Q1,row,1,0.04069002874167005
subject5,Q1,row,2,0.04323983329113035
subject5,Q1,row,3,0.0227453145019767
subject5,Q1,row,4,0.019448380807895793
subject5,Q1,row,5,0.027623209742123067
subject5,Q1,subject,0,0.030258457637595715
subject5,Q1,subject,1,0.09519433351694462
subject5,Q1,subject,2,0.07251399185722263
subject5,Q1,subject,3,0.04580563249516323
subject5,Q1,subject,4,0.06538600115547999
subject5,Q1,subject,5,0.10229625392213282
subject5,Q1,dateblock,0,0.014525773029977818
subject5,Q1,dateblock,1,0.03152648891657184
subject5,Q1,dateblock,2,0.10636189998323331
subject5,Q1,dateblock,3,0.028304163354201717
subject5,Q1,dateblock,4,0.11018255881624217
subject5,Q1,dateblock,5,0.11157701713815082
subject5,Q2,row,0,0.05573799392542622
subject5,Q2,row,1,0.037744356082023645
subject5,Q2,row,2,0.01337581029862911
subject5,Q2,row,3,0.022644899196900492
subject5,Q2,row,4,0.03396160451465258
subject5,Q2,row,5,0.029972513494547548
subject5,Q2,subject,0,0.06387113149218471
subject5,Q2,subject,1,0.0818684197839864
subject5,Q2,subject,2,-0.0012594944602135616
subject5,Q2,subject,3,0.054826332927035204
subject5,Q2,subject,4,0.0809603183706663
subject5,Q2,subject,5,0.072044831805266
subject5,Q2,dateblock,0,-0.0014893143530189112
subject5,Q2,dateblock,1,0.010945584142500353
subject5,Q2,dateblock,2,-0.004818294985145188
subject5,Q2,dateblock,3,0.03362407918280996
subject5,Q2,dateblock,4,0.1210474111719737
subject5,Q2,dateblock,5,0.012846958617579896
subject5,Q3,row,0,0.03071985781160147
subject5,Q3,row,1,0.021298239995137025
subject5,Q3,row,2,0.011371180541899784
subject5,Q3,row,3,0.04092462869389579
subject5,Q3,row,4,0.02295319164677112
subject5,Q3,row,5,0.040884018899778884
subject5,Q3,subject,0,0.053955484058952896
subject5,Q3,subject,1,0.052856427703726894
subject5,Q3,subject,2,0.07086284809762844
subject5,Q3,subject,3,0.07111792916897708
subject5,Q3,subject,4,0.10319157700222192
subject5,Q3,subject,5,0.07685064195854618
subject5,Q3,dateblock,0,0.029664551339299905
subject5,Q3,dateblock,1,0.07462628832172136
subject5,Q3,dateblock,2,0.007236613810624792
subject5,Q3,dateblock,3,-0.02653352851354973
subject5,Q3,dateblock,4,0.004468365296477872
subject5,Q3,dateblock,5,0.07388992234611924
subject5,S1,row,0,0.013841588138930327
subject5,S1,row,1,0.03676577092360245
subject5,S1,row,2,0.021353967217131786
subject5,S1,row,3,0.032393847509425644
subject5,S1,row,4,0.018035947846868128
subject5,S1,row,5,0.02920351199426552
subject5,S1,subject,0,0.06139249642702127
subject5,S1,subject,1,0.056465261161798064
subject5,S1,subject,2,0.054453132278092786
subject5,S1,subject,3,0.04858922610452143
subject5,S1,subject,4,0.08858910208565873
